Iteration	Posterior	Likelihood	Prior	m_w[1][1][1]	m_w[1][1][2]	m_w[1][1][3]	m_w[1][1][4]	m_w[1][1][5]	m_w[1][1][6]	m_w[1][1][7]	m_w[2][1][1]	m_w[2][1][2]	m_w[2][1][3]	m_w[2][1][4]	m_w[2][1][5]	m_w[2][1][6]	m_w[2][1][7]	m_w[3][1][1]	m_w[3][1][2]	m_w[3][1][3]	m_w[3][1][4]	m_w[3][1][5]	m_w[3][1][6]	m_w[3][1][7]	m_w[4][1][1]	m_w[4][1][2]	m_w[4][1][3]	m_w[4][1][4]	m_w[4][1][5]	m_w[4][1][6]	m_w[4][1][7]	m_w[5][1][1]	m_w[5][1][2]	m_w[5][1][3]	m_w[5][1][4]	m_w[5][1][5]	m_w[5][1][6]	m_w[5][1][7]	m_w[6][1][1]	m_w[6][1][2]	m_w[6][1][3]	m_w[6][1][4]	m_w[6][1][5]	m_w[6][1][6]	m_w[6][1][7]	m_w[7][1][1]	m_w[7][1][2]	m_w[7][1][3]	m_w[7][1][4]	m_w[7][1][5]	m_w[7][1][6]	m_w[7][1][7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	use_phi_b[1]	use_phi_b[2]	use_phi_d[1]	use_phi_d[2]	use_phi_e[1]	use_phi_e[2]	use_phi_w[1]	use_phi_w[2]	use_sigma_b[1]	use_sigma_b[2]	use_sigma_d[1]	use_sigma_d[2]	use_sigma_e[1]	use_sigma_e[2]	use_sigma_w[1]	use_sigma_w[2]
400	-174.0342	-160.4712	-13.56296	2.28451	2.27885	2.27383	2.27368	2.27234	7.18724	2.27374	2.28451	2.27885	2.27345	7.19278	7.18571	0	2.27374	2.28451	2.27885	7.19788	7.19788	0	0	2.27374	2.28016	2.27581	7.19328	0	0	0	2.27374	2.27809	7.1988	0	0	0	0	2.27374	2.27374	7.20122	0	0	0	0	2.27374	7.20122	0	0	0	0	0	2.27374	0.209061	0.192321	-1.56083	0	-0.779552	0.702987	0	-1.87904	0.00795312	0.02569436	0.01969172	0.100105	1.24028	0.986136	0	1.15522	0	0	0	1.15249	0.100105	0.00795312	0.1080581	1	1	1	0	1	1	0	1	1	1	0	1	0	0	0	1
420	-169.2707	-154.4846	-14.78612	1.95723	1.95329	1.94979	1.94969	1.94875	5.09339	1.94973	1.95723	1.95329	1.94953	5.09658	5.09251	0	1.94973	1.95723	1.95329	5.09952	5.09952	0	0	1.94973	1.9542	1.95117	5.09687	0	0	0	1.94973	1.95276	5.10005	0	0	0	0	1.94973	1.94973	5.10144	0	0	0	0	1.94973	5.10144	0	0	0	0	0	1.94973	0.912238	0.544681	-0.928535	-0.0579673	0	-0.277563	0	-1.52736	0.02710268	0.01660803	0.05443835	0.1032029	0	-1.74941	-1.4813	1.99131	0	0	0	0.961559	0.103203	0.0271027	0.1303056	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	1
440	-176.9572	-158.9773	-17.97987	1.09346	1.09317	1.36282	1.36281	1.36272	3.12309	1.0929	1.09346	1.09317	1.36279	3.12335	3.12302	0	1.0929	1.09346	1.09317	3.12359	3.12359	0	0	1.0929	1.09324	1.36295	3.12338	0	0	0	1.0929	1.09313	3.12363	0	0	0	0	1.0929	1.36281	3.12375	0	0	0	0	1.0929	3.12375	0	0	0	0	0	1.0929	0	0	-0.860964	-0.66854	0.766884	-1.57424	0	-0.203217	0.01511146	0.02144847	0.03144596	0.1438751	0.487243	0.842594	-1.17692	1.80846	0	-0.701597	0.220714	0.829446	0.143875	0.0151115	0.1589866	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1
460	-174.8684	-160.6482	-14.2202	2.27647	2.27085	3.27889	3.27868	3.27676	9.61661	2.26578	2.27647	2.27085	3.27835	9.62398	9.61457	0	2.26578	2.27647	2.27085	9.63079	9.63079	0	0	2.26578	2.27215	3.28174	9.62465	0	0	0	2.26578	2.27009	9.63201	0	0	0	0	2.26578	3.27877	9.63523	0	0	0	0	2.26578	9.63523	0	0	0	0	0	2.26578	0	0	-1.50567	-1.6427	0	-1.91629	0	-1.87102	0.01092124	0.01963137	0.05918699	0.09746418	0.183839	-1.13772	0	0	-0.201404	-1.42171	0.369547	1.07762	0.0974642	0.0109212	0.1083854	0	0	1	1	0	1	0	1	1	1	0	0	1	1	1	1
480	-173.9625	-157.3081	-16.65441	1.44	1.43842	2.44606	2.44599	2.44535	2.44428	1.437	1.44	1.43842	2.44588	2.44511	2.44405	0	1.437	1.44	1.43842	2.44588	2.44588	0	0	1.437	1.43879	2.447	2.44519	0	0	0	1.437	1.43821	2.44602	0	0	0	0	1.437	2.44602	2.44638	0	0	0	0	1.437	2.44638	0	0	0	0	0	1.437	1.22211	0.159087	-0.985199	-0.405922	0	0.872178	0	-0.829359	0.05160033	0.01004433	0.03695913	0.1321267	0.0462776	0.282731	-1.12423	1.9686	-0.524493	0	0.531904	0	0.132127	0.0516003	0.183727	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0
500	-171.9889	-159.2882	-12.70076	1.53879	1.5368	4.79396	4.7938	4.79232	10.518	1.535	1.53879	1.5368	4.79354	10.5222	10.5168	0	1.535	1.53879	1.5368	10.5261	10.5261	0	0	1.535	1.53726	4.79614	10.5226	0	0	0	1.535	1.53653	10.5268	0	0	0	0	1.535	4.79386	10.5286	0	0	0	0	1.535	10.5286	0	0	0	0	0	1.535	1.6621	0	-1.45064	0	0	-0.468551	0	-0.98028	0.08873331	0.009149909	0.02551633	0.06047566	0	0.176611	0	1.86859	0	0	1.1388	0.786587	0.0604757	0.0887333	0.149209	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	1
520	-172.4281	-158.1763	-14.2518	1.82642	1.82312	3.41025	3.41009	3.40863	3.40616	1.82014	1.82642	1.82312	3.40984	3.40808	3.40563	0	1.82014	1.82642	1.82312	3.40984	3.40984	0	0	1.82014	1.82388	3.41242	3.40825	0	0	0	1.82014	1.82267	3.41016	0	0	0	0	1.82014	3.41016	3.41099	0	0	0	0	1.82014	3.41099	0	0	0	0	0	1.82014	0.378116	0.616642	-1.77597	0	0	-0.895214	0	-1.37003	0.02210984	0.01669036	0.03491251	0.09695255	0.661665	-0.0105963	-0.359391	1.69297	0	-0.394716	0.627846	0	0.0969525	0.0221098	0.1190624	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0
540	-171.8903	-162.8581	-9.03217	1	1	5.39735	5.39735	5.39735	9.90961	1	1	1	5.39735	9.90961	9.90961	0	1	1	1	9.90961	9.90961	0	0	1	1	5.39735	9.90961	0	0	0	1	1	9.90961	0	0	0	0	1	5.39735	9.90961	0	0	0	0	1	9.90961	0	0	0	0	0	1	1.60965	0	-1.22937	-1.30403	0	-1.32907	0	0	0.002227537	0.02148864	0.06335372	0.03974796	0	0	-1.69729	0.848486	0	0	1.68591	0.607597	0.039748	0.00222754	0.0419755	1	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1
560	-174.0303	-161.5921	-12.43815	1.0791	1.07885	3.49376	3.49374	3.49355	11.0128	1.07863	1.0791	1.07885	3.49371	11.0136	11.0126	0	1.07863	1.0791	1.07885	11.0143	11.0143	0	0	1.07863	1.07891	3.49404	11.0136	0	0	0	1.07863	1.07882	11.0144	0	0	0	0	1.07863	3.49375	11.0148	0	0	0	0	1.07863	11.0148	0	0	0	0	0	1.07863	0	1.06327	-0.547812	0	0.505681	1.81689	0	-0.173146	0.02370811	0.02149347	0.03909055	0.04103192	0	-1.18768	-1.33496	1.91416	0	0	1.17528	1.14823	0.0410319	0.0237081	0.06474003	0	1	1	0	1	1	0	1	0	1	1	1	0	0	1	1
580	-169.2626	-159.2853	-9.97732	1.99358	1.98945	6.5364	6.53604	6.53283	13.4364	1.98573	1.99358	1.98945	6.53549	13.445	13.434	0	1.98573	1.99358	1.98945	13.453	13.453	0	0	1.98573	1.99041	6.54116	13.4458	0	0	0	1.98573	1.9889	13.4544	0	0	0	0	1.98573	6.53619	13.4582	0	0	0	0	1.98573	13.4582	0	0	0	0	0	1.98573	1.62071	0	0	0	0	0.441199	0	-1.56921	0.02200358	0.02331667	0.04670116	0.0410965	0.954647	0	-1.6491	1.57383	0	0	1.19137	0.721952	0.0410965	0.0220036	0.06310008	1	0	0	0	0	1	0	1	1	0	1	1	0	0	1	1
