Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_rate_12	prob_rate_13	prob_rate_21	prob_rate_23	prob_rate_31	prob_rate_32	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
62	0	-47.1439	-57.0817	9.93774	0	0	1	1	1	0	0.003951622	0.003359848	0	0	0	0.001135049	0.306463	0.0923221	0.601215
63	1	-38.7818	-58.0111	19.2294	0	1	1	0	0	0	0.0002829745	0	0	0.001327515	0.001491671	0.00195147	0.0916155	0.00353337	0.904851
64	0	-46.9951	-58.4478	11.4527	0	0	1	1	1	0	0.002797352	0.002895509	0	0	0	0.0008038283	0.306463	0.0923221	0.601215
65	1	-43.8409	-57.3067	13.4657	1	1	0	1	0	0	0	0	0.0002354585	0	0.001643436	0.002026949	0.19203	0.0217721	0.786198
66	0	-46.9223	-58.0082	11.0859	0	0	1	1	1	0	0.002797352	0.003611966	0	0	0	0.0005594601	0.475417	0.423732	0.100851
67	1	-44.4036	-57.2915	12.8879	1	1	1	0	0	0	0	0	0	0.001557618	0.00106496	0.002026949	0.107851	0.214836	0.677313
68	0	-38.7817	-61.5568	22.7751	0	0	0	1	0	0	0.002797352	0.004187416	0.001367224	0	0.0003138011	0.000390063	0.526829	0.3142	0.15897
69	1	-48.1582	-55.2785	7.12028	1	1	1	1	0	0	0	0	0	0	0.0008454355	0.00266149	0.107851	0.214836	0.677313
70	0	-35.2728	-56.1328	20.8601	0	0	0	0	1	0	0.001462302	0.002806378	0.001816592	0.004896704	0	0.0005386204	0.31167	0.476149	0.212181
71	1	-42.4587	-55.8789	13.4202	0	1	1	1	0	0	0.0004574823	0	0	0	0.0008454355	0.00266149	0.12246	0.364924	0.512617
72	0	-38.3534	-55.208	16.8546	0	1	0	0	1	0	0.0008885707	0	0.002803139	0.003955514	0	0.0004627853	0.347348	0.451468	0.201183
73	1	-44.3538	-56.9014	12.5475	0	1	1	1	0	0	0.001826158	0	0	0	0.001140584	0.002120858	0.103034	0.253471	0.643495
74	0	-42.5214	-53.8075	11.2861	1	1	0	0	1	0	0	0	0.001996125	0.003977018	0	0.0007379982	0.194544	0.692777	0.112679
75	1	-48.3128	-55.6238	7.31102	1	1	1	1	0	0	0	0	0	0	0.001140584	0.002120858	0.0674087	0.228603	0.703988
76	0	-36.084	-53.4963	17.4124	1	0	0	0	1	0	0	0.0006369958	0.001569372	0.005088892	0	9.691179e-05	0.116429	0.759964	0.123607
77	1	-49.7586	-57.264	7.50537	1	1	1	1	0	0	0	0	0	0	0.001522957	0.001488344	0.0507782	0.172204	0.777018
78	0	-35.9334	-53.418	17.4847	1	0	0	0	1	0	0	0.0002909773	0.002152036	0.004714674	0	0.0001414388	0.0466448	0.810606	0.142749
79	1	-36.3265	-56.638	20.3115	1	1	0	0	0	0	0	0	9.459787e-07	0.0001498465	0.001522957	0.001987178	0.0564775	0.0792926	0.86423
80	0	-45.5103	-54.201	8.69078	1	1	0	0	1	0	0	0	0.002291062	0.007569182	0	0.0001911635	0.0374754	0.911613	0.0509113
81	1	-43.7861	-56.9476	13.1615	0	1	1	1	0	0	0.0002708493	0	0	0	0.001647942	0.00237866	0.0600741	0.0206599	0.919266
82	0	-38.2814	-54.019	15.7376	1	0	0	0	1	0	0	9.51015e-05	0.002315643	0.006879636	0	0.0002572239	0.0336063	0.706857	0.259536
83	1	-38.5065	-57.8195	19.313	0	1	0	1	0	0	0.00144146	0	0.0003683028	0	0.001383164	0.00175304	0.114962	0.105103	0.779935
84	0	-36.2452	-53.5798	17.3346	1	1	0	0	0	0	0	0	0.001396279	0.005766479	0.0001749812	0.000154515	0.0368966	0.776063	0.187041
85	1	-39.748	-58.7878	19.0398	1	0	0	1	0	0	0	0.0001584978	0.001002306	0	0.001557791	0.00257894	0.195891	0.258712	0.545396
86	0	-31.9064	-55.5793	23.673	0	1	0	0	0	0	0.001997508	0	0.0005310443	0.00499076	0.000168509	0.0002124799	0.0622984	0.755594	0.182108
87	1	-42.8209	-56.282	13.4611	1	0	1	1	0	0	0	0.0003249547	0	0	0.001007962	0.00257894	0.138085	0.477462	0.384453
88	0	-47.3131	-57.7806	10.4675	1	0	0	0	1	1	0	0.002052324	0.001147695	0.004564699	0	0	0.189274	0.653278	0.157448
89	1	-38.1085	-58.6309	20.5224	0	1	0	1	0	0	0.0007467835	0	0.0004940339	0	0.001007962	0.001140656	0.208826	0.243455	0.547719
90	0	-39.479	-55.1524	15.6734	1	0	0	0	1	0	0	0.002360195	0.001760337	0.004564699	0	0.0009450783	0.0887573	0.746078	0.165165
91	1	-38.5619	-58.697	20.1351	0	1	0	1	0	0	0.001373744	0	0.0005477762	0	0.0007807301	0.00118562	0.244806	0.285402	0.469792
92	0	-41.6011	-54.8038	13.2027	1	1	0	0	1	0	0	0	0.0009249709	0.002799207	0	0.0005202022	0.153954	0.469882	0.376164
93	1	-32.907	-59.362	26.4549	0	1	0	0	0	0	0.0005634616	0	0.0004325426	0.001256917	0.0005737428	0.001493168	0.521354	0.376492	0.102154
94	0	-38.3372	-55.1832	16.846	0	1	0	0	1	0	0.001906062	0	0.001334447	0.004160702	0	0.0007199045	0.147369	0.449785	0.402847
95	1	-37.4837	-57.9866	20.5029	0	1	0	1	0	0	3.903345e-05	0	0.0006276228	0	0.0007071728	0.00204064	0.432578	0.482663	0.0847588
96	0	-44.5065	-57.0861	12.5796	1	0	0	0	1	1	0	6.11597e-05	0.0008244261	0.004160702	0	0	0.0676701	0.846392	0.0859381
97	1	-37.6389	-56.8716	19.2327	1	0	0	0	1	0	0	2.624268e-06	0.0006049634	0.002927836	0	0.001513924	0.442776	0.494042	0.0631813
98	0	-34.3354	-53.4458	19.1104	1	1	0	0	0	0	0	0	0.0007555307	0.004160702	4.538333e-05	0.000245142	0.235861	0.693704	0.070435
99	1	-37.1474	-62.4954	25.348	0	0	0	0	0	1	0.0006869263	0.00140187	0.0003950234	0.002852989	0.0004075977	0	0.442776	0.494042	0.0631813
100	0	-34.9468	-54.7606	19.8137	0	1	0	0	1	0	0.000235361	0	0.0007555307	0.003147406	0	0.0001632471	0.0925021	0.473792	0.433706
101	1	-35.3537	-54.2966	18.9429	0	1	0	0	1	0	0.0003564511	0	0.0007018852	0.003750458	0	0.0006134905	0.305416	0.615828	0.078756
102	0	-34.6314	-54.3755	19.744	0	1	0	0	1	0	0.0003505826	0	0.0007555307	0.003147406	0	0.000137695	0.031703	0.825991	0.142306
103	1	-36.778	-55.6736	18.8956	1	0	0	0	1	0	0	0.0008072504	0.0007018852	0.003213413	0	0.000760574	0.41447	0.356778	0.228751
104	0	-35.8579	-55.2785	19.4206	1	0	0	0	1	0	0	0.001076352	0.000627095	0.002911885	0	0.0001921836	0.0374177	0.683349	0.279233
105	1	-24.6584	-56.1609	31.5025	0	0	0	0	0	0	0.001490686	0.0001239356	0.000827302	0.003213413	0.0001372084	0.0005966713	0.529933	0.432578	0.037489
106	0	-37.9733	-55.5158	17.5425	0	1	0	0	1	0	0.001503197	0	0.0005320976	0.005039609	0	0.000149779	0.0418565	0.392696	0.565448
107	1	-43.1732	-54.5181	11.3448	1	1	0	0	1	0	0	0	0.000586346	0.005272796	0	0.000776422	0.293001	0.487947	0.219052
