Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
960	-436.6	-424.289	-12.3112	554271.3	9.169736	0.998293	0.999563	1.00044	1.00171	3.469626
970	-423.938	-409.447	-14.4903	730780.4	7.811277	0.998513	0.99962	1.00038	1.00149	3.709397
980	-433.417	-423.403	-10.0143	348522.5	10.0464	0.997848	0.999449	1.00055	1.00215	3.220696
990	-444.789	-427.513	-17.2766	902906.8	7.813661	0.998663	0.999658	1.00034	1.00134	4.066085
1000	-438.281	-415.139	-23.1423	353654.4	7.572992	0.997863	0.999453	1.00055	1.00214	4.83989
1010	-427.323	-415.404	-11.9183	742297.4	9.710053	0.998525	0.999623	1.00038	1.00148	3.419542
1020	-427.718	-426.701	-1.01653	797649.6	11.87317	0.998577	0.999636	1.00036	1.00142	2.400915
1030	-424.882	-417.693	-7.18912	437826.1	12.04361	0.99808	0.999509	1.00049	1.00192	2.915681
1040	-423.063	-416.04	-7.02296	477052.9	10.96852	0.99816	0.999529	1.00047	1.00184	2.924599
1050	-422.281	-415.118	-7.1629	212836.4	8.818218	0.997246	0.999295	1.0007	1.00276	2.885799
1060	-423.607	-414.439	-9.1684	406354.3	8.847557	0.998007	0.99949	1.00051	1.00199	3.114628
1070	-428.008	-416.777	-11.2314	954795.9	10.07739	0.998699	0.999667	1.00033	1.0013	3.34104
1080	-435.684	-418.586	-17.0983	256791.5	5.728464	0.997493	0.999358	1.00064	1.00251	3.799566
1090	-434.776	-420.124	-14.6518	99521.42	10.80863	0.995974	0.998968	1.00103	1.00403	3.631797
1100	-440.091	-429.419	-10.6722	773866.3	11.02403	0.998555	0.999631	1.00037	1.00145	3.255002
1110	-433.776	-421.471	-12.3053	34847.82	10.88708	0.993199	0.998253	1.00173	1.00682	3.410579
1120	-439.657	-421.829	-17.8273	147969.9	8.139381	0.996698	0.999154	1.00084	1.00331	4.128602
1130	-438.981	-422.273	-16.7077	87604.18	7.635466	0.995709	0.9989	1.00109	1.0043	3.991427
1140	-429.769	-419.478	-10.2912	647049.6	12.35858	0.99842	0.999596	1.0004	1.00158	3.15622
1150	-427.941	-418.435	-9.50637	893883	8.671028	0.998656	0.999656	1.00034	1.00134	3.144384
1160	-432.371	-419.224	-13.147	240160.1	7.14069	0.997407	0.999336	1.00066	1.00259	3.4736
1170	-439.513	-428.766	-10.7468	906342	8.388327	0.998665	0.999659	1.00034	1.00134	3.274568
1180	-439.071	-427.82	-11.2509	774246.3	10.5188	0.998556	0.999631	1.00037	1.00144	3.328791
1190	-446.228	-422.737	-23.4909	946176.2	6.55378	0.998694	0.999666	1.00033	1.00131	4.949022
1200	-421.502	-413.417	-8.08504	818272	11.09653	0.998595	0.999641	1.00036	1.00141	3.018772
1210	-431.961	-422.395	-9.56588	251106.5	10.08073	0.997465	0.999351	1.00065	1.00254	3.17573
1220	-440.241	-425.062	-15.1782	144623.7	6.763703	0.99666	0.999144	1.00085	1.00334	3.714025
1230	-429.19	-420.751	-8.43868	168466.7	9.019783	0.996905	0.999207	1.00079	1.0031	3.04097
1240	-428.42	-419.791	-8.6284	452913.8	12.5304	0.998112	0.999517	1.00048	1.00189	3.013856
1250	-427.261	-416.727	-10.5339	145994.3	9.78176	0.996675	0.999148	1.00085	1.00333	3.276301
1260	-429.559	-417.19	-12.3694	296301.2	10.38216	0.997666	0.999403	1.0006	1.00234	3.441404
1270	-434.145	-416.509	-17.6357	811593	6.261167	0.998589	0.999639	1.00036	1.00141	4.013769
1280	-442.945	-421.336	-21.6093	170678.3	6.802252	0.996925	0.999212	1.00078	1.00308	4.664854
1290	-443.674	-418.355	-25.3196	229635.5	6.255161	0.997349	0.999321	1.00068	1.00265	5.241152
1300	-442.794	-426.268	-16.526	231086.4	8.228699	0.997357	0.999323	1.00067	1.00265	3.967241
1310	-435.05	-415.631	-19.4191	901166.4	10.67376	0.998661	0.999658	1.00034	1.00134	4.08803
1320	-434.383	-420.422	-13.9612	827070	11.286	0.998603	0.999643	1.00036	1.0014	3.5349
1330	-439.747	-422.975	-16.7723	642207.8	6.527713	0.998414	0.999594	1.0004	1.00159	3.920201
1340	-432.096	-417.264	-14.8324	717438.7	7.894942	0.9985	0.999616	1.00038	1.0015	3.755826
1350	-438.211	-426.803	-11.4076	796637	8.34009	0.998576	0.999636	1.00036	1.00142	3.351083
1360	-434.93	-419.415	-15.5142	462445.1	6.827847	0.998131	0.999522	1.00048	1.00187	3.772089
1370	-431.861	-412.072	-19.7894	420807.9	6.253245	0.998041	0.999499	1.0005	1.00196	4.356832
1380	-429.157	-415.057	-14.1004	847101	8.794864	0.998619	0.999647	1.00035	1.00138	3.672853
1390	-435.492	-421.992	-13.5001	197610.2	7.894701	0.997142	0.999268	1.00073	1.00286	3.587068
1400	-431.071	-419.162	-11.9093	419812.2	9.047502	0.998039	0.999498	1.0005	1.00196	3.42583
1410	-433.677	-417.39	-16.2866	114614	8.313372	0.996248	0.999039	1.00096	1.00376	3.936647
1420	-426.656	-415.766	-10.8902	604020.8	8.005532	0.998365	0.999582	1.00042	1.00164	3.266088
1430	-427.526	-418.345	-9.1806	282653.9	9.529197	0.99761	0.999388	1.00061	1.00239	3.135831
1440	-428.593	-420.494	-8.09864	545983.5	12.82107	0.99828	0.99956	1.00044	1.00172	2.958699
1450	-427.792	-417.165	-10.6269	906811.4	9.349767	0.998665	0.999659	1.00034	1.00134	3.28745
