Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
77	1	-23.4759	-58.6358	35.1599	0.0003767058	0.001029489	0.001453008	0.003257407	0.0008155762	0.0001023611	0.283725	0.341301	0.374974
78	0	-19.1788	-55.4102	36.2314	3.544412e-06	1.89463e-07	0.002114742	0.002612161	8.287088e-05	0.0008420054	0.15602	0.804712	0.0392679
79	1	-21.7191	-55.9976	34.2785	0.0002316711	0.001017958	0.001453008	0.004832681	0.0005532891	8.037051e-05	0.0259153	0.830981	0.143104
80	0	-19.3292	-54.7788	35.4496	3.544412e-06	2.985058e-07	0.002286775	0.003839387	9.92459e-05	0.000432505	0.513077	0.344551	0.142372
81	1	-23.4628	-56.5172	33.0544	0.00030116	0.001346183	0.00119452	0.006277549	0.0005532891	7.177451e-05	0.0259153	0.830981	0.143104
82	0	-18.3413	-54.0608	35.7195	2.894292e-06	2.789329e-07	0.001890718	0.003839387	0.0001488738	0.0004322319	0.320257	0.609655	0.0700879
83	1	-23.9269	-57.4699	33.543	0.0003233922	0.002046477	0.001394132	0.004630119	0.0006468707	7.464233e-05	0.0171764	0.550765	0.432058
84	0	-18.2215	-55.478	37.2564	2.07072e-06	2.316053e-07	0.001449539	0.002523528	9.20156e-05	0.0002689088	0.450336	0.419644	0.13002
85	1	-23.211	-57.4114	34.2004	0.000187364	0.002046477	0.001394132	0.004015327	0.0005594615	6.671655e-05	0.0464647	0.498873	0.454663
86	0	-18.914	-55.91	36.996	2.181266e-06	1.195961e-07	0.001804295	0.002523528	7.248739e-05	0.0002689088	0.548762	0.295136	0.156102
87	1	-24.7041	-58.1344	33.4303	0.0002542919	0.002864908	0.001379983	0.004015327	0.0006794196	6.671655e-05	0.0337848	0.635626	0.330589
88	0	-17.0186	-53.4139	36.3953	2.181266e-06	1.057876e-07	0.00113692	0.004021525	5.150131e-05	0.0002323199	0.151175	0.5655	0.283325
89	1	-22.7915	-57.0258	34.2343	0.0001610068	0.001707352	0.001076742	0.004794371	0.0004196503	6.671655e-05	0.0421098	0.29031	0.66758
90	0	-18.0052	-54.7661	36.7609	2.181266e-06	9.486429e-08	0.0005372212	0.004063074	8.471419e-05	0.0002868015	0.225407	0.352146	0.422447
91	1	-24.9238	-57.8897	32.9659	0.0002479123	0.001950518	0.001076742	0.005957336	0.0005596156	6.617911e-05	0.0421098	0.29031	0.66758
92	0	-19.9155	-54.8618	34.9463	2.181266e-06	1.111523e-07	0.002580536	0.004430211	8.471419e-05	0.0002117653	0.2359	0.321988	0.442112
93	1	-25.3621	-57.8066	32.4445	0.0002495473	0.002319649	0.0009875728	0.0065052	0.0004018496	6.555188e-05	0.0421098	0.29031	0.66758
94	0	-18.8196	-53.8256	35.006	1.389289e-06	2.457655e-07	0.002580536	0.004361665	6.285596e-05	0.0002259913	0.0590713	0.830538	0.11039
95	1	-23.4063	-58.1022	34.696	0.0003160648	0.002319649	0.001096286	0.003251778	0.0005833758	6.454249e-05	0.0142249	0.636642	0.349133
96	0	-18.9207	-54.4152	35.4946	1.389289e-06	2.972035e-07	0.002580536	0.003489587	0.0001028828	0.0004291358	0.0913855	0.868051	0.0405638
97	1	-21.5789	-56.292	34.7131	0.0003160648	0.001696242	0.001012519	0.004058619	0.0004256141	0.0001005479	0.0142249	0.636642	0.349133
98	0	-20.8308	-57.0474	36.2165	2.197348e-06	2.972035e-07	0.002525384	0.00277002	7.807854e-05	0.0002986769	0.6116	0.116926	0.271474
99	1	-20.7074	-56.3499	35.6425	0.0003215995	0.001034186	0.001062916	0.003480021	0.0004256141	8.9084e-05	0.00888715	0.640089	0.351024
100	0	-19.6678	-55.6832	36.0154	1.186159e-06	4.233232e-07	0.002707041	0.00277002	7.016702e-05	0.0003846869	0.316139	0.543534	0.140326
101	1	-21.1299	-57.2093	36.0794	0.0003149603	0.000896649	0.0006598243	0.003480021	0.0004487501	5.090867e-05	0.0152388	0.635987	0.348774
102	0	-22.5017	-55.9716	33.4699	1.186159e-06	4.233232e-07	0.00296201	0.005805207	0.000131164	0.0003096856	0.722322	0.208531	0.0691461
103	1	-21.6764	-57.0097	35.3332	0.0003556237	0.001295118	0.0006174688	0.004017958	0.0004774026	4.793414e-05	0.0206993	0.863881	0.11542
104	0	-20.4024	-55.5249	35.1225	8.831965e-07	5.923305e-07	0.00296201	0.003668187	0.00014135	0.0003096856	0.51623	0.440792	0.0429781
105	1	-22.6346	-58.2565	35.6218	0.0004723561	0.001133407	0.0007676166	0.003521961	0.0004774026	6.730073e-05	0.166256	0.204877	0.628868
106	0	-20.0941	-55.7705	35.6765	6.884626e-07	5.923305e-07	0.002305366	0.003544491	0.0002089044	0.0003096856	0.596519	0.23257	0.170911
107	1	-23.5544	-58.6382	35.0838	0.0003352411	0.001366384	0.0007676166	0.00410538	0.0004774026	8.048814e-05	0.644312	0.0874034	0.268284
108	0	-20.5843	-54.9888	34.4045	9.809556e-07	5.923305e-07	0.002305366	0.005233051	0.0001345726	0.0003322632	0.596519	0.23257	0.170911
109	1	-23.6088	-59.1982	35.5894	0.000366104	0.00168411	0.0006461205	0.003374587	0.0003606436	5.018906e-05	0.646532	0.119358	0.23411
110	0	-18.0591	-54.3863	36.3272	1.051335e-06	2.941571e-07	0.001361313	0.003542335	0.0001902046	0.0004370383	0.149081	0.490477	0.360442
111	1	-23.9188	-60.0098	36.091	0.0004464758	0.001638094	0.0008263445	0.002458545	0.0003606436	0.0001060704	0.45273	0.0835798	0.46369
112	0	-18.5179	-54.3045	35.7866	2.211461e-07	2.941571e-07	0.000958284	0.004364752	0.0002347577	0.000669694	0.0941528	0.600977	0.30487
113	1	-23.8822	-58.7138	34.8316	0.0006787716	0.001638094	0.0008263445	0.003849958	0.0003606436	0.0001032905	0.534793	0.0710471	0.39416
114	0	-20.9905	-56.278	35.2875	1.972745e-07	2.984477e-07	0.000958284	0.004178075	0.0003428919	0.001390565	0.10386	0.501853	0.394287
115	1	-22.7721	-57.4468	34.6747	0.000675582	0.0009715602	0.0009822147	0.004539059	0.0003873779	0.0001032905	0.180936	0.125089	0.693975
116	0	-21.3797	-56.3394	34.9597	1.880605e-07	1.744988e-07	0.001152433	0.004405975	0.0003428919	0.001390565	0.0881229	0.42581	0.486067
117	1	-23.0799	-57.3597	34.2799	0.000675582	0.0006276292	0.0008049053	0.005487582	0.0004414681	0.0001300267	0.405638	0.133742	0.460621
118	0	-20.3493	-57.2682	36.9189	1.652243e-07	2.320631e-07	0.001233724	0.002127145	0.0004837727	0.0009256844	0.0821042	0.708345	0.209551
119	1	-23.8293	-57.8124	33.9831	0.000675582	0.0005990426	0.0009051112	0.005487582	0.0005733845	0.0003084253	0.569288	0.0927905	0.337921
120	0	-18.7877	-55.2466	36.4589	1.025786e-07	1.782511e-07	0.001233724	0.003239267	0.0002207559	0.0006686726	0.0695898	0.383809	0.546601
121	1	-25.0176	-58.5215	33.5039	0.0007435236	0.0009274773	0.0009522593	0.005487582	0.0008166209	0.0002384371	0.246899	0.140975	0.612127
122	0	-18.2466	-54.909	36.6624	1.025786e-07	2.061626e-07	0.001166457	0.003239267	0.0003072933	0.0003874975	0.182448	0.57062	0.246931
123	1	-24.3068	-57.6883	33.3815	0.0004556795	0.001518601	0.0009390771	0.005487582	0.000405592	0.0005168901	0.173409	0.0990136	0.727577
124	0	-19.2978	-55.3085	36.0107	1.242208e-07	2.113187e-07	0.001714533	0.003061704	0.0003072933	0.0008557147	0.0424741	0.9311	0.026426
125	1	-23.4349	-57.442	34.007	0.0004556795	0.0008151937	0.0005679088	0.005907528	0.0003618133	0.0004102322	0.0363134	0.115436	0.848251
126	0	-20.8954	-55.1676	34.2723	1.109251e-07	1.932425e-07	0.002583939	0.004605212	0.0003530134	0.0006345368	0.0871206	0.878348	0.0345313
127	1	-20.9121	-55.7597	34.8476	0.0005411375	0.0008974937	0.001455434	0.003920714	0.0003618133	0.0002598907	0.132474	0.421119	0.446407
128	0	-19.0276	-55.4692	36.4417	1.171783e-07	2.584043e-07	0.001968159	0.002609392	0.0002282929	0.0005787071	0.0871206	0.878348	0.0345313
129	1	-20.7375	-55.4343	34.6968	0.0004868934	0.0009984206	0.001135375	0.004465313	0.0003953958	0.000149196	0.211622	0.66443	0.123947
130	0	-19.169	-55.6327	36.4637	1.363042e-07	1.685337e-07	0.002066126	0.002609392	0.0002266386	0.0004540612	0.180739	0.73495	0.0843116
131	1	-22.3108	-55.4014	33.0906	0.0004397056	0.001293241	0.001525726	0.006099655	0.0002414495	9.809836e-05	0.212609	0.692789	0.0946022
132	0	-19.522	-54.4414	34.9194	7.078884e-08	1.195386e-07	0.002371278	0.004314462	0.0002266386	0.0004315419	0.174661	0.710236	0.115102
133	1	-21.1113	-56.1442	35.0329	0.0005640296	0.0008919756	0.001525726	0.00372319	0.000400442	9.27266e-05	0.27767	0.630702	0.0916278
134	0	-18.1149	-54.8832	36.7683	7.078884e-08	1.628091e-07	0.001641557	0.002936544	0.0001103519	0.0002758044	0.335402	0.443566	0.221031
135	1	-20.8553	-56.2917	35.4364	0.0005793167	0.0008137115	0.001011508	0.00391606	0.0002704194	8.772332e-05	0.552496	0.305949	0.141555
136	0	-18.5558	-55.3312	36.7755	7.51227e-08	5.002284e-07	0.001641557	0.002852556	0.0001848014	0.0002758044	0.481981	0.426568	0.0914517
137	1	-20.513	-55.3866	34.8737	0.0007303595	0.001145189	0.00113638	0.004093943	0.0001946519	0.0001024577	0.37673	0.596889	0.0263803
138	0	-17.9398	-53.6816	35.7418	2.183221e-07	4.947923e-07	0.001641557	0.004195937	0.0001848014	0.0002626092	0.147583	0.70193	0.150487
139	1	-20.2365	-55.0133	34.7768	0.0006762169	0.001228579	0.001277411	0.004093943	0.0001409574	0.0001105872	0.316167	0.661694	0.0221394
140	0	-19.513	-54.7755	35.2625	2.12365e-07	3.055886e-07	0.001816386	0.004180239	0.0003217096	0.0005836958	0.3186	0.561104	0.120295
141	1	-21.0498	-56.2499	35.2001	0.0003035102	0.001034751	0.001210305	0.004093943	0.0001904674	0.0001499147	0.807738	0.135701	0.0565614
142	0	-18.6823	-55.115	36.4328	2.12365e-07	4.473909e-07	0.001384831	0.003175126	0.0003071611	0.0005285733	0.3186	0.561104	0.120295
143	1	-19.0523	-55.318	36.2657	0.0004841787	0.000310641	0.0006886636	0.003787555	0.0001904674	0.0001499147	0.406093	0.482236	0.111671
144	0	-21.8627	-57.0676	35.2049	1.667315e-07	4.434015e-07	0.0007132245	0.004309696	0.0005341878	0.00141889	0.3186	0.561104	0.120295
145	1	-20.5487	-55.594	35.0453	0.0004524855	0.0004806465	0.0007470928	0.005090099	0.0003138137	9.795398e-05	0.406093	0.482236	0.111671
146	0	-19.842	-56.5156	36.6736	1.338645e-07	2.199615e-07	0.0007061846	0.002951735	0.0003587536	0.001069376	0.3186	0.561104	0.120295
147	1	-21.4888	-57.1877	35.6989	0.0004014189	0.0005184518	0.0007470928	0.004065121	0.0005389911	6.976793e-05	0.290724	0.345235	0.36404
148	0	-20.105	-57.4431	37.3381	1.338645e-07	4.505738e-07	0.0009642877	0.00196491	0.0003531466	0.0009482558	0.255892	0.450665	0.293443
149	1	-22.0413	-56.4858	34.4445	0.0002800462	0.0004051272	0.0008545074	0.005878269	0.0004794174	5.802805e-05	0.231756	0.419808	0.348435
150	0	-19.1734	-56.1803	37.0069	1.191758e-07	4.215622e-07	0.001524384	0.002207783	0.0002412573	0.0006834481	0.0834461	0.754949	0.161605
151	1	-20.8499	-55.8584	35.0085	0.0003206945	0.0004051272	0.0007754298	0.005186223	0.0004794174	6.259782e-05	0.0973807	0.756212	0.146407
152	0	-18.152	-54.721	36.569	1.136963e-07	6.867994e-07	0.001524384	0.003076677	0.0002756605	0.0003434411	0.0645026	0.770552	0.164945
153	1	-20.669	-55.071	34.402	0.0003820209	0.0004051272	0.00130828	0.00551349	0.0003308663	7.019038e-05	0.0923897	0.768707	0.138904
154	0	-18.8182	-55.0508	36.2326	6.863538e-08	8.352964e-07	0.001402958	0.003367663	0.0003564857	0.0005259537	0.274659	0.59745	0.127891
155	1	-19.3521	-54.2603	34.9082	0.0002530098	0.0004990686	0.001181332	0.00511006	0.0002096324	0.0001054167	0.129389	0.780265	0.090346
156	0	-18.7164	-54.4714	35.755	1.212622e-07	1.054663e-06	0.001110931	0.004292014	0.0003386108	0.0005259537	0.302988	0.570987	0.126024
157	1	-19.5937	-54.7542	35.1605	0.0002565352	0.0003751716	0.0009769781	0.00511006	0.0002096324	0.0001054167	0.388536	0.480362	0.131103
158	0	-19.4982	-56.32	36.8217	1.597075e-07	2.135985e-06	0.001110931	0.002710588	0.0003012906	0.0007706245	0.446818	0.367334	0.185848
159	1	-20.5347	-55.2001	34.6654	0.0002565352	0.0005514362	0.0006978213	0.005873163	0.0001608289	0.0001312285	0.448606	0.400022	0.151372
160	0	-20.0248	-57.0779	37.0532	1.529365e-07	2.135985e-06	0.001439739	0.002099032	0.0002861718	0.0007706245	0.248057	0.410037	0.341906
161	1	-19.3394	-53.6196	34.2802	0.0003185906	0.0002221145	0.001357956	0.005873163	0.0001033367	0.0002916926	0.22197	0.703131	0.0748989
162	0	-21.4638	-58.4985	37.0347	9.504098e-08	3.307316e-06	0.001443846	0.00143706	0.0005830656	0.001154256	0.248057	0.410037	0.341906
163	1	-19.6854	-54.2086	34.5231	0.0002491286	0.0002221145	0.001278499	0.005508384	0.0001716325	0.0004243507	0.402909	0.461139	0.135953
164	0	-20.2455	-57.3136	37.0681	7.53914e-08	3.82849e-06	0.001067068	0.00143706	0.0002383006	0.001832332	0.322008	0.337723	0.340269
165	1	-18.6312	-54.0578	35.4266	0.0001912431	0.0002933129	0.001411377	0.004304674	0.0001298367	0.0003608853	0.402909	0.461139	0.135953
166	0	-20.0684	-57.6553	37.5869	1.11381e-07	3.82849e-06	0.0008669283	0.001416753	0.0002896922	0.001333599	0.263229	0.458614	0.278157
167	1	-18.7984	-54.3291	35.5307	0.0002206019	0.0003523253	0.001024346	0.004304674	0.0001298367	0.0005255479	0.402909	0.461139	0.135953
168	0	-20.7012	-57.9912	37.29	1.914279e-07	5.974752e-06	0.001127079	0.001056291	0.0004091976	0.00169438	0.186768	0.615872	0.19736
169	1	-21.876	-55.8936	34.0176	0.0005727086	0.0003523253	0.002598701	0.004304674	0.0001298367	0.0005464797	0.114412	0.280184	0.605403
170	0	-20.6178	-58.1153	37.4975	1.669382e-07	1.480124e-05	0.001128902	0.001577585	0.0004091976	0.0008953998	0.186768	0.615872	0.19736
171	1	-21.7522	-55.5362	33.784	0.0008195753	0.0004920021	0.002598701	0.004304674	0.0001442825	0.0004462177	0.360221	0.474951	0.164829
172	0	-20.3974	-57.9344	37.537	1.885127e-07	1.800181e-05	0.0008988356	0.001577585	0.0004455422	0.001034995	0.0937246	0.519489	0.386787
173	1	-24.1289	-57.5253	33.3965	0.0008195753	0.0003627647	0.003848637	0.003488786	0.0002201461	0.0005642791	0.145417	0.691896	0.162687
174	0	-19.9709	-57.5283	37.5575	3.517185e-07	1.194909e-05	0.000714625	0.001829411	0.0003574969	0.001034995	0.034153	0.824903	0.140944
175	1	-25.1622	-58.7974	33.6352	0.0008195753	0.0003438704	0.003848637	0.002971994	0.0004113646	0.0006014866	0.145417	0.691896	0.162687
176	0	-19.3749	-55.0757	35.7007	4.234544e-07	1.766645e-05	0.0008244762	0.004158053	0.0003028832	0.001034995	0.034153	0.824903	0.140944
177	1	-19.9708	-56.1567	36.1859	0.0006120613	0.0005054691	0.001472398	0.002563727	0.0002662214	0.0002941733	0.136483	0.710823	0.152693
