Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho
180	0	-61.5881	-61.5865	-0.0015421	0.001542095
181	1	-61.364	-61.3622	-0.00178713	0.001787125
182	0	-61.5881	-61.5865	-0.0015421	0.001542095
183	1	-61.3729	-61.3711	-0.00176586	0.001765861
184	0	-61.5881	-61.5865	-0.0015421	0.001542095
185	1	-61.8196	-61.8182	-0.00141779	0.001417786
186	0	-61.3515	-61.3496	-0.00194626	0.001946263
187	1	-61.5134	-61.5112	-0.00221212	0.002212125
188	0	-61.5688	-61.5673	-0.00155516	0.001555157
189	1	-61.8513	-61.8488	-0.00247386	0.00247386
190	0	-62.1785	-62.1758	-0.00266001	0.002660014
191	1	-61.4311	-61.429	-0.0021156	0.002115597
192	0	-61.4741	-61.4725	-0.00163124	0.001631239
193	1	-61.3489	-61.347	-0.00184381	0.001843807
194	0	-61.7974	-61.795	-0.00243893	0.002438927
195	1	-62.076	-62.0734	-0.00260552	0.002605521
196	0	-61.7619	-61.7595	-0.00241494	0.00241494
197	1	-61.4191	-61.4174	-0.00169123	0.001691229
198	0	-61.3455	-61.3436	-0.00188602	0.001886015
199	1	-61.9174	-61.9149	-0.00251469	0.002514692
200	0	-61.3481	-61.3463	-0.001849	0.001848995
201	1	-61.9288	-61.9263	-0.00252154	0.002521542
202	0	-61.3566	-61.3546	-0.00196747	0.001967473
203	1	-61.8217	-61.8193	-0.00245487	0.002454874
204	0	-61.3488	-61.347	-0.00184427	0.001844271
205	1	-61.9543	-61.9518	-0.00253664	0.002536637
206	0	-61.3886	-61.3865	-0.0020475	0.002047502
207	1	-61.5057	-61.5041	-0.00160317	0.001603166
208	0	-61.6681	-61.6667	-0.00149337	0.001493368
209	1	-61.3675	-61.3655	-0.00200086	0.002000856
210	0	-61.5591	-61.5575	-0.001562	0.001562004
211	1	-61.6249	-61.6225	-0.00231287	0.002312874
212	0	-61.4243	-61.4222	-0.00210605	0.002106046
213	1	-61.379	-61.3769	-0.00202805	0.002028047
214	0	-61.8701	-61.8676	-0.00248565	0.002485645
215	1	-62.212	-62.2093	-0.00267728	0.002677281
216	0	-61.3621	-61.3603	-0.00179228	0.001792278
217	1	-61.6903	-61.6889	-0.00148114	0.001481136
218	0	-61.549	-61.5467	-0.00224679	0.002246788
219	1	-61.6903	-61.6889	-0.00148114	0.001481136
220	0	-61.4246	-61.4225	-0.00210644	0.002106443
221	1	-61.7855	-61.7841	-0.00143339	0.001433392
222	0	-61.5104	-61.5081	-0.00220897	0.002208966
223	1	-61.493	-61.4914	-0.00161402	0.001614016
224	0	-61.7265	-61.7241	-0.00239013	0.00239013
225	1	-63.868	-63.8646	-0.00335282	0.003352816
226	0	-61.3455	-61.3436	-0.00188387	0.00188387
227	1	-62.0008	-61.9982	-0.00256354	0.002563539
228	0	-61.6394	-61.6371	-0.00232457	0.002324571
229	1	-62.3167	-62.314	-0.00272958	0.002729584
230	0	-61.3993	-61.3973	-0.00206696	0.002066959
231	1	-61.6526	-61.6503	-0.00233504	0.002335044
232	0	-62.3744	-62.3716	-0.00275746	0.002757465
233	1	-61.3571	-61.3553	-0.00180746	0.001807463
234	0	-62.3744	-62.3716	-0.00275746	0.002757465
235	1	-61.3798	-61.3778	-0.0020298	0.0020298
236	0	-62.6032	-62.6003	-0.0028627	0.002862701
237	1	-61.3538	-61.352	-0.00181969	0.001819689
238	0	-61.5762	-61.574	-0.00227162	0.002271618
239	1	-61.3843	-61.3826	-0.00174341	0.001743414
240	0	-61.5849	-61.5834	-0.00154418	0.001544184
241	1	-61.5483	-61.5467	-0.00156981	0.001569814
242	0	-61.3882	-61.3862	-0.00204678	0.002046775
243	1	-61.7291	-61.7267	-0.002392	0.002392004
244	0	-61.3455	-61.3436	-0.00188463	0.001884626
245	1	-61.4369	-61.4353	-0.0016697	0.001669698
246	0	-61.4544	-61.4528	-0.00165071	0.001650705
247	1	-62.0257	-62.0244	-0.00133563	0.001335634
248	0	-62.0761	-62.0748	-0.001318	0.001317997
249	1	-61.9959	-61.9946	-0.00134645	0.001346453
250	0	-61.4896	-61.488	-0.00161698	0.001616985
251	1	-61.3468	-61.3448	-0.00191443	0.001914434
252	0	-61.3618	-61.3601	-0.00179297	0.001792969
253	1	-61.6402	-61.6379	-0.00232522	0.002325223
254	0	-61.8891	-61.8866	-0.00249747	0.002497472
255	1	-62.354	-62.3513	-0.00274767	0.00274767
256	0	-61.351	-61.349	-0.00194355	0.001943548
257	1	-61.3636	-61.3616	-0.00199026	0.00199026
258	0	-61.351	-61.349	-0.00194355	0.001943548
259	1	-61.3827	-61.3807	-0.00203598	0.002035975
260	0	-61.5727	-61.5712	-0.00155246	0.001552464
261	1	-61.5303	-61.5287	-0.00158339	0.001583394
