Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
85	1	-435.604	-422.962	-12.6414	992047.3	10.05502	0.998724	0.999674	1.00033	1.00128	3.481851
86	0	-421.18	-408.866	-12.3147	11927.48	8.397644	0.988385	0.997003	1.00295	1.01166	3.461783
87	1	-436.778	-421.475	-15.3028	873303.7	7.80975	0.99864	0.999652	1.00035	1.00136	3.813364
88	0	-420.421	-410.176	-10.2443	17019.62	14.62426	0.990274	0.997495	1.00247	1.00976	3.01289
89	1	-424.962	-418.68	-6.28132	577727.4	11.06366	0.998328	0.999572	1.00043	1.00167	2.856456
90	0	-427.012	-422.395	-4.61697	443305.2	9.725587	0.998092	0.999512	1.00049	1.00191	2.668449
91	1	-427.518	-418.804	-8.71343	263261.7	11.64716	0.997524	0.999366	1.00063	1.00248	3.057771
92	0	-424.752	-410.154	-14.5972	46716.65	10.99442	0.994125	0.998492	1.0015	1.00589	3.613232
93	1	-425.424	-415.394	-10.0297	408107	10.38086	0.998011	0.999491	1.00051	1.00199	3.216075
94	0	-418.177	-411.713	-6.46389	104094.1	10.68268	0.996063	0.998991	1.001	1.00394	2.8743
95	1	-419.045	-410.376	-8.66889	630220.3	11.48355	0.998399	0.999591	1.00041	1.0016	3.059654
96	0	-413.731	-409.938	-3.79292	719876.6	11.8491	0.998502	0.999617	1.00038	1.0015	2.634859
97	1	-421.685	-421.493	-0.191912	227106.8	12.35476	0.997334	0.999317	1.00068	1.00267	2.338987
98	0	-419.308	-410.008	-9.29996	356071.6	8.669323	0.997871	0.999455	1.00054	1.00213	3.120484
99	1	-414.528	-413.135	-1.39369	633201	11.2907	0.998403	0.999592	1.00041	1.0016	2.421477
100	0	-428.447	-420.85	-7.59676	513170.2	12.55447	0.998226	0.999546	1.00045	1.00177	2.930565
