Iteration	Posterior	Likelihood	Prior	prob_rate_12	prob_rate_13	prob_rate_21	prob_rate_23	prob_rate_31	prob_rate_32	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
61	-48.4273	-60.0456	11.6183	0	1	0	0	1	1	0.0003906993	0	0.002142851	0.003750038	0	0	0.179065	0.143803	0.677133
62	-32.1777	-55.0372	22.8595	0	1	0	0	0	0	0.001420715	0	0.001896946	0.005304869	5.852872e-06	0.0003189356	0.322117	0.244499	0.433384
63	-44.4884	-54.6787	10.1903	1	1	0	0	1	0	0	0	0.002577875	0.00522464	0	0.0003189356	0.31326	0.247693	0.439047
64	-36.3879	-54.1608	17.773	0	1	0	0	1	0	0.001577149	0	0.001465925	0.003594609	0	0.0002903863	0.126573	0.838054	0.0353737
65	-35.8993	-54.1151	18.2158	1	0	0	0	1	0	0	0.0003725327	0.001558802	0.003908731	0	0.0005180915	0.56681	0.347573	0.0856166
66	-42.7506	-55.0164	12.2658	1	1	0	0	1	0	0	0	0.001558802	0.003082663	0	0.0008087777	0.56681	0.347573	0.0856166
67	-30.1001	-54.7132	24.613	0	0	0	0	1	0	0.0005426791	0.0004157434	0.001668644	0.00339665	0	0.0006666749	0.357604	0.515431	0.126965
68	-31.7208	-55.1749	23.454	0	0	0	0	1	0	0.001254644	0.0002833295	0.002083275	0.004247211	0	0.0003136185	0.5395	0.268955	0.191546
69	-28.9809	-55.0605	26.0796	0	0	0	0	1	0	0.0005840311	1.896373e-05	0.0013896	0.002466282	0	0.0003440258	0.154068	0.735436	0.110496
70	-35.8633	-53.252	17.3886	0	1	0	0	1	0	0.0004824561	0	0.001854118	0.004755942	0	0.0003301699	0.248886	0.727011	0.024103
71	-29.1319	-54.2506	25.1188	1	0	0	0	0	0	0	0.0003688535	0.002043913	0.003387469	1.887697e-05	0.0002203928	0.383897	0.557092	0.0590115
72	-39.6503	-59.2205	19.5701	1	0	0	0	1	0	0	0.001115493	0.002021739	0.001308648	0	0.0001691571	0.293997	0.664062	0.0419405
73	-40.5271	-59.8706	19.3435	1	0	0	0	1	0	0	0.0008029516	0.002651886	0.001308648	0	0.0001431929	0.279104	0.630423	0.0904737
74	-39.7961	-58.9353	19.1392	1	0	0	0	1	0	0	0.0008374013	0.00266167	0.001391713	0	0.0002788428	0.207915	0.692677	0.099408
75	-46.1255	-59.0303	12.9048	1	1	0	0	1	0	0	0	0.002849302	0.001321485	0	0.0004570016	0.207915	0.692677	0.099408
76	-39.373	-60.0021	20.6291	1	0	0	0	1	0	0	0.0005202288	0.001200781	0.001321485	0	0.000209583	0.555956	0.178231	0.265813
77	-42.8835	-61.8719	18.9883	0	1	0	0	1	0	0.002690163	0	0.001200781	0.001321485	0	0.0001514162	0.374956	0.218892	0.406151
78	-33.8807	-59.7084	25.8277	0	0	0	0	1	0	0.001199868	0.001038695	0.001200781	0.00154187	0	0.0001458891	0.314902	0.312961	0.372137
79	-37.673	-57.9919	20.3189	1	0	0	0	1	0	0	0.000476955	0.001411241	0.00154187	0	0.0002212119	0.346604	0.468718	0.184678
80	-43.1462	-57.0496	13.9034	1	1	0	0	1	0	0	0	0.001411241	0.001704216	0	0.0002271088	0.270533	0.57538	0.154086
81	-42.0417	-55.3312	13.2895	1	1	0	0	1	0	0	0	0.001645624	0.002244748	0	0.0002422644	0.140182	0.678197	0.181621
82	-32.7076	-55.8119	23.1043	0	0	0	0	1	0	0.0009434794	0.002219838	0.001785404	0.003228571	0	0.0004548956	0.302248	0.522325	0.175427
83	-34.7142	-57.0564	22.3422	0	0	0	0	1	0	0.001563843	0.002219838	0.002027201	0.003290481	0	0.0005116551	0.689544	0.260626	0.0498301
84	-39.8269	-57.2906	17.4638	1	0	0	0	1	0	0	0.002228059	0.001924333	0.002392509	0	0.0007810842	0.689544	0.260626	0.0498301
85	-36.8419	-56.0149	19.173	0	1	0	0	1	0	9.715816e-05	0	0.002279731	0.002262388	0	0.0004868926	0.38129	0.519404	0.0993069
86	-37.3205	-56.195	18.8745	1	0	0	0	1	0	0	0.0008350268	0.00192606	0.002262388	0	0.0004868926	0.298079	0.406051	0.29587
87	-37.458	-55.9167	18.4588	1	0	0	0	1	0	0	0.0008488059	0.00192606	0.002811303	0	0.0004592218	0.426876	0.213345	0.359779
88	-43.2675	-55.2794	12.0119	1	1	0	0	1	0	0	0	0.002272279	0.003198981	0	0.0003056945	0.355109	0.220674	0.424217
89	-44.1287	-54.8997	10.7711	1	1	0	0	1	0	0	0	0.002272279	0.004309965	0	0.0007917423	0.464043	0.288368	0.247589
90	-44.702	-55.682	10.98	1	1	0	0	1	0	0	0	0.001759287	0.004368511	0	0.0009773389	0.761499	0.128324	0.110177
91	-35.9805	-54.1379	18.1574	1	0	0	0	1	0	0	0.0001856838	0.0009115027	0.004657631	0	0.0006784699	0.552434	0.366706	0.0808599
92	-35.8851	-53.785	17.8999	1	0	0	0	1	0	0	0.0001722896	0.00108237	0.005038663	0	0.0004713261	0.67075	0.323443	0.00580666
93	-36.1242	-53.192	17.0678	1	0	0	0	1	0	0	0.00066493	0.001772194	0.005038663	0	0.0003598223	0.230826	0.764154	0.0050201
94	-44.3409	-54.4082	10.0672	1	1	0	0	1	0	0	0	0.00288136	0.005038663	0	0.0003598223	0.531253	0.467164	0.00158316
95	-30.1106	-55.096	24.9854	0	0	0	0	1	0	0.0009529757	0.0002721633	0.001706417	0.00306292	0	0.0002166676	0.531209	0.467125	0.00166558
96	-36.5933	-54.3474	17.7541	1	0	0	0	1	0	0	0.000811897	0.002111965	0.003811796	0	0.0002166676	0.544299	0.449497	0.00620457
97	-35.3581	-53.8391	18.481	1	0	0	0	1	0	0	0.0001985257	0.002111965	0.003460282	0	0.000245976	0.291955	0.698405	0.00964035
98	-34.7562	-54.0484	19.2922	1	1	0	0	0	0	0	0	0.001101495	0.003460282	0.000164995	0.000245976	0.278888	0.667146	0.0539655
99	-28.5351	-54.5112	25.9761	0	1	0	0	0	0	6.24868e-05	0	0.001397774	0.003075966	0.0001538339	0.000245976	0.324477	0.623113	0.0524097
100	-29.4502	-54.2509	24.8007	0	1	0	0	0	0	0.0004935268	0	0.001013148	0.00432812	0.0002365465	0.0003775689	0.324477	0.623113	0.0524097
101	-31.2914	-54.9946	23.7032	1	0	0	0	0	0	0	0.001351822	0.0009982791	0.004790202	0.0003437647	0.0003772755	0.324477	0.623113	0.0524097
102	-41.8502	-52.98	11.1298	1	1	0	0	1	0	0	0	0.00158897	0.004711667	0	0.0006116678	0.107437	0.823314	0.0692485
103	-42.3595	-55.7624	13.4029	1	1	0	0	1	0	0	0	0.00158897	0.001933097	0	0.000464708	0.11046	0.871949	0.0175907
