Iteration	Posterior	Likelihood	Prior	alpha_morpho	alpha_ofbeta	beta_ofbeta	br_len_lambda	cats[1]	cats[2]	cats[3]	cats[4]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
500	-422.562	-408.692	-13.8693	563078.7	8.356397	5.585268	8.807651	0.430696	0.549613	0.63054	0.736808	0.483334	0.00380221	0.466427	0.0464372	0.998307	0.999567	1.00043	1.00169	3.168715
510	-433.039	-418.545	-14.4946	311161.2	8.657411	6.645675	8.137143	0.40766	0.520907	0.599252	0.704711	0.565078	0.0196682	0.273485	0.141768	0.997722	0.999417	1.00058	1.00228	3.185301
520	-438.852	-418.589	-20.2632	760715.5	8.099099	8.521676	8.078402	0.34462	0.450298	0.526301	0.633392	0.100266	0.0581905	0.800218	0.0413254	0.998543	0.999627	1.00037	1.00146	3.878085
530	-425.082	-415.154	-9.92842	997840.3	5.99186	4.95854	12.08043	0.366995	0.496069	0.587309	0.709209	0.441717	0.12232	0.28163	0.154334	0.998728	0.999675	1.00032	1.00127	2.817743
540	-432.02	-418.404	-13.6158	447065.6	6.175668	5.520818	12.46115	0.355883	0.480493	0.56935	0.689897	0.536829	0.0350895	0.274289	0.153792	0.9981	0.999514	1.00048	1.0019	3.097641
550	-433.525	-419.298	-14.2263	851319.9	4.221403	4.939195	13.04208	0.285825	0.416842	0.51548	0.653224	0.201402	0.0399808	0.702083	0.0565346	0.998623	0.999648	1.00035	1.00138	3.1323
560	-432.788	-419.439	-13.3493	202585.8	3.009083	2.62029	10.64149	0.304515	0.467284	0.587605	0.742516	0.427854	0.104739	0.389276	0.0781307	0.997177	0.999277	1.00072	1.00283	3.203969
570	-440.014	-426.24	-13.7744	435999.6	2.710627	3.688219	13.00916	0.237507	0.380902	0.49457	0.654228	0.295862	0.0435559	0.601385	0.0591973	0.998076	0.999508	1.00049	1.00193	3.120811
580	-419.145	-412.96	-6.18475	970282.2	2.397194	4.410471	14.25564	0.193922	0.323984	0.432248	0.592682	0.0149113	0.426986	0.296273	0.26183	0.99871	0.99967	1.00033	1.00129	2.506992
590	-414.303	-412.49	-1.81369	720540.8	5.254528	7.497771	17.3244	0.267542	0.378709	0.463245	0.586383	0.146683	0.328292	0.184019	0.341006	0.998503	0.999617	1.00038	1.0015	2.11224
600	-412.6	-404.437	-8.16289	737618.4	13.69873	14.08541	12.75807	0.378605	0.463446	0.52332	0.608663	0.462584	0.390082	0.0913383	0.0559966	0.99852	0.999622	1.00038	1.00148	2.528295
610	-417.102	-407.222	-9.87976	97522.98	18.40513	23.64891	12.85541	0.346986	0.415324	0.464093	0.535536	0.0857332	0.317099	0.494314	0.102855	0.995933	0.998957	1.00104	1.00407	2.549697
620	-420.528	-406.924	-13.6045	831229.8	13.65112	20.27016	10.31958	0.306221	0.379645	0.433137	0.512467	0.123561	0.407604	0.182943	0.285892	0.998606	0.999644	1.00036	1.00139	2.962497
630	-422.301	-405.883	-16.4183	548997.9	18.35855	21.90362	10.10972	0.362055	0.432494	0.482481	0.555204	0.087888	0.677918	0.05917	0.175024	0.998285	0.999561	1.00044	1.00172	3.176693
640	-429.066	-411.597	-17.4689	676151.3	11.48887	15.28659	9.357929	0.319404	0.402505	0.462874	0.551261	0.223657	0.48278	0.0991481	0.194415	0.998455	0.999605	1.00039	1.00155	3.431854
650	-414.943	-407.718	-7.22442	763284.1	20.1047	28.59154	10.27504	0.329899	0.392794	0.437902	0.504593	0.0472498	0.206229	0.557017	0.189504	0.998545	0.999628	1.00037	1.00146	2.197592
660	-415.089	-407.816	-7.27283	293761.9	11.47348	16.22852	15.59133	0.307849	0.388827	0.447976	0.535165	0.015761	0.343032	0.452548	0.188659	0.997656	0.9994	1.0006	1.00235	2.400427
670	-425.716	-412.99	-12.7258	971026.8	9.35048	17.39677	11.48694	0.250659	0.32805	0.386443	0.475054	0.0647578	0.189995	0.203513	0.541734	0.99871	0.99967	1.00033	1.00129	2.934947
680	-420.261	-417.725	-2.53602	975007.9	4.00278	3.467808	15.31302	0.328148	0.476264	0.583717	0.724847	0.228019	0.262017	0.456532	0.0534325	0.998713	0.999671	1.00033	1.00129	2.23166
690	-413.665	-406.319	-7.34621	968753.7	11.94261	14.67328	12.62042	0.336498	0.420921	0.481732	0.569999	0.379446	0.330189	0.215707	0.0746584	0.998709	0.99967	1.00033	1.00129	2.474232
