Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1460	-422.546	-413.984	-8.56103	491927.4	9.092891	0.998188	0.999537	1.00046	1.00181	3.057665
1470	-426.636	-419.092	-7.54392	164853.7	11.6213	0.996871	0.999199	1.0008	1.00313	2.958074
1480	-415.179	-411.799	-3.37961	870249.3	12.46358	0.998638	0.999652	1.00035	1.00136	2.595799
1490	-421.343	-419.101	-2.24272	876004.4	10.44901	0.998642	0.999653	1.00035	1.00136	2.469224
1500	-414.233	-411.555	-2.6772	592402.7	15.31506	0.998349	0.999578	1.00042	1.00165	2.473323
1510	-417.983	-412.025	-5.95799	387809.1	10.05765	0.99796	0.999478	1.00052	1.00204	2.817234
1520	-414.929	-412.379	-2.55048	850684.6	10.28005	0.998622	0.999648	1.00035	1.00138	2.490702
1530	-420.272	-413.971	-6.30077	395759.4	9.372185	0.99798	0.999483	1.00052	1.00202	2.825942
1540	-422.234	-417.924	-4.31012	735614.1	9.590772	0.998518	0.999621	1.00038	1.00148	2.628746
1550	-419.366	-411.237	-8.12846	367182.2	14.09049	0.997903	0.999463	1.00054	1.0021	2.897356
1560	-411.745	-408.62	-3.12481	435455.1	11.57167	0.998074	0.999507	1.00049	1.00193	2.577523
1570	-420.856	-410.914	-9.94166	358583.4	14.56746	0.997878	0.999457	1.00054	1.00212	2.995824
1580	-434.609	-420.448	-14.161	570418.9	9.973449	0.998317	0.99957	1.00043	1.00168	3.637376
1590	-429.076	-415.464	-13.6122	389736.5	8.196129	0.997965	0.999479	1.00052	1.00204	3.612332
1600	-415.427	-409.686	-5.74129	200369.1	10.2419	0.997162	0.999273	1.00072	1.00284	2.800289
1610	-426.913	-421.722	-5.1906	289293.6	11.02607	0.997638	0.999395	1.0006	1.00236	2.757768
1620	-426.084	-416.829	-9.25527	873220.3	8.336693	0.99864	0.999652	1.00035	1.00136	3.09274
1630	-425.55	-414.157	-11.3938	946463.4	11.28515	0.998694	0.999666	1.00033	1.00131	3.307454
1640	-422.784	-416.585	-6.19861	611642.5	8.15264	0.998375	0.999584	1.00041	1.00163	2.701781
1650	-416.823	-411.75	-5.07253	987264.3	9.8588	0.998721	0.999673	1.00033	1.00128	2.721436
1660	-416.276	-409.223	-7.05364	460539.1	11.33162	0.998128	0.999521	1.00048	1.00187	2.922028
1670	-421.08	-411.022	-10.0577	101615.6	11.78899	0.996015	0.998979	1.00102	1.00399	3.166488
1680	-418.077	-413.966	-4.11062	33716.89	11.67257	0.993086	0.998223	1.00176	1.00693	2.662513
1690	-414.261	-410.276	-3.98479	593766.1	10.92818	0.998351	0.999578	1.00042	1.00165	2.646994
1700	-421.309	-410.532	-10.7765	150862.8	7.966592	0.996729	0.999162	1.00083	1.00327	3.248564
1710	-417.853	-409.751	-8.10239	422482.7	8.418785	0.998045	0.9995	1.0005	1.00196	2.9621
1720	-414.362	-407.024	-7.33798	964874	11.46334	0.998706	0.999669	1.00033	1.00129	2.944228
1730	-413.933	-406.801	-7.13196	208169.1	10.60785	0.997215	0.999287	1.00071	1.00279	2.937098
1740	-425.74	-414.595	-11.1447	233193.6	10.07416	0.997369	0.999326	1.00067	1.00263	3.332519
1750	-417.882	-413.667	-4.21468	837576.4	19.61699	0.998611	0.999645	1.00035	1.00139	2.381897
1760	-417.998	-412.756	-5.24223	49030.53	12.78891	0.994265	0.998528	1.00146	1.00575	2.736811
1770	-423.951	-415.787	-8.16396	819852.3	8.725815	0.998597	0.999641	1.00036	1.0014	2.993362
1780	-421.282	-409.18	-12.1021	531350.3	9.55353	0.998257	0.999554	1.00044	1.00174	3.441945
1790	-433.131	-413.862	-19.2686	865028.9	6.364847	0.998634	0.999651	1.00035	1.00137	4.286834
1800	-424.421	-410.163	-14.2587	822775.1	8.39585	0.998599	0.999642	1.00036	1.0014	3.693275
1810	-419.02	-412.379	-6.64073	938076.1	10.33343	0.998688	0.999664	1.00033	1.00131	2.889168
1820	-425.823	-417.806	-8.01676	267470.2	8.711908	0.997543	0.999371	1.00063	1.00246	2.975522
1830	-416.865	-411.301	-5.56324	605275.9	11.96509	0.998367	0.999582	1.00042	1.00163	2.782202
1840	-428.767	-412.242	-16.5245	567270.3	8.411822	0.998313	0.999568	1.00043	1.00169	3.962699
1850	-437.533	-417.286	-20.2469	748894.2	7.214425	0.998532	0.999624	1.00037	1.00147	4.467161
1860	-433.32	-418.955	-14.365	963815.3	8.042261	0.998706	0.999669	1.00033	1.0013	3.701115
1870	-423.908	-412.304	-11.6035	692496.3	9.388542	0.998473	0.999609	1.00039	1.00153	3.391608
1880	-421.958	-418.105	-3.85325	924344.9	15.57414	0.998678	0.999662	1.00034	1.00132	2.53991
1890	-422.543	-412.827	-9.71562	227680	10.00769	0.997337	0.999318	1.00068	1.00267	3.191351
1900	-415.862	-408.325	-7.53613	830779.7	11.7501	0.998606	0.999643	1.00036	1.00139	2.953749
1910	-428.728	-417.007	-11.7206	15252.6	10.23486	0.989727	0.997352	1.00261	1.01031	3.384349
1920	-414.022	-410.984	-3.03832	671310.3	14.71662	0.998449	0.999603	1.0004	1.00155	2.517191
1930	-427.838	-415.521	-12.3168	104818.1	8.843141	0.996077	0.998994	1.001	1.00393	3.470444
1940	-429.756	-416.165	-13.5917	576693.8	9.29314	0.998327	0.999572	1.00043	1.00167	3.606152
1950	-415.232	-410.136	-5.0962	625557.2	13.36179	0.998393	0.999589	1.00041	1.00161	2.708193
1960	-413.546	-407.595	-5.95081	757049.6	9.949531	0.998539	0.999626	1.00037	1.00146	2.813453
1970	-426.724	-418.371	-8.35344	459261.2	8.996454	0.998125	0.99952	1.00048	1.00188	3.030399
1980	-423.602	-412.413	-11.1888	259343.5	11.48267	0.997505	0.999361	1.00064	1.0025	3.27914
1990	-421.257	-416.162	-5.095	737399.7	11.81367	0.99852	0.999622	1.00038	1.00148	2.745214
2000	-420.546	-415.653	-4.89312	383625.4	15.08529	0.997949	0.999475	1.00052	1.00205	2.627866
2010	-428.483	-421.167	-7.3158	802988.3	7.824565	0.998582	0.999637	1.00036	1.00142	2.793003
2020	-421.672	-412.772	-8.89999	711496.5	13.0856	0.998493	0.999615	1.00038	1.00151	3.007587
2030	-428.088	-418.375	-9.71376	107530	9.367851	0.996126	0.999007	1.00099	1.00388	3.190043
2040	-434.722	-421.917	-12.8048	48414.71	6.813662	0.994229	0.998519	1.00147	1.00578	3.372639
2050	-418.05	-408.467	-9.58261	524043.4	9.391727	0.998245	0.999551	1.00045	1.00176	3.176404
2060	-413.156	-410.386	-2.77012	94366.63	11.98616	0.995865	0.99894	1.00105	1.00414	2.548775
2070	-414.312	-410.309	-4.00279	278062.1	12.80646	0.997591	0.999383	1.00061	1.00241	2.639538
2080	-423.011	-416.474	-6.5367	35298.54	12.01388	0.993243	0.998264	1.00172	1.00677	2.862296
2090	-424.416	-417.067	-7.34918	541550.2	15.69682	0.998273	0.999558	1.00044	1.00173	2.757707
2100	-429.204	-423.411	-5.79262	197176.9	10.50473	0.997139	0.999267	1.00073	1.00286	2.809708
2110	-426.443	-415.877	-10.5661	41491.84	10.51275	0.993767	0.998399	1.00159	1.00625	3.263872
2120	-421.086	-414.577	-6.50852	261088.1	10.71147	0.997513	0.999364	1.00063	1.00249	2.878496
2130	-422.922	-412.359	-10.5629	93729.29	10.74775	0.995851	0.998936	1.00106	1.00415	3.255713
2140	-412.932	-407.472	-5.46016	978904.1	12.38409	0.998716	0.999672	1.00033	1.00129	2.764697
2150	-413.996	-406.519	-7.47733	892513.7	12.111	0.998655	0.999656	1.00034	1.00135	2.937345
2160	-422.413	-413.841	-8.57194	414258.9	11.00159	0.998026	0.999495	1.0005	1.00198	3.065033
2170	-427.007	-415.557	-11.4506	218126.8	8.528563	0.99728	0.999304	1.00069	1.00272	3.364115
2180	-422.686	-419.082	-3.6047	518972.2	12.35135	0.998236	0.999549	1.00045	1.00177	2.615259
2190	-423.775	-412.721	-11.0541	14500.02	12.98428	0.989464	0.997284	1.00268	1.01058	3.178763
2200	-427.302	-420.251	-7.05053	601132.7	13.063	0.998361	0.999581	1.00042	1.00164	2.867189
2210	-421.072	-412.731	-8.34039	819301.3	12.26761	0.998596	0.999641	1.00036	1.0014	3.002209
2220	-429.238	-419.579	-9.6591	880570.9	10.96816	0.998646	0.999654	1.00035	1.00135	3.164947
2230	-420.807	-412.003	-8.80401	956172.6	10.98605	0.9987	0.999668	1.00033	1.0013	3.086529
2240	-421.515	-408.287	-13.2287	103011.3	7.747173	0.996042	0.998986	1.00101	1.00396	3.543795
2250	-422.854	-414.138	-8.71575	43253.03	12.02603	0.993895	0.998432	1.00155	1.00612	3.043171
2260	-425.95	-417.535	-8.41478	97166.61	14.04788	0.995925	0.998956	1.00104	1.00408	2.920017
2270	-425.929	-419.365	-6.56456	664178.9	9.614935	0.998441	0.999601	1.0004	1.00156	2.864747
