Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	extinction[1]	extinction[2]	rate_12	rate_21	root_state_freq[1]	root_state_freq[2]	speciation[1]	speciation[2]
420	-1576.61	-1588.72	12.1099	0.136166	0.0787553	0.110137	0.0555042	0.00191727	0.006637994	0.46576	0.53424	0.246303	0.134259
425	-1576.6	-1588.37	11.7787	0.116366	0.0483811	0.149817	0.0858784	0.0009424293	0.003083322	0.239339	0.760661	0.266183	0.134259
430	-1577.71	-1588.99	11.2751	0.105319	0.0596263	0.146384	0.104729	0.001140608	0.00354857	0.142627	0.857373	0.251703	0.164356
435	-1577.36	-1589.67	12.3075	0.187271	0.0687762	0.0644315	0.104729	0.001515012	0.002469096	0.216487	0.783513	0.251703	0.173506
440	-1578.1	-1589.84	11.7469	0.125412	0.0741033	0.10715	0.0994022	0.001983566	0.003903433	0.384536	0.615464	0.232563	0.173506
445	-1576.99	-1587.58	10.594	0.168358	0.06229	0.117992	0.111215	0.001308404	0.005712818	0.125795	0.874205	0.28635	0.173506
450	-1576.63	-1588.57	11.9426	0.176499	0.0603016	0.0755137	0.102356	0.0007587496	0.005443608	0.421194	0.578806	0.252013	0.162657
455	-1575.83	-1587.7	11.864	0.143673	0.0603016	0.108339	0.102356	0.001699432	0.002607742	0.197939	0.802061	0.252013	0.162657
460	-1577.81	-1589.91	12.1034	0.133539	0.0719856	0.10898	0.102356	0.0007708027	0.001964901	0.643005	0.356995	0.242519	0.174341
465	-1577.42	-1588.95	11.5247	0.177927	0.048879	0.084043	0.130163	0.001261298	0.002854178	0.582514	0.417486	0.26197	0.179041
470	-1578.7	-1589.68	10.9808	0.15321	0.0214971	0.10876	0.130163	0.0019358	0.005481374	0.33277	0.66723	0.26197	0.15166
475	-1577.69	-1588.99	11.3026	0.15321	0.0242642	0.10876	0.132231	0.001080706	0.004002525	0.370302	0.629698	0.26197	0.156496
480	-1578.08	-1588.56	10.4836	0.117268	0.0522996	0.144702	0.104196	0.002593348	0.006609294	0.436472	0.563528	0.26197	0.156496
485	-1577.01	-1588.1	11.0905	0.157261	0.0529225	0.104709	0.112742	0.003687205	0.003635711	0.169716	0.830284	0.26197	0.165665
490	-1582.14	-1592.83	10.6866	0.184371	0.0738229	0.0508035	0.133005	0.005208558	0.005801349	0.554557	0.445443	0.235175	0.206827
495	-1578.92	-1589.47	10.5511	0.151195	0.0559599	0.0839795	0.158242	0.003364165	0.003721817	0.377677	0.622323	0.235175	0.214201
500	-1577.75	-1589.8	12.0514	0.171448	0.0690581	0.0637263	0.123528	0.001510531	0.002464023	0.515351	0.484649	0.235175	0.192586
505	-1577.86	-1590.11	12.2542	0.171448	0.0690581	0.0637263	0.123528	0.0009327962	0.001881844	0.465109	0.534891	0.235175	0.192586
510	-1577.14	-1589.91	12.7632	0.126482	0.0699008	0.108692	0.0788868	0.0006990348	0.002309367	0.465109	0.534891	0.235175	0.148788
