Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	mu[1]	mu[2]	mu[3]	mu[4]	pi[1]	pi[2]	pi[3]	pi[4]	psi[1]	psi[2]	psi[3]	psi[4]	q_hidden[1]	q_hidden[2]	q_obs[1]	q_obs[2]
36000	-534.8499	-542.0888	7.238863	-0.19249	-0.205871	0.0860259	0.0651123	0.237934	5.38389e-05	1.09952	1.69445	0.430424	0.205925	1.0135	1.62934	0.291298	0.510676	0.0192979	0.178728	0.0576565	0.0363101	0.0267712	0.00673895	0.0124754	0.0645064	0.000760615	0.016308
37000	-533.9335	-539.8506	5.917092	-1.46597	-0.259022	0.155016	0.0889808	0.000723356	0.00318622	0.775379	1.33405	1.46669	0.262208	0.620363	1.24507	0.110731	0.242788	0.0644617	0.582019	0.114566	0.0423195	0.0158106	0.00565368	0.013605	0.0789514	0.0248156	0.0144264
38000	-531.6899	-542.5222	10.83237	-0.415156	-0.330761	0.142102	0.0973527	7.40372e-05	0.00254423	1.8209	1.70277	0.41523	0.333305	1.6788	1.60542	0.467563	0.13874	0.188116	0.205581	0.113304	0.052394	0.0180093	0.00255257	0.00354615	0.0574445	0.00712431	0.0101653
39000	-522.2882	-539.4265	17.13836	-0.30606	-0.256316	0.090069	0.0429121	1.16538e-05	7.20988e-05	0.906904	2.00455	0.306072	0.256388	0.816835	1.96164	0.000479024	0.0781122	0.290179	0.631229	0.0703281	0.0494288	0.0199659	0.00385391	0.0229599	0.0444897	0.0181891	0.00598108
40000	-535.7952	-537.5915	1.796331	-0.745344	-0.166618	0.131558	0.169103	0.0115103	0.00102408	2.18763	0.700032	0.756854	0.167642	2.05608	0.530929	0.292805	0.337245	0.103829	0.266121	0.0435897	0.0364443	0.0127845	0.014912	0.000726423	0.146739	0.00414615	0.0257174
41000	-544.8842	-545.9759	1.091706	-19.0501	-0.27003	0.000157039	0.0934916	0.0317371	0.000280361	1.75304	1.39944	19.0818	0.27031	1.75288	1.30594	0.190955	0.122894	0.20936	0.476791	0.271721	0.09384	0.0142076	0.00347829	0.0107173	0.0357395	0.0150363	0.040596
42000	-528.2788	-542.6773	14.39855	-13.7927	-0.157054	0.0942936	0.1185	5.67631e-05	1.52739e-06	0.691897	0.703592	13.7927	0.157055	0.597603	0.585092	0.122801	0.172832	0.205431	0.498936	0.0694928	0.0452107	0.0302966	0.0212268	0.0187676	0.101661	0.00982068	0.0240116
43000	-543.6269	-544.5225	0.895608	-1.74151	-0.189263	0.0147088	0.122029	0.0738403	0.00563533	1.42072	1.41889	1.81535	0.194899	1.40601	1.29686	0.318436	0.0830969	0.265421	0.333046	0.00795477	0.0267575	0.0251594	0.00512117	0.00446177	0.0658658	0.0291476	0.017434
44000	-527.5666	-545.7284	18.16172	-1.38788	-0.241728	0.189531	0.175088	3.13501e-06	4.25447e-06	0.474406	0.733106	1.38788	0.241732	0.284875	0.558018	0.0885057	0.425109	0.107597	0.378788	0.12919	0.0251182	0.0506673	0.0120656	0.0165814	0.127315	0.0170604	0.00527021
45000	-534.5576	-545.1344	10.57678	-2.71612	-0.269177	0.018262	0.104383	0.0355277	9.77746e-06	0.680826	1.12989	2.75165	0.269187	0.662563	1.02551	0.560932	0.021682	0.0930033	0.324383	0.00498465	0.0969987	0.0311106	0.00757039	0.005594	0.0684597	0.00494926	0.0129676
46000	-527.5578	-544.232	16.67417	-0.386471	-0.185431	-0.00797739	0.0560977	1.2583e-05	2.82101e-05	0.891512	1.92234	0.386484	0.18546	0.899489	1.86625	0.1895	0.0454547	0.687976	0.0770697	0.170186	0.0342028	0.0251992	0.00870112	0.0362273	0.0503909	0.0098234	0.00871803
47000	-545.3573	-538.9156	-6.441772	-1.34187	-0.16531	0.110275	0.148157	0.445055	0.382482	1.20366	2.70037	1.78693	0.547792	1.09339	2.55222	0.112924	0.441002	0.153968	0.292106	0.0759684	0.0482061	0.017596	0.000178785	0.0168236	0.069597	0.00793778	0.00862947
48000	-534.2544	-538.8104	4.556001	-10.7106	-0.173078	0.135113	0.114458	0.00928756	2.67965e-05	0.976832	2.91184	10.7199	0.173105	0.841719	2.79738	0.122622	0.0585855	0.0698301	0.748963	0.26712	0.0221467	0.0269851	0.0017823	0.0025487	0.0968771	0.0105541	0.0103161
49000	-530.9869	-538.3328	7.345938	-1.23525	-0.203018	0.0909399	0.0638551	0.378854	4.06456e-06	1.17617	1.4705	1.61411	0.203022	1.08523	1.40665	0.114238	0.0499044	0.0126326	0.823225	0.234797	0.0379858	0.00864859	0.00677179	0.0122647	0.062095	0.00557464	0.0148703
50000	-555.1131	-539.6987	-15.41445	-17.2501	-0.303627	0.109652	0.138237	1.17241	0.143776	2.11638	1.68214	18.4225	0.447403	2.00673	1.5439	0.170087	0.29857	0.519627	0.0117162	0.410177	0.0564021	0.0109733	0.000286312	0.016324	0.124278	0.00536471	0.0275587
51000	-534.7234	-540.9518	6.228393	-1.29138	-0.500903	0.0815563	0.180354	0.000276274	0.000430965	0.568291	0.931676	1.29165	0.501334	0.486734	0.751322	0.0875422	0.0234604	0.530052	0.358945	0.251641	0.0505144	0.00553393	0.00144647	0.00682422	0.142102	0.00938508	0.0145075
52000	-545.5587	-550.461	4.902221	-1.47567	-1.13478	-0.0542699	0.0051479	0.00208809	0.0277004	1.37667	1.12283	1.47776	1.16248	1.43094	1.11768	0.0481969	0.312289	0.109132	0.530382	0.240973	0.127792	0.0133162	0.0130717	0.0140493	0.000627518	0.0192953	0.0139471
53000	-538.9974	-548.0128	9.015435	-0.716031	-1.67259	-0.00341104	0.0400313	0.0877024	0.000145973	1.05106	0.970713	0.803733	1.67274	1.05448	0.930681	0.0274559	0.0834804	0.224942	0.664122	0.0591357	0.117636	0.0252243	0.0167568	0.0135752	0.0105611	0.00539998	0.0102445
54000	-533.9516	-538.3413	4.389708	-0.552615	-1.75046	0.182486	0.199447	1.98412e-05	0.000608413	1.10124	0.628365	0.552635	1.75107	0.918757	0.428919	0.0972729	0.447531	0.0114726	0.443724	0.0664898	0.129334	0.0179963	0.00775666	0.00451909	0.187507	0.00863622	0.0263149
55000	-535.5733	-542.6004	7.027079	-19.2623	-0.139395	0.0710185	0.125168	0.000207765	8.45699e-05	1.26177	0.759947	19.2625	0.13948	1.19075	0.634779	0.132819	0.239795	0.282808	0.344578	0.431888	0.0371489	0.0289638	0.0124801	0.0132832	0.084008	0.00523399	0.0329494
56000	-531.44	-539.9701	8.530162	-2.15195	-0.283997	0.0934464	0.124226	0.000247645	0.000104611	1.34114	1.06626	2.1522	0.284101	1.24769	0.942031	0.322745	0.127487	0.421709	0.12806	0.251854	0.0642371	0.0140089	0.00927917	0.0211275	0.0839844	0.00340298	0.0213369
57000	-536.5636	-536.1142	-0.449493	-0.576118	-0.262545	0.155776	0.134401	0.0698821	0.0135131	0.853012	0.577161	0.646	0.276058	0.697236	0.442761	0.166366	0.00325519	0.125494	0.704885	0.101445	0.0620954	0.0216773	0.00840399	0.00270315	0.139284	0.00801591	0.0201023
58000	-527.9254	-542.5713	14.64586	-1.75749	-0.179968	0.0613529	0.0550471	0.00197263	1.69881e-06	0.544384	1.34863	1.75946	0.179969	0.483032	1.29358	0.300767	0.193343	0.346521	0.159368	0.167025	0.0419036	0.0248289	0.00554657	0.000232474	0.0707213	0.0271504	0.00887776
59000	-548.6605	-546.9078	-1.752693	-0.863695	-0.961901	0.154522	0.115965	0.654923	0.00607788	1.63486	0.845724	1.51862	0.967979	1.48034	0.729759	0.0834003	0.0578881	0.504459	0.354253	0.144935	0.020568	0.00829497	0.0146649	0.00543004	0.0726052	0.00847367	0.019756
60000	-527.7238	-537.9923	10.26848	-0.591541	-0.472627	0.0714809	0.113091	9.28372e-06	5.65585e-05	1.00811	1.52094	0.591551	0.472684	0.936627	1.40785	0.185451	0.45109	0.143562	0.219897	0.0878816	0.0534259	0.0180638	0.00525403	0.0110467	0.120773	0.0351627	0.0143448
61000	-533.5535	-542.3314	8.777887	-41.6455	-0.354493	0.0987963	0.117404	0.00196836	4.41574e-06	1.51225	1.04203	41.6475	0.354498	1.41345	0.924622	0.120915	0.241989	0.108951	0.528144	0.0318105	0.0411382	0.0211879	0.0109771	0.0012052	0.0888683	0.000443917	0.0198944
62000	-537.9176	-543.8627	5.945084	-1.67228	-0.155991	-0.0100726	0.0819851	0.166514	0.000155254	0.937305	2.21719	1.8388	0.156146	0.947377	2.1352	0.565435	0.156602	0.0601197	0.217844	0.121512	0.0556297	0.024076	0.0061552	0.000216797	0.0499896	0.0119884	0.0134954
63000	-529.0514	-534.1697	5.118369	-0.336267	-0.340576	0.159853	0.129893	0.00771848	2.23533e-05	1.10345	3.62791	0.343986	0.340599	0.943599	3.49802	0.418507	0.00281657	0.153848	0.424828	0.0943445	0.025632	0.0146664	0.000407146	0.000941659	0.110758	0.0446695	0.00363852
64000	-531.7839	-545.3888	13.60488	-0.31981	-0.104801	0.0422127	0.070247	6.23645e-06	0.00223155	1.43724	1.82053	0.319816	0.107033	1.39503	1.75029	0.25548	0.267882	0.360972	0.115665	0.0507859	0.065648	0.0159637	0.0087085	0.0370939	0.037775	0.0126066	0.0152402
65000	-557.1769	-548.5916	-8.585278	-6.81649	-17.3905	0.0174583	0.0406356	0.0286717	6.95284	1.52709	0.669027	6.84516	24.3434	1.50963	0.628391	0.0271782	0.219411	0.00226561	0.751145	0.00216222	0.430137	0.0161967	0.0217491	0.0109664	0.0222682	0.00661342	0.0269018
66000	-524.2578	-536.2987	12.04089	-0.302868	-0.217435	0.115002	0.165423	1.0812e-05	0.00011931	2.0619	1.05984	0.302879	0.217555	1.9469	0.89442	0.0734669	0.190994	0.647614	0.0879251	0.0485873	0.0415738	0.00545898	0.00639313	0.00837589	0.121989	0.0145402	0.0145206
67000	-539.5493	-539.2562	-0.2930896	-0.552739	-0.228663	0.160699	0.20669	0.00189988	0.0669922	0.899685	1.32395	0.554639	0.295655	0.738987	1.11726	0.219227	0.581227	0.0753413	0.124205	0.0672197	0.0270739	0.0220989	0.00496156	0.0233058	0.123881	0.0153773	0.0135743
68000	-548.9652	-539.67	-9.295201	-15.153	-0.150752	0.15848	0.0955165	0.00396803	0.0878023	0.724112	1.4577	15.157	0.238555	0.565632	1.36219	0.0810982	0.385401	0.150944	0.382557	1.11579	0.0256556	0.0193219	0.00676087	0.0185132	0.135839	0.0137155	0.00609918
69000	-534.79	-540.3844	5.594313	-0.599852	-0.370053	0.0799905	0.199854	4.32107e-06	0.000181562	1.33335	1.18167	0.599856	0.370234	1.25336	0.981817	0.0993624	0.0233256	0.2669	0.610412	0.114797	0.0247263	0.0118474	0.0106641	0.0433786	0.167712	0.00184686	0.0329882
70000	-536.1525	-537.7068	1.554296	-1.1799	-0.273689	0.0563865	0.0933324	0.0220997	0.0320382	1.37495	1.31103	1.202	0.305727	1.31856	1.2177	0.105995	0.212573	0.432031	0.249401	0.0891195	0.0519487	0.0134644	0.005754	0.00194606	0.0653024	0.00905733	0.0198309
71000	-538.0154	-538.4013	0.3858502	-1.03124	-0.301568	0.15962	0.127306	0.322164	0.00124145	0.994072	0.788693	1.3534	0.30281	0.834453	0.661387	0.292065	0.049564	0.00735977	0.651011	0.128549	0.0347457	0.0200076	0.0115439	0.0158458	0.104837	0.0121067	0.0109441
72000	-539.1318	-533.7842	-5.347592	-0.628084	-0.265495	0.294506	0.23741	0.000536836	0.102293	0.958757	1.42362	0.628621	0.367788	0.664251	1.18621	0.185919	0.122864	0.00123885	0.689978	0.0391161	0.0301856	0.0214258	0.000499819	0.000879539	0.224796	0.0264102	0.00360434
73000	-524.2905	-537.8973	13.60678	-0.789026	-0.3433	0.187821	0.104251	6.07747e-06	3.30928e-05	0.64776	0.979562	0.789033	0.343333	0.459939	0.875311	0.310848	0.172182	0.139764	0.377207	0.179624	0.06347	0.00370249	0.00528193	0.00158743	0.130948	0.0303465	0.00830301
74000	-529.1911	-536.9404	7.749277	-0.746947	-0.249608	0.0983373	0.171503	0.000186467	2.03553e-05	0.719448	0.973979	0.747134	0.249628	0.62111	0.802476	0.0910303	0.134228	0.401968	0.372774	0.0706655	0.0341316	0.0141359	0.00761409	0.00853372	0.174938	0.00254612	0.0363041
75000	-547.7253	-548.5551	0.8297759	-1.18108	-7.51658	0.00964422	0.00386647	0.00137642	0.0831546	0.927723	1.43958	1.18245	7.59974	0.918079	1.43571	0.510778	0.0900162	0.00368656	0.395519	0.0329322	0.111606	0.0239854	0.0110013	0.0603552	0.00694358	0.0178464	0.0074633
76000	-529.5299	-539.412	9.882034	-2.74946	-0.333484	0.132333	0.0736971	8.26011e-05	0.000584176	0.698979	1.73898	2.74955	0.334068	0.566646	1.66528	0.104448	0.0122501	0.572565	0.310737	0.179161	0.0458513	0.0207834	0.00480567	0.000904343	0.0931664	0.00462955	0.00911459
77000	-536.5748	-537.8499	1.27502	-0.511814	-0.167249	0.137833	0.108484	0.00045625	0.157382	2.96272	1.53284	0.512271	0.324632	2.82489	1.42436	0.119871	0.0949493	0.301452	0.483728	0.0931363	0.0297602	0.00470117	0.00285039	0.0223683	0.0752465	0.00991547	0.0122362
78000	-547.7273	-546.0142	-1.713122	-0.358975	-1.3409	-0.0312039	0.0816653	0.013206	0.016188	2.5763	2.56615	0.372181	1.35709	2.60751	2.48449	0.365999	0.355482	0.11757	0.16095	0.0616464	0.1072	0.00999727	0.000515336	0.00918754	0.0596441	0.0304876	0.0160518
79000	-533.0319	-543.7173	10.68531	-0.590957	-0.159375	-0.0473578	0.0106786	1.35323e-06	0.0210618	1.4854	2.93469	0.590958	0.180437	1.53276	2.92401	0.0795806	0.0916817	0.131314	0.697424	0.104245	0.0453808	0.017408	0.00307051	0.00839561	0.0492892	0.0140047	0.0282445
80000	-532.4651	-539.9323	7.46725	-0.660657	-0.453418	0.0585319	0.0447342	0.00247393	0.000231369	0.83893	2.40588	0.663131	0.453649	0.780398	2.36115	0.382676	0.0975806	0.38366	0.136084	0.107048	0.0530032	0.0158747	0.0030066	0.0103094	0.0783306	0.0130261	0.00954573
81000	-555.5149	-545.9111	-9.603766	-25.2548	-0.536453	0.0462248	0.12019	0.00139425	0.0266266	0.987035	1.11477	25.2562	0.563079	0.94081	0.994581	0.0810247	0.498621	0.0914765	0.328878	0.488279	0.0298361	0.0338813	0.00780768	0.0786347	0.133554	0.00515098	0.0132524
82000	-524.4583	-536.1928	11.73453	-0.506252	-0.208483	0.139752	0.169347	0.0011181	6.62312e-06	1.09282	0.632244	0.50737	0.20849	0.953069	0.462897	0.144515	0.395612	0.107716	0.352157	0.0720334	0.049515	0.0202957	0.00959595	8.51871e-05	0.144024	0.00798219	0.0124761
83000	-535.8165	-542.9275	7.110965	-1.88153	-0.634811	0.131221	0.19315	0.051052	1.67243e-06	0.50494	0.772201	1.93258	0.634813	0.373719	0.579051	0.224038	0.0715338	0.528126	0.176302	0.16144	0.0601639	0.0217997	0.00381138	0.00934413	0.147117	0.00683106	0.00883463
