Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda[13]	lambda[14]	lambda[15]	lambda[16]	lambda[17]	lambda[18]	lambda[19]	lambda[20]	lambda[21]	lambda[22]	lambda[23]	lambda[24]	lambda[25]	lambda[26]	lambda[27]	lambda[28]	lambda[29]	lambda[30]	lambda[31]	lambda[32]	lambda[33]	lambda[34]	lambda[35]	lambda[36]	lambda[37]	lambda[38]	lambda[39]	lambda[40]	lambda[41]	lambda[42]	lambda[43]	lambda[44]	lambda[45]	lambda[46]	lambda[47]	lambda[48]	lambda[49]	lambda[50]	lambda[51]	lambda[52]	lambda[53]	lambda[54]	lambda[55]	lambda[56]	lambda[57]	lambda[58]	lambda[59]	lambda[60]	lambda[61]	lambda[62]	lambda[63]	lambda[64]	lambda[65]	lambda[66]	lambda[67]	lambda[68]	lambda[69]	lambda[70]	lambda[71]	lambda[72]	lambda[73]	lambda[74]	lambda[75]	lambda[76]	lambda[77]	lambda[78]	lambda[79]	lambda[80]	lambda[81]	lambda[82]	lambda[83]	lambda[84]	lambda[85]	lambda[86]	lambda[87]	lambda[88]	lambda[89]	lambda[90]	lambda[91]	lambda[92]	lambda[93]	lambda[94]	lambda[95]	lambda[96]	lambda[97]	lambda[98]	m_w[1][1]	m_w[1][2]	m_w[1][3]	m_w[1][4]	m_w[1][5]	m_w[1][6]	m_w[1][7]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu[11]	mu[12]	mu[13]	mu[14]	mu[15]	mu[16]	mu[17]	mu[18]	mu[19]	mu[20]	mu[21]	mu[22]	mu[23]	mu[24]	mu[25]	mu[26]	mu[27]	mu[28]	mu[29]	mu[30]	mu[31]	mu[32]	mu[33]	mu[34]	mu[35]	mu[36]	mu[37]	mu[38]	mu[39]	mu[40]	mu[41]	mu[42]	mu[43]	mu[44]	mu[45]	mu[46]	mu[47]	mu[48]	mu[49]	mu[50]	mu[51]	mu[52]	mu[53]	mu[54]	mu[55]	mu[56]	mu[57]	mu[58]	mu[59]	mu[60]	mu[61]	mu[62]	mu[63]	mu[64]	mu[65]	mu[66]	mu[67]	mu[68]	mu[69]	mu[70]	mu[71]	mu[72]	mu[73]	mu[74]	mu[75]	mu[76]	mu[77]	mu[78]	mu[79]	mu[80]	mu[81]	mu[82]	mu[83]	mu[84]	mu[85]	mu[86]	mu[87]	mu[88]	mu[89]	mu[90]	mu[91]	mu[92]	mu[93]	mu[94]	mu[95]	mu[96]	mu[97]	mu[98]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_e[1]	r_e[2]	r_e[3]	r_e[4]	r_e[5]	r_e[6]	r_e[7]	r_w[1]	r_w[2]	r_w[3]	r_w[4]	r_w[5]	r_w[6]	r_w[7]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	use_phi_b[1]	use_phi_b[2]	use_phi_d[1]	use_phi_d[2]	use_phi_e[1]	use_phi_e[2]	use_phi_w[1]	use_phi_w[2]	use_sigma_b[1]	use_sigma_b[2]	use_sigma_d[1]	use_sigma_d[2]	use_sigma_e[1]	use_sigma_e[2]	use_sigma_w[1]	use_sigma_w[2]
2840	-164.5696	-145.7439	-18.82567	0.207335	0.206945	0.208716	0.208706	0.208613	0.114979	0.206593	0.613665	0.907102	0.627649	1.15938	0.678832	0.522564	1.62532	0.725094	0.541885	0.507361	1.77058	0.699346	0.495992	0.44824	0.417445	62.2862	62.2858	62.2876	62.2876	62.2875	62.1939	0.960988	1.02821	1.06474	0.851921	1.09873	1.14415	0.877003	1.22468	0.872262	0.758088	1.06824	1.11978	0.829423	1.20537	0.821798	0.69678	1.34491	0.815518	0.690679	0.659598	31.9517	32.5165	31.9777	32.9906	32.0776	31.7693	33.8377	32.1675	31.8076	31.7393	34.1648	32.2049	31.8079	31.7139	31.6531	1.2193	1.25789	1.26906	1.27744	1.0841	1.21363	1.22387	1.23303	1.02661	1.2343	1.26587	1.027	1.30132	1.01257	0.915564	22.1228	22.2537	22.3231	21.9073	22.39	22.4771	21.9569	22.6288	21.9474	21.7199	22.4172	22.5184	21.9538	22.6791	21.9389	21.6902	22.9374	21.9265	21.6783	21.6167	2.26345	2.25919	2.27852	2.27841	2.27739	1.2552	2.25535	0.00315754	0.00333744	0.00713935	0.0076324	0.0190962	0.435383	0.00742614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87222	0	-1.70917	-0.10327	1.53853	1.09374	0	-1.69499	0.00315754	0.00333744	0.00713935	0.0076324	0.0190962	0.435383	0.00742614	0.207335	0.206945	0.208716	0.208706	0.208613	0.114979	0.206593	0.07269093	0.04019841	0.01120616	0.09160168	1.23104	1.85455	-1.07382	0.731016	0	-1.02643	0.0101939	-0.594982	0.0916017	0.0726909	0.1642926	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1
2860	-167.5324	-154.2312	-13.30125	0.245307	0.230687	0.293041	0.272383	0.0998203	0.000194009	0.0960662	0.478856	0.544442	0.526741	0.526316	0.506682	0.567098	0.358099	0.334645	0.394791	0.373673	0.260589	0.235767	0.295768	0.274506	0.101536	0.466522	0.451901	0.514256	0.493598	0.321035	0.221409	0.773619	0.753751	0.816386	0.799374	0.582025	0.644727	0.627118	0.624758	0.606395	0.667306	0.483078	0.545889	0.528037	0.52595	0.507285	0.568101	0.354578	0.334638	0.395463	0.374398	0.639931	0.707476	0.687924	0.690466	0.668276	0.727258	0.523539	0.496578	0.555158	0.533663	0.426431	0.39815	0.456602	0.434874	0.26157	1.04667	0.874581	0.854065	0.91634	0.899533	0.775518	0.754995	0.817291	0.800346	0.58258	0.645072	0.62779	0.624658	0.606954	0.668087	0.915356	0.89603	0.958869	0.940109	0.724829	0.787799	0.768098	0.768126	0.747321	0.807021	0.62627	0.689498	0.669438	0.66986	0.64862	0.708172	0.498897	0.475902	0.535478	0.514056	5.68117	5.34256	6.78666	6.30823	2.31178	0.00449313	2.22483	0.0745296	0.0744875	0.0744502	0.0744491	0.0744391	0.132769	0.0744495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56952	0	-1.41043	-1.92443	0	-0.508134	-1.68375	-1.92513	0.0745296	0.0744875	0.0744502	0.0744491	0.0744391	0.132769	0.0744495	0.245307	0.230687	0.293041	0.272383	0.0998203	0.000194009	0.0960662	0.006466358	0.00425789	0.05834093	0.04317901	0	-1.99308	0	1.51545	0	0.578854	1.07216	-1.69773	0.043179	0.00646636	0.04964537	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1
2880	-164.8295	-147.4507	-17.37875	0.402116	0.391216	0.271412	0.262848	0.16925	0.0230683	0.266328	0.895122	0.904214	0.770242	1.00106	0.785025	0.591202	1.09417	0.712205	0.507071	0.481565	1.04093	0.595948	0.383635	0.352326	0.243682	13.1529	13.142	13.0222	13.0137	12.9201	12.7739	1.25126	1.27522	1.1617	1.05504	1.21525	1.10621	0.974756	1.12307	0.961248	0.784045	1.09784	0.996531	0.852767	1.0146	0.838402	0.655074	0.968083	0.738933	0.557985	0.532956	7.5031	7.63145	7.38377	7.82059	7.42063	7.15597	8.06628	7.36726	7.08104	7.03904	8.08408	7.27868	6.97953	6.92629	6.80301	1.56221	1.49056	1.48448	1.3516	1.25242	1.37252	1.36723	1.23426	1.12765	1.27533	1.15336	1.03378	1.14978	1.0141	0.842645	5.86149	5.91621	5.80774	5.61047	5.88759	5.78775	5.54309	5.82583	5.52468	5.29167	5.79655	5.71256	5.44443	5.75261	5.42442	5.17953	5.74421	5.31912	5.07905	5.03788	2.70856	2.63514	1.82817	1.77049	1.14003	0.155383	1.79393	0.016267	0.0162671	0.0162671	0.0162671	0.0162671	0.116204	0.0162671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69947	0	-1.7708	0	0	0.00279754	-0.73814	-1.33129	0.016267	0.0162671	0.0162671	0.0162671	0.0162671	0.116204	0.0162671	0.402116	0.391216	0.271412	0.262848	0.16925	0.0230683	0.266328	0.07563749	0.04310898	0.01628897	0.148461	0.718597	0.927002	-0.0051263	0	0	1.9662	0	0	0.148461	0.0756375	0.2240984	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0
2900	-167.9015	-154.6158	-13.28572	0.313583	0.312896	0.312287	0.312269	0.312107	0.118267	0.312277	0.635277	0.635166	0.634014	0.635386	0.634114	0.633017	0.635511	0.63404	0.632942	0.632757	0.44178	0.44031	0.439274	0.439085	0.438776	0.689541	0.688854	0.688245	0.688227	0.688064	0.494224	0.95094	0.951085	0.950471	0.94931	0.951094	0.950482	0.949229	0.950485	0.949186	0.948133	0.757352	0.756772	0.755518	0.756775	0.755475	0.754449	0.756661	0.755283	0.754261	0.754087	0.984904	0.984958	0.983653	0.985254	0.983792	0.982525	0.985465	0.983748	0.982482	0.982236	0.791766	0.790055	0.788874	0.788625	0.788263	1.26695	1.26693	1.26695	1.26621	1.265	1.07321	1.07323	1.07251	1.07129	1.07312	1.0724	1.07113	1.07235	1.07105	1.07003	1.29333	1.29356	1.29295	1.29155	1.29364	1.29304	1.29151	1.29306	1.29145	1.29017	1.09995	1.09939	1.09786	1.09941	1.09781	1.09656	1.09933	1.0976	1.09636	1.0961	2.58977	2.5841	2.57907	2.57892	2.57757	0.976723	2.57898	0.0129858	0.0129898	0.0129933	0.0129934	0.0129943	0.00310854	0.0129934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114279	0	-1.85598	-1.51631	0	0.274104	0	-1.97444	0.0129858	0.0129898	0.0129933	0.0129934	0.0129943	0.00310854	0.0129934	0.313583	0.312896	0.312287	0.312269	0.312107	0.118267	0.312277	0.004126135	0.02381064	0.01481976	0.1210854	1.70434	1.20672	-0.820006	0	0	-1.43048	0	-0.969526	0.121085	0.00412614	0.1252116	1	0	1	1	0	1	0	1	1	1	1	0	0	1	0	1
2920	-170.0764	-153.9913	-16.0851	0.145484	0.145488	0.305581	0.305581	0.305584	0.0755338	0.145492	0.292912	0.455215	0.453112	0.456952	0.453522	0.612292	0.459941	0.453883	0.612469	0.612155	0.231348	0.224346	0.38283	0.382419	0.382143	0.445101	0.445105	0.605198	0.605198	0.6052	0.375151	0.600239	0.600827	0.760916	0.759266	0.601431	0.761605	0.759523	0.761926	0.759401	0.918442	0.371879	0.532244	0.529932	0.532574	0.529802	0.688723	0.533227	0.529664	0.688655	0.68834	0.517358	0.681701	0.677656	0.68496	0.678451	0.83596	0.690403	0.679149	0.836305	0.835687	0.462935	0.450083	0.607062	0.606255	0.60571	0.906962	0.907397	0.907411	1.0671	1.06556	0.677895	0.67794	0.837622	0.835935	0.677938	0.83782	0.835927	0.837795	0.835682	0.994801	0.800704	0.801846	0.961908	0.958702	0.803012	0.963233	0.959205	0.963807	0.958962	1.11699	0.573919	0.73452	0.730055	0.735105	0.729798	0.887591	0.736265	0.729522	0.887454	0.88683	0.987895	0.987923	2.07502	2.07502	2.07503	0.512905	0.987948	0.0451774	0.0451774	0.0451774	0.0451774	0.0451774	0.00615427	0.0451774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57786	1.20226	-1.86027	-0.0482325	0	0	0	0.0252693	0.0451774	0.0451774	0.0451774	0.0451774	0.0451774	0.00615427	0.0451774	0.145484	0.145488	0.305581	0.305581	0.305584	0.0755338	0.145492	0.005346302	0.0533647	0.04517742	0.1472667	0.575075	0	0	-0.64481	0	-1.99345	0.742096	-1.39765	0.147267	0.0053463	0.152613	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	1
2940	-167.8384	-152.6361	-15.20232	0.354826	0.337514	0.252093	0.237444	0.104361	0.0025223	0.164748	0.704587	0.63284	0.602494	0.628866	0.590387	0.496726	0.514046	0.459533	0.364732	0.348122	0.421082	0.360861	0.265461	0.248245	0.113422	1.74291	1.72559	1.64017	1.62552	1.49244	1.3906	0.966473	0.955388	0.870419	0.842793	0.825997	0.741453	0.711196	0.729082	0.695979	0.604069	0.727192	0.643565	0.612025	0.631304	0.596731	0.504215	0.502499	0.462975	0.370734	0.354181	1.4929	1.43364	1.39141	1.43886	1.38168	1.28021	1.33872	1.25288	1.14926	1.13076	1.25243	1.1571	1.05245	1.03278	0.896276	1.20984	1.07922	1.06488	0.977655	0.950747	0.980449	0.966212	0.87902	0.851317	0.83338	0.747249	0.718208	0.732767	0.702298	0.611008	1.56046	1.55271	1.46807	1.43077	1.42672	1.34291	1.3006	1.33238	1.28483	1.18665	1.33067	1.24871	1.20398	1.23837	1.18807	1.08872	1.11295	1.05365	0.954857	0.936447	3.62615	3.44924	2.57627	2.42657	1.06652	0.0257767	1.68365	0.0644976	0.0644239	0.0643586	0.0643567	0.0643392	0.0109754	0.0643574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55692	0.453549	-1.73023	-1.21506	0	-1.02855	-1.37901	-1.29746	0.0644976	0.0644239	0.0643586	0.0643567	0.0643392	0.0109754	0.0643574	0.354826	0.337514	0.252093	0.237444	0.104361	0.0025223	0.164748	0.01191025	0.01072052	0.03928825	0.09785184	0.855679	0.921419	0	1.58392	0	-1.76806	0.390076	0	0.0978518	0.0119102	0.1097621	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0
2960	-163.294	-148.8184	-14.47556	0.360707	0.341441	0.378906	0.355033	0.14528	0.00254137	0.156532	0.719987	0.781107	0.73924	0.776923	0.719611	0.743736	0.602502	0.513654	0.535667	0.508786	0.477515	0.376412	0.397006	0.369057	0.15663	3.03424	3.01498	3.05244	3.02857	2.81882	2.67608	1.11163	1.09345	1.13314	1.09643	0.889642	0.930021	0.888874	0.911816	0.86447	0.891922	0.752052	0.79324	0.750123	0.775364	0.725507	0.752057	0.575524	0.515082	0.541762	0.515126	2.15223	2.23433	2.17246	2.24615	2.15672	2.16837	2.09752	1.9542	1.96192	1.93215	1.98418	1.82183	1.82712	1.79531	1.58032	1.47226	1.26597	1.24294	1.27987	1.24468	1.12759	1.10454	1.14155	1.10521	0.895567	0.934352	0.895476	0.912517	0.870169	0.898962	2.13672	2.12373	2.16541	2.11256	1.92523	1.96826	1.90709	1.95461	1.88217	1.89999	1.7921	1.83693	1.77211	1.82383	1.74679	1.7629	1.63152	1.53571	1.55209	1.52277	5.10672	4.83395	5.36436	5.02639	2.0568	0.0359794	2.21611	0.0369299	0.0366285	0.0334893	0.0332298	0.0298705	0.00665331	0.033336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75347	0	-1.76625	0	-0.178085	-1.73084	-1.49868	-1.88852	0.0369299	0.0366285	0.0334893	0.0332298	0.0298705	0.00665331	0.033336	0.360707	0.341441	0.378906	0.355033	0.14528	0.00254137	0.156532	0.007905307	0.03101336	0.0147207	0.07063384	0.728691	1.60245	-0.997223	0.619305	0	-1.02032	0.845646	0	0.0706338	0.00790531	0.07853915	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0
2980	-165.3328	-153.2805	-12.05232	0.184696	0.18432	0.183987	0.183977	0.183888	0.148381	0.183981	0.426071	0.462729	0.427334	0.487027	0.434847	0.407976	0.523604	0.441022	0.411829	0.404582	0.504392	0.413977	0.384985	0.376311	0.369839	1.06295	1.06258	1.06224	1.06223	1.06215	1.02664	0.653792	0.664806	0.663037	0.632401	0.676142	0.675304	0.637397	0.677384	0.635026	0.611949	0.648844	0.651773	0.610641	0.65408	0.608265	0.583967	0.659399	0.605471	0.58238	0.575076	1.00558	1.06546	1.00823	1.10203	1.02087	0.974747	1.15315	1.03113	0.981668	0.968729	1.13901	1.00934	0.961308	0.94615	0.934671	0.873137	0.881805	0.88307	0.871911	0.841411	0.856118	0.857956	0.847449	0.814665	0.859175	0.850655	0.814568	0.847267	0.809581	0.787648	1.15633	1.17524	1.17147	1.11912	1.19435	1.19214	1.12811	1.19409	1.12373	1.08248	1.17241	1.17703	1.1081	1.17935	1.1038	1.06073	1.18574	1.09873	1.0579	1.04454	2.4189	2.41398	2.40961	2.40949	2.40832	1.94329	2.40954	0.0156169	0.0156448	0.0157141	0.0157189	0.0157823	0.0160553	0.0157169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03813	0	-1.81487	0	0.00612273	1.41436	0	-1.83281	0.0156169	0.0156448	0.0157141	0.0157189	0.0157823	0.0160553	0.0157169	0.184696	0.18432	0.183987	0.183977	0.183888	0.148381	0.183981	0.06729885	0.04502853	0.03096752	0.07635539	0	0	0	0	0	0	0	-0.213735	0.0763554	0.0672988	0.1436542	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1
3000	-166.7394	-146.4976	-20.2418	0.303747	0.303373	0.30304	0.303031	0.302942	0.0729309	0.303034	0.798278	1.09179	0.810065	1.35108	0.861047	0.704767	1.83724	0.907418	0.723558	0.690064	1.85909	0.745854	0.540365	0.493538	0.463644	123.876	123.875	123.875	123.875	123.875	123.645	1.23662	1.30335	1.34045	1.1268	1.37333	1.41991	1.15147	1.50545	1.14708	1.0329	1.20717	1.25884	0.967013	1.35003	0.959651	0.834295	1.49861	0.95378	0.828337	0.798177	62.9249	63.5019	62.9489	64.0041	63.0497	62.7404	64.9284	63.1412	62.7778	62.7112	65.1687	63.0456	62.6407	62.5478	62.4884	1.58622	1.62399	1.63506	1.64513	1.45128	1.44296	1.45298	1.46366	1.25668	1.46317	1.49721	1.2571	1.53657	1.24316	1.14594	42.9524	43.0841	43.1576	42.7354	43.2217	43.3141	42.7845	43.4801	42.7758	42.549	43.1165	43.2201	42.6449	43.3968	42.6303	42.3815	43.6822	42.6187	42.3697	42.3097	1.70813	1.70602	1.70416	1.7041	1.7036	0.410129	1.70412	0.0358602	0.0367587	0.0522134	0.0538502	0.0822875	0.356685	0.0531726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93401	0	-1.70724	-0.233897	0.711692	-0.292453	0	-1.11092	0.0358602	0.0367587	0.0522134	0.0538502	0.0822875	0.356685	0.0531726	0.303747	0.303373	0.30304	0.303031	0.302942	0.0729309	0.303034	0.06989782	0.02884281	0.04385035	0.1778243	1.81373	1.86249	0	0	0	-0.454175	0	-1.42354	0.177824	0.0698978	0.2477221	1	0	1	1	1	1	0	1	1	1	0	0	0	1	0	1
3020	-165.5093	-148.8132	-16.69609	0.144428	0.140481	0.325145	0.314238	0.19667	0.0235437	0.0933928	0.50688	0.958885	0.699855	1.16255	0.737878	0.76602	1.41974	0.663605	0.668741	0.621447	1.43135	0.552484	0.54398	0.484708	0.334845	62.3202	62.3163	62.501	62.4901	62.3725	62.1994	0.977237	1.03149	1.23986	1.0379	0.982487	1.19734	0.945626	1.24588	0.928941	0.996248	0.86657	1.09073	0.817853	1.1423	0.798783	0.857143	1.12786	0.673862	0.733358	0.68961	31.8587	32.5601	32.0634	32.9548	32.1479	32.0257	33.5274	32.1144	31.9482	31.8654	33.6864	32.0611	31.8702	31.7641	31.5828	1.35279	1.27488	1.27476	1.45206	1.26692	1.14996	1.14948	1.32817	1.13083	1.04265	1.23922	1.01363	1.24884	0.987103	1.0711	22.1246	22.2406	22.4717	22.0801	22.2557	22.4999	22.0124	22.6016	21.99	21.9427	22.1924	22.4564	21.9284	22.5636	21.9015	21.8368	22.6388	21.7694	21.7071	21.631	1.4594	1.41953	3.2855	3.17529	1.98729	0.237903	0.943708	0.0107518	0.0104156	0.00366398	0.00352283	0.00205374	4.90683e-05	0.00650968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64195	0	-1.88956	-1.64894	-0.905594	0.112432	-0.78643	0	0.0107518	0.0104156	0.00366398	0.00352283	0.00205374	4.90683e-05	0.00650968	0.144428	0.140481	0.325145	0.314238	0.19667	0.0235437	0.0933928	0.08277001	0.02536542	0.007344532	0.0989637	1.6814	1.78579	-0.519176	0	-0.597907	-1.28995	1.22733	0	0.0989637	0.08277	0.1817337	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0
3040	-167.237	-150.0759	-17.16109	0.453649	0.431535	0.354121	0.333812	0.148355	0.00377226	0.212598	0.922128	0.887785	0.824594	0.901618	0.812221	0.70926	0.77525	0.63376	0.527147	0.500825	0.659609	0.49916	0.390488	0.362255	0.171466	10.3536	10.3314	10.254	10.2337	10.0483	9.90368	1.30878	1.29978	1.22286	1.16854	1.12594	1.05063	0.987919	1.03711	0.965423	0.867808	0.991035	0.91914	0.852059	0.905866	0.829376	0.72951	0.733801	0.641397	0.542736	0.516426	6.01502	6.02261	5.91944	6.0691	5.91485	5.78674	5.99805	5.74323	5.60794	5.57566	5.90895	5.61835	5.4791	5.44304	5.24698	1.66323	1.48591	1.46603	1.38165	1.32951	1.35168	1.33231	1.24782	1.19298	1.14696	1.06628	1.00735	1.046	0.982551	0.886557	4.81941	4.8215	4.74492	4.65904	4.659	4.58557	4.48319	4.57839	4.45852	4.34092	4.53351	4.46693	4.35594	4.46016	4.33091	4.20885	4.30049	4.14041	4.02077	3.98851	4.70827	4.47875	3.6753	3.46452	1.53973	0.039151	2.20648	0.0160063	0.0159941	0.0159833	0.015983	0.0159801	0.00817358	0.0159831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60383	1.03561	-1.60899	0	0	-0.686849	-1.36011	-1.85817	0.0160063	0.0159941	0.0159833	0.015983	0.0159801	0.00817358	0.0159831	0.453649	0.431535	0.354121	0.333812	0.148355	0.00377226	0.212598	0.1125329	0.04034614	0.01149558	0.09635157	1.70686	-0.454496	0	0	0	-0.670132	0.475405	0	0.0963516	0.112533	0.2088845	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	0
3060	-169.3896	-150.544	-18.8456	0.297893	0.29724	0.356774	0.356753	0.356567	0.168732	0.296651	0.643349	0.765862	0.705049	0.817957	0.716362	0.740168	0.910893	0.726299	0.744513	0.736395	0.769701	0.553093	0.567618	0.556657	0.549278	23.1836	23.1829	23.2425	23.2425	23.2423	23.0544	1.04317	1.05912	1.12077	1.07363	1.07534	1.13945	1.08009	1.15157	1.07726	1.10902	0.901685	0.970119	0.904408	0.982672	0.901198	0.929616	1.00561	0.897736	0.927661	0.919605	12.2825	12.4669	12.347	12.5697	12.3695	12.3579	12.7517	12.3894	12.3668	12.3506	12.6545	12.2306	12.2007	12.1789	12.1644	1.42533	1.43626	1.43686	1.48875	1.44518	1.26292	1.26408	1.31565	1.26828	1.26399	1.32146	1.26787	1.32345	1.26189	1.29613	8.96031	8.99205	9.05565	8.96261	9.02444	9.09291	8.97569	9.11666	8.97004	8.9742	8.86471	8.94185	8.81205	8.96641	8.80567	8.80319	9.01137	8.79894	8.79948	8.78342	2.59031	2.58463	3.1023	3.10212	3.10051	1.4672	2.57951	0.0048112	0.0046607	0.00249042	0.00239195	0.0013742	8.68194e-05	0.00287778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73568	0	-1.99615	0	-0.930497	0.899004	0	-1.97487	0.0048112	0.0046607	0.00249042	0.00239195	0.0013742	8.68194e-05	0.00287778	0.297893	0.29724	0.356774	0.356753	0.356567	0.168732	0.296651	0.04483923	0.06893785	0.004744274	0.1150029	1.97161	0.606753	0	-0.97595	-0.168357	-0.250677	0.184511	-0.747336	0.115003	0.0448392	0.1598421	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1
