Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation[12]	speciation[13]	speciation[14]	speciation[15]	speciation[16]	speciation[17]	speciation[18]	speciation[19]	speciation[20]	speciation[21]	speciation[22]	speciation[23]	speciation[24]	speciation[25]	speciation[26]	speciation[27]	speciation[28]	speciation[29]	speciation[30]	speciation[31]	speciation[32]	speciation[33]	speciation[34]	speciation[35]	speciation[36]	speciation[37]	speciation[38]	speciation[39]	speciation[40]	speciation[41]	speciation[42]	speciation[43]	speciation[44]	speciation[45]	speciation[46]	speciation[47]	speciation[48]	speciation[49]	speciation[50]	speciation[51]
230	-1321.77	-1570.66	248.888	0.280603	0.265413	0.25349	0.249564	0.251571	0.248846	0.257308	0.251436	0.261977	0.262458	0.262205	0.257111	0.244047	0.246968	0.249741	0.244939	0.239404	0.233738	0.23845	0.249332	0.253924	0.243241	0.238364	0.220436	0.210996	0.210433	0.19927	0.199769	0.190638	0.178212	0.177171	0.172471	0.181181	0.183406	0.193768	0.199887	0.205226	0.209568	0.21596	0.215922	0.222428	0.216701	0.230891	0.228966	0.216422	0.214833	0.215615	0.225115	0.216517	0.20854	0.202249
240	-1351.4	-1569.14	217.747	0.283212	0.274329	0.283816	0.263856	0.264174	0.266868	0.278531	0.280081	0.276969	0.2717	0.269653	0.274107	0.25059	0.255642	0.26464	0.262186	0.253245	0.246448	0.247706	0.258163	0.265941	0.248439	0.25014	0.247374	0.236808	0.218109	0.201447	0.198746	0.194014	0.183616	0.189973	0.18567	0.181679	0.182336	0.183632	0.187427	0.201728	0.209484	0.209079	0.211915	0.207905	0.222933	0.237591	0.23827	0.232099	0.240318	0.232267	0.233436	0.219719	0.212826	0.217112
250	-1314.29	-1568.29	254.002	0.291848	0.300288	0.297457	0.299755	0.299821	0.307982	0.303596	0.311409	0.294732	0.302553	0.308127	0.303015	0.299531	0.293228	0.29624	0.292757	0.291644	0.289131	0.304268	0.292874	0.288758	0.281186	0.280612	0.278606	0.271006	0.25406	0.235176	0.234015	0.221967	0.210485	0.214324	0.21158	0.209186	0.207549	0.207495	0.210558	0.216204	0.219797	0.236945	0.251802	0.256639	0.265695	0.265059	0.26083	0.263168	0.264615	0.265066	0.252058	0.2488	0.251543	0.260002
260	-1347.15	-1568.78	221.626	0.27071	0.252369	0.254963	0.255229	0.2488	0.258855	0.272084	0.287172	0.281902	0.291203	0.27685	0.264019	0.24971	0.259365	0.247826	0.249823	0.257348	0.247456	0.245706	0.249623	0.242385	0.234607	0.23119	0.217628	0.220525	0.209834	0.189841	0.17741	0.169782	0.174234	0.170536	0.161658	0.161353	0.156809	0.165117	0.166867	0.176258	0.187904	0.197507	0.2013	0.203892	0.222148	0.213911	0.217	0.203376	0.213075	0.217538	0.221055	0.232734	0.226644	0.22978
270	-1355.21	-1569.72	214.514	0.246558	0.248696	0.261127	0.24962	0.25382	0.254228	0.266784	0.282148	0.285442	0.273865	0.259474	0.264764	0.265039	0.274235	0.262263	0.255175	0.256944	0.240556	0.255934	0.25264	0.24965	0.237558	0.231611	0.234406	0.225049	0.215068	0.206452	0.202139	0.184409	0.176585	0.182133	0.179851	0.175607	0.179491	0.185355	0.196869	0.195485	0.198938	0.199286	0.209547	0.232969	0.239543	0.242185	0.238088	0.246917	0.224025	0.226177	0.238131	0.22748	0.220271	0.211892
280	-1304.49	-1568.33	263.838	0.28731	0.282329	0.280179	0.283096	0.267223	0.270391	0.298523	0.288854	0.306517	0.297877	0.297334	0.291497	0.291733	0.317503	0.288889	0.264481	0.266413	0.273265	0.269625	0.25245	0.245891	0.237952	0.208509	0.214528	0.196489	0.194832	0.176113	0.164558	0.153556	0.152723	0.15025	0.151466	0.156723	0.151362	0.1602	0.165694	0.182804	0.186971	0.208789	0.226045	0.216321	0.216561	0.223333	0.221729	0.23423	0.24837	0.242233	0.219593	0.216411	0.217133	0.214171
290	-1320.82	-1571.57	250.747	0.296053	0.291313	0.281829	0.27977	0.281792	0.284018	0.281625	0.285663	0.294503	0.301787	0.295259	0.290504	0.296283	0.289192	0.299113	0.291896	0.286283	0.28361	0.289458	0.276231	0.270038	0.254929	0.239071	0.237713	0.232505	0.225647	0.216303	0.208044	0.203919	0.213061	0.207526	0.201626	0.206611	0.20142	0.210575	0.209839	0.215549	0.22538	0.230265	0.241074	0.245188	0.249294	0.251457	0.247353	0.264204	0.256722	0.244714	0.248313	0.249229	0.247384	0.245564
300	-1358.48	-1571.49	213.016	0.306356	0.300665	0.294686	0.294387	0.289756	0.290858	0.286116	0.297112	0.302659	0.30718	0.305634	0.300158	0.297847	0.28958	0.290994	0.296629	0.307156	0.305616	0.299502	0.294466	0.287141	0.273572	0.26668	0.265759	0.262211	0.257489	0.252036	0.247115	0.249593	0.240885	0.237682	0.238626	0.242386	0.237084	0.239867	0.250184	0.250433	0.256068	0.260674	0.265168	0.265406	0.269157	0.268641	0.272546	0.268674	0.269998	0.26703	0.266791	0.269893	0.27227	0.271053
310	-1293.57	-1571.41	277.838	0.240869	0.24083	0.240438	0.239238	0.240621	0.242643	0.245582	0.249014	0.245782	0.246835	0.243549	0.247074	0.237911	0.237537	0.241276	0.241742	0.239213	0.248186	0.243669	0.24029	0.230663	0.227184	0.224756	0.220826	0.221138	0.220119	0.214127	0.21204	0.208509	0.203658	0.201425	0.198068	0.201082	0.201007	0.202666	0.208488	0.209646	0.214815	0.214171	0.214132	0.220584	0.223721	0.226168	0.22501	0.220959	0.219967	0.222292	0.221425	0.220051	0.223668	0.224442
320	-1371.07	-1568.22	197.15	0.261002	0.263027	0.263002	0.272518	0.25584	0.255971	0.26557	0.272759	0.270591	0.272216	0.27203	0.26748	0.246468	0.238607	0.235906	0.236777	0.24036	0.243801	0.246703	0.249503	0.236819	0.227547	0.215935	0.210264	0.220358	0.203896	0.194725	0.176125	0.167091	0.168319	0.160548	0.162757	0.16413	0.161949	0.157768	0.165439	0.175327	0.184848	0.186286	0.189674	0.20099	0.215218	0.217278	0.207798	0.204163	0.205463	0.210623	0.20714	0.199781	0.19198	0.193538
