Iteration	Posterior	Likelihood	Prior	birth_rate
1790	-1589.04	-1589.49	0.455705	0.1757834
1800	-1588	-1588.82	0.821176	0.1562845
1810	-1589.63	-1590.69	1.06342	0.1433902
1820	-1587.9	-1588.62	0.720703	0.1616313
1830	-1587.91	-1588.69	0.77433	0.1587768
1840	-1587.95	-1588.63	0.67254	0.1641967
1850	-1587.9	-1588.67	0.766601	0.1591881
1860	-1587.89	-1588.63	0.733147	0.1609687
1870	-1588.75	-1589.72	0.969127	0.1484139
1880	-1588.17	-1588.77	0.600937	0.1680154
1890	-1587.98	-1588.64	0.660155	0.1648569
1900	-1588.05	-1588.89	0.839412	0.1553145
1910	-1588.14	-1589	0.86271	0.1540754
1920	-1588.34	-1589.25	0.906405	0.1517512
1930	-1590.21	-1591.32	1.11135	0.1408324
1940	-1590.49	-1590.8	0.308613	0.1836916
1950	-1588.16	-1588.76	0.603327	0.1678878
1960	-1590.57	-1591.71	1.13825	0.1393942
1970	-1588.48	-1589.41	0.929561	0.1505193
1980	-1588.66	-1589.62	0.95741	0.1490375
1990	-1588.88	-1589.35	0.47706	0.174639
2000	-1588.14	-1589	0.86327	0.1540456
2010	-1588.09	-1588.94	0.850622	0.1547183
2020	-1587.89	-1588.63	0.73654	0.1607881
2030	-1588.35	-1588.91	0.561337	0.1701301
2040	-1587.9	-1588.61	0.711527	0.1621199
2050	-1588.82	-1589.3	0.485062	0.1742103
2060	-1589.45	-1589.86	0.407976	0.1783445
2070	-1587.9	-1588.61	0.71204	0.1620926
2080	-1587.97	-1588.78	0.807798	0.1569962
2090	-1588.13	-1589	0.861905	0.1541182
2100	-1588.35	-1589.26	0.907726	0.1516809
2110	-1587.91	-1588.61	0.704598	0.1624889
2120	-1587.9	-1588.66	0.759981	0.1595404
2130	-1588.54	-1589.07	0.527136	0.1719585
2140	-1587.89	-1588.63	0.739425	0.1606345
2150	-1587.94	-1588.62	0.682876	0.163646
2160	-1587.91	-1588.67	0.768411	0.1590918
2170	-1588.19	-1589.06	0.874849	0.1534297
2180	-1589.32	-1590.35	1.03394	0.1449623
2190	-1588.16	-1589.03	0.868205	0.1537831
2200	-1587.92	-1588.61	0.694098	0.1630481
2210	-1588.07	-1588.7	0.627834	0.1665802
2220	-1588.9	-1589.38	0.473105	0.1748509
2230	-1587.96	-1588.77	0.804354	0.1571794
2240	-1588.36	-1588.92	0.558943	0.1702581
2250	-1589.23	-1589.66	0.432861	0.1770086
2260	-1587.98	-1588.64	0.662155	0.1647502
2270	-1587.91	-1588.61	0.706833	0.1623698
