Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
151	0	-1550.35	-1570.26	19.9132	0.275522	0.286179	0.320376	0.34915	0.374609	0.339458	0.344839	0.338258	0.325923	0.340943	0.353883
152	0	-1552.66	-1568.29	15.632	0.195114	0.209642	0.245019	0.25279	0.253769	0.277774	0.289651	0.276422	0.282174	0.297361	0.325334
153	0	-1550.08	-1570.72	20.6466	0.223115	0.233507	0.260171	0.272225	0.276842	0.293088	0.295487	0.296449	0.336908	0.319916	0.295309
154	0	-1544.68	-1570.07	25.3843	0.201085	0.211656	0.224124	0.227705	0.246228	0.235117	0.22949	0.244885	0.225065	0.216136	0.217199
155	0	-1550.18	-1572.48	22.2948	0.154702	0.163942	0.164306	0.17207	0.175811	0.173318	0.165083	0.160197	0.17357	0.162368	0.166007
156	0	-1548.06	-1568.08	20.0277	0.138571	0.146433	0.163755	0.180008	0.179012	0.173573	0.167572	0.173294	0.187474	0.173653	0.164675
157	0	-1550.5	-1571.07	20.573	0.173801	0.160209	0.180227	0.17156	0.17683	0.206029	0.213794	0.209191	0.197147	0.206156	0.190646
158	0	-1545.77	-1570.17	24.405	0.225926	0.252345	0.274112	0.276336	0.278427	0.269044	0.297984	0.276581	0.276	0.283108	0.280421
159	0	-1553.29	-1568.24	14.9452	0.196856	0.192165	0.205322	0.242702	0.254299	0.260136	0.253172	0.271726	0.261514	0.266071	0.253806
160	0	-1543.72	-1568.61	24.8921	0.164625	0.177198	0.170096	0.174319	0.186067	0.178947	0.186217	0.172075	0.176894	0.174844	0.179003
161	0	-1546.98	-1569.49	22.5176	0.102778	0.0966666	0.0982491	0.0994672	0.10303	0.100142	0.0987357	0.0940276	0.0942974	0.0973895	0.105103
162	0	-1545.26	-1568.49	23.2256	0.184346	0.200822	0.205473	0.204759	0.223095	0.216603	0.203413	0.21699	0.216263	0.222967	0.237579
163	0	-1548.99	-1567.84	18.8498	0.140393	0.144403	0.150925	0.172172	0.176452	0.200574	0.193444	0.198404	0.220808	0.218308	0.230576
164	0	-1551.16	-1573.45	22.2932	0.208388	0.21771	0.235546	0.236432	0.238762	0.256485	0.254132	0.280605	0.279162	0.283268	0.28699
165	0	-1543.55	-1568.66	25.1102	0.185973	0.180118	0.185537	0.203874	0.202896	0.205641	0.212837	0.219446	0.226153	0.242995	0.248892
166	0	-1543.99	-1568.37	24.3824	0.163896	0.170307	0.170495	0.168422	0.170652	0.167485	0.17754	0.190929	0.18891	0.189258	0.186117
167	0	-1548.02	-1571.75	23.7381	0.171406	0.17193	0.180412	0.176731	0.195185	0.209155	0.225813	0.224018	0.232113	0.222552	0.220503
168	0	-1545.64	-1571.62	25.9775	0.196282	0.20895	0.209443	0.21206	0.229045	0.211633	0.213174	0.206995	0.214298	0.220537	0.233797
169	0	-1546.98	-1571.09	24.1115	0.114005	0.120382	0.135684	0.12714	0.125098	0.123152	0.123565	0.118896	0.113735	0.113178	0.119401
170	0	-1552.07	-1573.25	21.1786	0.206369	0.220353	0.223774	0.2182	0.196005	0.186321	0.182156	0.160265	0.168297	0.16742	0.163948
171	0	-1543.73	-1570.15	26.4208	0.203686	0.216103	0.198483	0.196481	0.201199	0.196897	0.182358	0.179971	0.174623	0.169494	0.180963
172	0	-1542.22	-1568.18	25.9545	0.157333	0.158177	0.173871	0.178773	0.173621	0.170846	0.157577	0.158894	0.155076	0.156711	0.14799
173	0	-1546.74	-1568.59	21.8578	0.177048	0.171815	0.180507	0.191791	0.191469	0.16967	0.167681	0.159163	0.163543	0.166372	0.161297
174	0	-1549.48	-1568.96	19.4793	0.109603	0.115485	0.117076	0.116468	0.111346	0.106129	0.120234	0.118316	0.132669	0.119021	0.127773
175	0	-1545.81	-1571.39	25.5768	0.185522	0.200894	0.203462	0.180413	0.18467	0.181849	0.172203	0.164356	0.160946	0.153526	0.154319
176	0	-1548.39	-1566.66	18.2776	0.13331	0.146626	0.143983	0.162386	0.166701	0.176567	0.172518	0.168459	0.186389	0.182371	0.183968
177	0	-1548.55	-1569.45	20.9036	0.201559	0.197405	0.211812	0.227531	0.246667	0.249762	0.266325	0.272919	0.265172	0.263837	0.282798
178	0	-1551.21	-1568.75	17.5486	0.168918	0.1858	0.18901	0.214196	0.238567	0.212589	0.216086	0.246946	0.249247	0.267966	0.262833
