Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
200	-1546.49	-1568.85	22.3554	0.176274	0.182817	0.175559	0.189817	0.195114	0.211826	0.2033	0.205863	0.197895	0.207182	0.18556	-1.73572	-1.69927	-1.73978	-1.6617	-1.63417	-1.55199	-1.59307	-1.58055	-1.62002	-1.57416	-1.68438	-1.25359	-1.29288	-1.35525	-1.36082	-1.36744	-1.35959	-1.33072	-1.33479	-1.22894	-1.33454	-1.25858	0.285479	0.27448	0.257882	0.25645	0.254758	0.256767	0.264288	0.263215	0.292604	0.26328	0.284058
210	-1546.78	-1567.04	20.2556	0.170293	0.167018	0.180097	0.182039	0.180639	0.202711	0.213022	0.195327	0.199776	0.19967	0.182628	-1.77023	-1.78965	-1.71426	-1.70354	-1.71125	-1.59597	-1.54636	-1.63308	-1.61056	-1.61109	-1.7003	-1.2476	-1.2554	-1.35401	-1.37572	-1.52053	-1.55327	-1.54851	-1.48509	-1.48485	-1.40916	-1.46594	0.287193	0.284961	0.258203	0.252657	0.218595	0.211555	0.212565	0.226483	0.226537	0.244349	0.230862
220	-1550.51	-1577.93	27.4219	0.0518885	0.052415	0.0554941	0.0561609	0.0580751	0.0553732	0.0571967	0.0608359	0.058489	0.0577944	0.0525535	-2.95866	-2.94856	-2.89148	-2.87953	-2.84602	-2.89366	-2.86126	-2.79957	-2.83892	-2.85086	-2.94592	-1.71231	-1.71924	-1.74192	-1.75641	-1.83282	-1.85533	-1.8251	-1.80177	-1.81391	-1.78636	-1.74326	0.180448	0.179202	0.175183	0.172664	0.159962	0.156402	0.161202	0.165006	0.163016	0.167569	0.174949
230	-1545.68	-1568.15	22.4729	0.178528	0.180966	0.181903	0.194571	0.204754	0.213021	0.224357	0.210943	0.200869	0.1819	0.192649	-1.72301	-1.70944	-1.70428	-1.63696	-1.58595	-1.54636	-1.49452	-1.55617	-1.6051	-1.7043	-1.64689	-1.19032	-1.19205	-1.33301	-1.35809	-1.3068	-1.36353	-1.37892	-1.40568	-1.37371	-1.28553	-1.31609	0.304123	0.303598	0.263681	0.25715	0.270684	0.255757	0.251852	0.2452	0.253166	0.276505	0.268182
240	-1542.86	-1570.74	27.8741	0.18997	0.207503	0.219222	0.220064	0.216441	0.228797	0.229072	0.241533	0.251107	0.253504	0.251607	-1.66089	-1.57261	-1.51767	-1.51384	-1.53044	-1.47492	-1.47372	-1.42075	-1.38188	-1.37238	-1.37989	-1.2204	-1.23665	-1.1908	-1.17016	-1.12828	-1.15784	-1.20546	-1.21474	-1.26915	-1.29494	-1.26948	0.295111	0.290356	0.303978	0.310318	0.32359	0.314163	0.299555	0.296787	0.28107	0.273914	0.280978
250	-1545.75	-1569.55	23.8024	0.168636	0.182297	0.181981	0.19188	0.216504	0.201543	0.210206	0.212228	0.237435	0.23208	0.244497	-1.78001	-1.70212	-1.70385	-1.65089	-1.53015	-1.60175	-1.55967	-1.55009	-1.43786	-1.46067	-1.40855	-1.35247	-1.34037	-1.3479	-1.34522	-1.42342	-1.42286	-1.46574	-1.50638	-1.49598	-1.44779	-1.43132	0.258601	0.261749	0.259785	0.260483	0.240889	0.241025	0.230906	0.221711	0.224029	0.235089	0.238994
260	-1550.11	-1569.45	19.3367	0.151673	0.159815	0.166778	0.181017	0.172043	0.191679	0.18497	0.182923	0.179716	0.184654	0.167135	-1.88603	-1.83374	-1.79109	-1.70916	-1.76001	-1.65193	-1.68756	-1.69869	-1.71638	-1.68927	-1.78896	-1.31534	-1.22826	-1.27765	-1.28526	-1.29305	-1.44326	-1.52217	-1.47174	-1.50128	-1.41138	-1.44707	0.268384	0.292801	0.278691	0.276577	0.274432	0.236156	0.218237	0.229526	0.222844	0.243807	0.235258
270	-1554	-1569.45	15.451	0.13817	0.151678	0.158268	0.160986	0.161015	0.171927	0.188043	0.211462	0.185906	0.192927	0.191329	-1.97927	-1.886	-1.84347	-1.82644	-1.82626	-1.76069	-1.67109	-1.55371	-1.68251	-1.64544	-1.65376	-1.34417	-1.44305	-1.46194	-1.40714	-1.40029	-1.33607	-1.47541	-1.45721	-1.36755	-1.29455	-1.18936	0.260755	0.236207	0.231785	0.244844	0.246525	0.262876	0.228684	0.232885	0.254729	0.274021	0.304416
280	-1552.51	-1570.61	18.0999	0.122119	0.133581	0.136684	0.151933	0.145121	0.14785	0.164295	0.163564	0.15586	0.141009	0.146094	-2.10276	-2.01305	-1.99008	-1.88432	-1.93019	-1.91156	-1.80609	-1.81055	-1.85879	-1.95893	-1.92351	-1.44943	-1.55109	-1.62012	-1.56408	-1.54741	-1.4875	-1.56115	-1.57121	-1.50796	-1.46524	-1.33211	0.234704	0.212016	0.197875	0.20928	0.212799	0.225937	0.209895	0.207793	0.22136	0.231023	0.263919
290	-1548.12	-1569.39	21.2633	0.20877	0.214323	0.225803	0.226361	0.215516	0.233804	0.261731	0.236787	0.226906	0.221713	0.246523	-1.56652	-1.54027	-1.48809	-1.48563	-1.53472	-1.45327	-1.34044	-1.4406	-1.48322	-1.50637	-1.4003	-1.11679	-1.16982	-1.20323	-1.24417	-1.31234	-1.22283	-1.22956	-1.23452	-1.16983	-1.14452	-1.0787	0.327329	0.310423	0.300222	0.288179	0.26919	0.294395	0.292422	0.290976	0.310419	0.318377	0.340036
