Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
133	0	-1569.61	-1571.9	2.29394	0.2890093	0.2097717	0.07923754	0.2097717
134	0	-1571.68	-1573.41	1.72885	0.3699543	0.2966689	0.07328544	0.2966689
135	0	-1570.68	-1572.64	1.96556	0.3184704	0.2239856	0.09448485	0.2239856
136	0	-1570.07	-1572.15	2.0825	0.307354	0.2168233	0.09053068	0.2168233
137	0	-1571.96	-1573.83	1.86502	0.3191754	0.2135417	0.1056337	0.2135417
138	0	-1570.27	-1572.3	2.02748	0.3280098	0.2612426	0.06676727	0.2612426
139	0	-1569.7	-1572.07	2.37342	0.2761173	0.1910626	0.08505477	0.1910626
140	0	-1570.45	-1572.43	1.97948	0.3201821	0.229261	0.09092113	0.229261
141	0	-1570.73	-1572.6	1.87	0.3465307	0.2690564	0.07747437	0.2690564
142	0	-1570.37	-1572.8	2.42838	0.2753106	0.2071247	0.0681859	0.2071247
143	0	-1570.76	-1573.41	2.6567	0.2443813	0.1591307	0.0852506	0.1591307
144	0	-1571.45	-1573.93	2.47588	0.2472433	0.1373537	0.1098896	0.1373537
145	0	-1569.73	-1571.91	2.17932	0.2984744	0.2118634	0.08661099	0.2118634
146	0	-1571.45	-1573.29	1.83741	0.3518733	0.2946354	0.05723794	0.2946354
147	0	-1569.76	-1571.88	2.1176	0.3101028	0.2287441	0.08135869	0.2287441
148	0	-1570.64	-1572.85	2.21164	0.2802772	0.1767958	0.1034813	0.1767958
149	0	-1569.76	-1572.18	2.41559	0.2724007	0.1894198	0.08298088	0.1894198
150	0	-1570.04	-1572.29	2.25087	0.2825292	0.1868008	0.09572844	0.1868008
151	0	-1570.84	-1573.5	2.65855	0.2462941	0.1660631	0.08023098	0.1660631
152	0	-1570.09	-1572.33	2.24421	0.2827532	0.1863738	0.09637943	0.1863738
153	0	-1569.68	-1572.05	2.36851	0.2773291	0.193314	0.08401506	0.193314
154	0	-1571.11	-1573.61	2.49413	0.2482126	0.1421889	0.1060236	0.1421889
155	0	-1569.73	-1572.07	2.33854	0.2852263	0.2099976	0.07522864	0.2099976
156	0	-1570.78	-1572.64	1.86541	0.3444311	0.2632556	0.08117548	0.2632556
157	0	-1571.81	-1573.77	1.95963	0.3041417	0.1952976	0.1088441	0.1952976
158	0	-1569.89	-1572.03	2.14057	0.3008716	0.2112419	0.08962974	0.2112419
159	0	-1570.17	-1572.71	2.53863	0.2590156	0.1774576	0.081558	0.1774576
160	0	-1569.69	-1572.01	2.32628	0.2863581	0.21009	0.07626812	0.21009
161	0	-1570.97	-1572.81	1.8434	0.3443584	0.2595441	0.08481434	0.2595441
162	0	-1570.14	-1572.56	2.42582	0.2754898	0.204343	0.07114683	0.204343
163	0	-1570.27	-1572.32	2.04918	0.324921	0.2591432	0.06577786	0.2591432
164	0	-1570.32	-1572.75	2.43438	0.2745886	0.2055552	0.06903333	0.2055552
165	0	-1571.23	-1573.1	1.86334	0.3494953	0.2903567	0.05913862	0.2903567
166	0	-1570.24	-1572.29	2.0494	0.324922	0.2586605	0.06626148	0.2586605
167	0	-1569.72	-1571.96	2.24629	0.2974325	0.2239827	0.07344981	0.2239827
168	0	-1570.79	-1573.27	2.48674	0.2514628	0.1489141	0.1025487	0.1489141
169	0	-1570.41	-1572.66	2.25046	0.2968907	0.2340803	0.06281043	0.2340803
170	0	-1570.21	-1572.25	2.03343	0.3271393	0.2593312	0.06780815	0.2593312
171	0	-1570.02	-1572.06	2.038	0.3250389	0.2514039	0.07363497	0.2514039
172	0	-1569.61	-1571.83	2.22015	0.2968243	0.2151741	0.08165023	0.2151741
173	0	-1570.55	-1572.7	2.14993	0.2892939	0.1879728	0.1013211	0.1879728
174	0	-1570.98	-1572.84	1.85352	0.3532082	0.2867187	0.0664895	0.2867187
175	0	-1570.63	-1573.25	2.61977	0.2508265	0.1713835	0.07944303	0.1713835
176	0	-1572.04	-1573.74	1.69231	0.3779113	0.3125005	0.06541081	0.3125005
177	0	-1570.47	-1572.8	2.32598	0.2690047	0.1671401	0.1018646	0.1671401
178	0	-1571.82	-1574.21	2.39675	0.2517607	0.1374139	0.1143468	0.1374139
