Iteration	Posterior	Likelihood	Prior	birth_rate
2410	-1768.62	-1770.69	2.06949	0.03771916
2420	-1675.18	-1677.47	2.29232	0.0634131
2430	-1656.79	-1659.03	2.23287	0.07146786
2440	-1588.89	-1589.88	0.986633	0.1474819
2450	-1631.73	-1633.79	2.06118	0.08585348
2460	-1592.83	-1592.97	0.138723	0.1928895
2470	-1588.01	-1588.66	0.647356	0.1655392
2480	-1587.91	-1588.69	0.773557	0.158818
2490	-1606.42	-1608.12	1.6977	0.1086546
2500	-1697.7	-1700.01	2.30957	0.05535645
2510	-1775.35	-1777.38	2.02743	0.03645233
2520	-1835.6	-1837.13	1.52329	0.02713724
2530	-1723.87	-1726.14	2.26764	0.04775596
2540	-1731.63	-1733.87	2.24405	0.04578271
2550	-1786.23	-1788.18	1.95312	0.03451387
2560	-1699.42	-1701.73	2.30873	0.05480693
2570	-1604.61	-1606.26	1.65748	0.1109603
2580	-1594.23	-1594.28	0.0550298	0.1974496
2590	-1610.89	-1610.28	-0.615978	0.2348625
2600	-1589.88	-1590.24	0.363975	0.1807097
2610	-1629.16	-1631.2	2.03562	0.08765337
2620	-1621.33	-1623.27	1.94496	0.09370138
2630	-1650.37	-1652.57	2.20032	0.07470572
2640	-1637.68	-1639.79	2.11387	0.08195744
2650	-1596.32	-1596.26	-0.0554378	0.203501
2660	-1588.32	-1589.22	0.901669	0.1520031
2670	-1607.71	-1609.44	1.72468	0.1070928
2680	-1591.66	-1592.87	1.20845	0.1356339
2690	-1610.04	-1611.81	1.76987	0.1044466
2700	-1608.92	-1610.66	1.74856	0.1056993
2710	-1608.46	-1607.92	-0.536928	0.2303674
2720	-1593.83	-1595.15	1.31959	0.1296472
2730	-1602.82	-1604.44	1.61468	0.1133893
2740	-1672.51	-1674.8	2.28648	0.06448568
2750	-1616.17	-1618.05	1.87284	0.09824188
2760	-1867.23	-1868.4	1.17263	0.02337856
2770	-1929.05	-1929.38	0.327291	0.0176031
2780	-1685.76	-1688.07	2.30725	0.05941992
2790	-1696.97	-1699.28	2.30984	0.05559273
2800	-1801.93	-1803.76	1.83263	0.03193524
2810	-1791.62	-1793.54	1.91347	0.03360034
2820	-1796.6	-1798.47	1.87527	0.03278361
2830	-1677.12	-1679.42	2.29603	0.06264916
2840	-1701.76	-1704.07	2.30713	0.05407041
2850	-1734.16	-1736.4	2.23531	0.04516229
2860	-1677.36	-1679.66	2.29646	0.06255525
2870	-1706.57	-1708.87	2.30222	0.05260061
2880	-1799.65	-1801.51	1.85102	0.03229362
2890	-1621.87	-1623.82	1.95192	0.09325195
2900	-1602.74	-1604.35	1.61252	0.1135111
2910	-1603.22	-1604.85	1.62462	0.1128272
2920	-1611.49	-1613.29	1.7963	0.1028795
2930	-1679.35	-1681.65	2.29975	0.06178882
2940	-1615.02	-1616.88	1.85513	0.09932974
2950	-1692.15	-1694.46	2.31031	0.05719215
2960	-1856.44	-1857.74	1.29862	0.02458946
2970	-1595.15	-1596.53	1.37555	0.1266116
2980	-1668.68	-1670.95	2.2765	0.06608206
2990	-1784	-1785.97	1.96897	0.03490057
3000	-1902.44	-1903.16	0.716509	0.01986857
3010	-1628.28	-1630.31	2.02641	0.08829022
3020	-1591.63	-1592.84	1.20663	0.1357315
3030	-1608.38	-1610.12	1.73808	0.1063121
3040	-1666.65	-1668.92	2.27046	0.06695181
3050	-1658.25	-1660.49	2.23933	0.07076824
3060	-1659.7	-1661.95	2.24544	0.07008264
3070	-1626.44	-1628.44	2.00637	0.08965623
3080	-1728.63	-1730.89	2.25373	0.04653139
3090	-1730.28	-1732.53	2.24849	0.04611777
3100	-1985.16	-1984.54	-0.615984	0.01369233
3110	-1847.58	-1848.98	1.39723	0.02563813
3120	-1943.02	-1943.13	0.107813	0.01652772
3130	-1763.77	-1765.87	2.09788	0.03866545
3140	-1723.16	-1725.43	2.26955	0.04794134
3150	-1725.44	-1727.71	2.26324	0.04734647
3160	-1591.99	-1593.22	1.22741	0.1346157
3170	-1614.03	-1615.87	1.83931	0.1002932
3180	-1660.29	-1658.5	-1.78687	0.3047323
3190	-1604.55	-1606.21	1.65624	0.1110314
3200	-1726.42	-1728.68	2.26042	0.04709489
3210	-1656.6	-1658.83	2.23197	0.07156374
3220	-1588.5	-1589.03	0.533461	0.1716202
3230	-1589.79	-1590.87	1.07766	0.1426307
3240	-1645.5	-1647.67	2.17093	0.07733725
3250	-1622.55	-1624.51	1.96047	0.09269713
3260	-1715.81	-1718.1	2.28695	0.04993182
3270	-1668.19	-1670.47	2.27511	0.06628856
3280	-1640.62	-1642.75	2.13682	0.08016116
3290	-1635.98	-1638.08	2.09971	0.08303299
3300	-1642.06	-1644.2	2.14736	0.07930994
3310	-1652.46	-1654.67	2.21165	0.07362484
3320	-1676.01	-1678.31	2.29397	0.06308299
3330	-1716.13	-1718.41	2.28629	0.04984351
3340	-1665.48	-1667.75	2.26673	0.06746085
3350	-1756.23	-1758.37	2.13886	0.04019891
3360	-1761.24	-1763.35	2.11209	0.03917213
3370	-1805.08	-1806.89	1.80653	0.03144481
3380	-1691.69	-1694	2.31023	0.0573489
3390	-1668.3	-1670.58	2.27544	0.06624005
3400	-1687.82	-1690.13	2.30871	0.05868764
3410	-1591.72	-1591.93	0.213137	0.1888514
3420	-1595.33	-1596.71	1.38263	0.1262264
3430	-1590.06	-1591.16	1.09988	0.1414447
3440	-1661.11	-1663.36	2.25105	0.06943006
3450	-1606.14	-1607.83	1.69177	0.1089958
3460	-1591.97	-1593.19	1.22609	0.1346868
3470	-1599.92	-1599.7	-0.219703	0.2125729
3480	-1588.87	-1589.86	0.984682	0.1475858
3490	-1596.22	-1597.63	1.41626	0.1243928
3500	-1598.81	-1600.31	1.50337	0.1196056
3510	-1707.95	-1710.25	2.30042	0.05218781
3520	-1598.85	-1600.36	1.50478	0.1195273
3530	-1612.39	-1614.2	1.81193	0.1019451
3540	-1603.54	-1605.17	1.63233	0.1123908
