Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
250	0	-1588.411	-1588.96	0.549455	0.1707651
251	1	-1587.924	-1588.615	0.6911568	0.1632048
252	0	-1588.223	-1589.105	0.8825437	0.1530204
253	1	-1587.921	-1588.701	0.7807623	0.1584346
254	0	-1588.596	-1589.114	0.5178412	0.1724557
255	1	-1588.044	-1588.88	0.8361995	0.1554854
256	0	-1588.1	-1588.953	0.8529208	0.154596
257	1	-1588.633	-1589.145	0.5120894	0.1727634
258	0	-1588.066	-1588.695	0.6291263	0.1665113
259	1	-1587.892	-1588.624	0.7320232	0.1610285
260	0	-1588.908	-1589.38	0.4727313	0.1748709
261	1	-1590.222	-1591.334	1.112473	0.1407721
262	0	-1588.249	-1589.137	0.8881627	0.1527216
263	1	-1587.964	-1588.632	0.6679885	0.1644393
264	0	-1587.896	-1588.65	0.7537397	0.1598726
265	1	-1587.916	-1588.694	0.7773782	0.1586146
266	0	-1587.896	-1588.617	0.7215497	0.1615862
267	1	-1588.07	-1588.698	0.6280482	0.1665688
268	0	-1587.93	-1588.717	0.7871683	0.1580937
269	1	-1588.163	-1588.765	0.6021679	0.1679497
270	0	-1588.135	-1588.744	0.6093566	0.167566
271	1	-1587.892	-1588.636	0.7439276	0.1603948
272	0	-1588.001	-1588.822	0.821355	0.156275
273	1	-1588.988	-1589.986	0.9982604	0.1468628
274	0	-1588.64	-1589.151	0.5109697	0.1728234
275	1	-1588.048	-1588.683	0.6351455	0.1661903
276	0	-1588.276	-1588.852	0.575948	0.1693496
277	1	-1591.031	-1592.201	1.169594	0.137717
278	0	-1587.939	-1588.62	0.6810969	0.1637408
279	1	-1587.926	-1588.616	0.6897913	0.1632776
280	0	-1587.896	-1588.649	0.7531819	0.1599023
281	1	-1587.976	-1588.787	0.8112148	0.1568144
282	0	-1588.079	-1588.704	0.625205	0.1667205
283	1	-1588.372	-1588.929	0.5566893	0.1703785
284	0	-1588.093	-1588.944	0.8510206	0.1546971
285	1	-1588.116	-1588.73	0.6145775	0.1672875
286	0	-1588.067	-1588.696	0.6288082	0.1665283
287	1	-1588.637	-1589.591	0.9535975	0.1492404
288	0	-1587.898	-1588.656	0.7576858	0.1596625
289	1	-1588.01	-1588.659	0.6482821	0.1654898
290	0	-1587.892	-1588.636	0.7438905	0.1603968
291	1	-1588.192	-1588.787	0.5950423	0.16833
292	0	-1587.97	-1588.635	0.6651196	0.1645922
293	1	-1590.227	-1590.558	0.3315117	0.1824574
294	0	-1588.016	-1588.662	0.6462022	0.1656007
295	1	-1587.962	-1588.631	0.6688921	0.1643912
296	0	-1588.585	-1589.531	0.9460664	0.1496411
297	1	-1587.899	-1588.614	0.7152868	0.1619196
298	0	-1587.938	-1588.62	0.6818064	0.163703
299	1	-1589.344	-1589.764	0.4194961	0.1777259
300	0	-1588.984	-1589.447	0.4626939	0.1754088
301	1	-1587.904	-1588.67	0.7660643	0.1592167
302	0	-1588.721	-1589.22	0.4987841	0.1734756
303	1	-1587.937	-1588.619	0.6827228	0.1636542
304	0	-1588.023	-1588.666	0.643794	0.1657291
305	1	-1588.91	-1589.899	0.9890335	0.1473541
306	0	-1589.407	-1590.449	1.042447	0.1445087
307	1	-1587.936	-1588.727	0.7909559	0.1578922
308	0	-1588.047	-1588.884	0.8371991	0.1554323
309	1	-1588.159	-1589.027	0.8679548	0.1537964
310	0	-1589.089	-1589.539	0.4494801	0.1761172
311	1	-1588.441	-1589.365	0.9236363	0.1508345
312	0	-1589.007	-1590.007	1.000388	0.1467495
313	1	-1587.897	-1588.654	0.7566055	0.15972
314	0	-1588.258	-1588.838	0.5799957	0.1691334
315	1	-1589.997	-1591.092	1.094758	0.1417182
316	0	-1588.024	-1588.667	0.6434455	0.1657477
317	1	-1590.91	-1592.072	1.161643	0.1381427
318	0	-1587.924	-1588.615	0.6913937	0.1631922
319	1	-1588.567	-1589.089	0.5225866	0.1722018
320	0	-1588.398	-1588.95	0.5518352	0.1706379
321	1	-1587.894	-1588.644	0.7495909	0.1600934
322	0	-1588.014	-1588.841	0.8262438	0.156015
323	1	-1587.901	-1588.614	0.7130867	0.1620368
324	0	-1588.467	-1589.007	0.5392789	0.1713091
325	1	-1587.898	-1588.657	0.758284	0.1596307
326	0	-1588.667	-1589.625	0.9578237	0.1490155
327	1	-1587.972	-1588.782	0.8095513	0.1569029
328	0	-1588.127	-1588.987	0.86006	0.1542163
329	1	-1588.793	-1589.767	0.9745392	0.1481258
330	0	-1588.797	-1589.773	0.9751224	0.1480947
331	1	-1587.989	-1588.646	0.6568126	0.165035
332	0	-1588.258	-1589.148	0.8899295	0.1526276
333	1	-1587.99	-1588.647	0.6562064	0.1650673
334	0	-1588.369	-1589.281	0.9112634	0.1514928
335	1	-1588.834	-1589.317	0.4826866	0.1743375
336	0	-1587.899	-1588.615	0.7158416	0.1618901
337	1	-1587.905	-1588.672	0.7671098	0.159161
338	0	-1587.907	-1588.675	0.7685162	0.1590862
339	1	-1587.926	-1588.71	0.7843764	0.1582423
340	0	-1588.349	-1589.257	0.9076142	0.1516869
341	1	-1589.06	-1589.513	0.4530801	0.1759241
342	0	-1588.07	-1588.698	0.6279889	0.166572
343	1	-1587.948	-1588.745	0.7975534	0.1575412
344	0	-1588.05	-1588.684	0.6344152	0.1662292
345	1	-1587.897	-1588.616	0.7185233	0.1617473
346	0	-1587.952	-1588.626	0.674022	0.1641178
347	1	-1588.066	-1588.909	0.8431338	0.1551166
348	0	-1588.526	-1589.056	0.5291993	0.1718481
349	1	-1588.304	-1589.203	0.8990969	0.15214
350	0	-1587.956	-1588.758	0.8017882	0.1573159
351	1	-1588.01	-1588.659	0.6483478	0.1654863
352	0	-1588.072	-1588.7	0.6272725	0.1666102
