Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]
780	-1551.48	-1571.83	20.3558	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
790	-1544.19	-1569	24.8078	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
800	-1549.57	-1569.77	20.2044	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
810	-1548.33	-1569.09	20.7581	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
820	-1546.76	-1567.77	21.0161	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
830	-1547.17	-1569.54	22.3656	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
840	-1549.49	-1567.94	18.4517	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
850	-1547.7	-1569.53	21.8299	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
860	-1546.59	-1570.41	23.8195	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
870	-1548.59	-1569.29	20.6957	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
880	-1545.86	-1567.91	22.0486	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
890	-1546.43	-1571.39	24.9597	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
900	-1546.64	-1568.1	21.4589	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
910	-1546.24	-1568.02	21.7879	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
920	-1542.81	-1568.84	26.034	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
930	-1555.03	-1568.53	13.5048	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
940	-1545.28	-1568.14	22.8527	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
950	-1551.42	-1567.43	16.0093	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
960	-1551.61	-1569	17.3932	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
970	-1549.41	-1566.86	17.4486	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
980	-1548.55	-1570.59	22.0315	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
990	-1548.88	-1569.42	20.5432	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1000	-1546.55	-1567.54	20.9885	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1010	-1544.82	-1567.12	22.297	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
