Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	extinction[27]	extinction[28]	extinction[29]	extinction[30]	extinction[31]	extinction[32]	extinction[33]	extinction[34]	extinction[35]	extinction[36]	extinction[37]	extinction[38]	extinction[39]	extinction[40]	extinction[41]	extinction[42]	extinction[43]	extinction[44]	extinction[45]	extinction[46]	extinction[47]	extinction[48]	extinction[49]	extinction[50]	extinction[51]
200	-1300.76	-1570.3	269.547	0.18632	0.185399	0.185197	0.187765	0.188594	0.187579	0.186596	0.186247	0.186051	0.187255	0.187304	0.186368	0.187012	0.186009	0.18547	0.184575	0.184331	0.182235	0.181675	0.180863	0.181488	0.179733	0.18055	0.177862	0.178382	0.178235	0.176806	0.178959	0.177738	0.181665	0.183353	0.182377	0.181948	0.182073	0.183392	0.184216	0.185771	0.188679	0.187954	0.189848	0.190416	0.192191	0.194245	0.191645	0.190888	0.187757	0.185352	0.184612	0.185102	0.182792	0.185376
210	-1382.09	-1572.63	190.54	0.139299	0.151998	0.147498	0.152664	0.15468	0.151693	0.140646	0.132384	0.14394	0.150022	0.146077	0.154706	0.1477	0.15486	0.156268	0.146543	0.135374	0.129773	0.122654	0.128508	0.122744	0.12031	0.11873	0.119888	0.116393	0.109297	0.110367	0.108266	0.112622	0.116584	0.11944	0.126654	0.13441	0.132506	0.133456	0.153629	0.141113	0.158037	0.167657	0.160429	0.167198	0.177275	0.164876	0.174066	0.150895	0.152619	0.147868	0.136948	0.134307	0.128514	0.111495
220	-1338.06	-1570.64	232.582	0.180653	0.179401	0.17961	0.179623	0.176711	0.176778	0.17788	0.178086	0.176623	0.17874	0.175554	0.178159	0.184263	0.177524	0.183126	0.17756	0.173748	0.1714	0.171421	0.174103	0.172105	0.165858	0.168434	0.167773	0.165947	0.160794	0.160779	0.163011	0.164837	0.166454	0.167596	0.170112	0.168553	0.172582	0.173576	0.180196	0.186115	0.187931	0.184438	0.182157	0.185513	0.187239	0.188264	0.186523	0.185298	0.179608	0.178862	0.175614	0.17246	0.171097	0.171997
230	-1321.77	-1570.66	248.888	0.129043	0.12794	0.131089	0.131349	0.130461	0.130793	0.128948	0.129234	0.127823	0.129836	0.129195	0.129598	0.128337	0.130011	0.12974	0.12823	0.128081	0.126697	0.126694	0.128384	0.12662	0.12713	0.124317	0.124496	0.123787	0.121565	0.121654	0.122625	0.124023	0.122564	0.124599	0.126756	0.126735	0.125584	0.127745	0.130281	0.132502	0.133557	0.133462	0.131789	0.132837	0.133079	0.132507	0.131742	0.131122	0.130856	0.130082	0.127619	0.124541	0.127511	0.128627
240	-1351.4	-1569.14	217.747	0.184925	0.182424	0.181891	0.181501	0.184196	0.180897	0.173653	0.177226	0.178488	0.177199	0.17978	0.17772	0.176006	0.173045	0.173293	0.170881	0.170852	0.171387	0.170322	0.171428	0.171883	0.175188	0.166852	0.169141	0.166063	0.160237	0.162387	0.164158	0.16133	0.165567	0.165664	0.172016	0.172178	0.16957	0.170863	0.179698	0.186027	0.186446	0.187368	0.185486	0.185178	0.182731	0.178854	0.177216	0.182676	0.183361	0.17511	0.174111	0.173684	0.170961	0.175154
250	-1314.29	-1568.29	254.002	0.196858	0.199917	0.200979	0.200707	0.199549	0.202582	0.200512	0.199469	0.198701	0.196949	0.20042	0.196606	0.194456	0.19205	0.19832	0.195753	0.196367	0.195193	0.194582	0.196974	0.19333	0.194971	0.195497	0.192354	0.190234	0.18556	0.186085	0.185772	0.183931	0.185877	0.190963	0.192142	0.194431	0.197375	0.200679	0.198108	0.200065	0.204002	0.201352	0.204441	0.203002	0.196643	0.195754	0.199452	0.200605	0.198555	0.197245	0.195892	0.196748	0.1982	0.19577
260	-1347.15	-1568.78	221.626	0.162826	0.162159	0.162682	0.162532	0.165036	0.165793	0.16386	0.161352	0.161514	0.165114	0.162401	0.16022	0.162329	0.163144	0.160757	0.163648	0.159998	0.157551	0.158873	0.160564	0.159335	0.1587	0.155661	0.152748	0.149503	0.15095	0.151015	0.147057	0.148484	0.152969	0.149333	0.151022	0.15855	0.160937	0.161889	0.163687	0.169074	0.165726	0.164706	0.163808	0.161311	0.160871	0.15889	0.163161	0.164255	0.162205	0.160815	0.159557	0.160353	0.161488	0.158822
270	-1355.21	-1569.72	214.514	0.162981	0.168139	0.166287	0.16816	0.166083	0.170797	0.169671	0.167712	0.166451	0.158591	0.157444	0.160708	0.16244	0.166615	0.163471	0.165084	0.162713	0.16375	0.162101	0.159098	0.15856	0.161885	0.157551	0.153412	0.154471	0.150679	0.153144	0.147451	0.148728	0.151971	0.15036	0.152338	0.158703	0.164411	0.166323	0.166151	0.170173	0.168928	0.172401	0.169232	0.168866	0.168444	0.168447	0.171085	0.168762	0.168693	0.164735	0.163709	0.162597	0.162471	0.165721
280	-1304.49	-1568.33	263.838	0.182408	0.182511	0.183531	0.182517	0.181991	0.181997	0.182969	0.182119	0.181126	0.179586	0.180058	0.181957	0.181945	0.180569	0.18126	0.181805	0.180864	0.179966	0.180768	0.179745	0.179576	0.180609	0.178879	0.177392	0.178284	0.177064	0.17786	0.176007	0.176427	0.17714	0.17696	0.177601	0.179621	0.181359	0.180193	0.180189	0.183063	0.182747	0.183778	0.182838	0.182462	0.182603	0.182603	0.182905	0.182698	0.181922	0.182352	0.181169	0.180828	0.180805	0.181112
290	-1320.82	-1571.57	250.747	0.159953	0.160054	0.159823	0.162167	0.160021	0.158779	0.158009	0.16007	0.156851	0.155881	0.15524	0.159281	0.159018	0.158337	0.155652	0.157212	0.156847	0.15519	0.1569	0.155794	0.154283	0.154578	0.153894	0.151966	0.149416	0.14935	0.151037	0.151077	0.151745	0.149342	0.148227	0.149255	0.154372	0.157838	0.162233	0.164214	0.159694	0.162074	0.161805	0.160671	0.160894	0.161181	0.158495	0.158443	0.159026	0.155804	0.160318	0.161217	0.157275	0.154364	0.156152
