Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
830	-1547.17	-1569.54	22.3656	0.185629	0.179087	0.186418	0.213097	0.213692	0.222125	0.248439	0.234472	0.222769	0.20372	0.201667
840	-1549.49	-1567.94	18.4517	0.213531	0.238836	0.251303	0.272752	0.260809	0.28203	0.281445	0.273546	0.254916	0.248949	0.255065
850	-1547.7	-1569.53	21.8299	0.213898	0.215511	0.228483	0.232252	0.247659	0.233379	0.204542	0.1984	0.215978	0.232677	0.226375
860	-1546.59	-1570.41	23.8195	0.265989	0.271431	0.255015	0.260525	0.26688	0.242165	0.240327	0.256321	0.258811	0.260826	0.267793
870	-1548.59	-1569.29	20.6957	0.135869	0.14867	0.157777	0.180268	0.183933	0.180433	0.17892	0.183604	0.181573	0.191393	0.209433
880	-1545.86	-1567.91	22.0486	0.157905	0.162185	0.178408	0.178967	0.166862	0.160486	0.177733	0.186455	0.172421	0.171279	0.17408
890	-1546.43	-1571.39	24.9597	0.16111	0.157216	0.153561	0.157353	0.169484	0.171518	0.164052	0.160726	0.152849	0.158853	0.151194
900	-1546.64	-1568.1	21.4589	0.187091	0.211117	0.230826	0.226225	0.220342	0.214231	0.236216	0.232672	0.210207	0.205258	0.208194
910	-1546.24	-1568.02	21.7879	0.170052	0.168205	0.169541	0.166062	0.17741	0.172305	0.176199	0.179799	0.190774	0.212204	0.204974
920	-1542.81	-1568.84	26.034	0.225772	0.216761	0.225607	0.246453	0.239443	0.239357	0.240541	0.247698	0.238139	0.245944	0.264402
930	-1555.03	-1568.53	13.5048	0.127076	0.149922	0.151116	0.154635	0.150091	0.156393	0.152906	0.1719	0.170438	0.164168	0.163638
940	-1545.28	-1568.14	22.8527	0.175744	0.172	0.180554	0.191158	0.192195	0.202148	0.197808	0.213845	0.232804	0.237767	0.254942
950	-1551.42	-1567.43	16.0093	0.161219	0.169088	0.171196	0.165805	0.183047	0.170615	0.194154	0.188347	0.210313	0.208712	0.219698
960	-1551.61	-1569	17.3932	0.169368	0.174633	0.188322	0.204694	0.219584	0.236077	0.241614	0.250498	0.279489	0.292748	0.331692
970	-1549.41	-1566.86	17.4486	0.107872	0.123289	0.143995	0.13705	0.143649	0.151632	0.151174	0.155507	0.157299	0.152196	0.147051
980	-1548.55	-1570.59	22.0315	0.0679687	0.0699635	0.0704442	0.0780209	0.0902638	0.0930318	0.0938334	0.09808	0.0958823	0.099954	0.0999288
990	-1548.88	-1569.42	20.5432	0.17718	0.178209	0.172561	0.168437	0.167441	0.187787	0.185509	0.187009	0.206202	0.215645	0.224187
1000	-1546.55	-1567.54	20.9885	0.12768	0.129363	0.126132	0.126444	0.12876	0.126065	0.125677	0.140808	0.139323	0.135701	0.139173
1010	-1544.82	-1567.12	22.297	0.144005	0.167214	0.177192	0.174788	0.177109	0.187928	0.188083	0.192273	0.182303	0.187903	0.17931
1020	-1551.8	-1570.83	19.0328	0.114265	0.113356	0.109369	0.11166	0.108955	0.109594	0.122652	0.119258	0.119879	0.120608	0.113308
1030	-1545.47	-1567.74	22.2689	0.127903	0.135623	0.127718	0.137337	0.140442	0.145909	0.162818	0.154662	0.168315	0.154783	0.153886
1040	-1551.98	-1571.08	19.1009	0.242127	0.246648	0.254273	0.258728	0.271619	0.301234	0.28559	0.288769	0.27644	0.23888	0.224179
1050	-1550.91	-1568.29	17.3804	0.131322	0.134242	0.151513	0.152553	0.158025	0.173036	0.171629	0.182006	0.181245	0.165379	0.200086
1060	-1545.98	-1571.72	25.7383	0.195711	0.197544	0.20007	0.213599	0.196095	0.190439	0.199106	0.208984	0.224249	0.209386	0.21707
1070	-1554.59	-1577.28	22.6852	0.27341	0.269886	0.247983	0.240942	0.232027	0.225344	0.220224	0.227003	0.20787	0.215347	0.202121
1080	-1554.66	-1571.71	17.0495	0.126819	0.128025	0.135823	0.128602	0.141623	0.125005	0.135033	0.137415	0.137048	0.123636	0.122705
1090	-1557.8	-1568.87	11.0678	0.188854	0.213436	0.205763	0.242676	0.232771	0.203604	0.188197	0.184602	0.191228	0.184919	0.176936
1100	-1549.81	-1569.59	19.7894	0.226108	0.227654	0.215907	0.203174	0.198668	0.214817	0.205583	0.205633	0.206394	0.211791	0.222784
1110	-1547.2	-1568.12	20.9259	0.100245	0.111633	0.120388	0.128776	0.121283	0.123334	0.130299	0.124806	0.13439	0.146641	0.143778
1120	-1548.39	-1568.84	20.4494	0.192376	0.200864	0.21633	0.203593	0.228674	0.227828	0.241415	0.251107	0.249681	0.276419	0.282956
1130	-1546.75	-1566.63	19.8752	0.107103	0.115709	0.12804	0.131622	0.142617	0.153109	0.15013	0.161383	0.154021	0.150027	0.161206
1140	-1545.02	-1567.93	22.9131	0.148206	0.152891	0.164865	0.186947	0.193659	0.199934	0.18185	0.179729	0.169188	0.17028	0.166319
1150	-1548.24	-1570.76	22.5183	0.235276	0.240534	0.261225	0.248792	0.255564	0.255619	0.237969	0.233701	0.241279	0.218657	0.218936
1160	-1548.18	-1569.43	21.2434	0.206173	0.239498	0.248447	0.259969	0.267324	0.266975	0.259927	0.25573	0.250278	0.222552	0.23293
1170	-1546.34	-1571.62	25.283	0.234632	0.223415	0.2276	0.217686	0.212326	0.232717	0.22665	0.237142	0.235251	0.229452	0.214051
1180	-1547.57	-1569.74	22.1623	0.130002	0.126009	0.123464	0.125421	0.130413	0.135535	0.14794	0.145851	0.157047	0.155047	0.160898
1190	-1546.33	-1570.39	24.0618	0.182259	0.167452	0.178794	0.20322	0.204321	0.208169	0.22036	0.236453	0.23282	0.230416	0.221165
1200	-1552.23	-1569.5	17.2683	0.101338	0.10542	0.104095	0.0986164	0.109448	0.108706	0.120104	0.110991	0.108193	0.110175	0.114909
1210	-1550.38	-1569.51	19.1278	0.182337	0.181355	0.183938	0.202413	0.206465	0.212357	0.229899	0.252636	0.277145	0.264476	0.256664
1220	-1546.29	-1569.98	23.6951	0.196035	0.194937	0.196433	0.190528	0.193522	0.209629	0.204773	0.219478	0.221318	0.239824	0.214617
1230	-1547.93	-1570.48	22.555	0.215131	0.20016	0.216405	0.251579	0.249098	0.227249	0.223043	0.231104	0.244428	0.237431	0.241353
1240	-1549.89	-1571.28	21.3927	0.163758	0.184678	0.185213	0.192293	0.198669	0.207178	0.201047	0.207036	0.236563	0.246336	0.240134
1250	-1550.59	-1570.53	19.9354	0.139504	0.132951	0.13793	0.156997	0.181825	0.18033	0.175548	0.158458	0.15496	0.142751	0.142987
1260	-1551.66	-1570.28	18.6249	0.213378	0.211339	0.207183	0.226075	0.226744	0.221702	0.226314	0.215347	0.193551	0.174605	0.168103
1270	-1559.61	-1575.01	15.402	0.0474733	0.0463838	0.0444763	0.0403184	0.0414201	0.0381847	0.0387953	0.038268	0.0391637	0.0347447	0.0334869
1280	-1547.34	-1568.21	20.8658	0.101381	0.0962978	0.0958174	0.101166	0.107	0.0973728	0.0864592	0.0859211	0.0849876	0.0896025	0.0893779
1290	-1543.6	-1568.42	24.8212	0.147602	0.149723	0.153066	0.141507	0.143189	0.147942	0.143153	0.145875	0.142764	0.132666	0.140962
1300	-1544.2	-1568.52	24.3217	0.215406	0.204471	0.214933	0.225413	0.246522	0.229483	0.241862	0.231988	0.237673	0.229831	0.234221
1310	-1547.99	-1568.87	20.8834	0.142325	0.137598	0.146723	0.143661	0.153844	0.163208	0.137043	0.143915	0.136942	0.130876	0.124695
1320	-1545.84	-1571.23	25.3903	0.115347	0.109708	0.110676	0.108343	0.101576	0.106532	0.10979	0.109032	0.112644	0.117869	0.120571
1330	-1547.03	-1569	21.9706	0.171518	0.166422	0.169783	0.160909	0.149444	0.154778	0.153523	0.149685	0.133524	0.123576	0.116392
1340	-1546.26	-1567.68	21.427	0.158295	0.162081	0.166776	0.162438	0.15348	0.147504	0.157654	0.160154	0.150877	0.156333	0.175543
1350	-1543.11	-1567.37	24.2539	0.164653	0.178726	0.189812	0.18183	0.178857	0.181485	0.181831	0.171896	0.179429	0.199327	0.191823
1360	-1547.12	-1569.18	22.054	0.200404	0.198104	0.205116	0.220971	0.233315	0.220248	0.221197	0.216403	0.234737	0.241516	0.248218
1370	-1553.73	-1569.69	15.9612	0.119651	0.12447	0.127752	0.151376	0.145894	0.141654	0.144976	0.151127	0.144695	0.148157	0.152258
