Iteration	Posterior	Likelihood	Prior	event_rate	extinction_mean	rate_sd	speciation_mean
173	-1564.68	-1567.82	3.14692	0.02925023	0.05152724	0.7876685	0.1014838
174	-1563.43	-1566.88	3.45428	0.03248969	0.03483389	0.8280272	0.1030638
175	-1563.79	-1567.24	3.44798	0.03669463	0.03431825	0.8404906	0.1030638
176	-1565.36	-1568.81	3.44798	0.05239088	0.03431825	0.8404906	0.1030638
177	-1565.85	-1569.27	3.41511	0.04933491	0.03084089	0.9225543	0.1030638
178	-1564.66	-1568.05	3.38836	0.03230764	0.03146519	0.8830295	0.1109788
179	-1563.29	-1566.96	3.676	0.02479883	0.0262622	0.6536776	0.1473634
180	-1563.08	-1567.01	3.93758	0.02560667	0.0262622	0.5000246	0.1473634
181	-1563.39	-1566.99	3.59791	0.0236358	0.02804398	0.6471867	0.150867
182	-1562.68	-1566.4	3.7129	0.0236358	0.02804398	0.5796441	0.150867
183	-1564	-1567.91	3.90712	0.03192814	0.02804398	0.4655563	0.150867
184	-1562.92	-1566.5	3.57691	0.02177234	0.03700374	0.4966686	0.150867
185	-1562.83	-1566.77	3.94805	0.02684882	0.02313835	0.5544628	0.150867
186	-1562.27	-1565.98	3.70586	0.01439944	0.02947896	0.5544628	0.150867
187	-1562.58	-1565.87	3.28978	0.01646144	0.04469038	0.5544628	0.150867
188	-1563.08	-1566.57	3.4891	0.01574956	0.04066065	0.5544628	0.1358533
189	-1564.87	-1567.18	2.31027	0.009012829	0.09161517	0.5544628	0.1959923
190	-1563.57	-1566.47	2.8991	0.006177126	0.06295463	0.4289652	0.1959923
191	-1563.63	-1566.33	2.69207	0.005240178	0.07743512	0.4289652	0.1959923
192	-1563.11	-1565.83	2.71914	0.008557121	0.07693192	0.4365746	0.1895341
193	-1563.98	-1566.19	2.20714	0.009616281	0.1178703	0.4402765	0.2051213
194	-1569.12	-1570.58	1.46612	0.009616281	0.1531485	0.6512847	0.2312692
195	-1565.84	-1567.62	1.78348	0.0118894	0.1531485	0.6512847	0.1683787
196	-1566.72	-1568.4	1.67926	0.01852447	0.1790903	0.62059	0.1683787
197	-1565.48	-1567.47	1.99149	0.02231405	0.1310601	0.62059	0.1683787
198	-1565.27	-1567.27	1.99149	0.0198062	0.1310601	0.62059	0.1683787
199	-1564.84	-1567.25	2.41386	0.01931645	0.08464363	0.62059	0.1708958
200	-1563.17	-1566.06	2.89473	0.01158706	0.06779281	0.5235605	0.1556106
201	-1563.12	-1565.97	2.85429	0.01173328	0.06305036	0.5899196	0.1556106
202	-1564.68	-1568.18	3.49908	0.01173328	0.04645491	0.3745286	0.1599243
203	-1563.3	-1566.15	2.8484	0.02247566	0.06647214	0.546273	0.1599243
204	-1563.4	-1566.15	2.75665	0.01575378	0.07805204	0.546273	0.1492853
205	-1563.94	-1566.71	2.77323	0.02657237	0.07805204	0.5365303	0.1492853
206	-1563.03	-1566.45	3.42153	0.02657237	0.03822979	0.5749825	0.1492853
207	-1563.34	-1566.07	2.73068	0.01716046	0.07821212	0.5749825	0.145606
208	-1564.63	-1567.47	2.83455	0.02584711	0.07867036	0.5105361	0.145606
209	-1565.19	-1567.48	2.28492	0.02584711	0.1189968	0.5424617	0.1579612
210	-1565.24	-1567.36	2.12118	0.02720252	0.1189968	0.6386446	0.1579612
211	-1566.55	-1568.65	2.10514	0.03595279	0.1335058	0.5804852	0.1579612
212	-1565.43	-1567.45	2.01364	0.02456878	0.1335058	0.6342337	0.1579612
213	-1563.9	-1566.28	2.37524	0.01883169	0.09566155	0.6342337	0.1535585
214	-1563.56	-1566.31	2.75284	0.01907635	0.06641386	0.6267766	0.1535585
215	-1563.71	-1566.62	2.91053	0.01880447	0.06799024	0.6267766	0.1281163
216	-1565.45	-1568.31	2.86075	0.05050254	0.06799024	0.5763125	0.1467344
217	-1562.74	-1565.92	3.17638	0.01463552	0.04886799	0.5848971	0.1467344
218	-1562.46	-1566.14	3.67964	0.01463552	0.02801044	0.5875958	0.1540562
219	-1564.2	-1568.25	4.04624	0.00758185	0.0211261	0.4285216	0.185599
220	-1562.51	-1566.06	3.55109	0.01406413	0.03656263	0.4970955	0.1565674
221	-1564.76	-1568.31	3.55277	0.01436153	0.03656263	0.3546945	0.1991833
222	-1563.38	-1566.32	2.93617	0.006191159	0.06181968	0.4889638	0.1736512
223	-1564.53	-1567.8	3.2692	0.01087068	0.03548969	0.6193385	0.1736512
224	-1564.94	-1568.57	3.63662	0.01400081	0.02169784	0.6590472	0.1838396
225	-1563.25	-1567.59	4.34096	0.01400081	0.01470952	0.5103492	0.1727053
226	-1563.54	-1568.46	4.92294	0.01400081	0.007444706	0.5685047	0.1727053
227	-1562.16	-1566.92	4.76061	0.01280027	0.01027461	0.6796153	0.1218259
228	-1562	-1569.09	7.08553	0.01152583	0.001263702	0.5449312	0.1218259
229	-1560.47	-1568.24	7.76514	0.01152583	0.000596957	0.5862514	0.1218259
230	-1560.46	-1567.54	7.08573	0.0323238	0.001059555	0.6734718	0.1167175
231	-1561.45	-1568.21	6.76467	0.03253247	0.001581245	0.6734718	0.107819
232	-1561.14	-1567.14	5.9979	0.01857098	0.003211624	0.7076615	0.107819
233	-1563.18	-1568.21	5.02794	0.01075177	0.006690035	0.8638067	0.1046637
234	-1562.81	-1567.03	4.22365	0.02453889	0.0149529	0.8638067	0.1046637
235	-1562.21	-1566.63	4.42044	0.02453889	0.01428373	0.7295186	0.1131103
236	-1562.22	-1566.66	4.44146	0.02453889	0.01428373	0.7171717	0.1131103
237	-1562.19	-1566.67	4.47633	0.02453889	0.01379419	0.7171717	0.1131103
238	-1562.45	-1566.89	4.4335	0.02130179	0.01498132	0.7504628	0.1027153
239	-1562.79	-1567.66	4.86674	0.03420976	0.009433981	0.8008496	0.09706937
240	-1561.68	-1566.94	5.26169	0.02071849	0.006355807	0.8008496	0.09706937
241	-1561.99	-1566.72	4.72584	0.01687518	0.009974727	0.8008496	0.1056987
242	-1562.16	-1566.9	4.73638	0.02854839	0.01019593	0.7817763	0.1056987
243	-1562.51	-1566.21	3.7008	0.01856732	0.02723444	0.7817763	0.1114613
244	-1564.64	-1569.23	4.59253	0.04348902	0.01423552	0.6390429	0.1114613
245	-1561.78	-1566.91	5.13476	0.02466817	0.007318563	0.7212864	0.1095917
246	-1561.87	-1566.99	5.11962	0.02176876	0.007318563	0.8123381	0.09528739
247	-1562.07	-1566.98	4.90676	0.02184067	0.009054606	0.8123381	0.09528739
248	-1562.57	-1567.47	4.90676	0.01131941	0.009054606	0.8123381	0.09528739
