Iteration	Posterior	Likelihood	Prior	num_events
220	-1569.128	-1570.44	1.311746	2
221	-1565.876	-1567.216	1.340115	2
222	-1568.549	-1569.821	1.27259	1
223	-1569.033	-1568.476	-0.5573139	1
224	-1567.224	-1567.033	-0.1906407	3
225	-1568.37	-1566.991	-1.379007	1
226	-1566.536	-1565.987	-0.5487331	1
227	-1569.688	-1567.222	-2.465785	2
228	-1568.499	-1565.816	-2.682886	2
229	-1564.188	-1563.638	-0.5505221	3
230	-1568.911	-1565.541	-3.369583	1
231	-1568.301	-1564.702	-3.598928	1
232	-1566.894	-1564.103	-2.790839	1
233	-1566.895	-1565.653	-1.241363	2
234	-1571.686	-1565.345	-6.341048	2
235	-1568.258	-1564.496	-3.761625	1
236	-1567.763	-1565.951	-1.811117	2
237	-1565.279	-1564.408	-0.8710216	1
238	-1568.952	-1567.627	-1.324899	1
239	-1565.491	-1564.933	-0.5576316	1
240	-1566.844	-1566.519	-0.3252879	1
241	-1565.751	-1566.674	0.9232492	1
242	-1563.471	-1564.329	0.8582334	1
243	-1565.478	-1564.596	-0.881223	1
244	-1567.463	-1566.286	-1.176565	1
245	-1566.802	-1567.298	0.496602	1
246	-1564.596	-1565.88	1.284656	1
247	-1564.356	-1566.296	1.939616	1
248	-1562.448	-1564.933	2.484783	1
249	-1566.717	-1570.036	3.318788	1
250	-1571.896	-1567.737	-4.158722	3
251	-1567.097	-1567.549	0.4512311	1
252	-1567.551	-1567.244	-0.3065851	1
253	-1569.471	-1566.802	-2.66879	1
254	-1572.237	-1568.611	-3.625357	1
255	-1573.757	-1570.155	-3.602129	1
256	-1569.104	-1565.924	-3.180618	1
257	-1567.19	-1564.68	-2.510412	1
258	-1567.052	-1564.272	-2.780142	1
259	-1566.331	-1566.649	0.3186174	2
260	-1568.058	-1564.54	-3.518338	1
261	-1570.915	-1567.844	-3.071238	1
262	-1567.775	-1566.935	-0.8395442	1
263	-1570.621	-1570.166	-0.4554871	1
264	-1570.762	-1567.816	-2.945726	1
265	-1570.422	-1566.833	-3.589481	1
266	-1571.309	-1566.313	-4.995856	1
267	-1573.359	-1569.883	-3.476818	3
268	-1571.514	-1568.654	-2.859624	1
269	-1571.282	-1567.023	-4.259091	1
270	-1569.736	-1567.086	-2.650356	1
271	-1570.041	-1567.001	-3.0403	1
272	-1571.95	-1568.046	-3.903372	1
273	-1570.678	-1567.028	-3.649629	1
274	-1570.656	-1565.584	-5.072488	1
275	-1572.435	-1568.547	-3.88808	1
276	-1572.355	-1567.555	-4.79964	1
277	-1571.566	-1566.148	-5.417855	1
278	-1571.054	-1566.493	-4.561628	1
279	-1573.1	-1568.795	-4.305434	1
280	-1571.588	-1566.811	-4.776816	1
281	-1572.606	-1567.407	-5.199336	1
282	-1571.439	-1566.864	-4.575314	1
283	-1573.267	-1569.251	-4.016418	1
284	-1571.003	-1565.406	-5.596324	1
285	-1575.134	-1569.5	-5.63468	1
286	-1572.067	-1566.472	-5.594802	1
287	-1572.121	-1566.441	-5.68015	1
288	-1569.493	-1566.397	-3.095862	2
289	-1572.393	-1566.849	-5.543702	1
290	-1575.648	-1570.255	-5.393274	1
291	-1574.549	-1568.097	-6.451997	1
292	-1573.181	-1567.728	-5.453571	1
293	-1573.061	-1568.151	-4.91032	1
294	-1572.256	-1567.084	-5.171944	1
295	-1570.4	-1568.452	-1.948051	2
296	-1571.515	-1568.307	-3.208288	1
297	-1572.508	-1568.911	-3.597468	1
298	-1571.738	-1566.53	-5.207544	1
299	-1573.791	-1568.168	-5.62303	1
300	-1575.296	-1572.961	-2.334286	0
301	-1575.429	-1572.5	-2.929454	0
302	-1574.976	-1572.047	-2.929454	0
303	-1571.901	-1569.61	-2.290554	1
304	-1565.861	-1566.598	0.7371776	1
305	-1566.457	-1566.317	-0.1403514	1
306	-1564.393	-1566.455	2.06229	2
307	-1567.805	-1566.65	-1.155343	1
308	-1569.456	-1567.486	-1.969154	1
309	-1566.907	-1565.598	-1.309131	1
310	-1565.335	-1567.048	1.712509	1
311	-1566.819	-1567.231	0.4117878	1
312	-1567.698	-1568.115	0.4165959	1
313	-1567.211	-1566.35	-0.860668	1
314	-1567.36	-1566.26	-1.100048	1
315	-1568.675	-1567.343	-1.331218	1
316	-1567.414	-1565.207	-2.207072	1
317	-1569.553	-1566.832	-2.721276	1
318	-1566.152	-1567.683	1.53055	2
319	-1562.779	-1564.278	1.498761	2
320	-1568.408	-1567.443	-0.9653949	1
321	-1571.936	-1569.105	-2.831693	1
322	-1566.216	-1564.786	-1.430106	1
323	-1565.353	-1564.546	-0.8065168	1
324	-1563.66	-1566.626	2.965778	1
325	-1565.827	-1567.811	1.983791	1
326	-1564.676	-1565.857	1.181229	1
327	-1569.002	-1569.279	0.2767211	1
328	-1566.399	-1566.789	0.3900609	1
329	-1569.153	-1570.103	0.9501597	1
330	-1567.049	-1568.029	0.9793956	2
331	-1561.839	-1564.211	2.372646	2
332	-1564.211	-1565.824	1.612773	1
333	-1565.894	-1567.399	1.504422	1
334	-1566.89	-1567.4	0.5104342	1
335	-1563.614	-1565.196	1.582117	1
336	-1563.315	-1566.089	2.773466	2
337	-1563.201	-1564.997	1.796079	1
338	-1565.365	-1565.922	0.5569185	1
339	-1568.335	-1566.938	-1.39685	1
340	-1566.224	-1566.125	-0.0989897	1
341	-1562.091	-1565.698	3.607475	2
342	-1559.63	-1565.739	6.109742	2
343	-1559.988	-1566.063	6.07534	2
344	-1560.393	-1567.935	7.541851	2
345	-1562.846	-1568.042	5.195929	1
346	-1564.066	-1568.001	3.934391	1
347	-1566.833	-1565.387	-1.445993	2
348	-1569.234	-1569.498	0.263427	2
349	-1567.134	-1567.124	-0.01007801	2
350	-1561.496	-1566.811	5.314474	1
351	-1561.812	-1568.625	6.813788	1
352	-1562.062	-1569.325	7.262914	1
353	-1558.313	-1564.561	6.248407	2
354	-1559.655	-1565.709	6.053329	2
355	-1562.157	-1567.629	5.472595	1
356	-1559.643	-1566.83	7.186918	1
357	-1561.464	-1570.277	8.813143	2
358	-1562.643	-1569.137	6.493183	1
359	-1561.976	-1567.539	5.563737	1
360	-1564.76	-1571.064	6.30462	1
361	-1564.105	-1569.504	5.399476	1
362	-1561.707	-1567.35	5.642406	1
363	-1562.987	-1567.029	4.041295	1
364	-1561.801	-1567.905	6.103394	1
365	-1562.673	-1568.192	5.519026	1
366	-1563.7	-1568.335	4.635171	1
367	-1564.666	-1568.232	3.56657	1
368	-1564.545	-1566.738	2.192689	1
369	-1566.212	-1566.742	0.5302416	2
370	-1562.887	-1565.268	2.381262	2
371	-1568.689	-1569.515	0.8266935	1
372	-1568.72	-1568.981	0.2602909	1
373	-1573.751	-1569.971	-3.780723	2
374	-1570.412	-1570.794	0.382102	1
375	-1564.386	-1567.128	2.741517	2
376	-1561.61	-1564.973	3.362658	2
377	-1560.387	-1565.073	4.685996	2
378	-1566.604	-1569.057	2.452837	1
379	-1564.911	-1567.461	2.550406	1
380	-1563.899	-1567.251	3.351378	1
381	-1562.91	-1567.22	4.310145	1
382	-1563.589	-1566.725	3.135617	1
383	-1564.086	-1568.678	4.591763	1
384	-1562.423	-1568.012	5.589453	1
385	-1558.606	-1566.378	7.772224	2
386	-1565.325	-1569.011	3.685415	1
387	-1562.693	-1567.127	4.433757	1
388	-1566.75	-1569.736	2.985643	1
389	-1560.544	-1567.617	7.072525	2
390	-1557.515	-1565.091	7.575429	2
391	-1558.552	-1567.216	8.663897	2
392	-1561.616	-1566.968	5.352007	1
393	-1562.491	-1567.253	4.762183	1
394	-1560.197	-1567.508	7.311397	1
395	-1567.023	-1569.548	2.524739	1
396	-1568.243	-1571.642	3.399113	1
397	-1564.692	-1566.758	2.065977	1
398	-1567.074	-1568.999	1.925475	1
399	-1569.244	-1568.996	-0.2487376	1
400	-1566.813	-1569.313	2.500189	1
401	-1565.298	-1568.777	3.479405	1
402	-1569.712	-1571.903	2.19115	1
403	-1568.173	-1569.754	1.580848	1
404	-1568.187	-1569.813	1.625176	1
405	-1567.265	-1569.026	1.761393	1
406	-1565.462	-1565.52	0.05810874	2
407	-1567.067	-1567.421	0.3535695	1
408	-1566.728	-1567.386	0.6579646	1
409	-1567.519	-1568.483	0.9635063	1
410	-1563.131	-1567.767	4.636373	1
411	-1562.984	-1566.49	3.50614	1
412	-1562.605	-1567	4.395094	1
413	-1560.339	-1565.837	5.498567	2
414	-1557.007	-1564.659	7.652231	2
415	-1557.81	-1566.688	8.878119	2
416	-1563.095	-1568.787	5.692115	1
417	-1560.815	-1567.166	6.350926	2
418	-1559.221	-1568.469	9.247943	2
419	-1565.513	-1568.228	2.714475	1
420	-1566.084	-1569.368	3.283894	1
421	-1564.539	-1567.554	3.014776	1
422	-1565.47	-1567.544	2.074207	1
423	-1563.25	-1566.65	3.400199	1
424	-1560.073	-1570.249	10.1753	2
