Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
200	-1548.53	-1568.91	20.3812	0.217121	0.23351	0.257752	0.260685	0.224521	0.243756	0.230788	0.25366	0.244923	0.251319	0.23982	-1.5273	-1.45453	-1.35576	-1.34444	-1.49379	-1.41159	-1.46626	-1.37176	-1.40681	-1.38103	-1.42786	-1.13008	-1.11747	-1.17057	-1.15688	-1.16673	-1.28264	-1.31532	-1.30944	-1.35371	-1.40243	-1.40756	0.323008	0.327106	0.310191	0.314466	0.311384	0.277303	0.268389	0.269972	0.258279	0.245999	0.24474
210	-1547.45	-1569.06	21.6061	0.222149	0.220249	0.231173	0.23594	0.25538	0.241222	0.229695	0.250105	0.251054	0.237859	0.252947	-1.50441	-1.51299	-1.46459	-1.44418	-1.365	-1.42204	-1.471	-1.38587	-1.38209	-1.43608	-1.37458	-1.16912	-1.1062	-1.19389	-1.16769	-1.24763	-1.27222	-1.2595	-1.40681	-1.42539	-1.41368	-1.35398	0.310641	0.330815	0.303039	0.311086	0.287184	0.280209	0.283795	0.244924	0.240416	0.243246	0.258211
220	-1546.3	-1568.45	22.1501	0.167718	0.168358	0.173827	0.167254	0.166655	0.174283	0.187653	0.187977	0.184012	0.192128	0.202112	-1.78547	-1.78166	-1.7497	-1.78824	-1.79183	-1.74708	-1.67316	-1.67143	-1.69275	-1.64959	-1.59894	-1.28268	-1.27348	-1.27349	-1.35404	-1.51758	-1.5209	-1.60102	-1.62305	-1.6725	-1.72423	-1.824	0.277293	0.279857	0.279853	0.258195	0.219242	0.218516	0.20169	0.197296	0.187777	0.17831	0.16138
230	-1549.68	-1571.76	22.0797	0.177861	0.174965	0.164957	0.153879	0.159153	0.164579	0.175013	0.190868	0.187101	0.191275	0.186424	-1.72675	-1.74317	-1.80207	-1.87159	-1.83789	-1.80436	-1.7429	-1.65618	-1.67611	-1.65404	-1.67973	-1.20264	-1.22766	-1.36103	-1.2665	-1.31332	-1.36122	-1.35535	-1.32023	-1.33183	-1.38809	-1.49107	0.3004	0.292977	0.256396	0.281816	0.268925	0.256348	0.257856	0.267074	0.263994	0.249551	0.225133
240	-1546.63	-1569.67	23.0358	0.187708	0.184351	0.188622	0.193767	0.206064	0.218073	0.230106	0.253915	0.268911	0.257033	0.241665	-1.67287	-1.69092	-1.66801	-1.6411	-1.57957	-1.52293	-1.46922	-1.37075	-1.31337	-1.35855	-1.4202	-1.1724	-1.21867	-1.31299	-1.25596	-1.28636	-1.2232	-1.28443	-1.35151	-1.35672	-1.43594	-1.42912	0.309622	0.295623	0.269014	0.284803	0.276273	0.294286	0.276809	0.258849	0.257504	0.237891	0.239519
250	-1547.24	-1574.51	27.2675	0.242266	0.255183	0.255166	0.265291	0.264854	0.278745	0.304256	0.306608	0.295286	0.286908	0.278152	-1.41772	-1.36577	-1.36584	-1.32693	-1.32858	-1.27746	-1.18989	-1.18218	-1.21981	-1.24859	-1.27959	-1.25234	-1.17504	-1.18875	-1.21063	-1.2065	-1.21123	-1.14376	-1.21765	-1.22223	-1.23605	-1.22135	0.285834	0.308805	0.304603	0.298009	0.299241	0.29783	0.318618	0.295923	0.294572	0.290529	0.294831
260	-1545.96	-1569.36	23.4093	0.183758	0.196468	0.19763	0.209291	0.215251	0.214329	0.224462	0.22352	0.25129	0.239836	0.217667	-1.69414	-1.62726	-1.62136	-1.56403	-1.53595	-1.54024	-1.49405	-1.49826	-1.38115	-1.4278	-1.52479	-1.24583	-1.33164	-1.40116	-1.46886	-1.43553	-1.45438	-1.41694	-1.40976	-1.35194	-1.40101	-1.40391	0.287703	0.264045	0.246312	0.230188	0.23799	0.233545	0.242454	0.244202	0.258737	0.246349	0.245634
270	-1545.81	-1568.7	22.886	0.171807	0.167812	0.161167	0.153384	0.151818	0.163426	0.16336	0.167442	0.169811	0.15638	0.147594	-1.76138	-1.78491	-1.82532	-1.87481	-1.88507	-1.8114	-1.8118	-1.78712	-1.77307	-1.85546	-1.91329	-1.26119	-1.34468	-1.41331	-1.54349	-1.55149	-1.58141	-1.47483	-1.45566	-1.47502	-1.44974	-1.40873	0.283318	0.260624	0.243336	0.213634	0.211932	0.205686	0.228818	0.233246	0.228774	0.234632	0.244454
280	-1546.89	-1568.78	21.8908	0.153366	0.163805	0.167395	0.163717	0.169396	0.165723	0.156039	0.151746	0.146413	0.140802	0.129944	-1.87493	-1.80908	-1.7874	-1.80961	-1.77552	-1.79744	-1.85765	-1.88555	-1.92132	-1.9604	-2.04066	-1.31223	-1.38751	-1.47291	-1.50901	-1.45092	-1.4852	-1.56976	-1.56446	-1.4168	-1.40615	-1.34711	0.269218	0.249697	0.229256	0.22113	0.234355	0.226456	0.208095	0.2092	0.242488	0.245084	0.259992
290	-1548.29	-1568.29	19.9981	0.169553	0.183537	0.188439	0.187299	0.191447	0.191137	0.196579	0.168168	0.149066	0.151421	0.143275	-1.77459	-1.69534	-1.66898	-1.67505	-1.65314	-1.65477	-1.62669	-1.78279	-1.90336	-1.88769	-1.94299	-1.28358	-1.36802	-1.40174	-1.47154	-1.5894	-1.5931	-1.55454	-1.47748	-1.48367	-1.48367	-1.49058	0.277045	0.25461	0.246169	0.229572	0.204049	0.203295	0.211287	0.228212	0.226803	0.226803	0.225241
300	-1547.02	-1568.47	21.4487	0.199239	0.197873	0.221443	0.259799	0.250629	0.256912	0.247612	0.230019	0.210273	0.2062	0.211799	-1.61325	-1.62013	-1.50759	-1.34785	-1.38378	-1.35902	-1.39589	-1.46959	-1.55935	-1.57891	-1.55212	-1.21961	-1.2529	-1.27309	-1.30742	-1.31256	-1.31761	-1.3757	-1.32459	-1.33296	-1.25385	-1.31624	0.295346	0.285676	0.279965	0.270516	0.269131	0.267775	0.252662	0.265913	0.263695	0.285402	0.268141
310	-1544.11	-1569.09	24.9788	0.144941	0.152633	0.147832	0.147907	0.141612	0.140761	0.146019	0.149511	0.149024	0.152205	0.142954	-1.93143	-1.87972	-1.91168	-1.91117	-1.95466	-1.96069	-1.92402	-1.90038	-1.90365	-1.88253	-1.94523	-1.37548	-1.36966	-1.37421	-1.49868	-1.582	-1.576	-1.62286	-1.69496	-1.62492	-1.57733	-1.6182	0.252718	0.254194	0.253039	0.223424	0.205563	0.2068	0.197334	0.183607	0.196927	0.206527	0.198255
320	-1548.32	-1568.69	20.3691	0.133675	0.125154	0.129238	0.138662	0.133651	0.114934	0.112277	0.122518	0.125783	0.127849	0.136196	-2.01234	-2.07821	-2.0461	-1.97571	-2.01253	-2.16339	-2.18679	-2.0995	-2.0732	-2.0569	-1.99366	-1.30025	-1.39093	-1.45477	-1.55828	-1.60388	-1.63416	-1.65354	-1.61374	-1.66715	-1.6388	-1.58136	0.272463	0.248845	0.233454	0.210499	0.201114	0.195117	0.191371	0.199141	0.188784	0.194213	0.205696
330	-1547.64	-1567.95	20.3077	0.0960341	0.101035	0.105954	0.102579	0.10841	0.102596	0.0980479	0.092997	0.0921583	0.0922352	0.101287	-2.34305	-2.29229	-2.24475	-2.27712	-2.22183	-2.27696	-2.3223	-2.37519	-2.38425	-2.38341	-2.2898	-1.36828	-1.56336	-1.62848	-1.63814	-1.73425	-1.77384	-1.74881	-1.77985	-1.78268	-1.73361	-1.72785	0.254544	0.209432	0.196228	0.19434	0.176533	0.16968	0.17398	0.168663	0.168187	0.176646	0.177666
340	-1550.45	-1570.27	19.8123	0.133376	0.127857	0.126909	0.123655	0.106383	0.123889	0.121716	0.116645	0.113242	0.107746	0.100146	-2.01459	-2.05684	-2.06429	-2.09026	-2.24071	-2.08837	-2.10607	-2.14862	-2.17823	-2.22798	-2.30113	-1.34839	-1.40129	-1.47169	-1.49774	-1.59599	-1.58277	-1.55444	-1.55492	-1.63805	-1.63271	-1.59898	0.259659	0.246279	0.229537	0.223634	0.202707	0.205406	0.211308	0.211206	0.194358	0.1954	0.202102
350	-1553.2	-1572.4	19.2016	0.179784	0.162593	0.173801	0.17922	0.155671	0.166218	0.158681	0.147144	0.150025	0.142294	0.139943	-1.716	-1.8165	-1.74984	-1.71914	-1.86001	-1.79446	-1.84086	-1.91634	-1.89695	-1.94986	-1.96652	-1.26698	-1.27661	-1.33667	-1.2807	-1.378	-1.41817	-1.31444	-1.31566	-1.27888	-1.23432	-1.32149	0.281681	0.278982	0.262719	0.277844	0.252082	0.242157	0.268626	0.268297	0.278348	0.291031	0.266739
360	-1546.85	-1569.35	22.5041	0.162447	0.164435	0.169342	0.166277	0.159291	0.149192	0.16428	0.148667	0.154151	0.154221	0.149258	-1.8174	-1.80524	-1.77584	-1.7941	-1.83702	-1.90252	-1.80618	-1.90605	-1.86983	-1.86937	-1.90208	-1.27354	-1.38037	-1.41793	-1.45775	-1.43205	-1.43151	-1.4685	-1.56207	-1.58081	-1.54906	-1.43912	0.27984	0.251485	0.242214	0.232759	0.238818	0.238949	0.23027	0.209701	0.205809	0.212448	0.237136
370	-1546.56	-1567	20.4365	0.123653	0.13288	0.129883	0.138569	0.133285	0.139824	0.137081	0.126154	0.130244	0.13247	0.13179	-2.09028	-2.01831	-2.04112	-1.97638	-2.01527	-1.96737	-1.98718	-2.07025	-2.03835	-2.0214	-2.02654	-1.33457	-1.46148	-1.58775	-1.53639	-1.61858	-1.67105	-1.70797	-1.78293	-1.80581	-1.7983	-1.70917	0.263272	0.231894	0.204385	0.215156	0.198181	0.18805	0.181233	0.168145	0.164341	0.16558	0.181016
380	-1548.16	-1570.08	21.9197	0.218947	0.246798	0.275549	0.263719	0.241047	0.258545	0.248614	0.256908	0.248929	0.260004	0.259773	-1.51893	-1.39918	-1.28899	-1.33287	-1.42276	-1.35269	-1.39185	-1.35904	-1.39059	-1.34706	-1.34795	-1.19429	-1.12793	-1.1988	-1.27389	-1.29792	-1.36448	-1.39246	-1.37618	-1.33109	-1.37219	-1.36545	0.302919	0.323702	0.301554	0.279742	0.2731	0.255514	0.248462	0.252541	0.264189	0.25355	0.255265
390	-1551.38	-1568.43	17.0525	0.107551	0.109608	0.10848	0.107609	0.110254	0.118311	0.1125	0.107915	0.109013	0.115461	0.108165	-2.22979	-2.21085	-2.22119	-2.22925	-2.20497	-2.13444	-2.1848	-2.22641	-2.21628	-2.15883	-2.2241	-1.39943	-1.55566	-1.60906	-1.75315	-1.69454	-1.79978	-1.74717	-1.69062	-1.59231	-1.58672	-1.68238	0.246738	0.21105	0.200075	0.173227	0.183685	0.165336	0.174266	0.184405	0.203454	0.204597	0.18593
400	-1549.13	-1570.55	21.4196	0.210053	0.239174	0.238033	0.255355	0.243425	0.235575	0.208928	0.226596	0.226979	0.228289	0.225889	-1.5604	-1.43056	-1.43534	-1.3651	-1.41294	-1.44573	-1.56576	-1.48459	-1.4829	-1.47714	-1.48771	-1.20773	-1.25467	-1.23512	-1.28828	-1.28843	-1.28158	-1.32032	-1.2283	-1.23324	-1.22192	-1.10645	0.298875	0.285169	0.2908	0.275743	0.275704	0.277598	0.267049	0.29279	0.291346	0.294663	0.33073
410	-1543.92	-1569.47	25.5578	0.151288	0.168479	0.176783	0.177193	0.182254	0.18588	0.182326	0.167964	0.170667	0.158655	0.158034	-1.88857	-1.78094	-1.73283	-1.73051	-1.70235	-1.68265	-1.70196	-1.784	-1.76804	-1.84102	-1.84495	-1.33283	-1.39266	-1.37558	-1.43601	-1.37485	-1.34033	-1.39505	-1.43985	-1.40781	-1.3875	-1.38728	0.26373	0.248414	0.252692	0.237876	0.252878	0.26176	0.24782	0.236962	0.244679	0.249698	0.249755
420	-1544.42	-1568.43	24.0163	0.149169	0.159672	0.15637	0.165015	0.170884	0.163662	0.15448	0.160951	0.147	0.146049	0.149582	-1.90268	-1.83463	-1.85553	-1.80172	-1.76677	-1.80995	-1.86769	-1.82666	-1.91732	-1.92381	-1.89991	-1.30458	-1.26526	-1.34228	-1.43293	-1.47024	-1.50573	-1.49128	-1.43261	-1.51368	-1.49434	-1.55329	0.271287	0.282165	0.261249	0.238609	0.22987	0.221854	0.225085	0.238684	0.220098	0.224397	0.211551
430	-1545.37	-1569.62	24.2558	0.166276	0.186921	0.182144	0.177702	0.173108	0.176715	0.181841	0.172055	0.170073	0.171566	0.165199	-1.79411	-1.67707	-1.70296	-1.72765	-1.75384	-1.73321	-1.70462	-1.75994	-1.77153	-1.76279	-1.8006	-1.25015	-1.31094	-1.28591	-1.32492	-1.32516	-1.42053	-1.37741	-1.44212	-1.34269	-1.37683	-1.42176	0.286462	0.269567	0.276399	0.265824	0.265761	0.241585	0.252231	0.236426	0.261142	0.252377	0.241288
440	-1552.75	-1572.97	20.2112	0.239316	0.229181	0.216432	0.213318	0.231952	0.226612	0.217886	0.219908	0.228303	0.253382	0.265076	-1.42997	-1.47324	-1.53048	-1.54497	-1.46123	-1.48451	-1.52378	-1.51455	-1.47708	-1.37286	-1.32774	-1.22222	-1.20884	-1.26838	-1.32315	-1.34658	-1.27188	-1.30253	-1.37374	-1.29094	-1.41384	-1.29588	0.294575	0.298542	0.281286	0.266295	0.260129	0.280303	0.271843	0.253159	0.275013	0.243209	0.273657
