Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
990	-1549.87	-1571.24	21.3688	0.232314	0.207443	0.209647	0.19239	0.182641	0.171143	0.169051	0.170952	0.156408	0.14469	0.147488
1000	-1547.46	-1568.97	21.5099	0.262836	0.26325	0.256628	0.242624	0.246341	0.226706	0.207424	0.226191	0.211742	0.198182	0.192442
1010	-1551.74	-1570.81	19.0635	0.254572	0.230601	0.220679	0.213623	0.204304	0.193941	0.214075	0.212501	0.207503	0.200755	0.22534
1020	-1546.67	-1568.79	22.1218	0.316724	0.31555	0.315575	0.264913	0.270738	0.281769	0.270426	0.291654	0.291071	0.298945	0.297503
1030	-1542.02	-1569.58	27.5572	0.278845	0.281151	0.294157	0.287514	0.263233	0.254481	0.258502	0.251629	0.252071	0.235931	0.242946
1040	-1548.85	-1568	19.1529	0.304386	0.322582	0.286144	0.272886	0.266592	0.243145	0.283422	0.297815	0.319712	0.309844	0.298758
1050	-1547.9	-1569.25	21.3528	0.236105	0.213677	0.210675	0.231049	0.206239	0.201668	0.188259	0.213457	0.219939	0.215924	0.223763
1060	-1551.19	-1568.7	17.5063	0.330078	0.310148	0.263803	0.281301	0.259827	0.254426	0.279761	0.259423	0.259967	0.2788	0.293784
1070	-1549.04	-1570.75	21.7098	0.332849	0.343913	0.322761	0.334757	0.323485	0.320353	0.330866	0.32627	0.335501	0.36693	0.33965
1080	-1541.89	-1568.66	26.7701	0.286723	0.283729	0.262421	0.262386	0.25848	0.244463	0.228601	0.216894	0.235341	0.234901	0.24257
1090	-1548.61	-1569.98	21.3681	0.242114	0.24086	0.231826	0.218931	0.205421	0.189281	0.182864	0.160779	0.16791	0.153596	0.138625
1100	-1548.7	-1571.15	22.455	0.31328	0.315555	0.283343	0.279881	0.263672	0.270296	0.256525	0.248626	0.244886	0.258013	0.258972
1110	-1547.99	-1569.04	21.0494	0.29106	0.316033	0.294767	0.281897	0.252778	0.221835	0.222626	0.225363	0.217715	0.24236	0.238287
1120	-1546.77	-1570.76	23.9974	0.309921	0.298114	0.280048	0.262358	0.257552	0.258195	0.248127	0.244766	0.237796	0.236817	0.241686
1130	-1552.4	-1568.3	15.8977	0.30823	0.282382	0.264508	0.257149	0.258008	0.203258	0.192219	0.203329	0.214923	0.216731	0.188401
1140	-1547.8	-1568.59	20.7827	0.262934	0.241711	0.238469	0.226991	0.213666	0.228774	0.203602	0.185477	0.202428	0.204967	0.20221
1150	-1545.54	-1566.95	21.4125	0.274426	0.262597	0.247398	0.228093	0.195944	0.186202	0.192125	0.181298	0.176487	0.163443	0.161941
1160	-1545.9	-1569.9	24.0038	0.264857	0.255843	0.232338	0.219031	0.210006	0.207444	0.200363	0.203401	0.183452	0.179368	0.168922
1170	-1554.1	-1567.39	13.2869	0.244705	0.240739	0.207285	0.211828	0.184011	0.16492	0.157283	0.17102	0.157595	0.156955	0.151644
1180	-1548.06	-1567.01	18.9521	0.298191	0.284909	0.240304	0.242095	0.211374	0.201813	0.204363	0.210727	0.216562	0.199466	0.2236
1190	-1550.43	-1566.66	16.2288	0.257774	0.223469	0.210629	0.182412	0.184617	0.165308	0.155643	0.157345	0.167087	0.175859	0.171459
1200	-1550.41	-1570.22	19.8144	0.229818	0.226617	0.221834	0.20751	0.216853	0.221286	0.212939	0.207594	0.183589	0.171092	0.165584
1210	-1548.72	-1571.96	23.2362	0.26461	0.273298	0.273378	0.286642	0.291272	0.28591	0.269166	0.26609	0.27016	0.253951	0.253784
1220	-1555.52	-1570.19	14.6755	0.207326	0.19254	0.173065	0.155586	0.159288	0.149243	0.147587	0.143956	0.139999	0.153738	0.154418
1230	-1551.42	-1569.43	18.0085	0.271016	0.245051	0.237248	0.207193	0.208909	0.210378	0.210293	0.240663	0.250501	0.266111	0.265396
1240	-1549.84	-1569.17	19.3334	0.30289	0.306778	0.293347	0.271158	0.286444	0.264899	0.301495	0.302304	0.292701	0.316787	0.29482
