Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
1010	-1570.06	-1572.09	2.03446	0.318028	0.2327439	0.08528418	0.2327439
1020	-1570.05	-1572.22	2.16462	0.2940346	0.1998608	0.09417376	0.1998608
1030	-1569.82	-1571.91	2.09275	0.3156223	0.2378991	0.07772319	0.2378991
1040	-1569.64	-1571.96	2.3214	0.2860178	0.207576	0.07844189	0.207576
1050	-1569.75	-1572.05	2.30621	0.2897593	0.2160999	0.07365941	0.2160999
1060	-1570.34	-1572.7	2.35927	0.2670113	0.1671832	0.09982815	0.1671832
1070	-1570.52	-1572.5	1.97583	0.3194392	0.2272605	0.09217873	0.2272605
1080	-1570.57	-1572.97	2.40111	0.2607147	0.1585853	0.1021294	0.1585853
1090	-1570.06	-1572.47	2.41611	0.276553	0.2045953	0.0719577	0.2045953
1100	-1570.06	-1572.48	2.4212	0.275899	0.2037388	0.07216024	0.2037388
1110	-1571.07	-1573.24	2.17345	0.2808568	0.1733027	0.107554	0.1733027
1120	-1570.37	-1572.78	2.41491	0.2614923	0.1623134	0.09917897	0.1623134
1130	-1569.96	-1572.44	2.48432	0.2642324	0.1807816	0.08345072	0.1807816
1140	-1570.76	-1572.68	1.91775	0.3277506	0.2362841	0.09146648	0.2362841
1150	-1570.48	-1572.4	1.92047	0.3365987	0.2552716	0.0813272	0.2552716
1160	-1569.69	-1571.84	2.15463	0.3069748	0.2283339	0.07864087	0.2283339
1170	-1570.59	-1573.09	2.49872	0.2668172	0.1976623	0.06915484	0.1976623
1180	-1569.79	-1572.2	2.40956	0.2707915	0.1839273	0.08686421	0.1839273
1190	-1570.03	-1572.38	2.35337	0.2845808	0.2148619	0.0697189	0.2148619
1200	-1569.98	-1572.02	2.04084	0.3234663	0.2473208	0.07614545	0.2473208
1210	-1570.11	-1572.29	2.17545	0.3076009	0.2418601	0.06574088	0.2418601
1220	-1570.04	-1572.11	2.07881	0.3206535	0.2512218	0.06943171	0.2512218
1230	-1570.31	-1572.27	1.95664	0.3359775	0.261503	0.07447453	0.261503
1240	-1569.8	-1572.01	2.20831	0.2922634	0.2022566	0.0900068	0.2022566
1250	-1569.88	-1572.02	2.14137	0.3009556	0.2115446	0.08941102	0.2115446
1260	-1572.18	-1575.01	2.8322	0.2219173	0.12696	0.09495736	0.12696
1270	-1569.6	-1571.85	2.25505	0.2938309	0.2145655	0.07926536	0.2145655
1280	-1570.62	-1572.55	1.93092	0.3418192	0.2753713	0.0664479	0.2753713
1290	-1571.71	-1573.85	2.14689	0.3007743	0.2486322	0.05214211	0.2486322
1300	-1570.34	-1572.42	2.08003	0.3027951	0.2069655	0.09582967	0.2069655
1310	-1571.5	-1573.56	2.06374	0.3130365	0.2604291	0.05260741	0.2604291
1320	-1571.48	-1574.15	2.67	0.2469721	0.1759362	0.07103584	0.1759362
1330	-1572.5	-1575.35	2.84203	0.2277513	0.1508192	0.07693214	0.1508192
1340	-1569.91	-1572.26	2.34885	0.2735461	0.1806635	0.09288252	0.1806635
1350	-1571.11	-1573.29	2.18011	0.3016116	0.245481	0.05613065	0.245481
1360	-1571.31	-1573.26	1.94983	0.3322232	0.2776184	0.05460483	0.2776184
1370	-1570.25	-1572.37	2.1223	0.3145455	0.2503244	0.06422106	0.2503244
1380	-1570.98	-1572.86	1.88307	0.3315289	0.2392502	0.09227867	0.2392502
1390	-1569.6	-1571.85	2.25243	0.2936385	0.2134244	0.08021417	0.2134244
1400	-1569.64	-1571.94	2.29783	0.2848335	0.199389	0.08544456	0.199389
1410	-1570.43	-1572.43	2.00176	0.3315383	0.2665008	0.06503751	0.2665008
