Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
270	-16530	-16537.68	7.675378	0.0944809	0.0848442	0.0584211	0.102234	0.0972205	0.0314769	0.0967091	0.0918721	0.162548	0.29702	0.137912	0.0209976	0.139695	0.0801766	0.103991	0.121959	0.251255	0.172503	0.0892424	0.0404782	0.141705	0.0582167	0.0851039	0.0437847	0.0058302	0.0136202	0.0625156	0.0123299	0.0658684	0.0563688	0.0321855	0.0338176	0.0712709	0.0278546	0.18811	0.0279418	0.0138871	0.086803	0.124051	0.136147	0.0482017	0.0237638	0.0869554	3.72137
280	-16469.53	-16478.55	9.01858	0.106837	0.146595	0.0741379	0.115677	0.0923996	0.0723826	0.0989155	0.0222739	0.0691243	0.202503	0.121323	0.115077	0.160802	0.0482604	0.0401423	0.0938992	0.131929	0.230369	0.089019	0.211356	0.0620569	0.105476	0.126091	0.0462221	0.0407528	0.162497	0.0224565	0.208525	0.0338263	0.0385683	0.0214748	0.065888	0.00402558	0.0189137	0.0646265	0.00364236	0.0617349	0.00455723	0.0581453	0.0484103	0.0192056	0.0734341	0.0534978	3.58705
290	-16482.73	-16494.89	12.15896	0.171977	0.119279	0.0187876	0.145724	0.0954486	0.100688	0.146183	0.0624458	0.122735	0.0492054	0.0583619	0.126014	0.0448167	0.0923328	0.0809464	0.110144	0.0574653	0.0579589	0.089019	0.134646	0.0655841	0.0388877	0.20372	0.0271581	0.0307812	0.0134418	0.0502424	0.208525	0.0486531	0.0533486	0.0471961	0.0157293	0.0334324	0.0207589	0.0679773	0.0410444	0.0369853	0.0691175	0.110964	0.0901891	0.0300219	0.0315784	0.0534978	3.273012
300	-16503.46	-16515.18	11.72137	0.0846484	0.083733	0.0763391	0.0389541	0.0837686	0.081275	0.0458559	0.0539631	0.123293	0.137672	0.121652	0.126014	0.0598909	0.164122	0.0548903	0.160873	0.0460344	0.050195	0.0588363	0.125516	0.0511745	0.0973088	0.0799247	0.0578224	0.0246548	0.111888	0.0991372	0.134713	0.109459	0.0766946	0.00253476	0.0256126	0.0355565	0.138781	0.0128648	0.045221	0.0383395	0.0691175	0.0628977	0.0722317	0.128528	0.0112837	0.0534978	3.316771
310	-16356.73	-16364.98	8.248088	0.139197	0.162331	0.0729618	0.0968846	0.0736228	0.0715745	0.137927	0.0583561	0.214917	0.174979	0.0651978	0.126894	0.0449045	0.0577899	0.147662	0.137485	0.0486391	0.134374	0.0886943	0.163401	0.0260217	0.156439	0.0797165	0.02403	0.0223257	0.0544067	0.0371465	0.0671558	0.118145	0.0351729	0.0162552	0.0732907	0.0485302	0.0188714	0.217175	0.0165532	0.10389	0.0257469	0.0346783	0.0251945	0.0573843	0.122897	0.0652801	3.664099
320	-16279.8	-16288.97	9.172321	0.10059	0.0783632	0.134438	0.0931224	0.100636	0.0533647	0.196958	0.122178	0.0743164	0.125553	0.163519	0.118313	0.0946253	0.126763	0.145955	0.168847	0.14829	0.140414	0.102972	0.0296356	0.0785129	0.128197	0.0840266	0.0153711	0.0426409	0.0147338	0.0138435	0.084378	0.0382258	0.0436924	0.0537956	0.0340334	0.0485302	0.073493	0.0887562	0.093674	0.0587366	0.00934889	0.0521658	0.106242	0.0492217	0.0262896	0.0149142	3.571676
330	-16480.68	-16489.41	8.731502	0.08903	0.15349	0.101514	0.136081	0.140648	0.0667549	0.0211992	0.0775409	0.120612	0.0949577	0.0745705	0.0488061	0.173628	0.0503373	0.264298	0.147445	0.133157	0.0926447	0.0812685	0.0717614	0.051896	0.0875014	0.18899	0.0367902	0.0223658	0.147772	0.00927737	0.0388972	0.0820595	0.0343039	0.0218262	0.0417845	0.0837341	0.0919261	0.0483619	0.0479317	0.0554149	0.0158414	0.0336387	0.107344	0.0473757	0.0518317	0.129148	3.615758
340	-16413.78	-16417.02	3.243456	0.182243	0.11465	0.0857802	0.0838714	0.172829	0.0651248	0.236553	0.102147	0.112655	0.0822177	0.0745705	0.128479	0.173628	0.127289	0.0723968	0.106	0.239089	0.233951	0.193697	0.053903	0.132027	0.0746802	0.125663	0.0305206	0.114419	0.0107911	0.118603	0.0366318	0.0139588	0.108152	0.00809985	0.023544	0.160177	0.0324032	0.0855172	0.00360687	0.0412133	0.00548483	0.112268	0.14785	0.0921044	0.00459369	0.0411787	4.164562
350	-16417.14	-16428.33	11.19472	0.144109	0.0493759	0.0507495	0.0706943	0.181354	0.0623848	0.0973182	0.0829524	0.215333	0.118216	0.0779646	0.106507	0.0451813	0.203336	0.103788	0.167827	0.123358	0.142013	0.123675	0.0603885	0.0777575	0.0606265	0.168803	0.0316112	0.0485015	0.0970682	0.0547992	0.0275248	0.00430897	0.0330567	0.123608	0.0562919	0.0294126	0.0336289	0.0403035	0.0108144	0.0886469	0.0114213	0.0254233	0.0651403	0.0098011	0.0162422	0.0281183	3.369436
360	-16564.02	-16572.81	8.789409	0.144109	0.0993171	0.229914	0.0789328	0.145632	0.0672001	0.07943	0.137807	0.0979121	0.290407	0.110463	0.123024	0.0190175	0.062527	0.0269859	0.0716776	0.109342	0.0202719	0.0889873	0.0610779	0.0963739	0.0552041	0.146833	0.10615	0.0560529	0.0524757	0.0849962	0.109921	0.0328732	0.0547447	0.0149627	0.0667196	0.02725	0.0301277	0.0470656	0.193012	0.038627	0.047167	0.0556407	0.15635	0.0504915	0.0141523	0.00874148	3.609967
370	-16345.66	-16354.99	9.329448	0.148951	0.085982	0.0739718	0.145555	0.0888771	0.0999199	0.221926	0.101749	0.0658324	0.0743148	0.137981	0.0582994	0.10365	0.0914602	0.177111	0.116976	0.105796	0.040003	0.11231	0.138937	0.0286946	0.0360577	0.241519	0.0220104	0.0517823	0.0123183	0.153118	0.17276	0.0457155	0.0820208	0.0443082	0.0393694	0.0247555	0.0301277	0.0153664	0.0364776	0.00636814	0.0169951	0.0189612	0.052213	0.0998628	0.0353031	0.100255	3.555963
380	-16406.03	-16415.65	9.619023	0.0941252	0.0619685	0.165073	0.109075	0.0468074	0.121431	0.157957	0.0848182	0.0374244	0.224035	0.138218	0.0712294	0.173933	0.0641003	0.114145	0.0598177	0.112736	0.0647384	0.0598301	0.0300989	0.153126	0.0874342	0.167122	0.00996539	0.0598648	0.119695	0.00848177	0.155296	0.0460042	0.0229494	0.0196094	0.100559	0.0179525	0.0798006	0.0305729	0.062055	0.0569889	0.0923749	0.0208222	0.0341779	0.0570841	0.0760789	0.0574308	3.527006
390	-16469.07	-16481.36	12.29126	0.0738354	0.0203445	0.0519174	0.0654633	0.0481345	0.0959679	0.0598603	0.161637	0.0646528	0.115845	0.0863365	0.0712294	0.105078	0.135245	0.114145	0.15815	0.100618	0.112012	0.0750859	0.0897402	0.0550415	0.0695659	0.111165	0.0166317	0.0185585	0.077308	0.158816	0.110822	0.0053993	0.110483	0.0722563	0.0200511	0.0286417	0.0313951	0.0324118	0.0239502	0.0917703	0.0795609	0.0447422	0.130435	0.101053	0.0238942	0.0405311	3.259781
400	-16432.69	-16439.34	6.647738	0.085242	0.0698182	0.108434	0.0907249	0.183363	0.0553087	0.138165	0.0478946	0.155311	0.17912	0.0589204	0.180432	0.097299	0.119766	0.143413	0.152342	0.147616	0.0285952	0.147841	0.0519951	0.224094	0.0993234	0.227368	0.0219324	0.0357302	0.0291274	0.0518708	0.01319	0.0523894	0.0562148	0.0722563	0.046127	0.041726	0.0306894	0.0215752	0.00580638	0.130414	0.0650949	0.0299848	0.102745	0.175401	0.00916155	0.0403119	3.824134
410	-16719.75	-16728.2	8.451272	0.0923054	0.0419665	0.108434	0.102218	0.142892	0.0553087	0.138165	0.118815	0.104279	0.148059	0.0853865	0.0816275	0.130183	0.133888	0.19237	0.0466211	0.160827	0.0894403	0.0558225	0.0559294	0.0537119	0.186654	0.103304	0.0312153	0.127631	0.0615579	0.249663	0.0907665	0.0242551	0.0231401	0.0845386	0.0206534	0.0484533	0.0176178	0.0504221	0.113112	0.0295047	0.0208843	0.0127122	0.0713889	0.0185585	0.0791851	0.0403119	3.643781
