Iteration	Posterior	Likelihood	Prior	mu	beta[1]	beta[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
2750	-998.8515	-991.9657	-6.885782	0.9743963	1.23616	1.23616	0.009466757	0.6181848	0.2448192	0.1275293	0.00946676	0	0.618185	0.244819	0	0.127529	0.00946676	0.618185	0.244819	0.127529
2800	-1088.76	-1083.81	-4.949807	0.7575517	1.46863	1.46863	0.01648275	0.623615	0.1944	0.1655023	0.0164827	0	0.623615	0.1944	0	0.165502	0.0164827	0.623615	0.1944	0.165502
2850	-1123.903	-1118.482	-5.421192	0.6652741	2.8628	2.8628	0.02183865	0.6543431	0.1201226	0.2036957	0.0218386	0	0.654343	0.120123	0	0.203696	0.0218386	0.654343	0.120123	0.203696
2900	-970.1988	-967.6552	-2.543559	0.6220192	0.417712	0.417712	0.009246463	0.5413795	0.2574612	0.1919128	0.00924646	0	0.541379	0.257461	0	0.191913	0.00924646	0.541379	0.257461	0.191913
2950	-964.279	-961.2774	-3.001633	0.6369689	0.726289	0.726289	0.01344604	0.6156419	0.1801203	0.1907917	0.013446	0	0.615642	0.18012	0	0.190792	0.013446	0.615642	0.18012	0.190792
3000	-967.8003	-963.2227	-4.577625	0.8266737	0.405232	0.405232	0.01364949	0.6049419	0.2230108	0.1583977	0.0136495	0	0.604942	0.223011	0	0.158398	0.0136495	0.604942	0.223011	0.158398
3050	-1146.485	-1142.408	-4.076814	0.7526234	0.644925	0.644925	0.0165812	0.5794047	0.2515422	0.1524719	0.0165812	0	0.579405	0.251542	0	0.152472	0.0165812	0.579405	0.251542	0.152472
3100	-1173.201	-1168.17	-5.030514	0.9107208	0.0176506	0.0176506	0.01632426	0.6115222	0.2425824	0.1295712	0.0163243	0	0.611522	0.242582	0	0.129571	0.0163243	0.611522	0.242582	0.129571
3150	-1075.046	-1069.375	-5.670698	0.9707914	0.0571285	0.0571285	0.01620203	0.7143999	0.1764995	0.09289853	0.016202	0	0.7144	0.176499	0	0.0928985	0.016202	0.7144	0.176499	0.0928985
3200	-1091.308	-1085.128	-6.179362	1.017509	0.0986134	0.0986134	0.01248388	0.6604905	0.2000317	0.1269939	0.0124839	0	0.660491	0.200032	0	0.126994	0.0124839	0.660491	0.200032	0.126994
3250	-1088.014	-1083.556	-4.458739	0.839032	0.162763	0.162763	0.01508228	0.5199307	0.2953489	0.1696381	0.0150823	0	0.519931	0.295349	0	0.169638	0.0150823	0.519931	0.295349	0.169638
3300	-1149.222	-1141.9	-7.321686	1.139006	0.0259745	0.0259745	0.01361755	0.5707756	0.3188005	0.09680633	0.0136175	0	0.570776	0.3188	0	0.0968063	0.0136175	0.570776	0.3188	0.0968063
3350	-931.3718	-927.9849	-3.386978	0.7445803	0.0355195	0.0355195	0.008716158	0.472415	0.3559183	0.1629506	0.00871616	0	0.472415	0.355918	0	0.162951	0.00871616	0.472415	0.355918	0.162951
3400	-1046.441	-1041.26	-5.180973	0.9185391	0.0899267	0.0899267	0.01420215	0.5455163	0.299254	0.1410275	0.0142022	0	0.545516	0.299254	0	0.141028	0.0142022	0.545516	0.299254	0.141028
3450	-1074.671	-1067.454	-7.217739	1.106923	0.242858	0.242858	0.01031985	0.5799433	0.2694366	0.1403002	0.0103199	0	0.579943	0.269437	0	0.1403	0.0103199	0.579943	0.269437	0.1403
3500	-979.7594	-973.372	-6.387376	0.9674313	0.807407	0.807407	0.009844123	0.5576695	0.3124167	0.1200697	0.00984412	0	0.55767	0.312417	0	0.12007	0.00984412	0.55767	0.312417	0.12007
3550	-1209.646	-1202.846	-6.799609	1.024619	0.647759	0.647759	0.01718822	0.6353202	0.2227364	0.1247552	0.0171882	0	0.63532	0.222736	0	0.124755	0.0171882	0.63532	0.222736	0.124755
3600	-1010.325	-1002.368	-7.95712	1.15201	0.53136	0.53136	0.01268935	0.6652011	0.2215083	0.1006013	0.0126893	0	0.665201	0.221508	0	0.100601	0.0126893	0.665201	0.221508	0.100601
3650	-931.38	-927.7961	-3.583894	0.7025008	0.653231	0.653231	0.01544581	0.6039951	0.2222368	0.1583223	0.0154458	0	0.603995	0.222237	0	0.158322	0.0154458	0.603995	0.222237	0.158322
3700	-938.7327	-934.5506	-4.182143	0.6507976	1.76851	1.76851	0.01746526	0.6687846	0.1682456	0.1455045	0.0174653	0	0.668785	0.168246	0	0.145505	0.0174653	0.668785	0.168246	0.145505
3750	-966.1445	-960.0359	-6.108558	0.9573868	0.629035	0.629035	0.01171254	0.5508287	0.3282821	0.1091766	0.0117125	0	0.550829	0.328282	0	0.109177	0.0117125	0.550829	0.328282	0.109177
3800	-1019.216	-1015.163	-4.053592	0.813262	0.0153167	0.0153167	0.0160411	0.5651967	0.2561607	0.1626015	0.0160411	0	0.565197	0.256161	0	0.162602	0.0160411	0.565197	0.256161	0.162602
3850	-918.5091	-914.8522	-3.656913	0.7698252	0.0530054	0.0530054	0.01225285	0.5990986	0.2877854	0.1008631	0.0122529	0	0.599099	0.287785	0	0.100863	0.0122529	0.599099	0.287785	0.100863
3900	-859.2551	-856.6793	-2.575785	0.6469015	0.201115	0.201115	0.01214116	0.5305745	0.3322362	0.1250481	0.0121412	0	0.530575	0.332236	0	0.125048	0.0121412	0.530575	0.332236	0.125048
3950	-1212.376	-1206.646	-5.730092	0.9820441	0.00399558	0.00399558	0.01675831	0.6174822	0.2818076	0.08395192	0.0167583	0	0.617482	0.281808	0	0.0839519	0.0167583	0.617482	0.281808	0.0839519
4000	-1087.747	-1084.572	-3.175315	0.726324	0.00641996	0.00641996	0.01848802	0.6412575	0.2285317	0.1117228	0.018488	0	0.641258	0.228532	0	0.111723	0.018488	0.641258	0.228532	0.111723
4050	-1058.569	-1054.196	-4.372522	0.8465741	0.00112591	0.00112591	0.02068056	0.6373475	0.2504018	0.09157015	0.0206806	0	0.637348	0.250402	0	0.0915701	0.0206806	0.637348	0.250402	0.0915701
4100	-976.8809	-973.4018	-3.479017	0.7572113	0.00124814	0.00124814	0.0176828	0.566922	0.2797323	0.1356628	0.0176828	0	0.566922	0.279732	0	0.135663	0.0176828	0.566922	0.279732	0.135663
4150	-1106.523	-1103.897	-2.625508	0.6717116	0.00273603	0.00273603	0.02373741	0.6407636	0.2351737	0.1003253	0.0237374	0	0.640764	0.235174	0	0.100325	0.0237374	0.640764	0.235174	0.100325
4200	-1068.994	-1062.621	-6.373081	1.045736	0.0100649	0.0100649	0.01560907	0.5872585	0.292366	0.1047664	0.0156091	0	0.587258	0.292366	0	0.104766	0.0156091	0.587258	0.292366	0.104766
4250	-945.4241	-942.5404	-2.883698	0.6902737	0.0753054	0.0753054	0.01945132	0.6723987	0.1874479	0.1207021	0.0194513	0	0.672399	0.187448	0	0.120702	0.0194513	0.672399	0.187448	0.120702
4300	-1185.307	-1179.775	-5.532069	0.9538605	0.0878084	0.0878084	0.02361802	0.7385498	0.1515981	0.0862341	0.023618	0	0.73855	0.151598	0	0.0862341	0.023618	0.73855	0.151598	0.0862341
4350	-884.9404	-881.081	-3.859483	0.6553768	1.40006	1.40006	0.01500947	0.6007052	0.2469695	0.1373157	0.0150095	0	0.600705	0.24697	0	0.137316	0.0150095	0.600705	0.24697	0.137316
4400	-952.2161	-947.4546	-4.761474	0.8269893	0.585925	0.585925	0.01619703	0.6484304	0.2163373	0.1190353	0.016197	0	0.64843	0.216337	0	0.119035	0.016197	0.64843	0.216337	0.119035
