Iteration	Posterior	Likelihood	Prior	mu	beta[1]	beta[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
3300	-1069.454	-1065.068	-4.38599	0.7330595	1.14974	1.14974	0.01762344	0.7246745	0.1368002	0.1209019	0.0176234	0	0.724675	0.1368	0	0.120902	0.0176234	0.724675	0.1368	0.120902
3350	-971.1565	-968.1295	-3.026982	0.6174175	0.947151	0.947151	0.01422998	0.5966483	0.1912492	0.1978725	0.01423	0	0.596648	0.191249	0	0.197872	0.01423	0.596648	0.191249	0.197872
3400	-846.7235	-841.9741	-4.749433	0.7523565	1.32021	1.32021	0.009039786	0.70246	0.1154415	0.1730588	0.00903979	0	0.70246	0.115441	0	0.173059	0.00903979	0.70246	0.115441	0.173059
3450	-1003.586	-998.879	-4.707315	0.7356186	1.44547	1.44547	0.01619143	0.7196505	0.1190148	0.1451432	0.0161914	0	0.719651	0.119015	0	0.145143	0.0161914	0.719651	0.119015	0.145143
3500	-983.8718	-979.6546	-4.217146	0.6918265	1.39322	1.39322	0.01650057	0.6979407	0.08792698	0.1976317	0.0165006	0	0.697941	0.087927	0	0.197632	0.0165006	0.697941	0.087927	0.197632
3550	-941.1257	-936.4314	-4.694301	0.7761168	1.02748	1.02748	0.01125735	0.6540821	0.1830137	0.1516469	0.0112574	0	0.654082	0.183014	0	0.151647	0.0112574	0.654082	0.183014	0.151647
3600	-963.0321	-957.5591	-5.47309	0.8493786	1.07365	1.07365	0.009150241	0.6125952	0.1652973	0.2129572	0.00915024	0	0.612595	0.165297	0	0.212957	0.00915024	0.612595	0.165297	0.212957
3650	-899.5229	-893.8375	-5.685475	0.8224274	1.55555	1.55555	0.008476482	0.7333033	0.1175018	0.1407184	0.00847648	0	0.733303	0.117502	0	0.140718	0.00847648	0.733303	0.117502	0.140718
3700	-1014.975	-1008.706	-6.26955	0.8717349	1.64655	1.64655	0.01282004	0.6974746	0.1115356	0.1781697	0.01282	0	0.697475	0.111536	0	0.17817	0.01282	0.697475	0.111536	0.17817
3750	-887.1469	-882.4152	-4.731704	0.7208019	1.61803	1.61803	0.007754383	0.6311699	0.1559606	0.2051151	0.00775438	0	0.63117	0.155961	0	0.205115	0.00775438	0.63117	0.155961	0.205115
