Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
890	-51.0541	-47.2413	-3.81284	0.105972	0.894028	0.02046294	3.3761	1.38225	0.455734	0	0.481408	1.255377	0.8940275	0.1059725	18.00431
900	-50.9321	-47.2362	-3.69585	0.984212	0.0157875	0.03067852	3.14758	1.62141	0.680268	0	0.5292526	1.587318	0.01578753	0.9842125	38.66503
910	-51.9127	-47.3509	-4.56175	0.32964	0.67036	0.02801856	3.12504	1.57706	0.380945	0	1.395103	1.238853	0.6703598	0.3296402	17.33217
920	-50.1497	-46.5311	-3.61862	0.238111	0.761889	0.02241083	3.39058	1.3765	0.312565	0	0.8164469	1.209298	0.7618891	0.2381109	16.19191
930	-52.4796	-47.9605	-4.51903	0.978811	0.0211886	0.009538368	3.16816	1.44799	0.621934	0	1.37399	0.3910721	0.0211886	0.9788114	2.460776
940	-49.4174	-45.8482	-3.56914	0.683544	0.316456	0.01731826	3.20272	1.35745	0.692774	0	0.6407622	0.8848905	0.316456	0.683544	7.671681
950	-51.7852	-46.7704	-5.01478	0.0309745	0.969025	0.02121858	3.29264	1.41399	0.671026	0	1.612964	0.8749771	0.9690255	0.03097455	7.498546
960	-50.5691	-46.34	-4.22911	0.847648	0.152352	0.0339972	3.24128	1.30989	0.490493	0	0.3853104	1.609797	0.1523522	0.8476478	40.71903
970	-50.0209	-46.3289	-3.69206	0.398026	0.601974	0.03175921	2.55859	1.60179	0.335614	0	0.5311937	1.482644	0.601974	0.398026	30.38391
980	-50.6449	-46.9305	-3.71442	0.170727	0.829273	0.03385072	2.92406	1.79234	0.455624	0	0.5202284	1.463794	0.8292732	0.1707268	29.09336
990	-52.0403	-48.2066	-3.83368	0.396234	0.603766	0.01840629	2.93634	1.61161	0.655592	0	0.4745518	1.216723	0.6037661	0.3962339	16.47113
1000	-49.6127	-46.0444	-3.56828	0.0968291	0.903171	0.02478553	3.68781	1.59652	0.36926	0	0.7348987	1.225982	0.9031709	0.09682911	16.82606
1010	-50.9065	-47.3315	-3.57504	0.864955	0.135045	0.02397165	3.6946	1.69051	0.455658	0	0.7510199	0.9037017	0.1350454	0.8649546	8.011276
1020	-52.3103	-48.5369	-3.77343	0.506662	0.493338	0.01390745	3.00199	1.55868	0.426571	0	0.953322	0.9529987	0.493338	0.506662	8.974261
1030	-53.8983	-50.2042	-3.69412	0.68838	0.31162	0.01569111	3.16254	1.70643	0.320822	0	0.5301364	0.4658667	0.3116199	0.6883801	2.923255
1040	-51.5911	-46.5283	-5.06287	0.734199	0.265801	0.019421	2.50699	1.55356	0.400979	0	1.635672	0.9210455	0.2658007	0.7341993	8.337685
1050	-51.6595	-47.0593	-4.60021	0.772416	0.227584	0.02540849	3.10984	1.34387	0.490637	0	1.413998	1.112534	0.2275844	0.7724156	12.95789
1060	-50.1268	-46.0042	-4.12265	0.599363	0.400637	0.01826181	2.97387	1.74803	0.697741	0	1.168504	0.9631368	0.400637	0.599363	9.18622
1070	-53.6752	-49.451	-4.22427	0.40471	0.59529	0.02314648	2.84126	1.68685	0.599598	0	1.223373	0.6807015	0.5952904	0.4047096	4.794038
1080	-49.9078	-45.5727	-4.33514	0.682333	0.317667	0.02518491	3.04945	1.53533	0.584204	0	0.3686793	1.327711	0.3176672	0.6823328	21.26724
1090	-51.6827	-47.3868	-4.29584	0.719103	0.280897	0.02597353	3.6069	1.69978	0.511802	0	0.3746179	0.989403	0.2808971	0.7191029	9.758948
1100	-49.5271	-45.9151	-3.61197	0.532833	0.467167	0.02799046	3.21978	1.75716	0.665704	0	0.5843468	1.219647	0.4671669	0.5328331	16.5824
1110	-50.0559	-45.8229	-4.23294	0.0766437	0.923356	0.02862006	3.46258	1.71247	0.495068	0	0.3846738	1.479151	0.9233563	0.07664374	30.14057
1120	-49.7512	-46.1386	-3.61262	0.0833673	0.916633	0.02752199	3.61995	1.64888	0.453057	0	0.8091723	1.352417	0.9166327	0.08336731	22.51213
1130	-49.7144	-46.1455	-3.56886	0.652301	0.347699	0.02430251	3.56013	1.7579	0.36676	0	0.641408	1.298642	0.3476992	0.6523008	19.89034
1140	-50.9945	-47.3957	-3.59882	0.375168	0.624832	0.01688367	3.31898	1.73091	0.450735	0	0.7910137	0.5614061	0.6248324	0.3751676	3.642555
1150	-49.2323	-45.6728	-3.55952	0.599102	0.400898	0.02495094	2.38849	1.52541	0.556777	0	0.6803283	1.189009	0.4008979	0.5991021	15.45286
1160	-51.22	-46.6204	-4.59952	0.422459	0.577541	0.01974989	2.56432	1.34623	0.590808	0	0.334144	0.8966584	0.577541	0.422459	7.882398
1170	-53.3133	-49.717	-3.59628	0.770726	0.229274	0.01699064	2.84331	1.37466	0.493504	0	0.7873763	0.4634482	0.2292742	0.7707258	2.907021
1180	-53.5372	-48.4922	-5.04498	0.543547	0.456453	0.01794668	2.20884	1.46733	0.425866	0	1.627231	0.5934045	0.4564527	0.5435473	3.921069
1190	-49.5716	-45.9777	-3.59394	0.406319	0.593681	0.01664587	2.71682	1.51627	0.593825	0	0.7839473	0.7192076	0.5936808	0.4063192	5.238508
1200	-49.3136	-45.6589	-3.6547	0.00214753	0.997852	0.01984236	2.63406	1.75323	0.695176	0	0.8550395	0.9208709	0.9978525	0.002147531	8.334335
1210	-53.707	-47.7438	-5.96327	0.736184	0.263816	0.01000892	2.24765	1.51976	0.681141	0	2.057204	0.2651707	0.263816	0.736184	1.841496
1220	-58.0371	-53.73	-4.30706	0.412326	0.587674	0.001625071	3.32812	1.37719	0.649619	0	1.266749	-0.3399944	0.5876736	0.4123264	0.4570941
1230	-51.0692	-46.2036	-4.8656	0.066336	0.933664	0.01795052	2.51435	1.44656	0.538777	0	1.542144	0.8560085	0.933664	0.06633603	7.178084
1240	-50.4039	-46.6034	-3.80056	0.355585	0.644415	0.01405669	3.69133	1.76713	0.546043	0	0.9726934	0.4747841	0.6444151	0.3555849	2.983899
1250	-50.0774	-45.9926	-4.08477	0.415311	0.584689	0.01493302	3.01796	1.47721	0.557779	0	1.147482	0.6958841	0.5846893	0.4153107	4.964598
1260	-51.1782	-47.331	-3.84722	0.368826	0.631174	0.02040146	2.99165	1.76641	0.526319	0	1.004421	0.6960238	0.6311738	0.3688262	4.966195
1270	-51.2124	-46.3313	-4.88111	0.396064	0.603936	0.01491454	2.91237	1.48927	0.480692	0	1.549539	0.7303223	0.6039361	0.3960639	5.374305
1280	-51.235	-47.2684	-3.96656	0.00286705	0.997133	0.01539077	3.14931	1.40219	0.334065	0	1.07923	0.7645387	0.9971329	0.002867054	5.814853
1290	-49.8211	-46.2132	-3.60783	0.389892	0.610108	0.02364449	3.26693	1.30997	0.554185	0	0.803129	1.012237	0.6101084	0.3898916	10.28579
