Iteration	Replicate_ID	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size	root_height
95	1	-1726.3	-1402.71	-323.59	0.0160007	0.707573	0.00720034	0.00601046	0.229673	0.0335425	0.1989722	0.327937	0.260377	0.139696	0.27199	133442.4	273098.7
96	0	-1721.02	-1408.97	-312.057	0.00636607	0.756259	0.0435703	0.0087047	0.104778	0.0803218	0.04804745	0.309061	0.260752	0.157025	0.273161	91475.1	92336.32
97	1	-1722.92	-1402	-320.927	0.0160007	0.707573	0.00720034	0.00601046	0.229673	0.0335425	0.1989722	0.32827	0.260641	0.138824	0.272266	134636	160099.7
98	0	-1726.73	-1408.6	-318.126	0.0058615	0.756643	0.0435924	0.00870912	0.104832	0.0803626	0.04804745	0.309061	0.260752	0.157025	0.273161	96908.05	143093.9
99	1	-1732.71	-1403.52	-329.192	0.0222348	0.593639	0.0100057	0.00835223	0.319158	0.0466112	0.1989722	0.33352	0.262323	0.141044	0.263112	165675.7	197009.9
100	0	-1724.4	-1406.44	-317.964	0.00625882	0.73974	0.0465474	0.00970595	0.111938	0.08581	0.04804745	0.309061	0.260752	0.157025	0.273161	96310.59	182814.9
101	1	-1734.48	-1407.81	-326.669	0.0222348	0.593639	0.0100057	0.00835223	0.319158	0.0466112	0.1989722	0.323252	0.265912	0.155824	0.255012	151312	223854.6
102	0	-1732.43	-1406.23	-326.199	0.00625882	0.73974	0.0465474	0.00970595	0.111938	0.08581	0.04804745	0.309061	0.260752	0.157025	0.273161	136759.7	211149.2
103	1	-1724.95	-1406.88	-318.063	0.0222291	0.593485	0.0100031	0.00835007	0.33789	0.0280431	0.1989722	0.329736	0.251187	0.15895	0.260127	116143.3	143365.6
104	0	-1719.08	-1405.45	-313.634	0.00701848	0.643913	0.0391855	0.0197806	0.164216	0.125886	0.04804745	0.309061	0.260752	0.157025	0.273161	77247.75	189701.4
105	1	-1730.5	-1407.4	-323.098	0.0234633	0.626437	0.0105585	0.00881369	0.306163	0.024565	0.1989722	0.284932	0.267978	0.169575	0.277515	114946.7	162486.9
106	0	-1720.24	-1407.73	-312.51	0.00900375	0.550599	0.0494379	0.0249559	0.207181	0.158822	0.04804745	0.310208	0.26172	0.157608	0.270465	79358.49	206197
107	1	-1724.38	-1403.95	-320.433	0.0235733	0.629374	0.010608	0.00681261	0.307598	0.0220337	0.1989722	0.308838	0.259019	0.163906	0.268237	114946.7	164443.4
108	0	-1721.26	-1408.51	-312.759	0.0115953	0.429744	0.0636675	0.032139	0.266813	0.196041	0.04804745	0.310208	0.26172	0.157608	0.270465	86241.85	107384.4
109	1	-1726.02	-1406.99	-319.029	0.0227141	0.606435	0.00887596	0.00656431	0.33418	0.0212307	0.1989722	0.309283	0.259393	0.164142	0.267182	111226.3	156420.1
110	0	-1724	-1411.13	-312.865	0.0114816	0.433707	0.0630436	0.0334497	0.264199	0.194119	0.04804745	0.310208	0.26172	0.157608	0.270465	78141.53	144819.4
111	1	-1719.03	-1408.37	-310.66	0.0226146	0.603779	0.00883708	0.0109155	0.332716	0.0211377	0.1989722	0.309299	0.259406	0.164099	0.267196	82863.21	126462.7
112	0	-1737.91	-1410.75	-327.155	0.00577187	0.410945	0.0788319	0.0316942	0.288825	0.183932	0.04804745	0.310208	0.26172	0.157608	0.270465	83166.53	169483.4
113	1	-1722.42	-1405.4	-317.014	0.00710292	0.691109	0.00709559	0.0105716	0.267149	0.0169721	0.1989722	0.312692	0.262251	0.164972	0.260084	82907.25	210520.3
114	0	-1732.16	-1410.47	-321.689	0.00547233	0.389619	0.126638	0.0300494	0.273836	0.174386	0.04804745	0.312075	0.263295	0.152536	0.272093	85227.61	146374.8
115	1	-1725.22	-1406.35	-318.867	0.00894357	0.595578	0.00893434	0.024514	0.34066	0.0213703	0.1989722	0.312692	0.262251	0.164972	0.260084	82807.28	188042.7
116	0	-1732.07	-1408.86	-323.216	0.00494816	0.491672	0.114508	0.0271711	0.247606	0.114095	0.04804745	0.310471	0.261942	0.151752	0.275836	114184.5	158170.6
117	1	-1725.18	-1407.4	-317.781	0.00888447	0.597542	0.00889131	0.0243959	0.339019	0.0212674	0.1989722	0.312692	0.262251	0.164972	0.260084	82807.28	188042.7
118	0	-1725.54	-1407.1	-318.436	0.00355055	0.596643	0.0747564	0.0889134	0.16165	0.0744869	0.04804745	0.319399	0.240718	0.156116	0.283768	115642.9	150889.6
119	1	-1722.67	-1403.24	-319.426	0.00892766	0.80989	0.0109748	0.015568	0.133269	0.0213708	0.1989722	0.317696	0.266448	0.151609	0.264246	85843.58	148509.7
120	0	-1719.89	-1403.66	-316.229	0.00527008	0.599149	0.0448874	0.0416062	0.240254	0.0688328	0.04804745	0.319399	0.240718	0.156116	0.283768	121026.6	130520
121	1	-1719.83	-1403.71	-316.117	0.00851768	0.772698	0.00723325	0.0148531	0.178496	0.0182021	0.1989722	0.317696	0.266448	0.151609	0.264246	90944.39	196068.2
122	0	-1733.48	-1406.2	-327.273	0.00685958	0.477452	0.0584258	0.0549522	0.312717	0.0895933	0.04804745	0.319399	0.240718	0.156116	0.283768	155950.7	184353.4
123	1	-1722.85	-1403.07	-319.778	0.0123167	0.773143	0.0104594	0.018651	0.15911	0.0263206	0.1989722	0.322478	0.264581	0.150546	0.262395	94476.77	232096.2
124	0	-1728.38	-1409.05	-319.331	0.0065919	0.458821	0.0457776	0.0466919	0.300514	0.141604	0.04804745	0.319399	0.240718	0.156116	0.283768	118858.9	120632.7
125	1	-1724.64	-1403.78	-320.857	0.0109253	0.770875	0.0147165	0.0185963	0.158643	0.0262434	0.4431227	0.322478	0.264581	0.150546	0.262395	80477.12	141453.8
126	0	-1732.72	-1410.69	-322.031	0.00649494	0.452072	0.0508474	0.0330836	0.317981	0.139521	0.04804745	0.319399	0.240718	0.156116	0.283768	119235.8	117518.6
127	1	-1722.63	-1401.38	-321.244	0.0109864	0.775186	0.0157157	0.0105766	0.15953	0.028005	0.1135155	0.330244	0.270953	0.130089	0.268714	123452.6	137485.9
128	0	-1728.39	-1407.16	-321.227	0.00539339	0.510519	0.0429518	0.0457183	0.268604	0.126813	0.04804745	0.305739	0.273189	0.149439	0.271632	120006.3	116525.6
129	1	-1731.06	-1405.88	-325.185	0.0211385	0.563034	0.0302381	0.0203501	0.306947	0.0582927	0.1135155	0.343759	0.241118	0.135412	0.279711	122167.9	267285.8
130	0	-1727.09	-1406.19	-320.9	0.00539339	0.510519	0.0429518	0.0457183	0.268604	0.126813	0.04804745	0.305739	0.273189	0.149439	0.271632	117025.6	113300.5
131	1	-1726.02	-1405.01	-321.009	0.0213473	0.568596	0.0305368	0.0342129	0.30164	0.0436669	0.1135155	0.334453	0.234591	0.158817	0.272139	110431.8	217975.9
132	0	-1726.83	-1406.93	-319.895	0.00410252	0.512242	0.0421728	0.0448891	0.263733	0.13286	0.04804745	0.29438	0.277659	0.151884	0.276077	113683.1	119889.4
133	1	-1717.1	-1406.44	-310.66	0.0178873	0.663302	0.0255873	0.0224678	0.234166	0.0365893	0.1234021	0.326036	0.253854	0.15482	0.26529	89852.27	153050.8
134	0	-1734.8	-1408.86	-325.942	0.00449602	0.561375	0.0462178	0.0697431	0.172564	0.145604	0.04804745	0.29438	0.277659	0.151884	0.276077	108770.8	140724.4
135	1	-1724.12	-1402.6	-321.525	0.00834824	0.841698	0.0122202	0.00842386	0.111835	0.0174747	0.1234021	0.312133	0.243029	0.143622	0.301216	88652.14	187287.4
136	0	-1733.64	-1408.18	-325.464	0.00274696	0.684592	0.0266935	0.0426114	0.105433	0.137923	0.04804745	0.299645	0.282626	0.136715	0.281015	106421.6	178033.1
137	1	-1717.56	-1404.1	-313.46	0.00867401	0.872884	0.0126971	0.00875258	0.0788355	0.0181566	0.1234021	0.315114	0.24535	0.135018	0.304517	87138.41	158826.3
138	0	-1725.93	-1406.79	-319.145	0.00222515	0.732226	0.0208936	0.0431791	0.0935203	0.107956	0.32593	0.331618	0.269723	0.130473	0.268186	105388.3	150564.6
139	1	-1732.79	-1410.82	-321.974	0.00867401	0.872884	0.0126971	0.00875258	0.0788355	0.0181566	0.1234021	0.320415	0.253906	0.11604	0.309639	137736.3	221946.8
140	0	-1721.73	-1410.95	-310.778	0.00192935	0.765623	0.0181162	0.0396385	0.0810884	0.0936049	0.2858222	0.331618	0.269723	0.130473	0.268186	98631.66	109107.6
141	1	-1733.71	-1412.63	-321.071	0.0193126	0.696789	0.0304343	0.0209795	0.188965	0.0435204	0.1234021	0.314686	0.267244	0.113965	0.304104	145442.2	162978.3
142	0	-1727.41	-1405.95	-321.46	0.00193785	0.607224	0.0225891	0.0549853	0.216256	0.0970076	0.2858222	0.331618	0.269723	0.130473	0.268186	102062.7	148543.8
143	1	-1735	-1410.17	-324.829	0.0155478	0.700837	0.0304039	0.0209585	0.188776	0.0434769	0.1234021	0.314686	0.267244	0.113965	0.304104	154937.1	194666.5
144	0	-1724.4	-1403.95	-320.448	0.00190616	0.597294	0.0123922	0.0540861	0.25375	0.0805717	0.2858222	0.331618	0.269723	0.130473	0.268186	96699.26	149246.4
145	1	-1742.77	-1412.53	-330.241	0.0144374	0.505941	0.0282325	0.127267	0.263096	0.061026	0.1234021	0.29613	0.274481	0.117051	0.312338	154937.1	175130.8
146	0	-1720.29	-1403.11	-317.18	0.00128899	0.597663	0.0123999	0.0541196	0.253907	0.0806215	0.1736839	0.340701	0.277111	0.134047	0.248141	93379.27	124965.6
147	1	-1736.96	-1408.26	-328.706	0.0167202	0.395081	0.0326966	0.14739	0.35245	0.0556626	0.1234021	0.293356	0.258858	0.153225	0.294561	153758	160519.2
148	0	-1716.84	-1400.83	-316.011	0.00149588	0.693591	0.0137589	0.0586653	0.161582	0.0709066	0.1736839	0.293344	0.262151	0.155904	0.288601	93379.27	168469.9
149	1	-1739.36	-1410.56	-328.806	0.0156975	0.370914	0.0306966	0.210879	0.330891	0.0409224	0.1142784	0.300342	0.265022	0.133061	0.301575	145118.5	167135.5
150	0	-1726.34	-1406.62	-319.714	0.00129743	0.601573	0.0119335	0.0451349	0.278562	0.0614994	0.1414348	0.304942	0.272515	0.122532	0.300011	92908.32	130730
151	1	-1735.7	-1407.81	-327.892	0.0540637	0.437862	0.0224219	0.154033	0.301728	0.0298912	0.1142784	0.322419	0.254935	0.132548	0.290098	136704.6	164748.6
