Iteration	Replicate_ID	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]	root_height
34	0	-1860.18	-1438.75	-421.426	0.0278176	0.646566	0.0775242	0.0506397	0.178926	0.0185266	9334.48	15327.4	28405.9	68637.7	inf	0.9558467	0.322253	0.251119	0.151506	0.275122	638727	515751	164649	649576	818264	156614	596855.5
35	1	-1884.21	-1471.26	-412.953	0.0298748	0.799597	0.00695706	0.0248047	0.133656	0.00511043	2858.11	4812	20972.2	42473.2	inf	0.8816877	0.206997	0.318517	0.220575	0.253911	591937	250817	696468	394064	880957	670924	379831.2
36	0	-1852.12	-1434.85	-417.268	0.0271389	0.630791	0.0756328	0.0738018	0.174561	0.0180746	6936.91	15946.7	21900.4	58919.6	inf	0.9558467	0.322253	0.251119	0.151506	0.275122	649343	515979	152913	699391	847327	164232	452136.9
37	1	-1851.61	-1436.65	-414.961	0.0298637	0.799299	0.00695447	0.0251672	0.133607	0.00510853	4336.4	7891.5	30739	47297.5	inf	0.8816877	0.281737	0.285693	0.20109	0.231481	591937	241897	727333	394064	869035	685232	326838.9
38	0	-1854.32	-1431.46	-422.859	0.0269981	0.627518	0.0804291	0.0734189	0.173655	0.0179808	11667.8	24101.2	33121.7	90508.6	inf	0.9558467	0.327118	0.239812	0.153794	0.279276	649343	494714	160113	730778	847327	164232	350154
39	1	-1859.52	-1440.2	-419.321	0.0298637	0.799299	0.00695447	0.0251672	0.133607	0.00510853	3777.15	10496.8	30105.1	66918.3	inf	0.9146669	0.281737	0.285693	0.20109	0.231481	593306	241897	755253	405013	924655	657149	473284.2
40	0	-1851.71	-1432.21	-419.503	0.0154435	0.546179	0.0700039	0.0726133	0.134716	0.161044	10677.5	23492.7	28904.2	79392.3	inf	0.9558467	0.313933	0.270452	0.147595	0.268019	572432	473500	157314	752727	861254	171936	350154
41	1	-1855.53	-1438.01	-417.524	0.0197447	0.833804	0.00603462	0.0218384	0.115935	0.00264389	8831.39	10821.4	30105.1	62912	inf	0.9146669	0.285112	0.289115	0.191519	0.234254	620230	245410	756208	420316	881630	645170	473284.2
42	0	-1849.11	-1429.13	-419.979	0.0121033	0.633662	0.0749688	0.0390819	0.113971	0.126213	18735.4	23495.4	28113.9	73888.8	inf	0.9558467	0.313933	0.270452	0.147595	0.268019	572432	451675	154569	782529	806887	167536	261108.9
43	1	-1848.85	-1433	-415.852	0.0254142	0.726557	0.0102201	0.0369852	0.196345	0.00447765	7665.01	11195.7	35405	46897.7	inf	0.9146669	0.285112	0.289115	0.191519	0.234254	539151	259282	756208	406913	877945	637728	261198.2
