Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size	root_height
51	-1724.95	-1406.88	-318.063	0.0222291	0.593485	0.0100031	0.00835007	0.33789	0.0280431	0.1989722	0.329736	0.251187	0.15895	0.260127	116143.3	143365.6
52	-1730.5	-1407.4	-323.098	0.0234633	0.626437	0.0105585	0.00881369	0.306163	0.024565	0.1989722	0.284932	0.267978	0.169575	0.277515	114946.7	162486.9
53	-1724.38	-1403.95	-320.433	0.0235733	0.629374	0.010608	0.00681261	0.307598	0.0220337	0.1989722	0.308838	0.259019	0.163906	0.268237	114946.7	164443.4
54	-1726.02	-1406.99	-319.029	0.0227141	0.606435	0.00887596	0.00656431	0.33418	0.0212307	0.1989722	0.309283	0.259393	0.164142	0.267182	111226.3	156420.1
55	-1719.03	-1408.37	-310.66	0.0226146	0.603779	0.00883708	0.0109155	0.332716	0.0211377	0.1989722	0.309299	0.259406	0.164099	0.267196	82863.21	126462.7
56	-1722.42	-1405.4	-317.014	0.00710292	0.691109	0.00709559	0.0105716	0.267149	0.0169721	0.1989722	0.312692	0.262251	0.164972	0.260084	82907.25	210520.3
57	-1725.22	-1406.35	-318.867	0.00894357	0.595578	0.00893434	0.024514	0.34066	0.0213703	0.1989722	0.312692	0.262251	0.164972	0.260084	82807.28	188042.7
58	-1725.18	-1407.4	-317.781	0.00888447	0.597542	0.00889131	0.0243959	0.339019	0.0212674	0.1989722	0.312692	0.262251	0.164972	0.260084	82807.28	188042.7
59	-1722.67	-1403.24	-319.426	0.00892766	0.80989	0.0109748	0.015568	0.133269	0.0213708	0.1989722	0.317696	0.266448	0.151609	0.264246	85843.58	148509.7
60	-1719.83	-1403.71	-316.117	0.00851768	0.772698	0.00723325	0.0148531	0.178496	0.0182021	0.1989722	0.317696	0.266448	0.151609	0.264246	90944.39	196068.2
61	-1722.85	-1403.07	-319.778	0.0123167	0.773143	0.0104594	0.018651	0.15911	0.0263206	0.1989722	0.322478	0.264581	0.150546	0.262395	94476.77	232096.2
62	-1724.64	-1403.78	-320.857	0.0109253	0.770875	0.0147165	0.0185963	0.158643	0.0262434	0.4431227	0.322478	0.264581	0.150546	0.262395	80477.12	141453.8
63	-1722.63	-1401.38	-321.244	0.0109864	0.775186	0.0157157	0.0105766	0.15953	0.028005	0.1135155	0.330244	0.270953	0.130089	0.268714	123452.6	137485.9
64	-1731.06	-1405.88	-325.185	0.0211385	0.563034	0.0302381	0.0203501	0.306947	0.0582927	0.1135155	0.343759	0.241118	0.135412	0.279711	122167.9	267285.8
65	-1726.02	-1405.01	-321.009	0.0213473	0.568596	0.0305368	0.0342129	0.30164	0.0436669	0.1135155	0.334453	0.234591	0.158817	0.272139	110431.8	217975.9
66	-1717.1	-1406.44	-310.66	0.0178873	0.663302	0.0255873	0.0224678	0.234166	0.0365893	0.1234021	0.326036	0.253854	0.15482	0.26529	89852.27	153050.8
67	-1724.12	-1402.6	-321.525	0.00834824	0.841698	0.0122202	0.00842386	0.111835	0.0174747	0.1234021	0.312133	0.243029	0.143622	0.301216	88652.14	187287.4
68	-1717.56	-1404.1	-313.46	0.00867401	0.872884	0.0126971	0.00875258	0.0788355	0.0181566	0.1234021	0.315114	0.24535	0.135018	0.304517	87138.41	158826.3
69	-1732.79	-1410.82	-321.974	0.00867401	0.872884	0.0126971	0.00875258	0.0788355	0.0181566	0.1234021	0.320415	0.253906	0.11604	0.309639	137736.3	221946.8
70	-1733.71	-1412.63	-321.071	0.0193126	0.696789	0.0304343	0.0209795	0.188965	0.0435204	0.1234021	0.314686	0.267244	0.113965	0.304104	145442.2	162978.3
71	-1735	-1410.17	-324.829	0.0155478	0.700837	0.0304039	0.0209585	0.188776	0.0434769	0.1234021	0.314686	0.267244	0.113965	0.304104	154937.1	194666.5
72	-1742.77	-1412.53	-330.241	0.0144374	0.505941	0.0282325	0.127267	0.263096	0.061026	0.1234021	0.29613	0.274481	0.117051	0.312338	154937.1	175130.8
73	-1736.96	-1408.26	-328.706	0.0167202	0.395081	0.0326966	0.14739	0.35245	0.0556626	0.1234021	0.293356	0.258858	0.153225	0.294561	153758	160519.2
74	-1739.36	-1410.56	-328.806	0.0156975	0.370914	0.0306966	0.210879	0.330891	0.0409224	0.1142784	0.300342	0.265022	0.133061	0.301575	145118.5	167135.5
75	-1735.7	-1407.81	-327.892	0.0540637	0.437862	0.0224219	0.154033	0.301728	0.0298912	0.1142784	0.322419	0.254935	0.132548	0.290098	136704.6	164748.6
76	-1732.77	-1409.99	-322.781	0.0556266	0.45052	0.0230701	0.129577	0.31045	0.0307553	0.1142784	0.316673	0.250392	0.148009	0.284927	110624.4	233575.5
77	-1723.72	-1404.32	-319.399	0.0413794	0.624492	0.0157543	0.0853688	0.212003	0.0210025	0.1142784	0.322041	0.248424	0.146846	0.282688	109219.5	135185.4
78	-1725.03	-1404.5	-320.533	0.0397801	0.611606	0.0159275	0.108686	0.203809	0.0201907	0.1142784	0.322041	0.248424	0.146846	0.282688	109625.1	120898.8
79	-1724.91	-1405.4	-319.516	0.0208411	0.562613	0.0161401	0.173415	0.20653	0.0204603	0.1142784	0.328517	0.25342	0.149799	0.268263	116977.2	137639.6
80	-1722.31	-1403.35	-318.962	0.0270126	0.562348	0.0209195	0.120639	0.246408	0.0226723	0.1142784	0.321086	0.256225	0.151457	0.271232	111356.9	143731.6
81	-1716.25	-1403.7	-312.557	0.026772	0.579265	0.0207332	0.119565	0.233199	0.0204653	0.1142784	0.320619	0.255852	0.152691	0.270838	96392.91	126903.5
82	-1727.68	-1404.57	-323.106	0.0204331	0.64065	0.0158242	0.0860139	0.221459	0.0156197	0.1142784	0.316691	0.252718	0.163071	0.26752	156135.6	138701.6
83	-1725.52	-1404.96	-320.56	0.0202747	0.635682	0.0234565	0.0853468	0.219742	0.0154985	0.1142784	0.31724	0.253156	0.144458	0.285147	114143.1	119586.7
84	-1723.77	-1400.73	-323.041	0.0203763	0.638867	0.0235741	0.0857745	0.217672	0.0137366	0.1142784	0.31724	0.253156	0.144458	0.285147	115558.6	142784.2
85	-1721.07	-1404.51	-316.564	0.0272188	0.55139	0.0263126	0.0957385	0.288406	0.0109338	0.1142784	0.31724	0.253156	0.144458	0.285147	93057.26	192234.9
