Iteration	Replicate_ID	Posterior	Likelihood	Prior	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]
107	1	-1821.11	-1408.71	-412.408	513386	205548	517498	342652	699307	453155
108	0	-1813.89	-1401.55	-412.334	499240	659038	123101	969292	484421	217163
109	1	-1830.15	-1416.19	-413.964	513386	206124	481151	321598	665463	453048
110	0	-1816.03	-1402.24	-413.79	438284	657784	129221	954360	516271	225072
111	1	-1827.47	-1412.53	-414.936	498413	206546	434771	317806	716345	440093
112	0	-1814.53	-1401	-413.535	417192	644202	118529	954680	516271	234163
113	1	-1821.45	-1408.69	-412.762	480570	206546	425276	340394	716345	444864
114	0	-1823.65	-1409.04	-414.614	385492	647456	112571	929080	516271	240432
115	1	-1822.95	-1410.73	-412.22	494197	210118	413488	340394	687982	441721
116	0	-1817.46	-1407.06	-410.4	366768	627137	108462	980349	492182	232299
117	1	-1822.65	-1411.48	-411.166	458548	214626	414527	350352	679025	467936
118	0	-1821.69	-1408.13	-413.563	358009	664285	105769	971405	455546	213356
119	1	-1826.28	-1413.22	-413.056	443414	217947	415961	345371	679025	482809
120	0	-1824.73	-1410.81	-413.927	362628	663709	105769	998045	468254	212581
121	1	-1819.61	-1410.55	-409.062	463511	223309	387889	322226	713070	472613
122	0	-1818.89	-1405.89	-413.001	377106	663709	103142	906399	483280	222582
123	1	-1824.18	-1409.93	-414.245	446828	238947	377940	313404	721263	472613
124	0	-1813.64	-1402.69	-410.955	385625	656913	101936	919932	454919	215741
125	1	-1820.19	-1407.23	-412.963	456314	234388	362388	322927	802703	484880
126	0	-1811.37	-1399.76	-411.61	368374	666141	107300	920487	440248	209197
127	1	-1832.45	-1413.79	-418.663	422481	232620	360149	327647	789029	462721
128	0	-1802.66	-1394.05	-408.607	348177	698555	110003	870830	425508	224838
129	1	-1827.28	-1411.74	-415.546	424947	230903	370849	323419	756983	449512
130	0	-1803.82	-1397.89	-405.931	348177	713302	113054	813150	395953	213017
131	1	-1828.79	-1411.64	-417.157	453795	230903	377647	300830	756983	431854
132	0	-1810.57	-1399.65	-410.925	349245	713302	116773	889865	408440	216533
133	1	-1826.07	-1410.45	-415.618	471877	237144	397941	293030	729203	440386
134	0	-1807.09	-1397.23	-409.859	336510	690306	114904	871291	402036	216533
135	1	-1826.95	-1411.67	-415.278	447422	218025	418755	293030	729203	440626
136	0	-1803.44	-1394.37	-409.063	332272	690306	112038	875560	369571	223162
137	1	-1826.24	-1409.43	-416.808	478726	218025	418755	288795	708536	429207
138	0	-1803.96	-1396.49	-407.477	348900	649416	111399	855912	380096	208755
