Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]
141	1	-1825.52	-1409.34	-416.172	5822.44	16933.6	40237.1	50646.6	inf
142	0	-1804.54	-1397.23	-407.314	4344.62	10162	13192	76015.4	inf
143	1	-1825.9	-1412.2	-413.697	7415.7	11138.5	31800.2	48191.2	inf
144	0	-1803.31	-1396.67	-406.642	3010.58	10162	13192	82567.8	inf
145	1	-1823.67	-1411.73	-411.935	6605.62	9972.79	21170.5	54991.1	inf
146	0	-1795.59	-1392.3	-403.288	2587.07	6420.51	8233.86	38657.5	inf
147	1	-1825.13	-1412.17	-412.964	2892.13	11669.1	19323.7	46983.4	inf
148	0	-1802.13	-1394.7	-407.434	4689.32	9463.61	13901.7	44431.2	inf
149	1	-1830.34	-1419.96	-410.382	2904.66	6703.42	25073.1	55692.9	inf
150	0	-1811.73	-1401.43	-410.302	3019.92	13034.6	19550	66116	inf
151	1	-1828.25	-1414.74	-413.505	2684.36	14418.8	26270.7	40548.4	inf
152	0	-1818.75	-1404.63	-414.115	4540.02	17644	24495.2	75868.1	inf
153	1	-1828.59	-1410.58	-418.016	5276.8	18698.1	30398.1	51674.8	inf
154	0	-1800.59	-1395.01	-405.584	3351.37	10193.2	12883.4	25984.9	inf
155	1	-1824.64	-1411.15	-413.493	4688.78	14132.6	23732.4	46373.3	inf
156	0	-1796.74	-1391.37	-405.372	2183.68	9200.85	12525.8	40244.8	inf
157	1	-1822.26	-1412.14	-410.12	5241.39	8130.67	23325.1	44501	inf
158	0	-1809.32	-1397.64	-411.677	3495.96	12770.5	18848.8	60560.3	inf
159	1	-1819	-1409.22	-409.778	6520.48	9751.75	20601.7	43210.8	inf
160	0	-1796.71	-1392.62	-404.089	1860.89	7867.13	9677.79	39271.3	inf
161	1	-1815.3	-1407.72	-407.581	6051.35	9201.42	18405.3	37898.4	inf
162	0	-1801.48	-1394.06	-407.423	1859.08	12260.9	15183.2	46836.9	inf
163	1	-1822.84	-1409.62	-413.214	9911.41	12101.8	30925.7	54721.4	inf
164	0	-1812.3	-1399.93	-412.372	5231.64	12580.8	18388.8	66877.1	inf
165	1	-1818.47	-1407.58	-410.886	7628.76	12107.3	22006.5	46996	inf
166	0	-1808.71	-1396.01	-412.698	4967.14	12093.3	19361.3	58134.3	inf
167	1	-1817.58	-1407.28	-410.301	7790.37	13160.7	19891	51095.3	inf
168	0	-1816.35	-1400.87	-415.482	6133.02	16302	23745.9	79368	inf
169	1	-1820.14	-1409.74	-410.397	6879.06	12660.4	20725.2	45192.4	inf
170	0	-1812.5	-1401.71	-410.798	4058.9	15060.1	19780.2	48268.4	inf
171	1	-1820.65	-1407.7	-412.951	4834.53	12949	21398.7	49734.8	inf
172	0	-1820.6	-1406.61	-413.99	3442.74	24207.4	29280.2	77151.7	inf
173	1	-1820.13	-1407.82	-412.305	8668.31	14526.9	22405.4	49734.8	inf
174	0	-1820.41	-1406.65	-413.761	4253.82	26029.5	30037.3	99287.3	inf
175	1	-1820.8	-1408.27	-412.525	5728.43	12758.3	27212.5	46480.5	inf
176	0	-1822.17	-1407.76	-414.411	2182.14	24829.2	31033.8	99287.3	inf
177	1	-1819.77	-1409.75	-410.018	6743.13	13235.8	23914.5	35737.1	inf
178	0	-1814.75	-1402.48	-412.272	1912.1	21404	27193.5	98621.3	inf
179	1	-1824.87	-1408.28	-416.585	6178.01	17143	36886.9	49663.3	inf
180	0	-1812.41	-1400.94	-411.465	3910.33	16390.9	22164.9	71970.8	inf
181	1	-1817.56	-1406.28	-411.28	6266.74	11495.4	19671.1	34862.7	inf
182	0	-1810.74	-1398.8	-411.934	3910.33	16125.1	22164.9	73505.2	inf
183	1	-1823.47	-1407.8	-415.662	6115.12	13919.8	33760.8	57467.7	inf
184	0	-1812.85	-1401.26	-411.595	6015.05	17690.5	22554	63642.6	inf
185	1	-1819.44	-1408.89	-410.557	1641.06	5093.26	21797.1	57467.7	inf
186	0	-1810.83	-1400.72	-410.111	4781.85	15657.6	20070	38103.9	inf
187	1	-1820.02	-1411.23	-408.781	1613.63	4618	16501.1	39155.8	inf
188	0	-1813.93	-1402.22	-411.712	4869.77	20194.9	25139.7	36983.1	inf
189	1	-1814.38	-1404.78	-409.602	2227.48	7322.38	15269.8	40756.7	inf
190	0	-1801.67	-1394.52	-407.146	3163.69	15701.4	18315	31401	inf
191	1	-1822.58	-1410.01	-412.57	4721.22	9874.75	21297.8	61020.4	inf
192	0	-1802.63	-1394.89	-407.735	3427.82	15701.4	18196.4	36831.2	inf
193	1	-1815.89	-1406.99	-408.905	3019.42	5269.6	18967	49990.1	inf
194	0	-1811.58	-1398.68	-412.903	10096.9	14923.1	19596.6	31401	inf
195	1	-1821.72	-1412.45	-409.27	3005.31	6066.83	19158.2	49990.1	inf
196	0	-1816.09	-1402.41	-413.679	6363.72	21698.8	26933.7	43207.7	inf
197	1	-1812.58	-1404.58	-408.002	1969.2	4557.48	23726.7	44395.4	inf
198	0	-1812.01	-1400.07	-411.946	4460.35	21698.8	26964.9	43207.7	inf
199	1	-1813.01	-1404.09	-408.925	2140.42	5149.31	26496.5	50160.5	inf
200	0	-1807.15	-1397.37	-409.783	3116.23	20291.4	24034.9	36769.7	inf
201	1	-1812.29	-1404.86	-407.424	1547.56	4451.84	22951	55778.2	inf
202	0	-1807.99	-1398.32	-409.673	3116.23	19351.7	24034.9	61991.9	inf
203	1	-1823.9	-1410.36	-413.542	3562.01	9145.15	23781.4	54433.6	inf
204	0	-1812.01	-1399.92	-412.094	4084.69	19940.6	26146.2	67437.3	inf
205	1	-1818.4	-1407.85	-410.549	5597.12	8604.74	26035.8	57173.1	inf
206	0	-1797.47	-1392.39	-405.08	2334.2	10841.5	13474.4	34934.3	inf
207	1	-1815.39	-1406.94	-408.449	4340.12	6673.98	21611.1	47992.7	inf
208	0	-1803.98	-1397.53	-406.458	2334.2	9275.01	13474.4	34141	inf
209	1	-1819.29	-1408.18	-411.109	6281.32	9659.04	22005.1	48007.9	inf
210	0	-1799.3	-1393.63	-405.671	2334.2	9275.01	13330	29529.9	inf
211	1	-1822.26	-1407.15	-415.111	5695.22	14028.4	36421.1	43528.4	inf
212	0	-1800.45	-1393.19	-407.259	2287.29	10133.6	12685.3	34654.4	inf
213	1	-1822.09	-1409.5	-412.593	5093.71	11138.6	23324.4	38824.1	inf
214	0	-1802.6	-1394.46	-408.14	1571.06	10292.1	15357.9	32076.3	inf
215	1	-1825.74	-1413.34	-412.402	5070.86	9408.21	22641.3	38225.6	inf
216	0	-1800.2	-1391.86	-408.343	3823.26	10863.5	14304.8	30646.7	inf
217	1	-1827.24	-1414.23	-413.006	4841.47	8441.12	13139.2	40528.3	inf
218	0	-1800.87	-1392.61	-408.263	3070.85	10453.9	14775.8	30646.7	inf
219	1	-1819.85	-1408.36	-411.489	3821.41	6385.06	25132	57124.8	inf
220	0	-1810.42	-1396.45	-413.97	3227.92	16182.7	23747.5	54847	inf
221	1	-1819.32	-1406.69	-412.634	3846.77	8228.31	32201.6	54378.4	inf
222	0	-1807.73	-1395.53	-412.201	4878.66	14298.9	24321.4	67782.3	inf
223	1	-1818.69	-1404.48	-414.209	2687.03	8144.56	26188.6	55580.1	inf
224	0	-1807.23	-1395.48	-411.748	2234.77	17499.3	27150.6	69975.7	inf
225	1	-1818.93	-1404.29	-414.641	3571.18	12161.9	31995.1	49147.8	inf
226	0	-1801.65	-1394.61	-407.034	2574.29	18964.5	23800.1	64876.4	inf
227	1	-1818.35	-1405.51	-412.838	2347.61	7512.56	28082	51985	inf
228	0	-1800.32	-1394.82	-405.502	2101.3	18964.5	23484.6	63513.2	inf
229	1	-1819.18	-1406.23	-412.954	5094.71	10180.8	26017.9	46723.5	inf
230	0	-1800.69	-1394.57	-406.121	3349.39	18247	22596	62421.8	inf
231	1	-1819.1	-1406.07	-413.027	5461.83	10646.2	19712.6	37431.3	inf
232	0	-1806.7	-1397.58	-409.115	3727.66	18082.6	26015.9	69471.5	inf
233	1	-1820.11	-1408.6	-411.512	3756.13	10144.1	28830.2	37431.3	inf
234	0	-1810.42	-1400.24	-410.175	2250.13	19317.2	24684	67824.3	inf
235	1	-1816.86	-1406.6	-410.263	2032.09	7282.92	15853.6	38490	inf
236	0	-1810.82	-1400.42	-410.401	2226.45	21097.1	26953.7	67562.4	inf
237	1	-1828.56	-1413.34	-415.212	3640.95	9973.28	29669.2	63363.6	inf
238	0	-1798.72	-1397.46	-401.255	2579.78	15423	18125.4	45433.3	inf
239	1	-1819.22	-1405.76	-413.466	1591.94	8008.58	19238.3	55130	inf
240	0	-1802.07	-1398.51	-403.563	1845.75	18813.3	21451.5	67657.6	inf
241	1	-1828.4	-1409.7	-418.693	2145.8	11134.8	17068.8	79142.4	inf
242	0	-1804.06	-1397.53	-406.53	1839.64	16722.6	22036.5	66831.6	inf
243	1	-1825.11	-1408.15	-416.961	3822.35	12189.4	19776.1	79732	inf
244	0	-1792.13	-1392.57	-399.56	2777.63	8925.25	12951.2	32463.6	inf
245	1	-1821.23	-1406.06	-415.175	2862.52	11640.5	16075	71588.6	inf
246	0	-1796.21	-1394.3	-401.912	1407.63	12650.4	16670.4	41786.1	inf
247	1	-1822.29	-1408	-414.283	3309.33	9122.76	23812.6	57884.7	inf
248	0	-1796.79	-1395.56	-401.225	1365.14	12508.7	16167.2	58880.6	inf
249	1	-1817.16	-1405.78	-411.378	6422.36	10077.9	24907.2	44804.8	inf
