Iteration	Posterior	Likelihood	Prior	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]
164	-1809.81	-1407.96	-401.849	247065	179357	909621	109012	213557	263776
165	-1816.31	-1413.54	-402.768	247065	183808	930570	109648	203975	259027
166	-1814.88	-1410.8	-404.083	247065	174294	815670	100669	239501	258562
167	-1807.91	-1408.16	-399.752	224759	153929	775977	98303.3	233692	262154
168	-1808.57	-1407.95	-400.613	256467	154697	762757	92616.5	224893	255899
169	-1813.83	-1408.31	-405.514	258516	165537	709321	101106	206015	262311
170	-1816.87	-1414.45	-402.426	299399	166599	733468	101106	190667	259264
171	-1815.79	-1407.8	-407.99	299399	149084	706974	108987	213720	315350
172	-1820.58	-1412.11	-408.471	304549	152153	631762	108987	250654	322724
173	-1815.7	-1409.75	-405.946	316408	144565	659071	113052	228323	334669
174	-1809.83	-1406.17	-403.658	298856	144565	681475	113890	228323	342863
175	-1812.88	-1406.41	-406.478	341584	160466	727602	103668	207320	404891
176	-1809.44	-1408.11	-401.326	352042	164924	722299	104471	223132	410360
177	-1806.03	-1405.66	-400.365	373436	160102	872310	108099	223132	472303
178	-1805.33	-1404.16	-401.163	346853	160102	872310	108099	239815	578135
179	-1802.54	-1404.62	-397.925	375653	164047	945906	108645	234578	578135
180	-1808.93	-1406.64	-402.294	344327	151325	960940	106363	242709	610088
181	-1807.75	-1406.76	-400.99	344327	162751	875641	119234	240078	732480
182	-1808.12	-1406.13	-401.992	316072	165372	908649	119234	229059	732480
183	-1812.56	-1408.11	-404.455	311045	165372	970387	107177	223619	752485
184	-1812.08	-1408.5	-403.584	338324	157460	970387	112069	188091	799993
185	-1806	-1404.6	-401.401	314260	180968	970387	116492	176301	734725
186	-1810.39	-1406.41	-403.98	324639	191863	998543	114956	203530	705030
187	-1811.3	-1406.74	-404.558	354003	192595	979400	101467	219155	765108
188	-1806.03	-1404.68	-401.352	309384	196691	979400	106910	200742	845372
189	-1813.85	-1406.78	-407.076	315669	207085	979400	112755	200742	924018
190	-1809.71	-1404.5	-405.205	347689	198136	875665	112755	232226	885137
191	-1811.7	-1404.98	-406.712	369793	180332	871573	117548	217429	920837
192	-1809.95	-1403.62	-406.328	368212	178964	801427	117548	232318	927139
193	-1811.5	-1405.03	-406.47	377610	165582	863614	112496	227697	962470
194	-1810.48	-1404.54	-405.939	372493	165582	904871	112496	220233	827351
195	-1805.04	-1403.55	-401.482	421748	171546	821130	127756	218567	827351
196	-1804.39	-1403.26	-401.127	392930	145362	739478	115814	235600	861438
197	-1805.55	-1403.54	-402.004	331738	139123	714321	118154	223229	890338
