Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-14503.44	-14525.02	21.57745	0.129208	0.0786534	0.105424	0.0850962	0.0947026	0.0722902	0.117831	0.0854695	0.0841199	0.175016	0.0735307	0.0738125	0.101482	0.0932423	0.104152	0.141756	0.113023	0.0995419	0.128118	0.0675134	0.0750011	0.0924546	0.146297	0.0184267	0.0268213	0.0270453	0.0349033	0.0432728	0.00941433	0.0378382	0.0107937	0.0412773	0.0299149	0.0153448	0.101601	0.0414598	0.0276667	0.0221898	0.0371937	0.0128211	0.0478794	0.0460516	0.0194375	0.243781	0.282691	0.0520033	0.0232955	0.384839	0.0133906	0.217887	0.237234	0.168069	0.37681	2.989088
210	-14503.25	-14525.78	22.52886	0.120079	0.0853187	0.12081	0.107233	0.0994325	0.0707367	0.111439	0.0713208	0.0647835	0.156805	0.0656735	0.0656624	0.0875798	0.0961435	0.0802322	0.119631	0.11532	0.0995419	0.125341	0.0682747	0.0889616	0.0937114	0.167592	0.00885629	0.0171436	0.039244	0.0277104	0.0292469	0.0170723	0.0401982	0.0284755	0.0449363	0.0101988	0.0229354	0.0993445	0.0307287	0.0173928	0.0172568	0.0476012	0.0116346	0.0401025	0.039275	0.0229705	0.230817	0.251756	0.0582699	0.0305771	0.419641	0.00893939	0.240742	0.21679	0.167325	0.375143	2.893947
220	-14494.31	-14516.07	21.75932	0.122699	0.0845264	0.106505	0.0874342	0.0948238	0.0790158	0.112751	0.0781078	0.081764	0.169308	0.0619804	0.076146	0.0946801	0.0837782	0.104321	0.13396	0.147938	0.100148	0.104619	0.0751386	0.0927621	0.084376	0.162	0.0169303	0.0170648	0.0316673	0.0385206	0.0330871	0.00935448	0.0346563	0.0211652	0.0473811	0.036982	0.0235802	0.0921784	0.0484567	0.0203089	0.0279266	0.032285	0.0193676	0.0265209	0.0364978	0.0181888	0.23085	0.251792	0.0582783	0.0257008	0.419701	0.0136778	0.240742	0.21679	0.167325	0.375143	2.970901
230	-14500.99	-14523.25	22.26101	0.122699	0.113962	0.104656	0.0658135	0.106256	0.0650978	0.108154	0.0736026	0.0815873	0.188815	0.0708489	0.0871621	0.0952829	0.103675	0.0881046	0.104164	0.126807	0.0948861	0.095694	0.0713955	0.0812712	0.0728408	0.173705	0.0197759	0.0146183	0.0290666	0.0311949	0.040062	0.011525	0.0556152	0.0238424	0.0427065	0.0186928	0.0248842	0.0916067	0.0506382	0.0176312	0.0222048	0.0391127	0.0116652	0.0321485	0.0325615	0.0146999	0.232013	0.25306	0.0585719	0.0267407	0.421815	0.00779893	0.242361	0.218248	0.168451	0.370941	2.920733
240	-14495.38	-14516.98	21.60338	0.118032	0.101517	0.103241	0.105187	0.0988099	0.0745451	0.0998406	0.0566732	0.0763133	0.186725	0.0848708	0.0748087	0.101222	0.094158	0.102089	0.119093	0.128227	0.107803	0.120506	0.0767766	0.0785041	0.0855479	0.175998	0.0138786	0.00870703	0.0335394	0.0326942	0.0446827	0.00468373	0.0423544	0.0161665	0.0489112	0.0163829	0.0128032	0.0928808	0.0471304	0.0146588	0.0304224	0.0349038	0.0164336	0.0417265	0.0350134	0.0280338	0.221624	0.28365	0.0559493	0.0255434	0.402929	0.0103048	0.248151	0.223463	0.148582	0.379804	2.986495
250	-14499.9	-14520.93	21.03272	0.133441	0.0942597	0.105301	0.0814239	0.113984	0.0767193	0.105134	0.0870871	0.06678	0.205071	0.0825317	0.0738338	0.0888751	0.0941497	0.0930588	0.119093	0.139111	0.116828	0.120506	0.0932503	0.090454	0.087851	0.1543	0.0173479	0.0123912	0.0375091	0.0242582	0.0318401	0.0112865	0.0494709	0.0196954	0.0303134	0.0243754	0.0309526	0.093772	0.0521166	0.021134	0.0154434	0.0353058	0.016171	0.0252979	0.0443252	0.0275126	0.223748	0.276806	0.0548179	0.0284191	0.406789	0.00942017	0.244206	0.21991	0.162119	0.373765	3.043561
260	-14503.04	-14524.58	21.53489	0.126122	0.0847298	0.0898319	0.0918891	0.104007	0.0765039	0.109526	0.0841669	0.11167	0.169191	0.0879408	0.0592579	0.098115	0.0866598	0.119466	0.13094	0.107654	0.114135	0.0952706	0.0736989	0.0831023	0.0781116	0.160845	0.0138743	0.0175435	0.0303659	0.0340015	0.0288778	0.0178196	0.0307542	0.0195254	0.033076	0.0320863	0.0409682	0.0838066	0.0480983	0.0228475	0.0214534	0.0535716	0.0185765	0.044665	0.0414577	0.0171405	0.224049	0.277178	0.0546299	0.0284574	0.407337	0.0083483	0.244206	0.21991	0.162119	0.373765	2.993344
270	-14494.74	-14516.86	22.12256	0.108832	0.104487	0.106769	0.10522	0.100823	0.0689359	0.138768	0.0729914	0.0865404	0.194709	0.0606441	0.0648617	0.0786119	0.0955041	0.107653	0.110504	0.139073	0.107496	0.098427	0.0736989	0.0749035	0.0906587	0.154389	0.0158883	0.0141037	0.0261217	0.034568	0.0377048	0.00799401	0.0437528	0.0143713	0.0383795	0.0152401	0.0280356	0.0907774	0.0448093	0.0182989	0.0282947	0.0381819	0.00971162	0.032173	0.0356178	0.0160515	0.224836	0.278152	0.0548217	0.0236136	0.408767	0.00980963	0.244206	0.21991	0.162119	0.373765	2.934577
280	-14506.45	-14527.67	21.21754	0.128884	0.0872185	0.108936	0.0709324	0.10141	0.0908799	0.125378	0.0639305	0.101098	0.161425	0.0858523	0.0769065	0.0979745	0.098851	0.113169	0.134502	0.117377	0.12025	0.118486	0.0681915	0.0841935	0.090089	0.174216	0.0156026	0.022031	0.0230073	0.0395148	0.0264932	0.0130177	0.0327995	0.0213354	0.0405233	0.0269417	0.0172792	0.0829916	0.0433019	0.0440486	0.0203208	0.0561751	0.00716599	0.0227626	0.0300615	0.0195538	0.229437	0.266121	0.0551806	0.023993	0.415335	0.00993296	0.243833	0.221102	0.161871	0.373194	3.025079
290	-14503.7	-14525.05	21.34869	0.1239	0.0890859	0.0987428	0.113611	0.08367	0.0789568	0.133575	0.0745673	0.0737233	0.212987	0.083993	0.0747508	0.0944183	0.0922749	0.107811	0.120451	0.117377	0.12348	0.107135	0.079819	0.0861318	0.0646877	0.187055	0.0209033	0.0194766	0.0301023	0.0336879	0.0374815	0.0178643	0.0416583	0.00746225	0.0373089	0.00799225	0.0226805	0.0834494	0.0438568	0.022576	0.023789	0.0388764	0.0109769	0.0297469	0.0401749	0.0196956	0.22418	0.260024	0.0607499	0.0234433	0.421898	0.00970537	0.243833	0.221102	0.161871	0.373194	3.011964
