Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	lambda	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-13506.8	-13480.5	-26.2541	0.309222	0.138129	0.173541	0.119713	0.276091	0.136631	0.185042	0.135465	0.218843	0.465512	0.115219	0.189405	0.251136	0.273995	0.261675	0.290547	0.339607	0.27223	0.298763	0.123206	0.151563	0.0910796	0.923469	0.103343	0.188316	0.117507	0.217732	0.161047	0.09328	0.0267734	0.0835053	0.0442356	0.124584	0.107681	0.0521232	0.0430162	0.134225	0.0418002	0.0837989	0.0803207	0.179001	0.0609465	0.0763895	0.0596483	0.249731	0.106558	0.00918275	0.546274	0.0286058	0.1252792	0.314217	0.358988	0.115188	0.211607	7.759712
210	-13507.4	-13478.2	-29.2242	0.429714	0.150377	0.224471	0.131331	0.309758	0.125933	0.22181	0.133558	0.228028	0.342988	0.0848334	0.177833	0.2328	0.182992	0.261675	0.336652	0.328291	0.254789	0.267102	0.139145	0.180949	0.113176	1.14352	0.0725892	0.391964	0.0730634	0.181382	0.222831	0.0858502	0.0357527	0.090492	0.0448262	0.0577952	0.0665361	0.0387551	0.056586	0.122744	0.0214129	0.114303	0.0279587	0.196717	0.0852473	0.0692772	0.0462874	0.268964	0.114765	0.0102199	0.538292	0.0214715	0.1144094	0.319614	0.363894	0.101251	0.215241	8.05781
220	-13500	-13472.8	-27.2512	0.265274	0.157893	0.247541	0.154428	0.259021	0.165459	0.191186	0.139102	0.194488	0.360301	0.119604	0.158369	0.222413	0.214504	0.218245	0.337584	0.264397	0.273012	0.246967	0.140266	0.189299	0.112735	1.14152	0.08682	0.222579	0.0979573	0.296877	0.179891	0.0808905	0.0437416	0.0529814	0.105664	0.0810201	0.0345271	0.0289548	0.0464932	0.0958648	0.0858859	0.174903	0.036892	0.244519	0.0541981	0.0365835	0.0525123	0.3495	0.0995153	0.00842247	0.466766	0.0232841	0.1110285	0.316207	0.370674	0.100172	0.212947	7.860854
230	-13499.4	-13477.5	-21.8682	0.233007	0.14863	0.217051	0.126797	0.217304	0.12907	0.198876	0.133413	0.135335	0.371456	0.118031	0.186617	0.226837	0.242292	0.223837	0.294203	0.316411	0.209693	0.21171	0.14778	0.179313	0.171716	1.05749	0.113251	0.181338	0.0709449	0.251284	0.0954909	0.0776581	0.02864	0.10274	0.0172848	0.0656849	0.0657755	0.014114	0.0532885	0.153674	0.0551939	0.141921	0.0464622	0.179991	0.0826906	0.0269811	0.0516978	0.344079	0.0979717	0.0169713	0.459526	0.0297542	0.1238273	0.314979	0.369234	0.0997831	0.216004	7.321272
240	-13505.1	-13476.7	-28.4242	0.292739	0.182588	0.17263	0.174369	0.242417	0.147006	0.242514	0.168654	0.192578	0.32223	0.0702547	0.241343	0.244735	0.212277	0.236718	0.334766	0.363945	0.275658	0.249585	0.142592	0.179313	0.142771	1.04534	0.0991388	0.238255	0.151602	0.219148	0.148232	0.0460982	0.0215811	0.0479761	0.081224	0.0656471	0.0586594	0.012151	0.0878493	0.141098	0.0992044	0.133556	0.094105	0.23516	0.0614809	0.0568084	0.0555374	0.275654	0.0917069	0.0169774	0.534511	0.0256125	0.1325198	0.318326	0.373157	0.100843	0.207673	7.975999
250	-13499.3	-13469.7	-29.5347	0.276226	0.151895	0.240744	0.172639	0.291876	0.142375	0.219798	0.135951	0.134179	0.353888	0.124072	0.145245	0.261913	0.234103	0.287929	0.352573	0.309891	0.301745	0.251267	0.139628	0.180633	0.0834104	1.16052	0.102381	0.274548	0.103155	0.191797	0.174485	0.120725	0.0176301	0.0881078	0.070492	0.11818	0.0951668	0.0374065	0.0290888	0.102286	0.020952	0.142302	0.0675909	0.259119	0.0608847	0.0598731	0.0512142	0.29906	0.090027	0.00171018	0.506185	0.0518035	0.1163851	0.314484	0.368654	0.100587	0.216274	8.088666
260	-13498.7	-13469.5	-29.2194	0.30243	0.14409	0.170181	0.11066	0.252328	0.123663	0.240353	0.123147	0.203648	0.368941	0.149406	0.167752	0.260609	0.172054	0.276653	0.244038	0.396648	0.290077	0.235087	0.159207	0.205771	0.126625	1.08154	0.109445	0.2128	0.12507	0.240173	0.152601	0.0802945	0.0878226	0.0868362	0.151935	0.0968878	0.0534857	0.0330058	0.0424618	0.0831903	0.0363651	0.148335	0.0444009	0.276102	0.0667756	0.124437	0.0595917	0.305877	0.0941844	0.00164789	0.491051	0.0476479	0.1143994	0.317176	0.367207	0.100192	0.215425	8.057333
270	-13496	-13471.8	-24.1584	0.276159	0.229443	0.202551	0.135358	0.29176	0.147974	0.232796	0.135782	0.201247	0.348633	0.0811917	0.197676	0.234047	0.211698	0.204519	0.2843	0.334146	0.222238	0.231069	0.137483	0.192447	0.110434	1.13318	0.101259	0.202403	0.115419	0.20208	0.134599	0.0707749	0.046258	0.0502919	0.0537182	0.110986	0.0705545	0.0155786	0.0492895	0.106374	0.0662847	0.0806363	0.0487296	0.170147	0.0576919	0.0220276	0.059787	0.315979	0.0802415	0.0113927	0.492661	0.0399389	0.1143994	0.320023	0.367198	0.0992912	0.213488	7.551235
280	-13501	-13473.2	-27.7297	0.315682	0.193085	0.227643	0.15587	0.248746	0.136919	0.168543	0.150331	0.203982	0.37857	0.159008	0.14835	0.267301	0.272564	0.219435	0.229468	0.3065	0.210479	0.251409	0.146407	0.160641	0.141049	1.11462	0.0953851	0.204163	0.101152	0.318661	0.202344	0.0535704	0.104085	0.0195078	0.117877	0.0663814	0.0977271	0.0221403	0.0842831	0.0909981	0.023778	0.0980507	0.0661419	0.182362	0.0687037	0.0839406	0.0598821	0.316481	0.0803691	0.0114108	0.493444	0.0384123	0.1194717	0.331063	0.363643	0.0969148	0.208379	7.907855
290	-13496.9	-13468	-28.8723	0.246832	0.175946	0.254197	0.143754	0.20882	0.157112	0.279856	0.138435	0.230033	0.37857	0.15323	0.173498	0.267293	0.252042	0.232502	0.276003	0.316546	0.22816	0.276868	0.0998065	0.145185	0.142526	1.30751	0.0659342	0.19336	0.0515515	0.260704	0.231032	0.080419	0.0415997	0.0377002	0.117877	0.0719213	0.064219	0.0597943	0.0263175	0.0956875	0.0751154	0.0892683	0.0633405	0.219551	0.0500668	0.0432966	0.0487884	0.309546	0.0841134	0.00746112	0.516433	0.0336583	0.1057744	0.331063	0.363643	0.0969148	0.208379	8.023486
300	-13510.7	-13483.7	-27.0694	0.296853	0.193217	0.222366	0.14659	0.301524	0.102135	0.212183	0.218475	0.158102	0.353692	0.15323	0.115821	0.244175	0.245493	0.224893	0.387419	0.32597	0.189009	0.210994	0.172631	0.144047	0.133959	1.08378	0.0878733	0.13529	0.0978418	0.359918	0.180074	0.0458569	0.0411966	0.0457492	0.0263353	0.11138	0.0497359	0.0539312	0.0802749	0.0885332	0.0979935	0.142022	0.0254919	0.236966	0.019102	0.0810708	0.0500903	0.286796	0.083863	0.0240558	0.530214	0.0249803	0.1057744	0.334172	0.367058	0.0884348	0.210335	7.843198
310	-13494.1	-13463.9	-30.2636	0.355791	0.196458	0.206075	0.190169	0.293097	0.13639	0.256862	0.195747	0.157151	0.277099	0.11821	0.181369	0.260055	0.274631	0.251389	0.392026	0.328302	0.29074	0.283886	0.10621	0.183708	0.142979	1.0781	0.104533	0.225149	0.0976956	0.29361	0.166124	0.0794764	0.012843	0.0459374	0.043818	0.0763852	0.044561	0.045111	0.0641212	0.0879442	0.0361966	0.160882	0.0720216	0.215086	0.0595834	0.0713291	0.0607907	0.277515	0.0802784	0.0126598	0.530355	0.0384016	0.1434604	0.329623	0.362061	0.100844	0.207472	8.158847
