Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
200	-15797.4	-15809.9	12.5662	0.123369	0.093909	0.125422	0.101692	0.100976	0.0901513	0.120391	0.0763188	0.109405	0.17743	0.0943374	0.0699083	0.104549	0.102047	0.110183	0.130055	0.116318	0.124401	0.105147	0.0903771	0.0958361	0.0735567	0.17359	0.0453509	0.0342981	0.0297029	0.0375933	0.0459138	0.0253319	0.0286399	0.0315828	0.0305214	0.0168889	0.0298663	0.0373224	0.087101	0.0314782	0.0158411	0.0340378	0.0298952	0.0474427	0.0264788	0.0576283	3.232287
210	-15802.2	-15815	12.8367	0.116847	0.110572	0.0923839	0.108812	0.111618	0.0887104	0.117231	0.0704891	0.11274	0.187371	0.0971521	0.0923745	0.109227	0.0896417	0.097937	0.108659	0.117905	0.105749	0.118246	0.0790004	0.0840196	0.0865885	0.150473	0.0303268	0.0311299	0.0411586	0.0403107	0.0523152	0.0281191	0.0376932	0.0279674	0.0331901	0.0280013	0.0479725	0.0500687	0.0787739	0.0313683	0.0211519	0.0350007	0.0231382	0.0487618	0.0236614	0.0413805	3.205237
220	-15797.9	-15811.3	13.3532	0.10846	0.10049	0.0903312	0.10681	0.10602	0.0700081	0.141542	0.0625139	0.0901625	0.145669	0.0839618	0.0757851	0.090082	0.109417	0.107958	0.136805	0.131505	0.139649	0.128861	0.074404	0.0788875	0.0851739	0.156983	0.0499663	0.0427472	0.0277091	0.0383883	0.0577512	0.0262543	0.0277271	0.0279975	0.0331901	0.0216674	0.0303869	0.0376957	0.0767797	0.0389457	0.00856557	0.0333228	0.021877	0.0547937	0.0313444	0.0449995	3.153589
230	-15807.2	-15820	12.8253	0.124151	0.0858563	0.0811662	0.107789	0.127299	0.0731978	0.110167	0.0784482	0.075477	0.163393	0.0827194	0.106666	0.110357	0.0827236	0.118067	0.152503	0.144299	0.125758	0.135892	0.0946156	0.0788883	0.0863841	0.14043	0.0425602	0.0422021	0.0312451	0.0477566	0.0413603	0.011068	0.0299096	0.0291723	0.0412502	0.0297799	0.0269885	0.0315095	0.0810925	0.0380478	0.00429759	0.0360619	0.0181307	0.052654	0.03451	0.050535	3.20638
240	-15802.8	-15815.9	13.0508	0.12818	0.125913	0.0826608	0.118728	0.111914	0.0780055	0.127515	0.0705291	0.0964785	0.209357	0.0818027	0.0800258	0.0954091	0.0762202	0.120665	0.11806	0.123266	0.122551	0.140866	0.0733059	0.0878223	0.0676537	0.15357	0.0425602	0.0401485	0.0264655	0.0424438	0.0498936	0.0112934	0.0289246	0.0216783	0.0391753	0.026331	0.029756	0.0495659	0.0603288	0.0312601	0.0147771	0.0369026	0.0107708	0.0501323	0.0274775	0.0534445	3.183828
250	-15805.3	-15817.9	12.6167	0.127414	0.085832	0.112538	0.0975645	0.124919	0.0780055	0.122217	0.0817251	0.100287	0.192568	0.0676039	0.106434	0.0833027	0.114269	0.104391	0.129408	0.122702	0.116645	0.129469	0.0781519	0.0858982	0.0892941	0.163234	0.0347958	0.0453205	0.0215316	0.0365605	0.0527653	0.0156518	0.0297517	0.0220414	0.0259205	0.035112	0.0418894	0.0335522	0.0574459	0.0362658	0.0186896	0.0366813	0.0261052	0.0773627	0.0182024	0.0477242	3.22724
260	-15803.4	-15815.5	12.1559	0.138094	0.10424	0.106274	0.114406	0.106477	0.0952122	0.128508	0.0937195	0.106743	0.161845	0.0780079	0.0744493	0.101954	0.103558	0.112759	0.129829	0.135559	0.118585	0.130568	0.0497533	0.0911808	0.0831147	0.163234	0.0358245	0.0510885	0.0179404	0.0628157	0.037857	0.0317943	0.0290301	0.0266294	0.0283265	0.0205883	0.0334871	0.0331523	0.0828257	0.0350089	0.0159408	0.0302071	0.0280823	0.0638823	0.0204798	0.0602861	3.273317
270	-15801.1	-15813.8	12.6767	0.118285	0.105761	0.0858823	0.0980441	0.112789	0.0791313	0.131529	0.0655404	0.0888639	0.153061	0.0743412	0.0878143	0.0838135	0.10895	0.114395	0.126367	0.116769	0.112424	0.111454	0.0954907	0.0825133	0.0831136	0.172885	0.0497237	0.0408216	0.0255631	0.0547289	0.0578021	0.0306525	0.0282198	0.0331073	0.0366978	0.0197291	0.0456311	0.0384971	0.0789365	0.0256306	0.0307861	0.0331662	0.0167798	0.0752643	0.0289558	0.0613256	3.221237
280	-15808.3	-15820.6	12.3018	0.129871	0.110728	0.110237	0.106281	0.112753	0.0852318	0.127522	0.0682716	0.107439	0.18362	0.0682866	0.0986178	0.1062	0.085251	0.112953	0.102853	0.148084	0.0937631	0.105751	0.101185	0.0878681	0.0864329	0.193628	0.0405325	0.0427499	0.0286095	0.0277717	0.0493262	0.021085	0.0400714	0.0198737	0.0499945	0.0183076	0.024647	0.0388957	0.0783156	0.0301987	0.0405005	0.0308333	0.0236804	0.0484009	0.0297926	0.042313	3.258726
290	-15800	-15812.5	12.4584	0.128978	0.110931	0.0860366	0.119698	0.105419	0.0839135	0.139706	0.0882546	0.0970188	0.176224	0.0969535	0.0876664	0.0966909	0.115039	0.11315	0.140312	0.101284	0.105038	0.110903	0.0743564	0.0825489	0.0983108	0.189693	0.0355725	0.0304766	0.0348447	0.0429885	0.0573228	0.0234291	0.0263417	0.0333677	0.0321218	0.0351379	0.0212063	0.0366397	0.069713	0.0389469	0.0109494	0.0284716	0.020575	0.0479975	0.0282742	0.0405626	3.243065
300	-15798.4	-15812	13.6617	0.12261	0.0900038	0.0876505	0.0979919	0.102936	0.0904502	0.127744	0.0809581	0.108358	0.180277	0.0816717	0.0729692	0.0956797	0.0930007	0.128808	0.102486	0.0980166	0.12528	0.111832	0.0890403	0.0875371	0.0846467	0.162776	0.0409797	0.0323493	0.0204723	0.0408882	0.0508786	0.0167535	0.0390763	0.0188527	0.0264898	0.0264441	0.0273535	0.0340683	0.0827257	0.0417762	0.0254184	0.0390225	0.026268	0.0406148	0.0226454	0.0469327	3.122733
310	-15802.3	-15815.1	12.777	0.133583	0.0987154	0.0732176	0.105226	0.112248	0.0725148	0.120542	0.0805346	0.0925863	0.170401	0.0856963	0.0938305	0.0949805	0.0897057	0.114483	0.120692	0.139062	0.140435	0.106759	0.0736005	0.0871224	0.0935057	0.180788	0.0421163	0.049964	0.0312582	0.0462813	0.0484554	0.0174771	0.0392733	0.0191312	0.0288732	0.0263614	0.038163	0.046885	0.0790504	0.0313685	0.00914195	0.049715	0.024766	0.0420614	0.0218946	0.0387474	3.211212
320	-15805.9	-15819	13.0448	0.124884	0.0856877	0.0900625	0.114833	0.111059	0.0955914	0.109595	0.0826419	0.119522	0.162553	0.0838182	0.0961195	0.10185	0.10011	0.108547	0.113147	0.10371	0.12422	0.126368	0.0864922	0.0710638	0.0790269	0.186457	0.034053	0.0443939	0.0248917	0.0527608	0.0455367	0.0285274	0.0218619	0.0384449	0.0309973	0.0243545	0.0176906	0.0348038	0.0786553	0.0338335	0.0210243	0.0385072	0.0221594	0.0420614	0.0387307	0.0337804	3.184428
330	-15803.7	-15815.8	12.0689	0.132691	0.110326	0.0925364	0.10799	0.114027	0.107784	0.125512	0.0742362	0.0899898	0.161358	0.0828118	0.0807004	0.114501	0.0932985	0.0996495	0.139282	0.14331	0.10233	0.123358	0.0823348	0.0808154	0.0862527	0.194995	0.0434592	0.0445753	0.0184113	0.0466492	0.0680087	0.0254327	0.0489442	0.0362047	0.0235829	0.0269049	0.0352029	0.0367557	0.0684559	0.0346827	0.0208161	0.0285964	0.0337367	0.0275537	0.0236437	0.0503113	3.282019
