Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
250	-5394.01	-5415.42	21.411	0.110426	0.059796	0.105495	0.0298944	0.0668841	0.0750532	0.0686865	0.0372749	0.114681	0.103948	0.0303497	0.0479739	0.0833934	0.0807954	0.0819474	0.0409948	0.116995	0.0760023	0.0840064	0.0414512	0.0281232	0.0409413	0.13507	0.0604549	0.00701287	0.0334345	0.0294372	0.0091978	0.0262124	0.0365312	0.0365026	0.0271587	0.0148823	0.0260859	0.00797096	0.0156989	0.0366139	0.0793073	0.0268119	0.050014	0.0613389	0.0311225	0.071838	2.34781
260	-5393.8	-5416.75	22.9457	0.0944491	0.044482	0.0759977	0.0661323	0.0473733	0.0671302	0.0565164	0.0272478	0.115122	0.0826014	0.0365446	0.0146951	0.0827766	0.0537084	0.087797	0.0715796	0.0896058	0.0497891	0.0545698	0.0215609	0.045848	0.0211629	0.175094	0.0703563	0.0326201	0.0602098	0.0192371	0.00905938	0.0347611	0.0442529	0.012421	0.0125917	0.0185965	0.04874	0.0294434	0.0108065	0.0372877	0.0740377	0.0155484	0.0567337	0.0783194	0.00920461	0.0383258	2.194337
270	-5401.96	-5424.39	22.4367	0.0944491	0.0464729	0.108795	0.0511524	0.0493335	0.083249	0.095782	0.0384083	0.0852809	0.127533	0.0458591	0.0175271	0.0400684	0.0600207	0.0589171	0.067612	0.125213	0.0562177	0.0744642	0.0443197	0.0351654	0.0370428	0.109274	0.0598037	0.0401449	0.0579372	0.0261064	0.0331484	0.0309564	0.038642	0.0219853	0.0173976	0.0119606	0.0391389	0.00431124	0.0214158	0.0261503	0.0712007	0.00567209	0.037533	0.0786547	0.0284445	0.0424747	2.245236
280	-5395.17	-5416.96	21.7917	0.0970847	0.0733617	0.0783354	0.0508179	0.0703437	0.058917	0.10977	0.0706639	0.0893541	0.0757687	0.048382	0.0350447	0.0706223	0.0785325	0.0736211	0.0651733	0.0973731	0.0774143	0.0749487	0.0358196	0.00950448	0.0357444	0.122772	0.0554074	0.0215247	0.0518301	0.0246536	0.00926159	0.0330404	0.0232023	0.0191045	0.0445434	0.0365391	0.0324053	0.0272778	0.0297989	0.046086	0.0337949	0.0113968	0.044247	0.0564647	0.0447133	0.0650815	2.309743
290	-5397.74	-5420.64	22.9068	0.123846	0.0461505	0.0763769	0.0304195	0.0833227	0.0529417	0.134205	0.0376809	0.0873184	0.105604	0.0250533	0.0251119	0.0770167	0.0598474	0.0565345	0.0745604	0.139571	0.0934107	0.0746819	0.024341	0.0204182	0.0243981	0.103432	0.0283714	0.0355515	0.0394231	0.0110755	0.0294947	0.023914	0.0250175	0.00824989	0.00588051	0.0213567	0.0293639	0.00921853	0.0226538	0.0262236	0.0747045	0.0280651	0.0319722	0.0526855	0.0444394	0.0743231	2.198228
300	-5385.37	-5407.71	22.3365	0.0913181	0.0600528	0.0764558	0.0797156	0.0671792	0.0692641	0.114205	0.0590396	0.0771402	0.079681	0.032983	0.03437	0.0669167	0.0530379	0.102467	0.0701123	0.134124	0.063061	0.0691176	0.0430742	0.0254052	0.0336904	0.112777	0.0360912	0.0178005	0.0278873	0.00904187	0.0200695	0.0531564	0.0332654	0.0322178	0.0220154	0.0219981	0.0181538	0.0152636	0.0268481	0.0437061	0.0828772	0.01986	0.0316928	0.0568787	0.0141518	0.0570914	2.255254
310	-5397.63	-5419.87	22.2368	0.0913181	0.0477656	0.0781632	0.0857414	0.0793046	0.0521178	0.135544	0.0478575	0.0971293	0.060007	0.0270006	0.0662697	0.0666078	0.0725354	0.0977884	0.0402303	0.0910926	0.0521834	0.0765228	0.0466123	0.0316566	0.0206197	0.117691	0.0472103	0.0377834	0.0414326	0.0291159	0.0367537	0.0379883	0.0427913	0.0183709	0.0191593	0.0271607	0.0274014	0.023899	0.0244426	0.0160454	0.046862	0.00515016	0.051595	0.0641568	0.0207754	0.0653724	2.265226
320	-5396.49	-5418.49	22.0099	0.0955635	0.0558799	0.0643372	0.0606362	0.0541395	0.0462179	0.0850342	0.0718214	0.101424	0.0662872	0.0499707	0.0186931	0.0972812	0.0531835	0.0833094	0.0942176	0.0725315	0.0621941	0.0825797	0.0251168	0.0308454	0.033001	0.13763	0.0565411	0.0342291	0.0504893	0.0319989	0.0185856	0.0272626	0.0265421	0.049007	0.0239469	0.0167374	0.0473735	0.04552	0.0196933	0.0340307	0.0971493	0.00490382	0.0365283	0.0500603	0.00988923	0.065536	2.287919
330	-5390.13	-5412.46	22.329	0.132556	0.0611825	0.120225	0.0752103	0.0641842	0.0530043	0.0972621	0.0278453	0.125819	0.0712313	0.0261562	0.0179748	0.0876669	0.0543722	0.0594349	0.0766633	0.0986801	0.0670925	0.0898759	0.0408911	0.0257731	0.030054	0.123828	0.049997	0.0384272	0.025473	0.0238566	0.0148932	0.0327435	0.0230157	0.00784362	0.0333256	0.0177125	0.033762	0.0357047	0.0245595	0.0438111	0.0440377	0.0167279	0.0321339	0.0575515	0.00693853	0.0665151	2.256013
340	-5387	-5411.56	24.5666	0.0871014	0.0547125	0.079643	0.0539483	0.076548	0.0382553	0.0791327	0.0381945	0.117467	0.0674814	0.0402379	0.0443634	0.068705	0.0684091	0.0583481	0.0654658	0.0712087	0.056714	0.0594918	0.0204851	0.0163872	0.0262356	0.104252	0.0417395	0.0165402	0.0388083	0.0125346	0.0331781	0.0310716	0.0595892	0.00527509	0.0172431	0.0117197	0.040802	0.0202863	0.0352363	0.0221477	0.0721068	0.0187255	0.0330998	0.0679911	0.0140011	0.0473681	2.032252
