Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
200	-15806.34	-15819.41	13.07652	0.119247	0.0917301	0.105282	0.11065	0.0910267	0.0876121	0.127205	0.0831941	0.0880021	0.156215	0.0833038	0.0768602	0.0987295	0.0960268	0.0987491	0.125964	0.103929	0.127436	0.114383	0.0885451	0.0863244	0.0889167	0.19521	0.0368693	0.025403	0.042448	0.0485442	0.0198682	0.0726928	0.071807	0.0534128	0.0238259	0.026107	0.0120789	0.0280152	0.0379802	0.00949057	0.0325614	0.0526233	0.0459908	0.0482959	0.0239822	0.0247148	3.181255
210	-15800.92	-15813.43	12.50871	0.127496	0.0991855	0.105282	0.101774	0.126388	0.0876132	0.13535	0.0883069	0.106181	0.179416	0.0770648	0.0646572	0.105624	0.0866315	0.11135	0.127167	0.131418	0.100093	0.143406	0.0969851	0.0806491	0.0871789	0.17632	0.033932	0.0347981	0.0608261	0.0341145	0.0155709	0.040882	0.0674576	0.042246	0.0382212	0.027447	0.020814	0.0325557	0.0372771	0.0138124	0.0263841	0.0415286	0.0215789	0.0538065	0.0166054	0.032642	3.238037
220	-15811.04	-15824.11	13.06899	0.113711	0.0954248	0.0919136	0.106354	0.0872925	0.0853512	0.127918	0.0694357	0.0880279	0.171285	0.0978525	0.107621	0.11367	0.0986975	0.109559	0.150708	0.108907	0.111445	0.127879	0.06933	0.0801743	0.0813706	0.172197	0.0286668	0.0379416	0.0551419	0.0268267	0.0183819	0.0479688	0.0873785	0.0345922	0.0244642	0.0437349	0.0142868	0.0411834	0.0314375	0.020568	0.0214933	0.0266885	0.0274707	0.0504483	0.0323591	0.0448506	3.182009
230	-15808.03	-15821.5	13.46641	0.133896	0.0963318	0.105565	0.0853825	0.114364	0.0577692	0.12137	0.0629263	0.0923076	0.164735	0.070005	0.100586	0.102386	0.101988	0.109364	0.11211	0.116535	0.112468	0.113741	0.0888941	0.085807	0.0803871	0.146879	0.0249462	0.0442983	0.05377	0.0386936	0.019653	0.0413955	0.0869994	0.0336847	0.0360277	0.0388186	0.0206819	0.0417846	0.0417038	0.0150968	0.0364289	0.0492375	0.0264536	0.0394123	0.0366925	0.0406894	3.142267
240	-15797.43	-15810.31	12.87744	0.126641	0.0963318	0.0984022	0.107506	0.130943	0.0896993	0.128434	0.0585056	0.110462	0.167826	0.0757496	0.0768797	0.0989099	0.101988	0.103008	0.111431	0.13962	0.111089	0.111335	0.0727631	0.0878452	0.0982355	0.15715	0.03263	0.0284517	0.0408561	0.0309831	0.027878	0.0544288	0.0811923	0.0589747	0.0268762	0.0345016	0.0295762	0.0290757	0.0286061	0.0219067	0.0428359	0.0518963	0.0236924	0.0389306	0.0287128	0.0284023	3.201163
250	-15797.76	-15809.86	12.10057	0.12023	0.114512	0.0984022	0.090775	0.118438	0.0801239	0.134488	0.069242	0.110462	0.17852	0.105979	0.0865731	0.0920274	0.110162	0.116194	0.120822	0.122336	0.110786	0.120778	0.0909212	0.0898224	0.0885776	0.166057	0.0236643	0.0285793	0.0523352	0.0340763	0.0284911	0.0417313	0.0757026	0.0422208	0.0380588	0.0367535	0.0210219	0.0311627	0.0361002	0.0352419	0.0329787	0.0629261	0.0354004	0.0385246	0.0232742	0.0243791	3.278851
260	-15803.63	-15817.23	13.5975	0.120655	0.0995396	0.0884284	0.109513	0.0946711	0.0616012	0.117775	0.0784494	0.109071	0.180066	0.0697537	0.0774123	0.0831374	0.0932693	0.104377	0.126309	0.108799	0.108307	0.114865	0.0962791	0.0889214	0.0707443	0.182534	0.0212427	0.0355541	0.0433058	0.0318198	0.0296119	0.0416065	0.0851238	0.0584019	0.0297643	0.0338498	0.0313927	0.033186	0.0170871	0.026	0.0415654	0.0420267	0.0306043	0.0682246	0.032865	0.0114461	3.129158
270	-15805.77	-15818.33	12.56048	0.130731	0.104955	0.101383	0.117673	0.102641	0.0800377	0.141023	0.0879813	0.111267	0.145884	0.0762539	0.101872	0.103981	0.088292	0.116561	0.126309	0.107087	0.119269	0.127244	0.0858507	0.0965638	0.0878637	0.159789	0.0396296	0.0163304	0.0519594	0.0286535	0.00943191	0.036772	0.0846225	0.0487345	0.0421987	0.0408855	0.0171969	0.0309025	0.0406336	0.0328511	0.02788	0.0282217	0.0354196	0.0423806	0.0339435	0.0237005	3.23286
280	-15799.02	-15811.91	12.88815	0.11862	0.107897	0.098835	0.115957	0.10702	0.0744669	0.13031	0.0716002	0.0945411	0.177454	0.0838762	0.105417	0.101636	0.0968804	0.116846	0.153785	0.110447	0.113178	0.117493	0.0583272	0.0943443	0.0828486	0.152882	0.0327477	0.0358655	0.0686197	0.03046	0.0187084	0.0361622	0.0752834	0.0447769	0.038908	0.0426367	0.00956177	0.0254296	0.0276784	0.0133473	0.0341744	0.0355844	0.030151	0.0555606	0.0315862	0.0281875	3.200093
290	-15808.28	-15820.22	11.93974	0.134291	0.112676	0.115835	0.10384	0.10702	0.0859768	0.145581	0.0628957	0.117164	0.151414	0.082019	0.102467	0.112102	0.0887134	0.101123	0.118975	0.131557	0.135827	0.117493	0.0793861	0.102024	0.109107	0.154946	0.0306483	0.0222076	0.0542538	0.0343142	0.0164478	0.0452404	0.0928531	0.0543262	0.0375648	0.0240277	0.0247429	0.0229916	0.0326954	0.0131691	0.0334786	0.0378115	0.0503181	0.0451899	0.0243283	0.0258911	3.294934
300	-15803.87	-15816.62	12.74438	0.126022	0.113584	0.107178	0.0970672	0.121196	0.0725987	0.13201	0.0777434	0.104919	0.154977	0.0738582	0.0978401	0.0912275	0.083894	0.0905054	0.129401	0.102947	0.106875	0.117613	0.0863231	0.0761931	0.0857183	0.196216	0.0303359	0.0463705	0.0533554	0.0390347	0.0295205	0.0397636	0.0873315	0.0451709	0.038027	0.0490843	0.0261187	0.0365203	0.0325129	0.0127881	0.0305075	0.0473958	0.0223593	0.0578264	0.0268844	0.0176556	3.21447
310	-15809.9	-15821.87	11.96709	0.114415	0.0901327	0.102449	0.120202	0.106188	0.0842811	0.118072	0.0690687	0.0977066	0.189429	0.0734061	0.0869755	0.0972991	0.0911785	0.115222	0.129401	0.13238	0.109077	0.136858	0.077768	0.0806804	0.0995091	0.190642	0.0618824	0.0529655	0.0558792	0.0320945	0.031452	0.0523463	0.0904398	0.053424	0.0273308	0.0352408	0.00873211	0.0155519	0.0299937	0.0159229	0.049152	0.0422235	0.0268889	0.0482918	0.0193288	0.0307168	3.292199
320	-15807.44	-15819.86	12.41867	0.128116	0.0733014	0.102449	0.100778	0.104353	0.0831404	0.129842	0.0925184	0.0935004	0.210004	0.0949149	0.0803881	0.0924948	0.106044	0.11517	0.12626	0.13238	0.13418	0.136377	0.0721634	0.0654709	0.0762567	0.147434	0.0365358	0.0182949	0.0565279	0.0353922	0.0296306	0.0539187	0.0726847	0.0566262	0.0315915	0.0271788	0.00948953	0.0376387	0.028519	0.0176364	0.0332483	0.0450975	0.0338534	0.068603	0.035538	0.0214981	3.247041
