Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	lambda	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-13496.7	-13475.4	-21.3	0.319419	0.103711	0.211733	0.174769	0.209145	0.132632	0.263041	0.147506	0.175489	0.374239	0.140202	0.144614	0.18518	0.211534	0.218662	0.313927	0.303432	0.2023	0.201222	0.107141	0.164497	0.144836	1.00793	0.0840806	0.0389685	0.0234541	0.0473228	0.127844	0.038899	0.0424575	0.0106033	0.128815	0.290178	0.00827434	0.191732	0.0274531	0.124332	0.214202	0.0939951	0.0686683	0.0418419	0.116063	0.0888074	0.0628821	0.323773	0.0875439	0.0209968	0.474332	0.0304723	0.1168155	0.309692	0.378377	0.0902027	0.221729	7.26515
210	-13498.3	-13471.7	-26.5888	0.320116	0.179644	0.196671	0.148056	0.196668	0.173255	0.177412	0.204538	0.174712	0.374239	0.208508	0.165604	0.197193	0.228345	0.239092	0.337239	0.300477	0.2824	0.266219	0.0924812	0.206187	0.1385	1.04261	0.119286	0.0196732	0.0393908	0.0633022	0.18216	0.0431817	0.058349	0.00313615	0.120745	0.207101	0.0101383	0.192671	0.0493825	0.145801	0.226535	0.061362	0.100213	0.155133	0.0981038	0.0476782	0.0637581	0.328283	0.0887633	0.0212893	0.480939	0.016967	0.1219835	0.309692	0.378377	0.0902027	0.221729	7.79351
220	-13493.5	-13463.2	-30.2323	0.273246	0.181063	0.232817	0.151663	0.215026	0.131686	0.274487	0.139552	0.178862	0.43098	0.108389	0.176416	0.242115	0.245313	0.223744	0.36733	0.30782	0.288567	0.223508	0.13775	0.206187	0.121476	1.29584	0.0836913	0.0589968	0.0196876	0.0505011	0.152506	0.0349035	0.0700465	0.00416678	0.102673	0.25089	0.015225	0.241146	0.0963858	0.206444	0.226535	0.0683204	0.0461478	0.0896604	0.135732	0.0503667	0.0666937	0.348142	0.0645522	0.00878591	0.4832	0.0286263	0.1219835	0.309692	0.378377	0.0902027	0.221729	8.157863
230	-13497.8	-13468.9	-28.9337	0.319583	0.0938398	0.15651	0.152815	0.252729	0.136598	0.221304	0.126766	0.164065	0.420197	0.110257	0.170494	0.204282	0.290779	0.273567	0.326965	0.303524	0.250798	0.26789	0.118147	0.186289	0.152275	1.21658	0.0958948	0.0606495	0.0942709	0.0938768	0.182078	0.0295705	0.11772	0.017718	0.127316	0.267461	0.00617429	0.220013	0.0638753	0.100778	0.232417	0.0683204	0.0888776	0.0615649	0.107374	0.0759232	0.0648059	0.322012	0.0615853	0.0101911	0.493682	0.0477228	0.1208097	0.337376	0.364055	0.0852335	0.213336	8.028124
240	-13496	-13466.3	-29.7093	0.314135	0.127811	0.239064	0.100278	0.279605	0.11175	0.190666	0.110747	0.217735	0.418458	0.180165	0.166614	0.208045	0.232573	0.294388	0.312522	0.340221	0.274713	0.239153	0.122306	0.186289	0.14985	1.12803	0.10014	0.053419	0.0992077	0.0687866	0.138269	0.0158814	0.0524002	0.0174682	0.107745	0.286309	0.0156154	0.211574	0.0897261	0.172345	0.259293	0.091804	0.116423	0.16076	0.0529928	0.0507321	0.0662103	0.316053	0.0629199	0.0084169	0.504381	0.0420191	0.1174736	0.337788	0.3645	0.0853376	0.212375	8.106015
250	-13502.3	-13471.9	-30.3921	0.314135	0.147068	0.213421	0.100278	0.226434	0.154605	0.205285	0.172288	0.172511	0.320923	0.124028	0.145247	0.214779	0.317449	0.225588	0.402329	0.375285	0.265041	0.24887	0.106816	0.255204	0.0930575	1.09142	0.118641	0.0317293	0.0992077	0.0787216	0.168359	0.0189651	0.0925652	0.00589617	0.108423	0.19567	0.0426787	0.300429	0.0696949	0.171835	0.255364	0.0751982	0.102734	0.170858	0.115274	0.0607239	0.0547498	0.326206	0.0520289	0.0122036	0.498139	0.0566732	0.1101208	0.33781	0.364523	0.085278	0.212389	8.17503
260	-13515	-13480.3	-34.6906	0.316724	0.164986	0.229579	0.157364	0.24427	0.165866	0.205285	0.151157	0.195797	0.31442	0.174454	0.136762	0.276402	0.24175	0.155928	0.3337	0.419125	0.196711	0.345879	0.1167	0.23368	0.207056	1.27155	0.0784161	0.0317754	0.0439695	0.0754539	0.201424	0.0681658	0.128099	0.018486	0.126293	0.1926	0.0452828	0.270987	0.064126	0.156587	0.326896	0.118063	0.0895585	0.0980105	0.163939	0.0515067	0.0573588	0.330773	0.0527574	0.0119308	0.505114	0.042066	0.1111209	0.33781	0.364523	0.085278	0.212389	8.604783
270	-13500.5	-13471.1	-29.4417	0.281832	0.158742	0.229579	0.168091	0.24427	0.234302	0.234378	0.137444	0.188174	0.325181	0.13011	0.145163	0.214609	0.266654	0.257378	0.347621	0.285535	0.346632	0.271621	0.132897	0.142645	0.105062	1.1249	0.051151	0.0223714	0.128946	0.136873	0.17255	0.0316935	0.0720753	0.0447723	0.09503	0.231332	0.0399027	0.254767	0.0716089	0.135231	0.253677	0.0519059	0.0824915	0.0957612	0.0876742	0.0467419	0.0586643	0.317635	0.0592098	0.01979	0.499622	0.0450787	0.116243	0.335077	0.370194	0.0845883	0.21014	8.079376
280	-13497	-13468.5	-28.5544	0.274164	0.149284	0.239321	0.142529	0.293284	0.0981933	0.22716	0.177735	0.139575	0.43289	0.134505	0.165409	0.277271	0.276833	0.25663	0.335585	0.321777	0.222774	0.272736	0.117911	0.127082	0.115878	1.16417	0.067957	0.0803502	0.0261523	0.0458832	0.172477	0.0547517	0.0441148	0.0360654	0.124377	0.306829	0.0337544	0.256683	0.0594589	0.156168	0.189373	0.0383393	0.0825115	0.0917624	0.125343	0.036862	0.0589693	0.31487	0.0595176	0.0115474	0.502219	0.0528771	0.1036323	0.335077	0.370194	0.0845883	0.21014	7.991911
290	-13493.9	-13464.6	-29.3476	0.26017	0.150188	0.224507	0.142529	0.268518	0.154159	0.23808	0.16134	0.158842	0.384185	0.170012	0.147995	0.306366	0.21836	0.239874	0.339095	0.358489	0.253503	0.227876	0.128589	0.22769	0.14323	1.16417	0.116685	0.0212141	0.0379504	0.0563746	0.144745	0.0682606	0.0417887	0.0137736	0.112127	0.214537	0.0500395	0.211918	0.10961	0.129941	0.31839	0.0847298	0.0787159	0.0742566	0.0946119	0.023221	0.0619297	0.319703	0.0635092	0.00465195	0.505091	0.0451157	0.1093478	0.335077	0.370194	0.0845883	0.21014	8.070656
300	-13485.3	-13457.9	-27.4216	0.337255	0.177324	0.247014	0.117356	0.238056	0.14621	0.240549	0.166708	0.187049	0.420755	0.145137	0.197107	0.264612	0.204102	0.245603	0.323397	0.301736	0.278063	0.256475	0.127054	0.190338	0.127306	1.09462	0.104875	0.0262408	0.00798013	0.062925	0.160097	0.03471	0.0424292	0.0344462	0.0576548	0.201993	0.0828684	0.187079	0.0545529	0.135553	0.255592	0.0436746	0.08156	0.104873	0.0937575	0.0693526	0.0618617	0.319352	0.0634393	0.00352754	0.504535	0.0472846	0.1295269	0.337255	0.35998	0.0912597	0.211505	7.876041
310	-13485.5	-13460.3	-25.2279	0.322743	0.1726	0.203236	0.176673	0.235622	0.182674	0.195844	0.180527	0.187049	0.356426	0.133198	0.167236	0.216904	0.281402	0.221893	0.292427	0.325758	0.269313	0.246913	0.128063	0.168127	0.13363	1.12053	0.0669824	0.0154415	0.0108047	0.0434702	0.138539	0.0485325	0.0570239	0.0433779	0.088709	0.201904	0.0527829	0.202786	0.0576289	0.0942919	0.231455	0.0450791	0.0807788	0.0703466	0.115843	0.0725801	0.0620643	0.307418	0.0705564	0.00633353	0.506188	0.0474395	0.1248196	0.337255	0.35998	0.0912597	0.211505	7.657142
