Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
200	-15812.6	-15825.8	13.129	0.115433	0.0821732	0.117242	0.107959	0.119456	0.0737808	0.125748	0.0720466	0.10678	0.144959	0.0765448	0.0808202	0.0955126	0.098045	0.130643	0.154428	0.127754	0.144498	0.105781	0.0797248	0.0808489	0.0735531	0.153493	0.0419932	0.0628938	0.0230942	0.024893	0.0701004	0.0155293	0.0368797	0.0641996	0.021204	0.0380115	0.0289705	0.0459582	0.0418912	0.0202939	0.0292674	0.0252315	0.0188219	0.0249682	0.0323668	0.0422172	3.176009
210	-15806.5	-15819.3	12.8448	0.12448	0.128876	0.115227	0.103844	0.116913	0.103452	0.115595	0.0720466	0.108175	0.166763	0.0875163	0.0815025	0.0955126	0.107121	0.108305	0.109215	0.114501	0.110661	0.10583	0.0854756	0.0923187	0.0814203	0.151008	0.0442218	0.0550278	0.0207759	0.0228103	0.0661156	0.024857	0.0314823	0.043777	0.0157291	0.0226607	0.0491179	0.0451564	0.0569097	0.0269337	0.0365953	0.0248695	0.0363098	0.019166	0.054371	0.0217843	3.204429
220	-15811.2	-15823.6	12.402	0.108731	0.090528	0.103798	0.087962	0.102905	0.0630469	0.140238	0.0755983	0.0930389	0.185072	0.0894829	0.0882943	0.0950735	0.0973452	0.107298	0.114723	0.115897	0.114866	0.132305	0.0791511	0.104177	0.0829802	0.151008	0.0584232	0.0470049	0.0257366	0.0346468	0.0866128	0.0227156	0.0340797	0.0518808	0.0299899	0.0264468	0.0508709	0.0381763	0.0581921	0.026803	0.0444702	0.035031	0.0514188	0.0240728	0.0453669	0.033248	3.248706
230	-15805.6	-15816.9	11.301	0.137735	0.133759	0.106555	0.113857	0.124688	0.056608	0.135352	0.0705743	0.10546	0.159951	0.0880906	0.0810247	0.0972263	0.0945192	0.126027	0.119919	0.111711	0.133154	0.138867	0.0780043	0.104177	0.0928303	0.169501	0.0541667	0.0381387	0.0165746	0.0278288	0.0811919	0.0312316	0.0294232	0.0432241	0.0238739	0.0205486	0.067897	0.0381763	0.0550158	0.0246629	0.0436018	0.0442839	0.0247579	0.0368353	0.0389819	0.0388062	3.358812
240	-15801.7	-15815.4	13.6985	0.126926	0.0921367	0.0887566	0.102917	0.113516	0.0762445	0.0955167	0.0807646	0.0987813	0.150674	0.0769649	0.0746257	0.107052	0.0945192	0.109241	0.149218	0.103252	0.136725	0.0983231	0.0697969	0.0802781	0.0931605	0.158313	0.0444492	0.0474881	0.0094108	0.031605	0.0720073	0.0269739	0.0403577	0.0432241	0.0267301	0.0254045	0.04787	0.0316125	0.0548248	0.0229049	0.0465223	0.029147	0.0277086	0.0335147	0.0471615	0.0324371	3.119058
250	-15800.9	-15813.6	12.7106	0.135293	0.0966049	0.103684	0.0970761	0.100029	0.0813513	0.148454	0.0807646	0.110624	0.182607	0.0917834	0.0841593	0.0891723	0.0849221	0.109241	0.145614	0.11423	0.109114	0.134722	0.0697969	0.0956261	0.0927006	0.150854	0.0671596	0.056427	0.0122408	0.0257166	0.0752756	0.0160787	0.0325395	0.0533388	0.0254724	0.0306969	0.0331618	0.0335975	0.0412349	0.0219145	0.0475668	0.0218494	0.0218348	0.0344198	0.0355145	0.0233868	3.21785
260	-15802.6	-15816	13.4189	0.112056	0.112938	0.0788309	0.0995886	0.102003	0.0750704	0.11303	0.0773212	0.112705	0.159085	0.0783807	0.0753096	0.108361	0.0793554	0.117825	0.118259	0.135625	0.138507	0.107343	0.0843018	0.0996059	0.0802284	0.14741	0.0531228	0.0367968	0.0229304	0.0279842	0.0752756	0.0251513	0.0238118	0.0638521	0.0198706	0.0196241	0.0394197	0.0364877	0.0573236	0.0153471	0.0254608	0.035644	0.02739	0.0524121	0.0380982	0.0378697	3.147013
270	-15796.1	-15808.5	12.404	0.120643	0.0936821	0.102425	0.108608	0.103055	0.0793701	0.116643	0.0759228	0.115799	0.163093	0.074412	0.0857325	0.11824	0.109733	0.100343	0.134867	0.135185	0.112337	0.117197	0.0769193	0.0802249	0.0826439	0.171761	0.0521239	0.0394498	0.0261801	0.0315649	0.0788107	0.0226006	0.0391298	0.0540075	0.0282559	0.0315799	0.0563901	0.0439542	0.0438185	0.0144401	0.042309	0.0319912	0.0285687	0.0434964	0.0349662	0.0260355	3.24851
280	-15807.4	-15820.7	13.3217	0.113353	0.0912431	0.0806049	0.117801	0.0963738	0.083272	0.153523	0.0861521	0.103514	0.151685	0.064048	0.0886207	0.0762987	0.089984	0.108575	0.115487	0.137679	0.121412	0.138006	0.0764317	0.0971012	0.0828385	0.157849	0.0495943	0.0446883	0.0167427	0.0294465	0.0785037	0.0249072	0.0292628	0.0495405	0.0283659	0.0320787	0.0574072	0.0450345	0.0410488	0.0265433	0.0268007	0.0255155	0.0186462	0.0194558	0.0298743	0.0514243	3.156734
290	-15805.7	-15818.4	12.7122	0.147526	0.091637	0.117823	0.105405	0.0994763	0.0816182	0.114513	0.0806271	0.0868132	0.1682	0.0773783	0.0779502	0.116302	0.102097	0.095273	0.125284	0.110345	0.103543	0.117773	0.089901	0.0910137	0.0853082	0.187993	0.060665	0.0410767	0.0204982	0.0202699	0.0598079	0.0308015	0.0234909	0.0471742	0.0441966	0.0321424	0.0465583	0.0360707	0.0358854	0.0425527	0.0396181	0.0426551	0.0213512	0.0371493	0.044814	0.0171113	3.21769
