Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	lambda	pi[1]	pi[2]	pi[3]	pi[4]	TL
20	0	-13515.7	-13490.7	-25.0766	0.320479	0.145485	0.210842	0.16784	0.234417	0.157038	0.206078	0.125443	0.236858	0.315517	0.115006	0.141902	0.217658	0.235365	0.239862	0.348258	0.245234	0.248222	0.289716	0.120989	0.147567	0.117978	1.09658	0.257095	0.133696	0.0345496	0.0511752	0.123644	0.0443121	0.0396739	0.174493	0.0530774	0.126088	0.0210038	0.0734703	0.0318319	0.0400358	0.277402	0.0897231	0.10289	0.037189	0.227212	0.0196093	0.0634059	0.249387	0.0860029	0.0174377	0.583767	2.35247e-21	0.1198512	0.313255	0.350918	0.129698	0.206129	7.642507
21	1	-13504	-13481.6	-22.3265	0.326368	0.207477	0.177084	0.155619	0.257651	0.094184	0.226959	0.118819	0.213161	0.284748	0.104989	0.156975	0.182388	0.198558	0.228873	0.356709	0.341266	0.265492	0.251921	0.154852	0.206598	0.126749	0.914817	0.0934972	0.241184	0.055343	0.208245	0.138787	0.050287	0.022024	0.0434921	0.0622506	0.0621084	0.0209079	0.0404835	0.0236357	0.1577	0.0166865	0.125724	0.0753025	0.239812	0.0744603	0.0631663	0.0622625	0.272518	0.0972152	0.0069119	0.540257	0.0208355	0.1213176	0.326913	0.369306	0.111358	0.192423	7.367356
22	0	-13519.2	-13488.7	-30.5454	0.323143	0.147138	0.217836	0.157247	0.239069	0.149848	0.178451	0.209905	0.214186	0.349346	0.148644	0.135033	0.213966	0.280533	0.1838	0.343896	0.309217	0.203548	0.268839	0.122636	0.150006	0.105318	1.36165	0.185456	0.087384	0.121651	0.0594658	0.122764	0.109263	0.0443275	0.306624	0.0408365	0.134048	0.0270309	0.0635079	0.0765329	0.0736143	0.222898	0.082913	0.121456	0.0364177	0.228821	0.0311224	0.0646659	0.241134	0.0877118	0.0111211	0.595367	1.69276e-21	0.1198512	0.313255	0.350918	0.129698	0.206129	8.189388
23	1	-13502.8	-13479.2	-23.6114	0.300182	0.193807	0.232968	0.151779	0.233919	0.137654	0.217336	0.161452	0.154831	0.356288	0.138885	0.12768	0.258365	0.200527	0.230071	0.407215	0.380625	0.280513	0.231149	0.125919	0.143615	0.114521	0.946736	0.0753939	0.2199	0.0803724	0.180906	0.165541	0.0300844	0.0264898	0.0588879	0.0397888	0.0912099	0.0285281	0.00827802	0.058894	0.179506	0.0231684	0.134972	0.0752296	0.195646	0.0444898	0.051393	0.0615589	0.269439	0.0929982	0.00828756	0.534152	0.0335647	0.1325286	0.326913	0.369306	0.111358	0.192423	7.494716
24	0	-13504.8	-13477.8	-27.0373	0.320952	0.175223	0.224034	0.118555	0.232915	0.150252	0.239588	0.113869	0.212237	0.413159	0.166356	0.11258	0.24003	0.211775	0.224083	0.343896	0.344635	0.233517	0.225967	0.12672	0.193409	0.136244	1.17103	0.192928	0.056701	0.116935	0.0492701	0.0806397	0.059893	0.0497516	0.244804	0.0540427	0.120277	0.024668	0.0378205	0.0814213	0.0672407	0.209803	0.0810867	0.113473	0.0288133	0.219366	0.0184039	0.0603849	0.245754	0.096784	0.0103422	0.586734	1.39422e-21	0.1219616	0.339071	0.337678	0.123554	0.199698	7.838365
25	1	-13499	-13475.7	-23.3091	0.330868	0.146104	0.182946	0.115358	0.253325	0.172457	0.208193	0.131178	0.153158	0.386786	0.126476	0.131211	0.24398	0.219416	0.224327	0.374252	0.276611	0.234741	0.20925	0.152595	0.1898	0.131534	0.978348	0.0844717	0.207299	0.096586	0.249989	0.164081	0.0479089	0.0400922	0.0483774	0.0998267	0.133399	0.0441637	0.0442167	0.0232446	0.134154	0.038981	0.11315	0.0455412	0.151855	0.0524881	0.0732151	0.0572945	0.250773	0.094905	0.00583635	0.556326	0.0348648	0.1179091	0.324551	0.366637	0.118615	0.190198	7.465957
26	0	-13504.5	-13481.7	-22.7705	0.295157	0.168454	0.206322	0.101377	0.225747	0.151174	0.193819	0.135793	0.183005	0.408782	0.115717	0.153115	0.237199	0.179283	0.229745	0.284027	0.292901	0.279633	0.253998	0.104902	0.149306	0.175628	1.06948	0.153744	0.0787058	0.0874201	0.0259853	0.107787	0.0592355	0.0534944	0.233488	0.046446	0.163483	0.0453501	0.0444166	0.0487941	0.0488761	0.176578	0.0437517	0.127091	0.0305243	0.218054	0.0238937	0.0610125	0.248033	0.0995256	0.020089	0.57134	1.09478e-20	0.1219616	0.330044	0.343981	0.12586	0.200115	7.411687
27	1	-13497.7	-13473.2	-24.4649	0.286335	0.193579	0.212786	0.166148	0.208234	0.147221	0.235238	0.154596	0.198448	0.290444	0.165183	0.167296	0.197031	0.193283	0.235358	0.348159	0.287604	0.2439	0.242366	0.137554	0.16087	0.124976	1.04156	0.0849779	0.270024	0.0856915	0.221714	0.199836	0.0680635	0.0343672	0.0790484	0.0814549	0.108431	0.0512673	0.0521974	0.0169509	0.128649	0.0272452	0.138338	0.0422062	0.158649	0.0333999	0.0608546	0.0574921	0.251639	0.0952325	0.00240597	0.558246	0.0349851	0.1179091	0.324551	0.366637	0.118615	0.190198	7.581535
28	0	-13514.2	-13487.7	-26.5709	0.286343	0.179624	0.244027	0.154719	0.223293	0.162872	0.197432	0.154103	0.193268	0.390609	0.116684	0.18663	0.253717	0.235305	0.206073	0.303414	0.382935	0.228431	0.319532	0.108711	0.174928	0.153831	1.14641	0.0831462	0.0931244	0.114681	0.0402675	0.110447	0.0337798	0.0816667	0.201937	0.0367456	0.123186	0.0386712	0.0473695	0.0538576	0.0292376	0.179704	0.0952509	0.131495	0.0207867	0.259485	0.0120778	0.0602487	0.244928	0.107655	0.0229812	0.564187	2.91435e-19	0.1412383	0.330044	0.343981	0.12586	0.200115	7.789804
29	1	-13504.3	-13483.7	-20.6442	0.330283	0.17547	0.2554	0.154702	0.207879	0.171426	0.223092	0.161523	0.148339	0.23202	0.116769	0.14102	0.215881	0.232521	0.203624	0.36622	0.271803	0.225431	0.281504	0.0908609	0.141736	0.096482	0.955754	0.104215	0.164591	0.0790654	0.241541	0.136244	0.0674947	0.0181804	0.0825562	0.0750073	0.0817527	0.0593546	0.0685835	0.0641415	0.0989281	0.0110818	0.120548	0.0556047	0.170533	0.0359401	0.0640263	0.0564682	0.247157	0.109266	0.0160909	0.548303	0.0227153	0.1212592	0.324213	0.366256	0.115626	0.193906	7.199131
30	0	-13506.6	-13478.5	-28.1014	0.296187	0.194642	0.190136	0.132615	0.230391	0.142053	0.260204	0.16522	0.18447	0.385518	0.114738	0.188639	0.234937	0.204781	0.31856	0.350834	0.382582	0.265333	0.195192	0.115552	0.205904	0.124305	1.12246	0.188289	0.0648189	0.0775797	0.0583285	0.158198	0.0661821	0.0664966	0.28369	0.0804228	0.100106	0.0339048	0.0787069	0.0548904	0.0400558	0.171364	0.0821781	0.0884549	0.0274739	0.213479	0.00484791	0.0546802	0.250492	0.101794	0.0160318	0.577003	3.32085e-18	0.1224573	0.319133	0.368915	0.118454	0.193499	7.944723
31	1	-13502.7	-13475.2	-27.4783	0.341691	0.182245	0.230087	0.161138	0.293166	0.105463	0.178543	0.117697	0.133276	0.362633	0.117286	0.196164	0.235501	0.229453	0.266886	0.37782	0.311462	0.22601	0.247434	0.148264	0.2297	0.119246	1.04512	0.107853	0.247044	0.105588	0.276802	0.189533	0.0790994	0.0199652	0.019259	0.0799614	0.0841111	0.0818491	0.0469783	0.026913	0.0957063	0.0117076	0.173517	0.0621693	0.178984	0.080904	0.0561878	0.0647116	0.251095	0.0945351	0.0163473	0.55704	0.016271	0.1424938	0.316314	0.357333	0.112809	0.213544	7.880417
32	0	-13512.9	-13485.9	-27.0308	0.290928	0.166744	0.163029	0.152864	0.279653	0.173548	0.209391	0.16699	0.205373	0.311794	0.166373	0.153863	0.189364	0.196354	0.227938	0.348432	0.278461	0.190107	0.2776	0.137986	0.23265	0.151076	1.09203	0.150549	0.11187	0.0900476	0.0437705	0.125726	0.0730039	0.0248141	0.280029	0.057489	0.104899	0.0682976	0.106769	0.0310486	0.0225869	0.261564	0.0732878	0.129815	0.0739999	0.232955	0.0138106	0.054238	0.263369	0.100971	0.0133886	0.568034	2.5523e-19	0.110345	0.319133	0.368915	0.118454	0.193499	7.838879
33	1	-13496.3	-13471.2	-25.1588	0.407502	0.156023	0.200603	0.140072	0.283487	0.121925	0.210301	0.148596	0.231036	0.358538	0.121803	0.159291	0.211001	0.191346	0.286411	0.408874	0.372659	0.250153	0.267187	0.106725	0.180341	0.146855	0.974622	0.0903398	0.226148	0.0857445	0.17538	0.133486	0.0600447	0.0143855	0.0764219	0.0695337	0.0885884	0.0557736	0.0370762	0.0400178	0.075012	0.0183451	0.108123	0.0590008	0.220261	0.0444266	0.0355802	0.0600715	0.248915	0.0937144	0.0102107	0.552203	0.0348848	0.1367537	0.316314	0.357333	0.112809	0.213544	7.64904
34	0	-13503.5	-13476.6	-26.8303	0.285517	0.14215	0.208866	0.112803	0.21513	0.178165	0.217307	0.128308	0.204446	0.378848	0.111627	0.148147	0.238511	0.241976	0.227257	0.375575	0.29283	0.210274	0.251414	0.171516	0.203598	0.166955	1.10624	0.190409	0.0459799	0.0943765	0.0562917	0.172472	0.0816245	0.0403919	0.274552	0.0673458	0.112454	0.0648334	0.0407701	0.0303857	0.0324875	0.215644	0.076417	0.137564	0.0414952	0.216608	0.00802397	0.0493157	0.258532	0.106355	0.0252002	0.560597	1.88597e-19	0.1227788	0.318446	0.368121	0.109939	0.203495	7.817587
35	1	-13504.9	-13480.7	-24.2733	0.29881	0.185964	0.200603	0.134873	0.26676	0.121334	0.164178	0.149642	0.193807	0.315592	0.154293	0.124595	0.222911	0.192972	0.248184	0.325771	0.293836	0.198008	0.180934	0.148258	0.201254	0.146661	1.14875	0.106876	0.35353	0.110581	0.204779	0.161503	0.114256	0.0143771	0.0379914	0.0582568	0.0892253	0.0694732	0.0254157	0.0174776	0.096876	0.0331648	0.0837404	0.062287	0.175545	0.0628248	0.0662058	0.060649	0.241694	0.0946153	0.0103088	0.557512	0.0352202	0.117884	0.314517	0.35236	0.120792	0.212331	7.562378
36	0	-13514.2	-13483.9	-30.315	0.395461	0.169778	0.181349	0.148453	0.293384	0.124126	0.217992	0.138473	0.270076	0.347013	0.110471	0.192614	0.25101	0.21843	0.253428	0.364645	0.338838	0.23222	0.306253	0.174403	0.181021	0.108658	1.14106	0.193838	0.0931464	0.0597746	0.044674	0.173663	0.0599545	0.0197775	0.308657	0.0311963	0.123612	0.0340511	0.13324	0.0249217	0.0377914	0.178993	0.0729518	0.0961277	0.0511404	0.24274	0.0279384	0.0529111	0.259071	0.100999	0.0252527	0.561766	2.22364e-18	0.1099172	0.318446	0.368121	0.109939	0.203495	8.167346
37	1	-13501.5	-13474.3	-27.217	0.288836	0.171213	0.212687	0.140507	0.280511	0.104226	0.250732	0.114358	0.19834	0.315592	0.157903	0.18222	0.25697	0.190581	0.267315	0.306307	0.300282	0.277268	0.256014	0.110893	0.201254	0.100543	1.20892	0.092717	0.233751	0.120236	0.25235	0.19612	0.0681866	0.0177461	0.065499	0.0536243	0.110539	0.03856	0.0142001	0.01527	0.0534704	0.040888	0.125316	0.0730628	0.225157	0.079412	0.0855754	0.0625465	0.249256	0.106356	0.00590917	0.545235	0.0306977	0.1337985	0.304275	0.364192	0.116858	0.214675	7.85515
38	0	-13506.7	-13476.6	-30.136	0.343192	0.142159	0.208926	0.166345	0.2715	0.192854	0.249576	0.186099	0.203121	0.315767	0.143532	0.188101	0.258192	0.253786	0.332593	0.367215	0.336818	0.25904	0.217331	0.158247	0.199979	0.147627	1.1297	0.136501	0.10363	0.0809504	0.0362271	0.113161	0.0963129	0.0193243	0.267163	0.0363756	0.0938372	0.0119455	0.0475968	0.00993863	0.0753644	0.222305	0.0961072	0.126785	0.0561047	0.206494	0.0395295	0.0510366	0.290408	0.0974212	0.0192711	0.541863	8.57203e-20	0.130808	0.328226	0.362838	0.108361	0.200574	8.147354
39	1	-13500.9	-13477.1	-23.8633	0.269402	0.154369	0.184533	0.14964	0.21039	0.134979	0.181224	0.118616	0.156801	0.30146	0.131357	0.147223	0.29631	0.183618	0.267315	0.310646	0.335785	0.250842	0.279281	0.102618	0.227709	0.144083	1.02239	0.0964696	0.196783	0.089833	0.28228	0.1598	0.0656953	0.0461084	0.0833551	0.0439924	0.0865854	0.0808699	0.0127797	0.0412963	0.0775605	0.0179578	0.145944	0.076374	0.213091	0.0827307	0.0600748	0.0624197	0.248751	0.10614	0.0100672	0.544129	0.0284935	0.1299563	0.304275	0.364192	0.116858	0.214675	7.520171
40	0	-13526.7	-13499.7	-27.0398	0.264858	0.163973	0.207294	0.122157	0.285648	0.0712652	0.199944	0.163097	0.284544	0.311546	0.13544	0.189168	0.311127	0.162423	0.230852	0.338332	0.290652	0.276751	0.252432	0.131819	0.201398	0.0890444	1.02011	0.157734	0.138615	0.065388	0.036353	0.146351	0.0905826	0.0408899	0.251206	0.0598655	0.132355	0.00780647	0.0991573	0.0149941	0.0731762	0.279081	0.0981729	0.166307	0.0352139	0.186584	0.0540302	0.0525208	0.298854	0.100254	0.0135835	0.534787	1.30822e-20	0.130808	0.342677	0.355033	0.106031	0.19626	7.837733
