Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
230	-3287.799	-3301.609	13.80939	2.249627	0.1697411	0.0361525	0.0253932	0.0426185	0.0304352	0.0512702	0.0648945	0.073624	0.0512804	0.0141186	0.0249131	0.0311413	0.0397069	0.034085	0.0462849	0.04031525	-0.06496929	0.025192	0.54061	0.00647285	0.0082143	0.41813	0.00138025	4.511484	0.1424401	-3.211025	0.000155046	0.0183413	0.300265	3.68124	0.271489	0.293861	0.128604	0.306046	0.07747079	1.83863
240	-3289.86	-3300.326	10.46647	2.249627	0.2330204	0.04166	0.0370158	0.0402435	0.0378832	0.0668463	0.0623498	0.154583	0.0597614	0.0223207	0.0484447	0.0553809	0.0436575	0.0564187	0.0544326	0.05495955	0.1337291	0.0223436	0.528703	0.00163204	0.00760338	0.437856	0.00186201	3.471987	0.03680037	-2.901158	0.00141258	0.0547319	0.464285	3.47957	0.272125	0.303013	0.123431	0.301432	0.1705295	0.2158006
250	-3297.416	-3302.842	5.425515	2.249627	0.1846858	0.0334864	0.0233135	0.0379444	0.0369209	0.0412154	0.0727633	0.194692	0.0878398	0.0195145	0.0145393	0.0853042	0.0314409	0.094858	0.0363059	0.03958751	0.08479771	0.0183954	0.373412	0.0027427	0.00617366	0.596124	0.00315216	3.206786	0.1082093	-3.229242	0.000299608	0.0254341	0.342525	3.63174	0.31653	0.301248	0.129149	0.253073	0.193007	0.5606495
260	-3292.786	-3302.396	9.61029	2.221546	0.1894999	0.0274659	0.0350976	0.0380428	0.0603899	0.0167724	0.0642319	0.103656	0.0402049	0.0184203	0.0374843	0.0779039	0.0388093	0.0448951	0.0388741	0.04890624	-0.02774726	0.0142008	0.573959	0.00610336	0.00415884	0.399505	0.00207305	5.068515	0.1428021	-3.01785	0.000362308	0.0279461	0.355703	3.61599	0.277762	0.326765	0.137011	0.258462	0.1150548	1.241165
270	-3289.07	-3301.721	12.65106	2.17729	0.1682085	0.0485144	0.0407132	0.064606	0.0305049	0.0266963	0.0466021	0.105205	0.0575149	0.0289111	0.0278138	0.0498532	0.0405749	0.0690351	0.0319078	0.04459382	-0.09821575	0.0122423	0.534745	0.00365482	0.0175166	0.424849	0.00699295	4.351281	0.1284068	-3.11016	0.000143959	0.0176776	0.295824	3.68635	0.282993	0.308209	0.129235	0.279564	0.03019103	4.253143
280	-3292.778	-3307.093	14.31486	2.398128	0.1604637	0.0399088	0.0159211	0.0395907	0.023263	0.0258311	0.0550274	0.108181	0.0562714	0.023786	0.0248799	0.0387061	0.0224186	0.048139	0.0462588	0.03318648	-0.08564973	0.0143587	0.493517	0.00422408	0.0142314	0.457496	0.0161734	4.422628	0.09364214	-3.405613	9.68227e-05	0.0145145	0.273113	3.71228	0.328793	0.264945	0.131155	0.275107	0.00799241	11.71638
290	-3298.294	-3304.655	6.360488	2.150118	0.1825908	0.0432835	0.0172515	0.0513045	0.0237404	0.0546011	0.0668145	0.149077	0.0822679	0.0295407	0.0307999	0.0366808	0.0344335	0.0557606	0.0652647	0.04290953	-0.5384144	0.0219078	0.629754	0.00544668	0.00556505	0.329752	0.00757455	3.591088	0.5423744	-3.148661	0.000274965	0.0243743	0.336721	3.63863	0.281394	0.297902	0.126555	0.29415	0.003959974	136.9641
300	-3286.792	-3298.542	11.74938	2.174933	0.2131366	0.0351006	0.0346758	0.0446536	0.0212418	0.0205208	0.0734442	0.18482	0.0842439	0.0265911	0.024426	0.0252733	0.0158385	0.0465823	0.0266026	0.03656977	-0.1327402	0.0193136	0.526679	0.00615557	0.0080415	0.430118	0.00969235	3.281651	0.1347001	-3.308533	0.000812917	0.0416811	0.417066	3.54044	0.293218	0.296795	0.147976	0.262011	0.001959949	68.72631
310	-3294.421	-3305.647	11.22553	2.441484	0.2634603	0.0247891	0.0232428	0.0338881	0.0202492	0.0131001	0.0694408	0.1265	0.110593	0.0235384	0.0290522	0.0365093	0.0163943	0.0470093	0.015664	0.04103616	-0.1031567	0.0218451	0.532205	0.00690237	0.00531165	0.403801	0.029935	3.504713	0.1035926	-3.193302	0.00279932	0.0765685	0.529025	3.39161	0.285123	0.29113	0.135955	0.287793	0.0004358912	237.6569
320	-3287.44	-3303.386	15.94646	2.091412	0.2539713	0.041381	0.0203669	0.0453186	0.0191077	0.0268915	0.0543343	0.0964809	0.061988	0.0209473	0.0172284	0.0626262	0.0325469	0.042967	0.0259681	0.03227752	-0.04615216	0.0268124	0.45716	0.00975802	0.00843911	0.490528	0.00730268	3.338609	0.0465056	-3.433384	0.00230203	0.0695726	0.509786	3.41834	0.273	0.312317	0.141405	0.273278	0.0003534429	131.5788
