Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
240	-9.82722	0	-9.82722	7.59025	0.6909307	0.0954985	0.125955	0.113868	0.147527	0.14703	0.442075	0.302806	0.303693	0.0741231	0.137595	0.292464	0.410305	0.487197	0.120559	0.1651974	0.2975426	0.355142	0.106286	0.00014966	0.308164	0.0836085	0.14665	45.58391	0.004635911	0.0722522	0.359219	0.921461	2.64707	0.0476002	0.215868	0.733695	0.00283606	0.3021785	0.01534163
250	-12.726	0	-12.726	12.30599	0.8186074	0.110717	0.130981	0.102661	0.0946494	0.104308	0.368087	0.389017	0.142092	0.0496042	0.067193	0.13316	0.323841	0.468595	0.184982	0.1527304	0.09663566	0.314289	0.0975188	7.95801e-05	0.356184	0.166206	0.065723	27.02153	0.01943358	0.0995116	0.414519	0.96198	2.52399	0.0202449	0.668751	0.285717	0.0252873	0.1160692	0.1674309
260	-15.9555	0	-15.9555	5.831222	0.7403777	0.0893828	0.277188	0.166474	0.139981	0.201544	0.63006	0.673094	0.100916	0.0580621	0.134043	0.131269	0.936098	0.297999	0.177112	0.2175229	0.1552518	0.143768	0.251734	0.000615909	0.26615	0.174478	0.163253	42.32907	0.03273103	0.0828254	0.381975	0.938959	2.59624	0.0465532	0.489435	0.367181	0.0968311	0.1879828	0.1741171
270	-11.4316	0	-11.4316	22.92246	0.8544717	0.0547976	0.190357	0.100617	0.118569	0.0565061	0.903724	0.190554	0.060257	0.0188474	0.0939525	0.0828166	0.424851	0.119388	0.0474874	0.1401305	-0.008807686	0.121268	0.105171	0.00188012	0.205713	0.136895	0.429073	36.75399	0.07126447	0.107086	0.428174	0.970976	2.49376	0.021555	0.150614	0.516609	0.311222	0.06245678	1.14102
280	1.98466	0	1.98466	15.69142	1.034497	0.021696	0.0620737	0.0284207	0.100534	0.0396775	0.279676	0.0748	0.0240139	0.00755291	0.0678283	0.0480106	0.140134	0.12172	0.0355602	0.07772092	-0.01105526	0.38303	0.186135	0.000708997	0.183497	0.0355078	0.211121	30.52459	0.0310112	0.143785	0.486881	1.00549	2.36385	0.0582697	0.638156	0.0712513	0.232323	0.01995594	1.553983
290	7.65938	0	7.65938	10.48927	1.017867	0.0217077	0.0529922	0.0339176	0.10407	0.0583014	0.216364	0.074401	0.0184725	0.0217951	0.0820524	0.0466965	0.0873759	0.0688465	0.0217918	0.06705059	0.02859394	0.576093	0.253188	0.000323504	0.0523636	0.0104856	0.107546	18.26645	0.04463971	0.140505	0.482057	1.0029	2.37454	0.175449	0.593442	0.126177	0.104931	0.07323364	0.6095519
300	12.4375	0	12.4375	5.132269	1.000372	0.00763183	0.0296157	0.013661	0.0353438	0.0468628	0.171019	0.0365092	0.0125577	0.0355277	0.0876388	0.0438037	0.0781563	0.0289369	0.0152541	0.05873905	0.1053143	0.164192	0.439339	0.000341105	0.148431	0.0131127	0.234583	29.8021	0.04902473	0.137028	0.476864	1.00006	2.38605	0.159878	0.507995	0.278373	0.0537543	0.154339	0.3176432
310	-12.4406	0	-12.4406	22.60475	1.010262	0.0257973	0.105787	0.0675474	0.0833644	0.109844	0.28921	0.197211	0.0482804	0.0542145	0.160995	0.444544	0.167648	0.116485	0.0497765	0.0915577	-0.04427467	0.16681	0.359012	0.000176501	0.140329	0.00251287	0.33116	31.53581	0.2069531	0.138997	0.479815	1.00168	2.37951	0.0469022	0.169097	0.770052	0.0139491	0.1626784	1.272161
320	-1.86246	0	-1.86246	15.68806	0.9177799	0.0134051	0.0688033	0.0317043	0.0350927	0.0652767	0.1574	0.113414	0.0648571	0.0393239	0.124156	0.578083	0.0692726	0.131423	0.0314873	0.1009431	0.01559832	0.457431	0.262032	7.16323e-05	0.0562421	0.00109157	0.223131	19.46672	0.07219496	0.120271	0.450563	0.984918	2.44425	0.100747	0.313895	0.15784	0.427518	0.08779328	0.822329
330	0.451447	0	0.451447	13.04209	1.451203	0.0122163	0.0581415	0.0249035	0.0565599	0.0922565	0.121784	0.157596	0.0362537	0.103064	0.127972	0.260866	0.0861231	0.194069	0.0284725	0.0823619	0.1016274	0.319072	0.470727	0.000138031	0.0681707	0.00323753	0.138654	24.18734	0.04302182	0.217685	0.580227	1.04742	2.15466	0.353995	0.242425	0.224346	0.179234	0.1446492	0.2974218
