Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
470	-3306.154	-3299.011	-7.142389	0.6105686	0.1960175	0.661581	0.379509	0.0994299	0.439166	0.130769	0.0552942	0.220965	0.257948	0.110149	0.104336	0.115323	0.0979662	0.473998	0.264219	0.3220478	-0.07082218	0.00908324	0.487376	0.00251385	0.0112765	0.486975	0.00277577	0.0950536	0.000461668	0.03151	0.373184	3.59484	0.278468	0.307463	0.124716	0.289353	0.02423142	3.922742
480	-3304.269	-3298.633	-5.635557	0.4728298	0.1922335	0.603122	0.124375	0.170045	0.146222	0.0854346	0.0329221	0.141413	0.141027	0.0246139	0.141428	0.0979178	0.788016	0.309647	0.668569	0.251568	0.02552361	0.011839	0.493245	0.00620291	0.0167451	0.465388	0.00657965	0.01815879	0.000401878	0.0294186	0.363086	3.60709	0.313812	0.301669	0.12776	0.25676	0.04368241	0.4157004
490	-3312.233	-3307.898	-4.334622	0.5809935	0.2054143	0.31958	0.250611	0.0826443	0.330267	0.465964	0.144494	0.209514	0.283084	0.195727	0.152503	0.177915	0.0413153	0.340986	0.121668	0.2693418	0.00921954	0.0134695	0.433743	0.0212265	0.0129087	0.511431	0.00722166	0.01709666	0.00063722	0.0369562	0.39764	3.56477	0.28646	0.294487	0.152288	0.266765	0.0263162	0.649663
500	-3302.643	-3296.915	-5.727776	0.5251584	0.2085355	0.341445	0.263255	0.153874	0.578014	0.104323	0.0354981	0.181526	0.340482	0.0721936	0.111495	0.0837628	0.210264	0.455967	0.0248132	0.2716172	0.1358035	0.0114921	0.494508	0.0149711	0.00354428	0.467236	0.00824801	0.05451049	0.000704662	0.0388402	0.405565	3.55489	0.287034	0.305217	0.132211	0.275538	0.190314	0.286424
510	-3306.848	-3301.328	-5.520171	0.5284119	0.1933635	0.445408	0.175769	0.115518	0.177469	0.14346	0.0600944	0.127702	0.193393	0.539917	0.10808	0.0650215	0.654098	0.167716	0.00520815	0.2814309	0.09972172	0.0276523	0.43812	0.0108951	0.0131994	0.506857	0.00327654	0.04322476	0.000419112	0.0300368	0.366116	3.60343	0.299165	0.281998	0.142121	0.276716	0.1429465	0.3023842
520	-3305.943	-3295.201	-10.74192	0.4766776	0.1821124	0.62129	0.25816	0.129717	0.639178	0.137487	0.0629585	0.208184	0.381694	0.053781	0.174677	0.18236	0.377958	0.487111	0.00344362	0.31726	-0.1253714	0.0150432	0.455918	0.0015744	0.0100107	0.516475	0.000979344	0.2663962	0.000269553	0.0241352	0.33539	3.64021	0.285739	0.302583	0.139143	0.272534	0.1410248	1.889002
530	-3307.441	-3304.349	-3.091723	0.5598861	0.1960176	0.450358	0.25613	0.108198	0.200325	0.0490271	0.0300564	0.125832	0.222479	0.282306	0.18865	0.125008	0.150214	0.195429	0.0230203	0.1287741	0.2293479	0.0241656	0.389967	0.000947633	0.00796315	0.57642	0.000537124	0.07252215	0.00046167	0.0315101	0.373184	3.59484	0.282835	0.321962	0.126429	0.268774	0.3018701	0.2402429
540	-3314.383	-3303.224	-11.15853	0.546349	0.1717116	0.405599	0.227173	0.137654	0.382833	0.163062	0.0434112	0.217209	0.141731	0.0526327	0.212594	0.460026	0.900085	0.594468	0.0289626	0.2156406	0.2189345	0.0175729	0.501665	0.000427159	0.00818377	0.471712	0.000439389	0.1006649	0.000170231	0.0192125	0.305947	3.67467	0.309994	0.293983	0.1218	0.274222	0.3195994	0.3149722
550	-3303.376	-3297.833	-5.542491	0.4027256	0.1895058	0.490052	0.18459	0.204847	0.557353	0.179351	0.0565098	0.201494	0.234304	0.0260299	0.320237	0.11384	0.318317	0.143503	0.015959	0.3284203	-0.02050659	0.024024	0.52229	0.000804855	0.00589726	0.434601	0.0123825	0.0400476	0.00036239	0.0279492	0.355719	3.61597	0.293089	0.298146	0.151813	0.256952	0.01954101	2.049413
560	-3306.421	-3300.731	-5.690641	0.5477866	0.2312033	0.407816	0.190449	0.101751	0.320311	0.654387	0.300348	0.202618	0.294985	0.204756	0.106804	0.129485	0.170797	0.189395	0.00976801	0.223528	0.0909235	0.0159921	0.463196	0.000532597	0.00424527	0.499808	0.0162261	0.04308413	0.00134835	0.0534924	0.460136	3.48502	0.322317	0.302133	0.135206	0.240344	0.1340076	0.321505
