Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
350	-3315.54	-3297.65	-17.8861	0.1257766	0.1460514	0.840124	0.715998	0.49245	0.732988	1.05574	0.648354	0.558179	1.28145	0.487946	1.85718	0.452189	0.584427	0.942631	0.240654	0.002027251	0.2332364	0.0100712	0.492733	0.00483329	0.0066074	0.482021	0.00373452	0.01379114	4.13678e-05	0.00950668	0.229885	3.76057	0.303572	0.293584	0.145095	0.257749	0.2470275	0.05582833
360	-3320.73	-3305.36	-15.3718	0.1177263	0.157166	0.491956	0.757442	0.778603	1.21121	0.826855	0.884058	0.982646	1.23803	0.687488	1.19594	0.306339	1.3371	0.584657	0.433595	0.002345011	0.05169734	0.00972507	0.518868	0.00456963	0.00666385	0.455726	0.00444706	0.009949779	8.08093e-05	0.0132664	0.263319	3.72333	0.307234	0.289878	0.14414	0.258748	0.06164712	0.1613989
370	-3317.07	-3301.74	-15.3335	0.1177263	0.1901953	0.252725	0.910559	0.88298	0.797996	1.48912	0.966341	0.47968	0.927829	1.15209	0.936996	0.510985	0.637143	0.755334	0.436477	0.005261527	-0.004844899	0.0116339	0.551476	0.00735152	0.00719997	0.420925	0.00141438	0.01697693	0.000372094	0.0283175	0.357588	3.61372	0.277806	0.302191	0.150263	0.269739	0.01213203	1.399348
380	-3317.58	-3298.67	-18.9133	0.1177263	0.1928662	0.264477	0.840066	0.470857	0.944312	1.15873	1.65752	0.529562	1.30959	0.841521	1.16324	0.853732	0.99213	1.94998	0.314613	0.00508903	0.0001998664	0.0103116	0.463488	0.00834161	0.00627732	0.509196	0.00238524	0.05597014	0.000411463	0.029764	0.364784	3.60504	0.278996	0.30999	0.139133	0.271881	0.05617001	0.9964418
390	-3315.49	-3297.02	-18.4769	0.1310615	0.1885416	0.311585	0.641225	0.522745	0.980354	1.20554	0.912892	0.393848	1.4915	0.638121	1.71279	1.27646	0.497672	1.46232	0.409475	0.003008309	0.06194119	0.013507	0.48964	0.00285365	0.011753	0.48118	0.00106638	0.0520071	0.00034913	0.0274376	0.353097	3.61912	0.297357	0.293567	0.125908	0.283167	0.1139483	0.4564097
400	-3321.69	-3302.02	-19.665	0.1168606	0.1702427	0.303861	1.07756	0.753506	0.849543	1.34857	1.25477	0.756095	1.84332	0.740045	1.244	1.55658	0.713583	1.76145	0.365813	0.005621166	0.08766417	0.0151527	0.534362	0.00458564	0.00568125	0.438052	0.00216694	0.06080129	0.00015881	0.0185611	0.301714	3.67957	0.26817	0.330828	0.128624	0.272378	0.1484655	0.4095316
410	-3320.57	-3302.35	-18.2153	0.1017971	0.1719944	0.439144	1.22383	1.24965	0.680325	1.68361	1.41996	0.746532	1.54824	0.604805	0.744382	0.945745	1.124	0.856383	0.437103	0.08139183	0.1264106	0.0120618	0.500029	0.00368804	0.00827031	0.474885	0.00106555	0.01069922	0.000172499	0.0193392	0.30676	3.67373	0.298925	0.291267	0.15176	0.258048	0.1371098	0.07803394
420	-3321.42	-3303.68	-17.7395	0.1041865	0.1609814	0.817657	1.3551	0.617143	0.997406	1.20797	1.74369	0.773457	2.13175	0.452539	0.789892	0.867043	0.879427	0.74367	0.644094	0.05539828	-0.08714514	0.0116049	0.501517	0.00674476	0.00290276	0.476299	0.000931919	0.125242	9.9543e-05	0.0147159	0.274644	3.71054	0.287687	0.316376	0.125776	0.270161	0.03809689	3.287461
430	-3317.99	-3300.43	-17.5567	0.09415415	0.1664587	0.330596	0.892664	0.377383	0.827067	1.24424	1.4081	0.580274	0.936021	0.799765	1.17432	0.555602	1.3567	1.35585	0.430735	0.05302322	-0.03609675	0.0150129	0.486221	0.00829084	0.0131493	0.476122	0.00120373	0.05286767	0.000132046	0.0169349	0.290731	3.6922	0.309397	0.308897	0.134528	0.247178	0.01677092	3.152342
440	-3324.21	-3304.03	-20.1767	0.1104446	0.15091	0.638821	0.820811	1.18492	1.1525	1.42612	1.19415	0.726775	1.4865	0.420029	0.475009	0.311139	1.02288	1.19569	0.378294	0.1075679	0.1207373	0.0101849	0.518028	0.00720705	0.000950888	0.463117	0.000512899	0.02830728	5.6113e-05	0.0110647	0.24457	3.74431	0.298891	0.308562	0.144161	0.248385	0.1490446	0.1899249
450	-3321.8	-3302.74	-19.0632	0.09684741	0.1467168	0.804278	1.37363	0.905931	0.794757	2.14497	0.84827	0.726775	1.14903	0.836159	0.974312	0.489066	0.690504	1.14703	0.222643	0.1036565	0.006095523	0.0108037	0.517831	0.00567725	0.00195246	0.46294	0.000795442	0.02607288	4.31833e-05	0.00971217	0.231902	3.75834	0.305628	0.302568	0.122324	0.26948	0.0321684	0.8105121
