Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	branch_rates_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
100	-4088.408	-3804.804	-283.6044	5.326912	0.1948257	2.215604	0.0349337	0.13978	0.105251	0.0437768	0.13501	0.0386959	0.0627431	0.0713735	0.149438	0.0384347	0.024269	0.0153638	0.041521	0.0391885	0.0401802	0.121858	0.078822	0.0318171	0.0210277	0.0456295	0.0128149	0.0346145	0.0403788	0.0120191	0.0333006	0.0353933	0.0694507	0.040196	0.0641113	0.140272	0.0685748	0.0845169	0.0810263	0.0447946	0.0303732	0.0610634	0.0993416	0.0806016	0.05089592	0.04947611	0.1669228	0.0142214	0.451634	0.00364115	0.00839206	0.520258	0.00185383	6.060498	0.007436435	-2.977973	0	43.39699	0.004209649	0.000442193	0.0308448	0.370019	3.59869	0.317721	0.676143	1.07455	1.93158	0.289291	0.301626	0.153257	0.255825	0.1743592	0.04265008
110	-4079.621	-3803.113	-276.5087	5.326912	0.1672957	1.263799	0.0467917	0.105742	0.0483358	0.0651654	0.116263	0.0308955	0.073194	0.0692018	0.203672	0.0434704	0.0125967	0.0279483	0.043662	0.0377523	0.0535094	0.122755	0.0676422	0.0392535	0.0389168	0.0390274	0.0179164	0.0331234	0.0374197	0.014054	0.0345323	0.0356008	0.051042	0.0409614	0.0185996	0.0670112	0.0312358	0.0736297	0.0432235	0.0363321	0.0407724	0.0506406	0.0888803	0.104734	0.04196756	0.06051088	0.1669228	0.00968948	0.460967	0.00636755	0.00493634	0.514484	0.00355604	6.060498	0.007436435	-3.170858	0	43.39699	0.004209649	0.000137647	0.0172881	0.29317	3.6894	0.186425	0.543856	1.03291	2.23681	0.286499	0.316069	0.121214	0.276218	0.1743592	0.04265008
120	-4087.516	-3803.108	-284.4082	5.326912	0.1572283	2.42762	0.0237628	0.0649069	0.0562649	0.0768045	0.144516	0.0356181	0.0981108	0.0551476	0.234034	0.0515208	0.0112744	0.0230622	0.0541911	0.0235112	0.045673	0.0734293	0.105652	0.0395708	0.043394	0.0400216	0.0108403	0.0292897	0.0214436	0.012885	0.0219647	0.0437142	0.0607638	0.0430544	0.0187534	0.0903363	0.0395976	0.0600422	0.0735258	0.0443815	0.149855	0.0488702	0.0598952	0.0906149	0.0444464	0.04728744	0.1669228	0.00682991	0.537685	0.00245292	0.00358001	0.447826	0.00162634	6.060498	0.007436435	-3.113471	0	43.39699	0.004209649	8.10919e-05	0.0132895	0.263505	3.72312	0.339485	0.69394	1.07776	1.88882	0.297571	0.30535	0.130675	0.266405	0.1743592	0.04265008
130	-4080.304	-3803.26	-277.0443	5.326912	0.1557789	1.550506	0.0186678	0.0589499	0.0811335	0.0400113	0.127333	0.0205235	0.0341408	0.0508928	0.175344	0.0388657	0.00755223	0.0137053	0.0514419	0.0312276	0.0741503	0.0581378	0.0390412	0.047686	0.0392764	0.0344161	0.014299	0.0236066	0.0420495	0.0108672	0.0261346	0.0558298	0.0372175	0.0413754	0.0296886	0.0932239	0.0359091	0.0681498	0.0692057	0.0212604	0.0493173	0.0605358	0.0595207	0.107293	0.04645054	0.04839592	0.1669228	0.0104581	0.545467	0.00529281	0.0058758	0.426422	0.00648427	6.060498	0.007436435	-3.069367	0	43.39699	0.004209649	7.4721e-05	0.0127594	0.25918	3.72799	0.23302	0.596753	1.05325	2.11697	0.301733	0.290642	0.124877	0.282748	0.1743592	0.04265008
140	-4073.908	-3800.493	-273.415	5.326912	0.1518542	2.00434	0.0201337	0.0456503	0.0403281	0.0499999	0.0423957	0.0149475	0.0388164	0.0719882	0.156267	0.0445374	0.00833037	0.0187357	0.0441162	0.0442671	0.0355499	0.0332081	0.0386587	0.0582953	0.0208618	0.0385621	0.0201553	0.0161491	0.0385588	0.00910276	0.0832163	0.0452747	0.0465025	0.0399696	0.0360653	0.0919773	0.0274557	0.0496959	0.081585	0.016894	0.0589556	0.0866702	0.0373358	0.0986401	0.04393261	0.04877354	0.1669228	0.0124917	0.504538	0.00429327	0.0102173	0.4668	0.00165969	6.060498	0.007436435	-3.125098	0	43.39699	0.004209649	5.9403e-05	0.011383	0.247412	3.74115	0.293792	0.655474	1.0701	1.98064	0.292939	0.323779	0.140204	0.243078	0.1743592	0.04265008
150	-4074.872	-3796.537	-278.3344	5.326912	0.1518767	3.259189	0.0245912	0.0863249	0.0231375	0.0346321	0.0395445	0.0276461	0.0142593	0.0642808	0.209746	0.0340894	0.00858705	0.0151209	0.0410066	0.0336277	0.0417181	0.0443267	0.0679913	0.0830194	0.0415915	0.0550233	0.0312743	0.0250355	0.0390768	0.0105014	0.0852869	0.0394923	0.0206428	0.0335745	0.0403398	0.102335	0.0225444	0.0479983	0.132814	0.0247874	0.0547642	0.0598579	0.0536995	0.0707486	0.04648476	0.05071344	0.1669228	0.0108226	0.55339	0.00488103	0.00620866	0.423392	0.00130597	6.060498	0.007436435	-3.068631	0	43.39699	0.004209649	5.94832e-05	0.0113906	0.24748	3.74107	0.40837	0.744939	1.08353	1.76316	0.298012	0.305726	0.136995	0.259268	0.1743592	0.04265008
160	-4074.874	-3800.553	-274.3209	5.326912	0.1570147	2.186757	0.0392915	0.0826195	0.0310602	0.0292417	0.0263323	0.0182378	0.0177504	0.059664	0.103264	0.0327392	0.009361	0.0135834	0.0353527	0.0313396	0.0292932	0.0427824	0.107942	0.0942522	0.0488132	0.0712392	0.0303464	0.0129605	0.0329094	0.00856192	0.0464369	0.0486601	0.0298554	0.0246121	0.0531747	0.121079	0.0292969	0.0548594	0.0963585	0.0205588	0.023535	0.0864995	0.0471529	0.0678283	0.0391555	0.04989858	0.1669228	0.0100152	0.513388	0.00353467	0.0211173	0.443729	0.00821503	6.060498	0.007436435	-3.240214	0	43.39699	0.004209649	8.01276e-05	0.0132107	0.262868	3.72384	0.314593	0.673509	1.07403	1.93787	0.294835	0.316326	0.126449	0.26239	0.1743592	0.04265008
170	-4076.514	-3800.992	-275.5223	5.326912	0.1866187	2.960516	0.0531365	0.101814	0.0274236	0.0339513	0.0232733	0.0203618	0.0416046	0.0566885	0.117345	0.042345	0.0140641	0.0141934	0.0418676	0.0320685	0.047833	0.0573074	0.0633605	0.0679424	0.0188564	0.0719086	0.0281441	0.012286	0.0378102	0.0100331	0.0312066	0.0496864	0.0305276	0.0384358	0.0550548	0.2248	0.0407233	0.0399989	0.0843502	0.0237152	0.0510188	0.0762517	0.0529428	0.0450239	0.04211498	0.06689068	0.1669228	0.0093451	0.484111	0.00362211	0.0185747	0.475073	0.00927327	6.060498	0.007436435	-3.167352	0	43.39699	0.004209649	0.000323743	0.02643	0.347842	3.6254	0.386184	0.729318	1.08231	1.80218	0.320916	0.29458	0.130583	0.253921	0.1743592	0.04265008
180	-4083.89	-3804.11	-279.7805	5.326912	0.1812868	0.8614349	0.057557	0.0995604	0.0227849	0.069902	0.0240975	0.0200103	0.0548572	0.0462653	0.139739	0.0379027	0.00843659	0.0144654	0.0524492	0.0259378	0.0539127	0.0482276	0.096091	0.0904402	0.0427829	0.0284726	0.0340514	0.010908	0.0373827	0.00739522	0.0460734	0.0460991	0.0345787	0.0375898	0.0291352	0.217909	0.0331326	0.0358412	0.0883578	0.0665929	0.0835684	0.0651738	0.0496481	0.0465566	0.0421116	0.03792339	0.1669228	0.0140755	0.487742	0.00723084	0.021533	0.462377	0.00704135	6.060498	0.007436435	-3.167432	0	43.39699	0.004209649	0.000260398	0.0237251	0.333088	3.64293	0.108548	0.43074	0.972625	2.48809	0.29328	0.315944	0.129317	0.261459	0.1743592	0.04265008
190	-4075.36	-3798.43	-276.9302	5.326912	0.1807033	1.360968	0.0459706	0.0789764	0.0249293	0.0307483	0.0195594	0.0167546	0.0349752	0.0600411	0.143487	0.0402876	0.0068936	0.0161059	0.0477619	0.0265887	0.0359052	0.0576539	0.0779742	0.038935	0.0320052	0.0482369	0.0172993	0.0133609	0.0232361	0.0114259	0.0462778	0.0525641	0.0330349	0.0245308	0.0365816	0.156865	0.0219128	0.0382172	0.158376	0.0989602	0.0872091	0.057343	0.0525592	0.0307039	0.03744304	0.04479911	0.1669228	0.0112603	0.527449	0.00567725	0.0206753	0.431156	0.00378223	6.060498	0.007436435	-3.284934	0	43.39699	0.004209649	0.000254069	0.0234372	0.331458	3.64485	0.203024	0.563651	1.04109	2.19223	0.31358	0.301742	0.126779	0.257899	0.1743592	0.04265008
200	-4070.986	-3797.62	-273.3663	5.326912	0.2144609	2.341154	0.0490344	0.0954352	0.0173805	0.0284294	0.0351798	0.0106105	0.0232774	0.0315904	0.111189	0.0345169	0.0084795	0.0176481	0.0393643	0.0258673	0.0502513	0.0834232	0.0674533	0.0333932	0.0457378	0.0339756	0.0224992	0.0162682	0.0416871	0.00843646	0.038721	0.0158511	0.0251387	0.026359	0.0215739	0.143164	0.0342796	0.0394407	0.154344	0.0699456	0.0356916	0.0418036	0.039039	0.0498416	0.03851702	0.05001761	0.1669228	0.0108212	0.561853	0.00447307	0.011431	0.40968	0.00174131	6.060498	0.007436435	-3.256655	0	43.39699	0.004209649	0.000846087	0.0425122	0.420336	3.53631	0.33086	0.686995	1.07658	1.90557	0.294689	0.31067	0.13108	0.263561	0.1743592	0.04265008
210	-4073.228	-3795.276	-277.952	5.326912	0.1739539	3.709486	0.0439548	0.032404	0.00719062	0.0338748	0.021153	0.00892408	0.0253128	0.0461342	0.107423	0.022807	0.0137999	0.0137785	0.035748	0.0339462	0.0333111	0.130579	0.0484297	0.0357618	0.0696916	0.0399758	0.00814975	0.016315	0.0329918	0.00835775	0.0359102	0.0197081	0.0121586	0.0187618	0.0635653	0.0892122	0.0477669	0.0703888	0.103511	0.064025	0.0947635	0.056725	0.0169034	0.0385642	0.03196519	0.05068379	0.1669228	0.0175295	0.535699	0.00714055	0.0116261	0.426183	0.00182224	6.060498	0.007436435	-3.443108	0	43.39699	0.004209649	0.000188841	0.0202282	0.312374	3.66721	0.437654	0.764523	1.08432	1.7135	0.273377	0.321532	0.136012	0.269079	0.1743592	0.04265008
220	-4086.093	-3806.159	-279.9342	5.326912	0.1779051	1.392636	0.0539479	0.0204796	0.00661197	0.0342812	0.0557569	0.0164428	0.0104443	0.0663231	0.104464	0.0310635	0.0105978	0.0179429	0.0338793	0.0393791	0.0471846	0.183716	0.0513918	0.0356149	0.0316574	0.0889844	0.00988047	0.0182617	0.0216473	0.00929972	0.0206928	0.0216348	0.0245005	0.040707	0.053904	0.117942	0.0904709	0.0547183	0.0545915	0.0743384	0.0504246	0.0616668	0.0204908	0.0705592	0.03348332	0.08978462	0.1669228	0.0158876	0.48825	0.0123829	0.013575	0.463472	0.00643174	6.060498	0.007436435	-3.396708	0	43.39699	0.004209649	0.000225278	0.0220795	0.323595	3.6541	0.20825	0.569652	1.04344	2.17866	0.275316	0.292818	0.145652	0.286214	0.1743592	0.04265008
230	-4077.631	-3804.897	-272.7344	5.326912	0.2144263	2.563969	0.0470559	0.0193528	0.0123231	0.0194749	0.0526283	0.0232016	0.0228923	0.0443386	0.104728	0.0338882	0.00942728	0.0169818	0.0222567	0.0226157	0.0397474	0.10547	0.106799	0.0162679	0.0247901	0.0940816	0.0273426	0.0224318	0.0368744	0.00960191	0.0247175	0.0130876	0.0163821	0.0489305	0.0660349	0.046197	0.0316786	0.0475426	0.0660965	0.105017	0.0618397	0.0280388	0.0688378	0.0240207	0.0391996	0.05514018	0.1669228	0.009588	0.502308	0.0172621	0.0140946	0.446242	0.0105052	6.060498	0.007436435	-3.239089	0	43.39699	0.004209649	0.000845208	0.0424904	0.420251	3.53641	0.352439	0.704118	1.07932	1.86412	0.287734	0.306764	0.132192	0.27331	0.1743592	0.04265008
