Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
23	1	-3319.929	-3310.287	-9.641941	0.5692653	0.1871884	0.66194	0.186188	0.454733	0.181528	0.379481	0.217714	0.175973	0.00403236	0.530572	0.365535	0.0503389	0.311634	0.29668	0.568969	0.3239135	0.04052971	0.00530479	0.457986	0.00988377	0.00349969	0.510846	0.0124798	0.01262644	0.00033112	0.0267268	0.349403	3.62354	0.297328	0.31423	0.137163	0.251279	0.05315615	0.2375349
24	0	-3315.42	-3303.446	-11.97362	0.6277629	0.2276147	0.202811	0.700376	0.0994861	0.388113	0.0339978	0.550546	0.392869	0.224861	0.384032	0.0152684	0.459614	0.130204	0.0509769	0.215101	0.2928051	-0.523388	0.012111	0.54916	0.0116436	0.00687899	0.414225	0.00598122	0.5299283	0.00122725	0.0510701	0.451844	3.49586	0.275209	0.308761	0.137292	0.278737	0.00654024	81.02581
25	1	-3323.365	-3311.488	-11.87749	0.7466473	0.1919787	0.688261	0.218535	0.262258	0.206887	0.273844	0.257919	0.17571	0.00476535	0.301715	0.227595	0.381245	0.135047	1.08317	0.481165	0.3815649	0.06554918	0.0100503	0.476823	0.0134131	0.00649187	0.471954	0.0212673	0.02961627	0.000398064	0.02928	0.362401	3.60792	0.306527	0.287347	0.139685	0.266441	0.09516545	0.3112082
26	0	-3311.121	-3303.747	-7.373794	0.9981766	0.2312776	0.443039	0.924382	0.0949553	0.133807	0.0262677	0.306734	0.0983312	0.0578607	0.0201179	0.287104	0.0786345	0.0910203	0.980868	0.112865	0.2008341	-0.1296503	0.0115901	0.538781	0.0124248	0.00837999	0.426754	0.00207092	0.142293	0.00135093	0.0535429	0.460306	3.4848	0.285742	0.308784	0.14315	0.262324	0.01264265	11.255
27	1	-3318.359	-3308.433	-9.925891	0.6240488	0.1710719	0.575326	0.377553	0.553252	0.273175	0.39339	0.157301	0.20139	0.00581378	0.244003	0.443315	0.0995486	0.316585	0.288292	0.415485	0.287107	0.05926985	0.00607002	0.357045	0.00964592	0.0125812	0.60159	0.0130681	0.04223166	0.000165184	0.0189275	0.304106	3.6768	0.302751	0.29728	0.14125	0.25872	0.1015015	0.4160693
28	0	-3309.09	-3306.836	-2.254273	0.8994244	0.2255182	0.210509	0.464707	0.282759	0.0576953	0.0626169	0.200895	0.119647	0.17804	0.180407	0.140759	0.0103897	0.0880846	0.498618	0.347126	0.1750466	-0.0517747	0.0108797	0.622573	0.00570665	0.00357874	0.353286	0.0039763	0.05533703	0.00116	0.0496715	0.44694	3.50223	0.302356	0.302793	0.126575	0.268277	0.003562329	15.53395
29	1	-3315.724	-3305.439	-10.28525	0.720274	0.1543698	0.706073	0.316581	0.201947	0.315456	0.553224	0.167485	0.212792	0.00525199	0.211563	0.143212	0.573587	0.082448	0.508665	0.0560582	0.2265343	0.1679896	0.00772227	0.461971	0.00420033	0.0119656	0.490682	0.0234593	0.0648542	6.89055e-05	0.0122553	0.254964	3.73271	0.29211	0.296514	0.146826	0.26455	0.2328438	0.2785309
30	0	-3302.125	-3301.542	-0.5828092	0.899616	0.2025181	0.257859	0.581877	0.0261139	0.0590493	0.0888262	0.179119	0.0990183	0.0175938	0.0896008	0.137726	0.0118379	0.209933	0.246705	0.25861	0.2309963	-0.0803387	0.0122287	0.532726	0.00933512	0.00634212	0.433247	0.00612085	0.0838319	0.000578816	0.0352407	0.390198	3.57398	0.278705	0.303282	0.136668	0.281345	0.003493192	23.99865
31	1	-3314.815	-3308.656	-6.158639	0.6588741	0.1445847	0.716119	0.237521	0.185513	0.247447	0.144815	0.0645836	0.10749	0.0062575	0.566532	0.142415	0.207903	0.0421966	0.383583	0.0482244	0.2380766	0.02523731	0.00723612	0.624712	0.00347606	0.0096387	0.333145	0.0217922	0.1267648	3.75786e-05	0.00906259	0.225436	3.76546	0.298426	0.304419	0.120522	0.276632	0.1520021	0.8339674
32	0	-3300.908	-3297.089	-3.818543	0.7498617	0.2362385	0.400018	0.700545	0.0340442	0.0634015	0.0751377	0.174376	0.113442	0.0584981	0.0941103	0.294953	0.0162603	0.0768196	0.0151936	0.256523	0.3315445	-0.06885015	0.0160481	0.49456	0.0125851	0.00591552	0.465328	0.00556352	0.07129565	0.00153124	0.0569477	0.471552	3.46997	0.296445	0.28479	0.153828	0.264936	0.002445508	29.15372
33	1	-3317.864	-3307.482	-10.38232	0.4276121	0.1879688	0.460585	0.331251	0.589856	0.337495	0.373073	0.122991	0.321686	0.0135154	0.51687	0.509256	0.132843	0.120698	0.197061	0.0516183	0.2094251	-0.07037457	0.00549646	0.5352	0.00412379	0.0127015	0.428373	0.0141046	0.1805533	0.000341421	0.0271357	0.351536	3.62099	0.280132	0.30839	0.133502	0.277976	0.1101788	1.638731
34	0	-3309.22	-3300.873	-8.346572	0.897659	0.2106998	0.184426	0.355537	0.234403	0.105752	0.456158	0.200787	0.15617	0.157967	0.0545436	0.0788395	0.000507279	0.353235	0.0374329	1.84067	0.2788326	-0.02516659	0.0187259	0.495892	0.00813993	0.00474358	0.466581	0.00591709	0.02692462	0.000754248	0.0401673	0.411002	3.54808	0.289912	0.313322	0.119379	0.277388	0.001758036	15.31517
35	1	-3317.466	-3310.552	-6.914132	0.722624	0.1852152	0.505171	0.484682	0.205798	0.418147	0.207838	0.0417547	0.200231	0.00625151	0.174541	0.304451	0.0657621	0.0464907	0.506214	0.00391234	0.2215362	-0.08994803	0.0117237	0.461637	0.00643009	0.0175486	0.497489	0.00517211	0.2250506	0.000306083	0.0257052	0.343985	3.63	0.293563	0.294623	0.131106	0.280708	0.1351026	1.665776
36	0	-3296.704	-3297.153	0.4491941	0.8394799	0.1992193	0.281081	0.699477	0.0845793	0.0846667	0.117168	0.159148	0.134269	0.0824044	0.0510184	0.0660938	0.00278375	0.147673	0.0404839	0.364637	0.2099179	-0.01030466	0.0135086	0.498669	0.00227943	0.00832494	0.473355	0.00386319	0.01732322	0.000517019	0.0333263	0.381617	3.58454	0.297124	0.278723	0.136126	0.288027	0.007018564	2.4682
37	1	-3314.374	-3304.536	-9.837632	0.6519787	0.1757867	0.845246	0.298915	0.166986	0.366557	0.154969	0.0194082	0.158252	0.0347168	0.263043	0.20304	0.71701	0.0645132	0.585745	0.0313814	0.3603349	-0.02661184	0.0116503	0.503277	0.0067468	0.0112471	0.464222	0.00285704	0.09767303	0.000205148	0.0210773	0.317596	3.66112	0.321862	0.287502	0.12713	0.263506	0.07106119	1.374492
38	0	-3308.933	-3309.547	0.6142494	0.9333114	0.214188	0.574544	0.595897	0.026348	0.129963	0.095633	0.223703	0.15261	0.0159117	0.0774963	0.0710761	0.0475814	0.102589	0.0285749	0.261889	0.1364113	-0.01554319	0.0171365	0.568117	0.0030633	0.00790695	0.395893	0.00788279	0.02001811	0.000839178	0.0423405	0.419664	3.53716	0.330073	0.293648	0.129606	0.246673	0.004474921	4.4734
39	1	-3319.617	-3306.14	-13.47684	0.5807016	0.1758957	0.634761	0.3802	0.290662	0.770381	0.512901	0.108177	0.607984	0.0408057	0.16961	0.220932	0.151152	0.0629237	0.29135	0.0385444	0.4988858	-0.04407325	0.00840842	0.507228	0.00760366	0.00776575	0.467867	0.00112669	0.1114874	0.00020615	0.0211283	0.317905	3.66076	0.323205	0.286756	0.145043	0.244996	0.06741413	1.653769
40	0	-3298.112	-3299.674	1.561766	0.9918662	0.1821632	0.378271	0.598198	0.0274151	0.147979	0.0593802	0.179527	0.110076	0.0284879	0.00974619	0.11359	0.0563909	0.0607439	0.156232	0.289366	0.1382923	-0.04047769	0.0170342	0.554784	0.00399573	0.00438817	0.414264	0.00553376	0.05157417	0.000270124	0.0241605	0.335532	3.64004	0.292277	0.293877	0.151357	0.262489	0.01109648	4.647794
41	1	-3323.999	-3303.428	-20.57154	0.413504	0.1663023	0.746371	0.453716	0.763072	0.359601	1.63845	0.351505	0.807507	0.0546865	0.31082	0.617661	0.704028	0.0407137	0.280661	0.0389355	0.5451424	-0.1663242	0.00811374	0.459541	0.00439673	0.0120918	0.512431	0.00342575	0.2227027	0.000131019	0.0168693	0.290275	3.69273	0.294191	0.290945	0.141091	0.273772	0.05637858	3.950131
