Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
230	-3300.54	-3297.18	-3.36352	0.6782485	0.2268996	0.341072	0.524465	0.0440001	0.10942	0.0668464	0.0151339	0.131964	0.186289	0.165764	0.335716	0.332465	0.0808037	0.0204493	0.171435	0.20665	0.1934588	0.0211035	0.509659	0.0036827	0.00533899	0.459732	0.000483611	0.04930125	0.00120403	0.0505917	0.450176	3.49803	0.295045	0.288024	0.130357	0.286574	0.24276	0.2030864
240	-3302.61	-3296.91	-5.69694	0.6998122	0.2062454	0.312242	0.469675	0.0312145	0.120797	0.0917379	0.0218404	0.136883	0.189235	0.185016	0.227913	0.691632	0.0857588	0.0785575	0.254428	0.1914252	0.2873958	0.0183212	0.417399	0.00273872	0.0150899	0.54605	0.000402145	0.03114471	0.000654717	0.0374544	0.39976	3.56213	0.277075	0.311037	0.150072	0.261816	0.3185405	0.09777316
250	-3302.67	-3296.22	-6.44959	0.7218202	0.2057126	0.233501	0.450547	0.0424155	0.124467	0.0606929	0.0105921	0.181306	0.193018	0.276778	0.455388	0.411817	0.12634	0.208976	0.349689	0.3119167	0.1064451	0.0163913	0.477014	0.00576656	0.0149092	0.485094	0.000824435	0.02099224	0.000643462	0.0371347	0.398402	3.56382	0.28498	0.297196	0.154606	0.263218	0.1274373	0.164726
260	-3303.57	-3298.43	-5.13531	0.7538369	0.1685941	0.190793	0.506396	0.022372	0.206106	0.0421169	0.0074438	0.193673	0.290772	0.239389	0.757492	0.276893	0.0684289	0.363774	0.127641	0.1603327	-0.007812055	0.012629	0.479171	0.00635197	0.0144662	0.486946	0.000435829	0.03154434	0.00014669	0.0178434	0.296943	3.68507	0.290743	0.320081	0.130028	0.259148	0.02373228	1.329174
270	-3303.35	-3296.36	-6.99188	0.7546177	0.163924	0.250071	0.780168	0.0301577	0.140142	0.0883032	0.00683743	0.262486	0.393947	0.111201	0.36055	0.12145	0.045322	0.71457	0.243512	0.2432479	0.07965562	0.00768348	0.4644	0.0099802	0.00762067	0.50906	0.00125501	0.04040319	0.000116134	0.015888	0.283313	3.70068	0.303673	0.279152	0.144312	0.272862	0.1200588	0.3365283
280	-3301.11	-3294.57	-6.54522	0.7605921	0.1640905	0.282923	0.626243	0.0427203	0.118097	0.0940932	0.0116307	0.274927	0.269332	0.125189	0.372525	0.0740096	0.0823718	0.345552	0.339957	0.2385995	-0.1661555	0.0113478	0.53254	0.00760014	0.0107835	0.436772	0.000956062	0.2393613	0.000117132	0.0159557	0.283802	3.70013	0.30185	0.305357	0.118566	0.274227	0.07320574	3.269706
290	-3309.68	-3301.63	-8.05454	0.7230859	0.1866163	0.460842	0.48976	0.0385465	0.140377	0.0908458	0.0105153	0.225898	0.371092	0.0847613	0.568127	0.0814285	0.231701	0.419308	0.169645	0.1807894	-0.09921594	0.0132892	0.472053	0.0115864	0.00474319	0.493548	0.00477998	0.2078355	0.000323712	0.0264287	0.347836	3.62541	0.265826	0.334079	0.129696	0.270399	0.1086195	1.913426
300	-3305.38	-3299.81	-5.56527	0.6754123	0.2151316	0.412753	0.510637	0.0554206	0.161279	0.0638775	0.0114704	0.299773	0.448602	0.0631451	0.409747	0.110227	0.169657	0.314296	0.131645	0.2080377	0.1661101	0.0235257	0.513995	0.00988133	0.0050118	0.442121	0.00546469	0.02740298	0.000863238	0.0429355	0.421985	3.53422	0.28867	0.291744	0.137457	0.282129	0.1935131	0.1416079
310	-3303.99	-3299.13	-4.8615	0.6330186	0.1877344	0.163481	0.653696	0.0523991	0.122081	0.0915801	0.00585447	0.28854	0.419712	0.0507402	0.255321	0.164947	0.145123	0.29198	0.0760591	0.1131463	-0.05969644	0.0146987	0.506054	0.00787026	0.0133489	0.454814	0.00321405	0.1088522	0.000338303	0.0270126	0.350896	3.62175	0.281156	0.314604	0.142327	0.261913	0.04915576	2.214434
320	-3303.21	-3300.92	-2.28901	0.603312	0.1687111	0.250214	0.403707	0.0668814	0.168002	0.104385	0.00325109	0.286419	0.467899	0.0681403	0.187954	0.116798	0.137532	0.266439	0.153323	0.2170115	-0.102262	0.0164013	0.553714	0.00162291	0.0172047	0.409583	0.00147406	0.108196	0.000147527	0.0178939	0.297282	3.68468	0.308816	0.280482	0.134653	0.276049	0.005934001	18.23323
330	-3312.36	-3303.24	-9.11695	0.4873488	0.1750889	0.363841	0.520636	0.0705367	0.119956	0.110615	0.00312631	0.398338	0.528495	0.175151	0.1386	0.334622	0.240302	0.33545	0.375813	0.1577088	-0.1880272	0.00868523	0.554613	0.00286485	0.0200498	0.413068	0.000719645	0.1903048	0.00019882	0.020752	0.315611	3.66344	0.316461	0.297823	0.128742	0.256973	0.002277618	83.55432
340	-3308.17	-3299.75	-8.4241	0.4766272	0.1828413	0.271808	0.268153	0.0480646	0.148141	0.128717	0.0123431	0.58034	0.709191	0.0206559	0.212329	0.0594826	0.167528	0.486789	0.82603	0.2925069	-0.06826008	0.00765371	0.546827	0.00204914	0.0217829	0.420808	0.000879525	0.09848017	0.00027783	0.0244999	0.337417	3.6378	0.27981	0.295035	0.143229	0.281927	0.03022008	3.258766
350	-3316.5	-3304.31	-12.1918	0.5060074	0.1814694	0.613563	0.274198	0.0553199	0.104011	0.163813	0.0424539	0.738063	0.742776	0.0111403	0.312092	0.0329566	0.313325	0.890839	0.373979	0.2970292	0.0301849	0.0130935	0.561445	0.000877215	0.0101847	0.412995	0.00140485	0.1147307	0.000262404	0.0238155	0.333598	3.64232	0.28768	0.32796	0.138136	0.246224	0.1449156	0.791707
360	-3312.14	-3303.27	-8.86921	0.4735571	0.2266366	0.295298	0.264534	0.061676	0.23049	0.125364	0.0395675	0.281837	0.670901	0.00908835	0.166545	0.0400753	0.297729	0.630036	0.417186	0.1637419	-0.04936895	0.0246496	0.569855	0.00042055	0.0057035	0.397248	0.0021231	0.1838652	0.00119556	0.050416	0.449561	3.49883	0.285197	0.301165	0.136191	0.277448	0.1344962	1.367066
370	-3312.16	-3301	-11.1613	0.4819877	0.2242277	0.297181	0.184411	0.0836892	0.201956	0.182272	0.035615	0.610341	0.947407	0.0100377	0.168007	0.0412297	0.187326	0.340217	0.660843	0.2576717	0.05189187	0.0207756	0.422943	0.00524801	0.00462265	0.54469	0.00172076	0.195923	0.00111985	0.0488168	0.443899	3.50616	0.269545	0.310662	0.140357	0.279435	0.2478148	0.7906023
380	-3306.73	-3299.89	-6.84723	0.4233738	0.2091059	0.255867	0.0641047	0.0918361	0.213762	0.121222	0.0416364	0.411784	0.608237	0.0215105	0.183248	0.0172033	0.12594	0.269787	0.967054	0.1759073	-0.0812964	0.0283933	0.52763	0.00649065	0.00663626	0.423002	0.00784806	0.154236	0.000717503	0.0391883	0.407003	3.55309	0.279261	0.315633	0.119241	0.285865	0.07293963	2.114571
390	-3311.35	-3298.35	-12.9978	0.6596	0.1878887	0.267403	0.0739852	0.209615	0.146216	0.0523362	0.0681534	0.386955	0.6185	0.00874912	0.118352	0.0209648	0.120759	0.617045	1.39365	0.153758	0.1171652	0.0164962	0.503542	0.00221731	0.0191099	0.45403	0.00460454	0.09616769	0.000340354	0.0270937	0.351317	3.62125	0.295533	0.291905	0.131155	0.281407	0.2133329	0.450787
400	-3319.1	-3303.47	-15.6255	0.5063641	0.1850147	0.310413	0.0777168	0.231085	0.194298	0.0664082	0.0615779	0.613235	0.630156	0.0231798	0.124391	0.0593995	0.162136	0.235109	1.40416	0.1364797	-0.01253594	0.0114753	0.436804	0.00194689	0.0268897	0.509207	0.013678	0.1878746	0.000303618	0.0256023	0.343432	3.63066	0.29423	0.303296	0.127403	0.275071	0.1753387	1.071496
410	-3318.16	-3303.96	-14.2015	0.3713244	0.1934663	0.292575	0.0496801	0.309325	0.209042	0.219652	0.183148	0.609086	0.765393	0.18639	0.039825	0.0835767	0.369741	0.399202	1.17867	0.2658492	-0.005986231	0.0168227	0.427301	0.00346456	0.0139999	0.52841	0.0100021	0.2037928	0.000420706	0.0300933	0.366391	3.60309	0.305463	0.292505	0.129563	0.272468	0.1978065	1.030263
420	-3307.12	-3294.84	-12.2849	0.3609781	0.175087	0.482155	0.0243783	0.182711	0.304258	0.243914	0.0727114	0.531662	0.600121	0.252577	0.0936807	0.112083	0.139836	0.565982	1.02853	0.4039295	-0.08816114	0.0169346	0.478515	0.00457572	0.0167648	0.478225	0.00498541	0.126238	0.000198803	0.0207511	0.315606	3.66344	0.290889	0.29998	0.128572	0.280559	0.03807689	3.315345
430	-3309.22	-3296.52	-12.7031	0.3455998	0.1859865	0.582464	0.0210642	0.242011	0.237926	0.218595	0.234625	0.521112	0.727618	0.0954015	0.149756	0.0795961	0.301774	0.456604	0.964207	0.4214355	0.06824135	0.0129717	0.446408	0.00886599	0.00851869	0.518047	0.00518844	0.02952859	0.000315698	0.0261024	0.346107	3.62747	0.298581	0.280066	0.141151	0.280202	0.09776994	0.3020211
