Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
79	1	-3313.287	-3300.901	-12.38598	0.2278776	0.1700486	0.3145349	-0.06336529	0.012481	0.619155	0.00462199	0.00438827	0.354948	0.00440532	0.1026849	0.000157346	0.0184759	0.301154	3.68021	0.284017	0.300162	0.141931	0.27389	0.03931963	2.611543
80	0	-3319.765	-3307.293	-12.47218	0.2599061	0.2040595	0.3147261	-0.09935245	0.0163753	0.580718	0.0114494	0.00187473	0.373477	0.0161054	0.1255443	0.000609409	0.0361498	0.39417	3.56907	0.282294	0.285976	0.14213	0.2896	0.02619188	4.793254
81	1	-3315.734	-3303.33	-12.40353	0.1922288	0.193431	0.3474767	0.01134793	0.0193586	0.525627	0.00722669	0.00343545	0.440589	0.00376356	0.04715703	0.000420157	0.0300738	0.366297	3.60321	0.273609	0.318067	0.135176	0.273149	0.05850496	0.8060347
82	0	-3315.73	-3303.747	-11.98283	0.2364622	0.178013	0.3144442	-0.04991821	0.011281	0.54926	0.00468149	0.00477094	0.405382	0.0246251	0.07198323	0.000226341	0.0221312	0.323899	3.65374	0.283935	0.327857	0.127753	0.260456	0.02206502	3.262324
83	1	-3321.44	-3303.177	-18.26376	0.2037477	0.1908342	0.3747029	0.6451338	0.019569	0.463468	0.00532337	0.00324503	0.503929	0.00446571	0.04890231	0.000381252	0.0286607	0.359315	3.61164	0.2875	0.305505	0.135475	0.27152	0.6940361	0.07046076
84	0	-3323.788	-3310.669	-13.11901	0.2706001	0.1890189	0.2847923	0.163733	0.0112647	0.604546	0.000696624	0.00807994	0.347814	0.0275989	0.04676976	0.000355649	0.0276903	0.354396	3.61756	0.28501	0.320171	0.118723	0.276096	0.2105027	0.2221812
85	1	-3315.983	-3301.329	-14.65437	0.2120597	0.1660139	0.3358993	0.0052842	0.011491	0.55473	0.00368386	0.00860639	0.410436	0.0110527	0.1874321	0.00012914	0.0167487	0.289432	3.69369	0.291335	0.28956	0.136124	0.28298	0.1927163	0.9725804
86	0	-3316.591	-3304.586	-12.00544	0.258585	0.23364	0.281597	0.02781531	0.0221174	0.439953	0.00511936	0.0121591	0.499953	0.0206985	0.05332531	0.00143494	0.0551565	0.465692	3.47772	0.280664	0.296879	0.149489	0.272969	0.08114063	0.6571962
87	1	-3317	-3302.164	-14.83616	0.2120597	0.1997392	0.3431691	0.2703951	0.0109303	0.519687	0.00152774	0.00627701	0.438124	0.0234531	0.06110271	0.000526432	0.0336252	0.382977	3.58287	0.303513	0.303916	0.130194	0.262377	0.3314978	0.1843231
88	0	-3317.904	-3304.876	-13.02792	0.258585	0.1928933	0.2797209	-0.1276643	0.0246582	0.501702	0.00551819	0.00505594	0.453519	0.00954672	0.1873346	0.000411877	0.0297789	0.364857	3.60495	0.279331	0.320492	0.128806	0.27137	0.05967028	3.139495
89	1	-3318.008	-3305.485	-12.52285	0.2120597	0.1891502	0.3417204	0.07790843	0.0156651	0.537596	0.00497803	0.0114973	0.412918	0.0173456	0.02359368	0.000357458	0.0277601	0.354753	3.61713	0.315792	0.306577	0.127515	0.250115	0.1015021	0.2324452
90	0	-3323.816	-3310.715	-13.10089	0.2510784	0.1788298	0.3141589	-0.1673699	0.0128709	0.519805	0.0153348	0.00090795	0.438238	0.0128437	0.1944938	0.000234509	0.022524	0.326201	3.65104	0.31063	0.301022	0.148664	0.239684	0.02712394	7.170559
91	1	-3313.864	-3301.615	-12.24929	0.3165006	0.2272629	0.2574996	-0.05630917	0.0155624	0.546386	0.00764776	0.0065557	0.419669	0.0041788	0.1202458	0.00121579	0.0508346	0.451024	3.49693	0.290166	0.300431	0.129796	0.279607	0.06393663	1.880703
92	0	-3325.074	-3311.178	-13.89604	0.220292	0.2376323	0.2844491	0.2635957	0.0217122	0.497707	0.0089923	0.00296729	0.45248	0.0161411	0.04319077	0.0015846	0.0579152	0.474668	3.46583	0.265958	0.302199	0.145645	0.286198	0.3067865	0.1407845
93	1	-3317.14	-3305.59	-11.54989	0.2976271	0.1760583	0.2534121	0.001431097	0.0181403	0.485717	0.00468707	0.0139548	0.461364	0.016137	0.0554152	0.000207651	0.0212045	0.318367	3.66022	0.279549	0.305654	0.132319	0.282478	0.05684629	0.9748251
94	0	-3315.362	-3302.894	-12.46712	0.2088594	0.1647514	0.3950048	0.02572199	0.0165738	0.483048	0.00362072	0.00313007	0.485269	0.00835912	0.01654274	0.000121157	0.0162259	0.285739	3.69791	0.292172	0.297721	0.133227	0.27688	0.04226474	0.3914077
95	1	-3314.787	-3301.809	-12.97804	0.2537143	0.2155379	0.3262696	-0.09892046	0.00984675	0.53026	0.00624372	0.0149127	0.432206	0.00653085	0.1475153	0.000873743	0.0431926	0.422982	3.53295	0.286821	0.294568	0.142799	0.275812	0.04859486	3.035615
96	0	-3316.774	-3302.39	-14.38389	0.2600777	0.1983315	0.3185149	-0.1771076	0.0177436	0.459909	0.00321008	0.015763	0.496916	0.00645859	0.2707107	0.000501221	0.0328185	0.379289	3.58739	0.289563	0.29407	0.143587	0.27278	0.09360309	2.892112
