Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
30	0	-3982.43	-3728.76	-253.67	7.854944	0.5477365	0.03239699	-0.07956298	0.218249	0.372019	0.00218172	0.0184304	0.265002	0.124119	13.20066	0.08623928	1	47.55197	0.2139376	0.042541	0.281942	0.852119	2.8234	0.228549	0.303305	0.154918	0.313228	0.006676296	12.91723
31	1	-3609.07	-3416.25	-192.824	5.927699	0.56277	0.01614195	0.08562126	0.0559302	0.384196	0.00251385	0.00167628	0.492056	0.0636272	10.19409	0.08198352	2	44.35367	0.2515764	0.0455319	0.290933	0.861068	2.80247	0.298122	0.271345	0.147782	0.282751	0.1676048	0.4891478
32	0	-3901.19	-3656.31	-244.881	7.854944	0.5272539	0.02958376	-0.05852794	0.102734	0.704406	0.00101906	0.00867551	0.124741	0.0584248	13.20066	0.06817027	1	47.98493	0.2139376	0.0385436	0.269336	0.839129	2.85299	0.250947	0.308465	0.12203	0.318557	0.009642323	7.069901
33	1	-3602.81	-3416.45	-186.364	5.927699	0.5467126	0.01598001	0.08500552	0.0534219	0.366967	0.00139508	0.0016011	0.515842	0.0607737	10.19409	0.1200896	3	43.63557	0.2634387	0.042339	0.281321	0.851492	2.82485	0.316851	0.264105	0.143838	0.275206	0.2050952	0.5855313
34	0	-3820.72	-3585.08	-235.634	5.708975	0.5272539	0.01987487	-0.04579955	0.0982967	0.673984	0.000603781	0.00830083	0.162913	0.0559016	13.20066	0.05802882	0	47.70723	0.2515839	0.0385436	0.269336	0.839129	2.85299	0.233219	0.314229	0.128043	0.324509	0.01222928	4.745074
35	1	-3603.76	-3415.13	-188.63	6.964223	0.5467126	0.01495606	0.0511174	0.0518775	0.385645	0.000977871	0.00155481	0.500929	0.0590168	10.10206	0.1195052	3	43.98772	0.2634387	0.042339	0.281321	0.851492	2.82485	0.313962	0.261696	0.142527	0.281815	0.1706226	0.7004066
36	0	-3742.76	-3512.51	-230.253	5.708975	0.5210535	0.01935806	-0.05516508	0.0872653	0.598346	0.000400001	0.00736926	0.268282	0.0383376	13.20066	0.06899054	0	48.67373	0.2515839	0.0373531	0.265438	0.835003	2.86221	0.249076	0.30773	0.125395	0.317798	0.01382546	4.990109
37	1	-3589.26	-3400.07	-189.192	5.316416	0.5155888	0.01571015	0.08448693	0.0445004	0.460806	0.000838816	0.00181235	0.454026	0.038016	10.10206	0.1221638	3	42.70857	0.2634387	0.0363122	0.261971	0.831288	2.87043	0.282013	0.277685	0.148019	0.292284	0.2066508	0.5911608
38	0	-3726.2	-3498.48	-227.726	5.708975	0.4972415	0.01775239	-0.05328038	0.0872903	0.598517	0.00040711	0.00707743	0.268359	0.0383486	13.20066	0.06736114	0	47.64275	0.2620197	0.0328776	0.250111	0.818251	2.89876	0.249076	0.30773	0.125395	0.317798	0.01408077	4.783912
39	1	-3579.4	-3392.13	-187.269	7.856687	0.4442028	0.01696055	0.02962026	0.0444924	0.460724	0.000838666	0.00199155	0.453944	0.0380092	10.39904	0.1307209	3	42.72803	0.2634387	0.0235734	0.213939	0.775003	2.98748	0.27485	0.296032	0.144259	0.284859	0.1603412	0.8152673
40	0	-3716.43	-3490.58	-225.85	5.708975	0.4730884	0.01775239	-0.03743842	0.0872363	0.598147	0.000367299	0.0077318	0.268193	0.0383249	12.6373	0.05828931	0	48.20221	0.2386518	0.0285149	0.233984	0.799654	2.93785	0.249076	0.30773	0.125395	0.317798	0.02085089	2.795531
41	1	-3581.07	-3392.99	-188.076	9.047766	0.4554404	0.01765603	0.02573039	0.0445091	0.460896	0.00109457	0.00136332	0.454114	0.0380234	10.39904	0.1503966	2	43.27007	0.2427574	0.025457	0.221834	0.784928	2.96778	0.279297	0.300822	0.146593	0.273287	0.176127	0.85391
42	0	-3704.03	-3486.01	-218.022	6.111414	0.4375339	0.01775239	-0.03581939	0.0872496	0.598238	0.000214403	0.00773298	0.268234	0.0383307	12.55042	0.06403134	0	48.12614	0.2386518	0.0224806	0.209197	0.7689	2.99942	0.244201	0.313008	0.131214	0.311578	0.02821195	2.269653
43	1	-3571.03	-3385.4	-185.631	9.047766	0.4467539	0.01621509	0.01611057	0.0445221	0.461031	0.00131597	0.000849403	0.454247	0.0380346	10.14204	0.1325536	3	43.2951	0.2427574	0.0239964	0.215742	0.777295	2.98297	0.279037	0.296106	0.148331	0.276527	0.1486642	0.8916311
44	0	-3695.96	-3480.96	-215.002	5.699931	0.3952647	0.01780724	-0.0305702	0.0872496	0.598238	0.000214403	0.00773298	0.268234	0.0383307	12.55042	0.06403134	0	48.62645	0.2613649	0.0160372	0.17821	0.726105	3.07965	0.243059	0.311545	0.135275	0.310121	0.03346114	1.913603
45	1	-3570.2	-3383.27	-186.931	6.066463	0.4538354	0.01728083	0.0681232	0.0445246	0.461056	0.00131605	0.000793807	0.454272	0.0380367	10.43991	0.08190285	4	43.268	0.2276201	0.0251848	0.220714	0.783537	2.97056	0.282951	0.300259	0.136385	0.280405	0.1500261	0.5459242
46	0	-3665.89	-3448.49	-217.404	5.898385	0.3857527	0.01814592	-0.04443127	0.0794989	0.545094	0.000195357	0.00704603	0.338992	0.0291737	12.55042	0.0778924	0	48.06864	0.2613649	0.0147138	0.171035	0.715391	3.09886	0.245791	0.303806	0.136796	0.313607	0.03346114	2.327847
47	1	-3565.6	-3379.11	-186.496	6.066463	0.4398462	0.01535845	0.1466171	0.0357332	0.465299	0.00132816	0.000801111	0.458452	0.0383866	10.43991	0.102744	4	42.52796	0.2276201	0.0228573	0.210846	0.771035	2.99526	0.291891	0.278149	0.140694	0.289265	0.2493612	0.412029
48	0	-3665.98	-3450.01	-215.97	6.527621	0.3913216	0.01627656	-0.06126836	0.077561	0.531807	0.000190595	0.00687427	0.350477	0.0330902	12.55042	0.09041702	0	47.55462	0.2613649	0.0154826	0.175244	0.721716	3.08756	0.242417	0.30832	0.139962	0.309301	0.02914866	3.101927
49	1	-3562.81	-3378.96	-183.85	5.353396	0.420303	0.0144928	0.05186203	0.0356959	0.464813	0.00132677	0.000800275	0.457974	0.03939	10.87819	0.1556976	3	41.88915	0.2276201	0.0197491	0.196753	0.752348	3.03115	0.287112	0.289968	0.138391	0.284529	0.2075597	0.7501344
50	0	-3653.45	-3441.82	-211.634	7.081769	0.3785767	0.01625053	-0.05518628	0.077561	0.531807	0.000190595	0.00687427	0.350477	0.0330902	11.41986	0.09532292	0	46.37875	0.2613649	0.013749	0.16558	0.707017	3.11365	0.24878	0.290164	0.143636	0.31742	0.04013664	2.37496
51	1	-3557.54	-3375.75	-181.789	5.353396	0.418245	0.01405424	0.02322273	0.027401	0.425331	0.000952437	0.000614309	0.515465	0.0302367	10.87819	0.1558238	3	41.53554	0.2425017	0.0194321	0.195249	0.750292	3.03503	0.289276	0.289088	0.137971	0.283666	0.1790465	0.8702978
52	0	-3650.58	-3439.09	-211.488	7.081769	0.3608365	0.01625053	-0.05120175	0.0760623	0.532554	0.000394665	0.00688392	0.350969	0.0331367	11.41986	0.09820031	1	45.81856	0.2613649	0.0114934	0.151957	0.685169	3.15138	0.259479	0.284752	0.149813	0.305956	0.04699856	2.089432
53	1	-3554.02	-3371.63	-182.391	5.226596	0.4020425	0.0163572	0.0771311	0.0233261	0.427352	0.000631561	0.000394407	0.517915	0.0303804	10.87819	0.1499103	6	41.48747	0.2409848	0.0170102	0.18328	0.733481	3.06623	0.286116	0.28593	0.147386	0.280567	0.2270414	0.6602773
54	0	-3647.93	-3438.49	-209.433	7.081769	0.3403879	0.01625053	-0.004813444	0.0757439	0.530324	0.000393012	0.0068551	0.349499	0.0371846	11.25458	0.07105024	1	46.21344	0.2615422	0.0091353	0.136065	0.657794	3.197	0.259479	0.284752	0.149813	0.305956	0.0662368	1.07267
55	1	-3547.01	-3368.5	-178.506	5.21338	0.3747568	0.0163572	-0.00318341	0.0223074	0.48911	0.000603979	0.000377182	0.458548	0.0290536	10.87819	0.2036257	6	41.09147	0.281837	0.0132475	0.162663	0.702453	3.12164	0.290808	0.284051	0.146417	0.278724	0.2004423	1.015882
56	0	-3616.72	-3411.79	-204.933	7.081769	0.3403879	0.02274233	0.01000176	0.0619643	0.433846	0.000342543	0.00404073	0.477911	0.021895	11.25458	0.1056507	1	46.21344	0.2807943	0.0091353	0.136065	0.657794	3.197	0.253989	0.296503	0.150026	0.299482	0.1156524	0.9135188
57	1	-3545.75	-3367.69	-178.053	5.21338	0.3816685	0.01713938	0.03864307	0.0241854	0.451621	0.000654828	0.000147098	0.498578	0.0248131	10.87819	0.2016654	6	41.03321	0.281837	0.0141611	0.167935	0.710656	3.10725	0.290543	0.289155	0.136571	0.283732	0.2403084	0.8391939
58	0	-3604.89	-3401.97	-202.923	7.081769	0.334261	0.02020917	-0.01471996	0.0470847	0.329666	0.000260287	0.00211299	0.606791	0.0140849	11.25458	0.1056507	1	47.27554	0.2807943	0.00848152	0.131278	0.649099	3.21114	0.299386	0.278459	0.140897	0.281258	0.09093072	1.161881
59	1	-3546.06	-3366.38	-179.685	5.171627	0.3511052	0.01498839	-0.01684652	0.0241859	0.45163	0.00065484	0.000127835	0.498588	0.0248136	10.87819	0.1708197	4	40.25547	0.281837	0.010338	0.144414	0.672449	3.1728	0.285199	0.283837	0.152452	0.278513	0.1539732	1.109412
60	0	-3593.95	-3393.94	-200.015	7.008578	0.334261	0.02157139	0.001819218	0.040906	0.440678	0.000365548	0.00183571	0.503978	0.0122366	11.25458	0.09857666	1	46.56717	0.3088233	0.00848152	0.131278	0.649099	3.21114	0.280107	0.286122	0.144774	0.288997	0.1003959	0.9818796
61	1	-3544.52	-3365.52	-179.007	5.752824	0.3449634	0.01677201	-0.01815321	0.0244691	0.445084	0.000787273	0.000129331	0.504426	0.0251042	11.39389	0.1721264	6	40.32352	0.281837	0.00963965	0.139634	0.664136	3.18659	0.285199	0.283837	0.152452	0.278513	0.1539732	1.117898
62	0	-3593.56	-3394.26	-199.299	5.893473	0.334261	0.02157139	-0.01419124	0.0381688	0.477499	0.000341087	0.00171288	0.470254	0.0120241	11.25458	0.1065135	1	46.92131	0.3088233	0.00848152	0.131278	0.649099	3.21114	0.280107	0.286122	0.144774	0.288997	0.0923223	1.153714
63	1	-3544.71	-3365.39	-179.324	5.11381	0.3368961	0.01608172	0.01488821	0.0241383	0.457031	0.000770017	0.000136789	0.49337	0.0245539	11.39389	0.1659677	6	40.00701	0.281837	0.00875965	0.133338	0.652868	3.20503	0.295663	0.294251	0.15668	0.253406	0.180856	0.9176792
64	0	-3592.54	-3391.35	-201.184	5.893473	0.3171343	0.02157139	0.01227176	0.038171	0.477526	0.000341106	0.00165617	0.470281	0.0120248	11.25458	0.08005055	1	46.74292	0.3328488	0.00678775	0.117873	0.623487	3.25185	0.280107	0.286122	0.144774	0.288997	0.0923223	0.867077
65	1	-3545.01	-3364.95	-180.057	5.191942	0.3476572	0.01655577	0.0153234	0.0221637	0.457916	0.000868804	0.000124759	0.494325	0.0246015	11.39389	0.1655325	4	40.50394	0.281837	0.00994294	0.141732	0.66781	3.18051	0.295663	0.294251	0.15668	0.253406	0.180856	0.9152729
66	0	-3590.11	-3389.3	-200.807	5.893473	0.3041429	0.0199714	0.03497014	0.0381777	0.477611	0.000412326	0.0014078	0.470364	0.012027	10.81237	0.06891888	1	48.20508	0.3328488	0.00563739	0.107722	0.602695	3.28395	0.276363	0.282297	0.156206	0.285134	0.103889	0.6633895
67	1	-3548.87	-3369.44	-179.435	5.191942	0.3545983	0.01553235	0.08019046	0.0307348	0.392454	0.000963871	0.00013841	0.548416	0.0272934	10.9819	0.1357674	5	40.08764	0.2776737	0.0107459	0.147127	0.677077	3.16505	0.286019	0.284653	0.15157	0.277759	0.2159578	0.6286753
68	0	-3588.54	-3386.24	-202.295	9.183544	0.2940877	0.0199714	0.03849888	0.0381849	0.477701	0.000412403	0.00122101	0.470452	0.0120292	10.81237	0.0613961	1	47.47152	0.3328488	0.00482799	0.0999042	0.585739	3.30953	0.286566	0.283762	0.143058	0.286614	0.09989498	0.6146065
