Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_cytb[5]	rates_cytb[6]	rates_cytb[7]	rates_cytb[8]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
220	-3300.63	-3303.73	3.09738	0.5785381	0.2714342	0.320611	0.133975	0.0999241	0.337892	0.195778	0.135757	0.114262	0.366631	0.142348	0.423615	0.0965108	0.155279	0.0921193	0.158981	0.1636468	-0.05151881	0.0244068	0.452383	0.00438804	0.0109026	0.507237	0.000681867	0.08396716	0.000253551	0.00627567	0.0373706	0.127727	0.332708	0.756416	1.66947	5.06978	0.303559	0.304589	0.125171	0.266681	0.03244835	2.587717
230	-3306.54	-3311.52	4.98342	0.4983069	0.2847996	0.151579	0.182569	0.126965	0.27416	0.192349	0.250679	0.191468	0.312006	0.15086	0.209763	0.166664	0.185878	0.148438	0.233735	0.197849	-0.09629621	0.0408167	0.449051	0.00440323	0.0199345	0.485223	0.000571509	0.1217867	0.00036262	0.00792432	0.0437137	0.141757	0.35521	0.78353	1.68628	4.98122	0.300325	0.270624	0.14102	0.28803	0.0254905	4.77773
240	-3306.82	-3307.44	0.614951	0.4619275	0.2485883	0.270927	0.21751	0.0838432	0.290851	0.218024	0.357635	0.152053	0.30922	0.111482	0.197338	0.220043	0.349461	0.144289	0.340511	0.2264692	-0.09980759	0.0331174	0.439264	0.00881969	0.0173465	0.500672	0.000779804	0.1246308	0.000125781	0.00396745	0.0274251	0.10392	0.292154	0.704844	1.63406	5.2335	0.299527	0.293185	0.138725	0.268563	0.0248232	5.020738
250	-3304.69	-3303.16	-1.53136	0.4851454	0.2538486	0.150269	0.0937519	0.134743	0.34318	0.179324	0.194878	0.133936	0.249161	0.0742525	0.201673	0.149976	0.444636	0.332788	0.639449	0.1564916	-0.0001909338	0.0196536	0.534488	0.00615814	0.0138457	0.424946	0.00090861	0.05918085	0.000149482	0.00444251	0.0296043	0.109362	0.30172	0.717344	1.64305	5.19433	0.301324	0.282256	0.136844	0.279576	0.05898992	1.003237
260	-3311.6	-3308.63	-2.96792	0.4308971	0.2292737	0.17694	0.278248	0.130746	0.325343	0.178447	0.235359	0.0391071	0.194369	0.109597	0.223754	0.0604969	0.289551	0.463619	0.464739	0.1830361	0.16917	0.0242402	0.472181	0.0107352	0.00483066	0.486904	0.00110877	0.009158974	6.23336e-05	0.00250225	0.0200635	0.0843078	0.255937	0.65545	1.596	5.38568	0.302113	0.303438	0.125152	0.269297	0.178329	0.05135999
270	-3302.37	-3301.69	-0.684178	0.5494871	0.2397129	0.167077	0.191108	0.113998	0.393587	0.24401	0.255108	0.0473732	0.280785	0.100883	0.16731	0.0650714	0.141276	0.356695	0.310199	0.20164	0.1591387	0.0220734	0.528584	0.00611431	0.00101956	0.440279	0.00192991	0.01470695	9.23914e-05	0.0032406	0.0239129	0.094823	0.275717	0.68285	1.61762	5.30175	0.280407	0.299611	0.131393	0.288589	0.1738456	0.08459775
280	-3302.38	-3301.18	-1.20601	0.5570168	0.2615726	0.159246	0.143049	0.125804	0.269807	0.209456	0.256839	0.0666216	0.244834	0.107999	0.117776	0.42407	0.1124	0.640487	0.517201	0.200842	-0.007559872	0.0207153	0.442058	0.00822508	0.00262615	0.522089	0.00428679	0.02244362	0.000190192	0.0052009	0.0329279	0.117403	0.315522	0.735005	1.65531	5.13844	0.286874	0.294139	0.134886	0.284101	0.01488375	1.507928
290	-3304.35	-3305.58	1.23378	0.5284884	0.2193919	0.173556	0.164507	0.0665828	0.274624	0.191171	0.233291	0.0473609	0.254813	0.135384	0.0694212	0.259383	0.176176	0.35042	0.432608	0.1728779	-0.01973253	0.0191163	0.491938	0.010862	0.00271174	0.470174	0.00519807	0.03210417	4.14865e-05	0.00191407	0.0167189	0.074597	0.236809	0.627899	1.573	5.46902	0.301713	0.309818	0.128215	0.260255	0.01237164	2.594981
300	-3307.44	-3303.15	-4.28932	0.4647242	0.2376535	0.303366	0.161215	0.122721	0.257019	0.331892	0.298776	0.0707989	0.433076	0.111447	0.104999	0.503156	0.232775	0.144861	0.244808	0.2087056	0.1190085	0.0137528	0.408145	0.00694097	0.00162268	0.559255	0.0102834	0.1761406	8.5725e-05	0.00308511	0.0231288	0.0927311	0.271852	0.677578	1.61355	5.31798	0.291669	0.316654	0.133575	0.258102	0.2951491	0.5967852
310	-3305.69	-3302.56	-3.12923	0.4460033	0.2072089	0.328288	0.169794	0.166169	0.252995	0.288621	0.20278	0.0648049	0.34584	0.122579	0.0990473	0.392809	0.315232	0.271964	0.478642	0.2257804	0.1122184	0.012655	0.472613	0.0113211	0.00290791	0.488289	0.0122136	0.07965325	2.3803e-05	0.00132703	0.0130204	0.0630497	0.212775	0.591643	1.54076	5.5774	0.294089	0.318223	0.139504	0.248183	0.1918716	0.4151382
320	-3303.85	-3302.63	-1.22621	0.4740407	0.2009632	0.28618	0.1756	0.121004	0.324002	0.165944	0.242361	0.0738986	0.669924	0.138547	0.165644	0.232762	0.221973	0.356153	0.253264	0.2514193	-0.01170885	0.00949107	0.393572	0.00628674	0.00322048	0.583041	0.00438824	0.0573308	1.74408e-05	0.0010807	0.0113137	0.0573523	0.200304	0.572031	1.52236	5.63555	0.305099	0.300574	0.147295	0.247032	0.04562195	1.25665
330	-3298.85	-3297.37	-1.4834	0.4567822	0.1735147	0.342933	0.164355	0.144181	0.322571	0.192544	0.258858	0.0967853	0.621047	0.101736	0.281438	0.136975	0.401025	0.231758	0.27411	0.2104743	-0.06997269	0.0115421	0.41475	0.00273898	0.00683778	0.559581	0.00454968	0.1116558	3.4074e-06	0.000366755	0.00538078	0.0346737	0.145107	0.47713	1.42317	5.91417	0.28327	0.318277	0.136912	0.261541	0.0416831	2.678682
340	-3312.43	-3308.92	-3.51285	0.6169149	0.2127477	0.450981	0.12176	0.176828	0.287995	0.236757	0.118864	0.0987529	0.573201	0.117466	0.323342	0.276587	0.441569	0.266461	0.170157	0.204546	0.1100894	0.0143422	0.429636	0.00763725	0.0106933	0.534999	0.00269161	0.07630658	3.08858e-05	0.00157581	0.0146422	0.068234	0.223756	0.608449	1.55598	5.52733	0.30763	0.311256	0.115904	0.265211	0.186396	0.4093789
350	-3310.14	-3305.99	-4.15354	0.4885889	0.2254019	0.441746	0.101262	0.156261	0.286061	0.145049	0.163056	0.166033	0.672673	0.145693	0.537772	0.177914	0.225728	0.281417	0.199516	0.2400743	0.1081023	0.00988014	0.532035	0.00522475	0.00438581	0.443244	0.00523005	0.1153233	5.33698e-05	0.00225931	0.0187173	0.0804711	0.248486	0.644847	1.5873	5.41787	0.273527	0.29755	0.149445	0.279478	0.2234255	0.5161597
