Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
55	-3489.91	-3314.99	-174.926	6.217404	0.2490167	0.01586845	0.06587073	0.0237612	0.470205	0.00891705	0.000386243	0.480305	0.0164253	12.96732	0.1772419	5	37.65941	0.5088672	0.00206625	0.0659808	0.499407	3.43255	0.276086	0.295167	0.154531	0.274216	0.2431127	0.7290526
56	-3492.99	-3315.89	-177.105	6.219235	0.2478594	0.01491698	0.1027932	0.0268445	0.53122	0.0100742	0.000436363	0.417263	0.0141614	12.56048	0.1403195	4	37.95923	0.5088672	0.00201349	0.0651485	0.49695	3.43589	0.272138	0.290946	0.152321	0.284594	0.2431127	0.5771789
57	-3495.48	-3316.32	-179.154	5.917425	0.2517355	0.01531847	0.1151562	0.0286818	0.529783	0.00865924	0.000435183	0.416135	0.0163059	12.56048	0.1403195	4	38.37086	0.612268	0.00219363	0.0679461	0.505131	3.42473	0.272138	0.290946	0.152321	0.284594	0.2554757	0.5492479
58	-3488	-3314.99	-173.015	5.434112	0.2525946	0.01478111	0.08141202	0.0206107	0.534185	0.00873119	0.000438799	0.419593	0.0164413	12.87536	0.1415848	4	38.36812	0.612268	0.00223489	0.06857	0.506925	3.42227	0.308973	0.282446	0.1323	0.27628	0.2229969	0.6349185
59	-3484.33	-3314.92	-169.408	5.434112	0.2523384	0.01550435	0.01725216	0.0194171	0.534836	0.00874183	0.000439334	0.420104	0.0164614	12.50861	0.1509845	4	38.26441	0.4906413	0.00222253	0.0683838	0.506391	3.423	0.286202	0.287661	0.144755	0.281381	0.1682367	0.897453
60	-3487.31	-3315.8	-171.512	5.434112	0.2521922	0.01600052	0.03975498	0.0194332	0.535278	0.00874905	0.000528584	0.420451	0.0155598	12.2902	0.150767	4	38.05158	0.6135387	0.0022155	0.0682776	0.506086	3.42342	0.285578	0.287034	0.146619	0.280768	0.190522	0.7913365
61	-3492.4	-3320.16	-172.241	5.434112	0.2570299	0.01556882	0.01847912	0.027266	0.530756	0.00867514	0.000975264	0.416899	0.0154283	10.87079	0.1916869	5	37.70704	0.6135387	0.00245571	0.0718117	0.516078	3.40965	0.285578	0.287034	0.146619	0.280768	0.210166	0.9120737
62	-3492.54	-3320.8	-171.74	5.434112	0.2460125	0.01597329	0.05298069	0.027266	0.530756	0.00867514	0.000975264	0.416899	0.0154283	10.66248	0.150103	5	37.30202	0.5207939	0.0019311	0.0638257	0.493001	3.44124	0.288283	0.289753	0.138538	0.283427	0.2030837	0.7391189
63	-3490.15	-3321.96	-168.188	5.434112	0.2499893	0.01613743	0.03937628	0.028239	0.51267	0.0103252	0.00101007	0.431777	0.0159789	10.66248	0.1272774	5	37.31507	0.4793227	0.00211126	0.0666822	0.501463	3.42974	0.271633	0.29421	0.146369	0.287788	0.1666537	0.7637239
64	-3489.84	-3322.38	-167.463	5.434112	0.2437058	0.01613743	0.1096115	0.0271682	0.49323	0.00993365	0.000971766	0.452833	0.015863	9.99374	0.1272774	5	38.35626	0.4793227	0.00183128	0.0621836	0.488023	3.44796	0.27329	0.296005	0.141163	0.289543	0.2368889	0.5372874
