Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
360	-3315.25	-3304.735	-10.51419	0.3600665	0.2326476	0.2254554	-0.0007196015	0.0188201	0.459529	0.00509174	0.0082934	0.504908	0.0033577	0.01315288	0.00139924	0.0544769	0.463436	3.48069	0.299746	0.304467	0.149789	0.245997	0.01243328	1.057877
370	-3317.558	-3306.21	-11.34762	0.3079029	0.2844277	0.2197115	0.06017312	0.0183775	0.564567	0.0076272	0.00965008	0.394111	0.00566693	0.03331967	0.00411732	0.0924496	0.5687	3.33473	0.297957	0.28177	0.140969	0.279304	0.09349278	0.3563876
380	-3313.535	-3302.311	-11.2239	0.2867725	0.2214789	0.255617	0.0693089	0.0134649	0.529931	0.01243	0.00264496	0.438001	0.00352841	0.00181369	0.00103749	0.0470125	0.437366	3.51458	0.31422	0.2864	0.129315	0.270066	0.07112259	0.02550089
390	-3316.693	-3304.726	-11.9674	0.2551031	0.2009565	0.3101477	0.04892137	0.0120431	0.449313	0.0142982	0.00110696	0.517496	0.00574288	0.02400725	0.000548947	0.0343291	0.38615	3.57897	0.282037	0.31788	0.150256	0.249827	0.07292862	0.3291883
400	-3319.765	-3307.293	-12.47218	0.2599061	0.2040595	0.3147261	-0.09935245	0.0163753	0.580718	0.0114494	0.00187473	0.373477	0.0161054	0.1255443	0.000609409	0.0361498	0.39417	3.56907	0.282294	0.285976	0.14213	0.2896	0.02619188	4.793254
410	-3315.73	-3303.747	-11.98283	0.2364622	0.178013	0.3144442	-0.04991821	0.011281	0.54926	0.00468149	0.00477094	0.405382	0.0246251	0.07198323	0.000226341	0.0221312	0.323899	3.65374	0.283935	0.327857	0.127753	0.260456	0.02206502	3.262324
420	-3323.788	-3310.669	-13.11901	0.2706001	0.1890189	0.2847923	0.163733	0.0112647	0.604546	0.000696624	0.00807994	0.347814	0.0275989	0.04676976	0.000355649	0.0276903	0.354396	3.61756	0.28501	0.320171	0.118723	0.276096	0.2105027	0.2221812
430	-3316.591	-3304.586	-12.00544	0.258585	0.23364	0.281597	0.02781531	0.0221174	0.439953	0.00511936	0.0121591	0.499953	0.0206985	0.05332531	0.00143494	0.0551565	0.465692	3.47772	0.280664	0.296879	0.149489	0.272969	0.08114063	0.6571962
440	-3317.904	-3304.876	-13.02792	0.258585	0.1928933	0.2797209	-0.1276643	0.0246582	0.501702	0.00551819	0.00505594	0.453519	0.00954672	0.1873346	0.000411877	0.0297789	0.364857	3.60495	0.279331	0.320492	0.128806	0.27137	0.05967028	3.139495
450	-3323.816	-3310.715	-13.10089	0.2510784	0.1788298	0.3141589	-0.1673699	0.0128709	0.519805	0.0153348	0.00090795	0.438238	0.0128437	0.1944938	0.000234509	0.022524	0.326201	3.65104	0.31063	0.301022	0.148664	0.239684	0.02712394	7.170559
460	-3325.074	-3311.178	-13.89604	0.220292	0.2376323	0.2844491	0.2635957	0.0217122	0.497707	0.0089923	0.00296729	0.45248	0.0161411	0.04319077	0.0015846	0.0579152	0.474668	3.46583	0.265958	0.302199	0.145645	0.286198	0.3067865	0.1407845
470	-3315.362	-3302.894	-12.46712	0.2088594	0.1647514	0.3950048	0.02572199	0.0165738	0.483048	0.00362072	0.00313007	0.485269	0.00835912	0.01654274	0.000121157	0.0162259	0.285739	3.69791	0.292172	0.297721	0.133227	0.27688	0.04226474	0.3914077
480	-3316.774	-3302.39	-14.38389	0.2600777	0.1983315	0.3185149	-0.1771076	0.0177436	0.459909	0.00321008	0.015763	0.496916	0.00645859	0.2707107	0.000501221	0.0328185	0.379289	3.58739	0.289563	0.29407	0.143587	0.27278	0.09360309	2.892112
490	-3318.708	-3306.017	-12.6912	0.299153	0.227811	0.2389937	0.2312539	0.0148729	0.566748	0.00110473	0.00556484	0.407659	0.00405039	0.01278378	0.00123368	0.0512018	0.452301	3.49526	0.297536	0.322198	0.121948	0.258317	0.2440377	0.05238446
500	-3320.265	-3307.511	-12.75383	0.302101	0.2396117	0.2437927	0.03593302	0.0164775	0.593333	0.000779254	0.00851029	0.365986	0.0149134	0.1111555	0.00166245	0.0592971	0.47906	3.45998	0.284849	0.313954	0.130477	0.27072	0.1470885	0.7557049
510	-3324.604	-3313.365	-11.23929	0.302101	0.2227973	0.2198506	0.09195477	0.0124671	0.507011	9.89847e-05	0.0507136	0.416427	0.0132827	0.01053819	0.00107646	0.0478751	0.440509	3.51054	0.297625	0.309994	0.134755	0.257625	0.102493	0.1028187
520	-3320.063	-3307.985	-12.07796	0.2969322	0.2376104	0.3123759	0.02112138	0.015604	0.444282	0.000100727	0.0221205	0.497892	0.0200007	0.04214214	0.00158375	0.0579	0.474619	3.4659	0.311709	0.290753	0.142394	0.255144	0.06326351	0.6661365
530	-3326.335	-3312.749	-13.58589	0.2654793	0.1379262	0.3108336	-0.2708429	0.0130305	0.59008	5.90813e-05	0.0185308	0.365616	0.0126834	0.2742593	2.36786e-05	0.00720003	0.205182	3.78759	0.310092	0.294269	0.125985	0.269654	0.003416422	80.27676
540	-3313.596	-3302.401	-11.19503	0.2503882	0.2207852	0.2900278	-0.01509654	0.0191289	0.518576	0.000138843	0.0150884	0.434597	0.0124711	0.0231303	0.00101738	0.0465608	0.435705	3.51672	0.294287	0.295751	0.121566	0.288396	0.008033763	2.879137
550	-3321.326	-3308.446	-12.87939	0.2396619	0.2003657	0.3731342	-0.02864533	0.010513	0.614122	0.00056279	0.0151716	0.351963	0.00766784	0.07871918	0.000537935	0.0339867	0.384612	3.58086	0.282022	0.320398	0.109018	0.288562	0.05007384	1.572062
560	-3316.878	-3303.575	-13.30305	0.2218123	0.1541927	0.3484462	-0.2035777	0.0115614	0.523553	0.00286374	0.0060878	0.436065	0.0198696	0.2075659	6.82003e-05	0.0121928	0.254433	3.73331	0.316583	0.300441	0.134116	0.24886	0.003988211	52.04486
570	-3323.614	-3307.507	-16.10698	0.2196324	0.1850702	0.3491032	0.2917351	0.0188231	0.518685	0.005453	0.00565016	0.421885	0.029503	0.1240215	0.000304299	0.0256308	0.343585	3.63048	0.263672	0.323198	0.136449	0.276681	0.4157566	0.2983032
580	-3318.05	-3304.909	-13.14075	0.2058663	0.2206575	0.3817462	0.1518496	0.0144798	0.430769	0.00604002	0.00403664	0.531665	0.0130099	0.002083121	0.0010137	0.0464778	0.435398	3.51711	0.30144	0.285734	0.140864	0.271962	0.1539328	0.01353267
590	-3316.446	-3303.745	-12.7007	0.1773254	0.1693999	0.3557986	0.05301408	0.0149836	0.529656	0.0016349	0.0010187	0.446407	0.00629931	0.04014679	0.000152523	0.0181924	0.299277	3.68238	0.289206	0.307004	0.12274	0.28105	0.09316086	0.4309405
600	-3320.962	-3307.175	-13.78666	0.2369047	0.1784511	0.3848375	0.2114836	0.00738992	0.524051	0.00253548	0.00707145	0.44856	0.0103923	0.006741127	0.000230696	0.0223415	0.325135	3.65229	0.279226	0.302077	0.128005	0.290693	0.2182247	0.03089076
