Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
22	0	-3286.224	-3297.516	11.29152	2.681569	0.1583762	0.0199851	0.0184365	0.0300417	0.0317411	0.0248443	0.04224	0.0469188	0.0690735	0.0163282	0.0654642	0.0534719	0.0152703	0.0675087	0.0422366	0.03400769	0.05508575	0.0138753	0.519757	0.00732429	0.00847635	0.447644	0.00292355	7.33374	0.06094209	-3.381168	8.64284e-05	0.0137175	0.266921	3.71928	0.284577	0.305656	0.137339	0.272428	0.1160278	0.5252368
23	1	-3293.412	-3305.25	11.8375	3.872836	0.1907316	0.0103466	0.0194122	0.0280746	0.0155346	0.0177424	0.0245052	0.0435066	0.0254928	0.0130602	0.0426444	0.0177219	0.0192605	0.0119674	0.00804842	0.02866751	0.04502135	0.016712	0.531956	0.0102055	0.00522553	0.434282	0.00161961	21.79621	0.1189073	-3.551991	0.000379771	0.0286055	0.359038	3.61198	0.301731	0.293008	0.135297	0.269964	0.1639286	0.7253601
24	0	-3291.78	-3301.703	9.923096	2.67281	0.1853844	0.0289392	0.0256793	0.0323457	0.0239811	0.0301501	0.0604147	0.0635168	0.0530594	0.0194551	0.0506428	0.0396203	0.0144308	0.0530428	0.085869	0.04870725	0.08178925	0.0115672	0.56828	0.006554	0.00754363	0.40504	0.00101478	5.641251	0.04956069	-3.021927	0.000308173	0.025792	0.344451	3.62945	0.268551	0.30745	0.148414	0.275584	0.1313499	0.3773179
25	1	-3291.508	-3309.037	17.52824	4.051269	0.1366576	0.0155087	0.0150136	0.0306115	0.0156237	0.0120477	0.0131726	0.0447198	0.0177967	0.0138883	0.0212049	0.0247954	0.0116921	0.0133866	0.00619017	0.01866161	-0.009292759	0.0146668	0.578707	0.00891933	0.00626666	0.389643	0.00179683	26.22681	0.1180138	-3.981287	2.15734e-05	0.00687361	0.201317	3.79179	0.286511	0.310861	0.137969	0.26466	0.1087211	1.085473
26	0	-3289.643	-3298.387	8.744328	2.741348	0.2195014	0.0341813	0.0204393	0.0453224	0.0124717	0.0295102	0.0623095	0.0533944	0.0514386	0.0285197	0.0590116	0.0342867	0.0174789	0.0730327	0.152879	0.04162844	0.02199496	0.0170521	0.490584	0.0037006	0.0158041	0.472307	0.000551507	5.061759	0.05386022	-3.178972	0.000980851	0.0457287	0.432618	3.52067	0.294328	0.283976	0.141293	0.280403	0.07585518	0.7100401
27	1	-3283.3	-3299.252	15.95224	3.838217	0.1380104	0.0166626	0.0151061	0.0287261	0.0241485	0.0102487	0.0210376	0.0496687	0.0186598	0.016027	0.0124827	0.0248281	0.0208938	0.0134238	0.00753478	0.02153453	0.07764484	0.0128195	0.543616	0.00337258	0.00305616	0.435991	0.00114512	30.14495	0.06956873	-3.838098	2.3824e-05	0.00722203	0.205438	3.78732	0.295554	0.299176	0.138074	0.267195	0.1472136	0.4725701
28	0	-3293.511	-3305.226	11.71501	2.890422	0.1891101	0.0304842	0.0220801	0.0525507	0.0170747	0.0269976	0.051183	0.0546926	0.0460017	0.0189132	0.0500486	0.0159154	0.0224485	0.0490511	0.142654	0.03943165	0.01733009	0.0132081	0.508835	0.0115754	0.022398	0.443368	0.00061546	4.838174	0.03019366	-3.233186	0.000356905	0.0277388	0.354644	3.61726	0.293345	0.315383	0.119189	0.272083	0.04752375	0.6353383
29	1	-3289.093	-3301.159	12.06611	3.467919	0.1645836	0.020937	0.0238836	0.0321343	0.0230617	0.0200783	0.0180924	0.0397895	0.0204782	0.0177068	0.0145064	0.0199984	0.02306	0.0153667	0.015727	0.03379921	-0.1049318	0.0143302	0.458671	0.00261667	0.00555698	0.516299	0.00252537	25.01619	0.2111084	-3.387318	0.000120125	0.0161571	0.285248	3.69848	0.338766	0.276228	0.13006	0.254947	0.1061766	1.988277
30	0	-3287.522	-3299.264	11.74216	2.870255	0.1849064	0.0229106	0.0280028	0.0375362	0.0251104	0.0304109	0.051638	0.0627637	0.0626011	0.0177266	0.0467887	0.0194075	0.0309381	0.0740779	0.0560148	0.04319604	0.1034753	0.0142006	0.611456	0.00886947	0.0161765	0.34645	0.00284686	5.252695	0.05941142	-3.142006	0.000302293	0.0255469	0.343133	3.63102	0.297098	0.288407	0.135988	0.278506	0.1628867	0.3647407
31	1	-3286.231	-3298.057	11.82663	3.467919	0.1619231	0.0171882	0.0333214	0.0454526	0.0315731	0.0265681	0.0242239	0.0328686	0.0165376	0.0182741	0.00977188	0.0187913	0.0219298	0.0151169	0.0101693	0.02822928	0.09084972	0.0126751	0.558303	0.000840563	0.00944834	0.41635	0.00238286	30.80889	0.1789133	-3.567395	0.00010464	0.0150858	0.277425	3.70738	0.280189	0.309766	0.133552	0.276493	0.269763	0.663224
32	0	-3284.687	-3298.139	13.4514	2.770481	0.1734267	0.0248638	0.0278492	0.0365895	0.024573	0.0274247	0.0456818	0.0967721	0.0744182	0.014982	0.018886	0.0139185	0.042921	0.0622444	0.0437786	0.03332444	0.05895666	0.0143095	0.476002	0.0108046	0.0158011	0.479519	0.00356434	4.328803	0.02157323	-3.401464	0.000184335	0.0199871	0.310867	3.66896	0.289902	0.308113	0.135892	0.266093	0.08052988	0.2678909
33	1	-3285.047	-3300.105	15.05876	3.467919	0.176535	0.0274029	0.0281284	0.0400599	0.0296646	0.0250237	0.027303	0.0304647	0.0179744	0.0143841	0.0136558	0.034744	0.0225847	0.0117214	0.00858177	0.02129793	0.1933595	0.012238	0.54387	0.00261738	0.0037004	0.435297	0.00227785	30.01201	0.05452937	-3.849145	0.000212099	0.0214288	0.319719	3.65864	0.298259	0.31615	0.116521	0.269071	0.2478888	0.2199751
34	0	-3284.848	-3299.321	14.4735	2.482418	0.1779983	0.0254282	0.0260143	0.0250132	0.0243443	0.0243762	0.039889	0.0901398	0.0532999	0.0165353	0.0135702	0.0269729	0.059962	0.0423777	0.0244618	0.02606287	0.04323974	0.0112699	0.460247	0.00711968	0.0115159	0.505109	0.00473843	4.881508	0.05767145	-3.647244	0.000226197	0.0221242	0.323858	3.65379	0.293383	0.296258	0.12577	0.284589	0.1009112	0.571507
35	1	-3287.526	-3299.655	12.12908	3.355562	0.1783156	0.0347217	0.0202466	0.0457935	0.0293298	0.0161672	0.0310842	0.0224037	0.0364436	0.0142838	0.0128922	0.0332619	0.0290844	0.01894	0.00932803	0.02129125	0.155801	0.017265	0.508413	0.00522833	0.00909647	0.457393	0.00260383	13.19204	0.1921872	-3.849459	0.000229342	0.0222763	0.324753	3.65274	0.268621	0.329843	0.130839	0.270697	0.3479883	0.5522807
36	0	-3286.018	-3298.138	12.11906	2.616995	0.2063212	0.0263015	0.0211988	0.0264965	0.0275968	0.0321253	0.0371957	0.109	0.0462235	0.0227716	0.0173135	0.0340473	0.0887933	0.0380363	0.0300878	0.04129962	-0.06108092	0.0127953	0.448271	0.0149805	0.0061036	0.514654	0.0031957	5.62109	0.102857	-3.186902	0.000656328	0.0374999	0.399953	3.56189	0.293584	0.283387	0.149642	0.273386	0.04177604	2.462104
37	1	-3285.67	-3298.653	12.98383	3.355562	0.1857608	0.0188688	0.0241572	0.03904	0.0295017	0.0220503	0.0384306	0.0232845	0.0653194	0.0247678	0.0195664	0.0269769	0.0289027	0.0202234	0.0185727	0.0261767	-0.2252254	0.0140543	0.481004	0.0037594	0.00279519	0.492036	0.0063506	11.23805	0.3394817	-3.642885	0.000312862	0.0259858	0.345486	3.62821	0.299697	0.29481	0.147584	0.257909	0.1142563	2.97123
