Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	birth	calib_lower	calib_upper	death	diff_age_root_ingroup	diversification	kappa[1]	kappa[2]	kappa[3]	kappa[4]	kappa[5]	kappa[6]	kappa[7]	kappa[8]	kappa[9]	kappa[10]	ln_mean	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	root_age	turnover
5940	-38387.91	-38438.39	50.48149	2.096287	1.752662	0.8755075	3.566467	0.9183456	0.9619154	0.0766457	0.356871	0.194366	0.518838	0.201563	0.0915388	0.717762	0.056652	2.15751	0.176066	0.7736437	-3.566467	2.733533	0.3021659	1.519284	0.4714778	3.88117	3.10901	2.31053	2.68418	3.03534	2.32217	2.39203	1.88545	1.56946	4.22133	-4.400602	0.01458036	0.0156493	0.00580621	0.00489934	0.0114284	0.00840394	0.0507792	0.00972915	0.0104743	0.00847312	0.017792	0.010181	0.00813489	0.0102102	0.00795025	0.0264371	0.0128488	0.00272127	0.0124306	0.0193777	0.011119	0.0276143	0.0110727	0.0403262	0.00460195	0.0156825	0.0281294	0.00785999	0.0571037	0.0431419	0.0144469	0.00651113	0.0164665	0.0124779	0.00825935	0.00893904	0.00493935	0.0059971	0.0141855	0.0171702	0.00913244	0.011316	0.0177521	0.00752292	0.0112056	0.0343077	0.0113325	0.0245474	0.00445175	0.00780401	0.00705983	1	0.244958	0.534913	0.307001	0.215208	0.158668	0.189478	1.07864	0.328433	0.293751	5.08575	0.3905751
5960	-38386.86	-38440.08	53.21141	3.358295	1.911531	0.8591215	5.107603	0.8672492	0.8880212	0.0583115	0.416578	0.166683	0.295137	0.249967	0.0423386	0.310482	0.0912934	0.565811	0.239879	0.8494463	-5.107603	1.192397	0.2440822	0.2335422	0.6053641	4.65907	3.615	2.35555	2.91913	3.43626	2.21715	2.83126	1.95897	2.17919	2.92692	-4.536531	0.01272727	0.011543	0.00773782	0.00395257	0.0167038	0.00792392	0.0535163	0.00896295	0.0102664	0.0094423	0.00831681	0.00421125	0.00828291	0.00944106	0.00976991	0.0277587	0.0150019	0.00785497	0.0174505	0.0220798	0.0130853	0.0315501	0.0104678	0.0304822	0.00589807	0.0180437	0.0176697	0.0111942	0.0102922	0.0330436	0.00485727	0.00768097	0.0108387	0.00767536	0.00966421	0.00370254	0.0111941	0.0183958	0.00693234	0.0240646	0.00742948	0.0124032	0.00719113	0.0141037	0.0165613	0.00424991	0.00636466	0.0102138	0.0418632	0.00357301	0.00751053	1	0.257687	0.500288	0.317355	0.212646	0.220693	0.199804	1.06257	0.298406	0.265414	5.341145	0.2873427
5980	-38408	-38452.26	44.26364	2.119015	1.166877	0.7758548	4.078309	0.7428209	0.8162491	0.0226334	0.307727	0.199986	0.260565	0.275718	0.218947	0.590013	0.0941849	0.246631	0.308444	0.8962273	-4.078309	2.221691	0.519069	1.097519	0.3771583	3.87678	3.2142	2.94615	2.33328	2.92193	2.16607	2.51392	1.99883	2.10776	3.02087	-4.029459	0.02113263	0.0203657	0.0100256	0.00916574	0.0187201	0.011383	0.0731746	0.00980348	0.0169749	0.00743284	0.0177772	0.0117805	0.0140566	0.0208947	0.0115509	0.0314305	0.016174	0.0208822	0.0749663	0.0208116	0.0146703	0.0394062	0.01095	0.041429	0.00707285	0.0197386	0.0292745	0.010958	0.0323561	0.0287108	0.0138216	0.0254749	0.013309	0.0106632	0.00929664	0.00740464	0.0290825	0.00331924	0.0124215	0.0144987	0.0212851	0.0111656	0.00551191	0.015273	0.0191245	0.00990031	0.0138245	0.00937123	0.00806407	0.0298082	0.00506517	1	0.262156	0.55121	0.355728	0.218916	0.179643	0.164739	1.39571	0.327733	0.300309	5.175828	0.5791711
6000	-38399.5	-38453.99	54.48933	2.357246	1.671644	0.8018485	4.022692	0.8336937	0.8570629	0.00987324	0.411639	0.11324	0.381957	0.132918	2.1513	0.355141	0.102048	0.963347	0.121692	0.6728202	-4.022692	2.277308	0.2302372	0.9013703	0.442583	3.98998	2.88326	2.28818	3.0919	3.20316	2.61759	2.02417	1.95453	1.75447	2.74287	-4.412496	0.01440797	0.0275621	0.0139006	0.00930198	0.0157463	0.00814794	0.048478	0.00944903	0.0138123	0.00820837	0.0133684	0.00927366	0.0138038	0.0147321	0.00777198	0.0290103	0.0204989	0.0103235	0.0320117	0.0181823	0.0113459	0.0233191	0.00766796	0.0306374	0.00402412	0.0216973	0.0256623	0.0181419	0.0143678	0.0278473	0.00770072	0.0109785	0.02058	0.0114146	0.00553119	0.00529091	0.00874477	0.0110629	0.0113315	0.0146118	0.0105461	0.0148638	0.00618162	0.0125932	0.021148	0.00591107	0.0457507	0.00929572	0.0126583	0.0288598	0.00378469	1	0.250897	0.544605	0.321393	0.233252	0.17153	0.208885	1.2745	0.339692	0.293045	4.924062	0.3421972
6020	-38391.63	-38452.29	60.65771	3.176488	1.765807	0.6950202	4.632857	0.9282693	0.97653	0.00337188	0.417842	0.041282	0.345879	0.148867	0.678901	1.0725	0.101274	2.04795	0.120568	0.47841	-4.632857	1.667143	0.1207132	0.2568806	0.3576968	4.39292	3.54519	2.27947	3.30575	2.64665	1.20437	2.62723	2.12889	1.53092	3.59535	-4.545054	0.01261925	0.0134853	0.00707044	0.00611157	0.00974927	0.0074706	0.0375113	0.00897016	0.0129811	0.00889789	0.0113116	0.00810355	0.00887578	0.0108918	0.00782501	0.0372057	0.0147649	0.0130761	0.0479477	0.020844	0.0136861	0.0200556	0.00899039	0.0297862	0.00634302	0.0145695	0.0170274	0.00686674	0.0134127	0.0403497	0.0150164	0.00753477	0.0132089	0.00673021	0.0130564	0.00562848	0.0082487	0.0156755	0.00261982	0.00758826	0.0119912	0.010048	0.0108761	0.0123203	0.0146083	0.00567264	0.0040222	0.00739779	0.00554143	0.0199068	0.00803605	1	0.276022	0.493285	0.414061	0.23477	0.208572	0.200836	1.19259	0.31817	0.281834	4.889738	0.2523217
6040	-38388.43	-38456.63	68.20666	3.248938	2.497149	1.048519	4.877877	1.063618	1.163861	0.000771578	0.775795	0.12814	0.381483	0.12603	0.16742	0.580452	0.108028	4.76857	0.307889	0.6726509	-4.877877	1.422123	0.3198154	0.1552038	0.3528354	4.07428	3.19017	2.60688	3.01475	2.74365	1.955	2.05368	2.03163	1.85504	3.1483	-4.705464	0.01074901	0.0170306	0.00838943	0.0066504	0.00717838	0.00810876	0.0326804	0.00588683	0.0122344	0.00574173	0.00744258	0.00456887	0.00970933	0.00644248	0.00808931	0.0209072	0.0102307	0.00512631	0.014849	0.0101718	0.00736093	0.0159118	0.00818409	0.0254051	0.00633128	0.0141189	0.0178508	0.00564254	0.015519	0.0323522	0.00570306	0.00868501	0.00695441	0.00467501	0.020378	0.00479833	0.00628541	0.00283554	0.00972756	0.0111083	0.00633102	0.00786146	0.00412052	0.0104657	0.00785979	0.00243791	0.00372844	0.0146676	0.0217689	0.00909273	0.00831535	1	0.275122	0.588824	0.363192	0.244198	0.186176	0.196367	1.39811	0.274736	0.309336	5.033081	0.4754553
6060	-38397.75	-38449.98	52.22625	4.046478	2.890886	1.029324	4.473307	0.9248274	1.13197	0.00118997	0.491996	0.138932	0.33142	0.328593	0.344541	0.24482	0.0847648	0.697508	0.185091	0.573454	-4.473307	1.826693	0.2187865	0.7059874	0.3546675	3.66369	3.66581	2.58907	2.55264	2.72626	1.28705	2.41607	1.6679	1.58325	2.67355	-4.669996	0.0111371	0.0129176	0.00568746	0.00436646	0.0135891	0.00700943	0.040608	0.021057	0.0219886	0.00715726	0.00845688	0.00518876	0.00692759	0.00813505	0.00548336	0.0274299	0.0156802	0.00605741	0.0186165	0.0119827	0.00540812	0.012793	0.00590552	0.0391449	0.00584357	0.0180245	0.016288	0.00547615	0.0118841	0.158738	0.016993	0.0118763	0.0215112	0.00753122	0.00962463	0.00988396	0.00504742	0.007518	0.00590316	0.00735194	0.0115785	0.00666187	0.00434976	0.00328846	0.0138191	0.005321	0.00521296	0.0191307	0.0108021	0.00841873	0.00790976	1	0.246386	0.434428	0.282105	0.18089	0.160124	0.155508	1.16174	0.298109	0.263288	5.179294	0.3815241
6080	-38374.5	-38426.59	52.08654	2.395509	2.898618	0.666899	4.826612	1.028726	1.03948	0.0287053	0.588585	0.139056	0.364082	0.19531	0.13387	0.305437	0.109224	2.25071	0.289357	0.7990132	-4.826612	1.473388	0.3082395	0.170553	0.4907737	3.34533	3.19523	2.26828	3.04515	2.39288	1.50475	2.01857	2.17146	1.50826	2.89014	-4.393946	0.01467773	0.0123782	0.00506893	0.00566822	0.0101809	0.00615186	0.0521888	0.0123682	0.0137047	0.00797741	0.0174076	0.00940214	0.0167435	0.0199552	0.0100261	0.0413458	0.0140952	0.00571107	0.021555	0.0101303	0.00694329	0.0143005	0.00539852	0.0451735	0.00686399	0.0256894	0.027169	0.019925	0.0193891	0.0252102	0.0172384	0.00859157	0.0418603	0.00789216	0.0103085	0.00380234	0.00910991	0.00777744	0.0044064	0.00611097	0.0069917	0.0154629	0.0107962	0.0234014	0.0159146	0.0087656	0.0045474	0.0130941	0.0158914	0.0186961	0.00835525	1	0.218372	0.43795	0.320042	0.178148	0.120645	0.139132	1.09908	0.299415	0.251877	4.997165	0.3857752
6100	-38377.8	-38428.64	50.84082	3.050509	2.245007	0.5751629	5.487978	1.110991	1.142446	0.0315971	0.480726	0.203072	0.384239	0.193574	0.229199	0.899368	0.118817	1.38447	0.21323	0.8805698	-5.487978	0.8120221	0.4117279	0.5675727	0.4688419	3.59298	3.38452	2.66831	2.39925	2.67457	1.90086	2.55647	2.21056	1.62591	2.97301	-4.485777	0.0133899	0.0159441	0.00685171	0.00777403	0.0110337	0.0068431	0.0449175	0.0104682	0.0109268	0.00709711	0.0166681	0.00961399	0.0191513	0.026535	0.0153633	0.0354093	0.0109857	0.00411937	0.0146704	0.0172337	0.0119704	0.0209566	0.00993122	0.0272189	0.00347965	0.0119906	0.0205987	0.01677	0.0263643	0.0251696	0.00649288	0.00516445	0.0103813	0.00803715	0.0134568	0.00225365	0.0108665	0.0206123	0.00345977	0.015394	0.00944706	0.00458575	0.00518477	0.028363	0.0123384	0.0130792	0.00555002	0.01101	0.010947	0.0197859	0.00460535	1	0.245115	0.509319	0.355417	0.203907	0.145943	0.176767	1.33639	0.291126	0.257096	6.055551	0.4675698
6120	-38394.18	-38433.73	39.54727	2.477552	2.164085	0.661221	4.00258	0.9728981	1.070449	0.0814863	0.325616	0.163002	0.460074	0.218627	0.544499	0.178954	0.103228	0.654646	0.173935	0.677236	-4.00258	2.29742	0.2362477	0.3944378	0.4409883	3.98863	3.07929	2.69841	2.69256	2.23551	1.57974	3.03723	1.89229	1.76433	3.10047	-4.474812	0.01353752	0.0397724	0.0179901	0.00688883	0.0135486	0.00658569	0.078982	0.00738159	0.00965383	0.0100851	0.0186474	0.0176156	0.0272806	0.020352	0.0155812	0.0507219	0.0140094	0.00334431	0.0160555	0.0151811	0.0086101	0.0206734	0.00746026	0.0413552	0.00348121	0.0171873	0.0257694	0.012977	0.0342357	0.0408146	0.0207209	0.0135167	0.0194639	0.0119539	0.00814911	0.00817162	0.0120879	0.00491971	0.00268537	0.0215932	0.00412691	0.0104891	0.00697792	0.0110757	0.0151634	0.030281	0.0154598	0.0180441	0.0109434	0.00725969	0.00986778	1	0.194731	0.444647	0.265912	0.183036	0.150129	0.152878	1.0534	0.285433	0.242785	4.397017	0.348841
6140	-38392.91	-38442.93	50.02383	2.47507	1.990223	0.6493991	3.805237	0.8755881	0.9650649	0.0388167	0.361604	0.15609	0.282525	0.235096	0.119659	0.203798	0.107886	1.13983	0.261725	0.7336648	-3.805237	2.494763	0.1784171	0.03857696	0.5552478	4.21878	2.75823	2.45043	2.34348	2.21231	1.23064	2.11355	1.96668	1.27945	3.38678	-4.185119	0.01808636	0.0259849	0.0116909	0.00657815	0.0162496	0.0086857	0.0697393	0.0148104	0.0218501	0.013465	0.0176258	0.0113672	0.0207055	0.013136	0.0164241	0.0567442	0.0213629	0.00826558	0.0263394	0.0166936	0.010405	0.0213587	0.00861462	0.063795	0.0125119	0.0299935	0.0310553	0.015364	0.0209049	0.0505127	0.0163951	0.0181409	0.0320617	0.0127029	0.0259466	0.00928685	0.0105853	0.0163815	0.00584005	0.0103935	0.009731	0.00670817	0.0143893	0.00934091	0.0243698	0.00724854	0.0109663	0.0199131	0.00707692	0.0185875	0.012388	1	0.200977	0.423007	0.266417	0.167303	0.126352	0.166837	0.93349	0.257861	0.237917	3.843814	0.2431861
6160	-38381.8	-38442.56	60.7538	3.677032	2.776012	1.201916	5.451511	1.105702	1.245692	0.0364219	0.289915	0.192392	0.429121	0.308984	0.0587581	4.40703	0.104267	8.7166	0.229093	0.4609462	-5.451511	0.8484894	0.04791635	0.01399229	0.4130298	3.62858	3.29056	2.4586	2.99222	3.42178	1.73092	2.29794	1.73023	1.67958	2.97389	-4.779925	0.0099777	0.0139531	0.00830645	0.00564806	0.0083566	0.00430287	0.0255039	0.00676664	0.00836161	0.00769297	0.0136789	0.00983195	0.00983232	0.00853873	0.00720003	0.0215448	0.0112161	0.00386818	0.0172732	0.0136698	0.00705346	0.0125588	0.00437335	0.0258819	0.0057957	0.0121624	0.0163077	0.00359448	0.0158223	0.0371155	0.0147402	0.00503359	0.0120648	0.00677965	0.00570346	0.00616617	0.00362691	0.00621404	0.0123937	0.0168185	0.00966047	0.00632624	0.0449986	0.00523627	0.00990555	0.00935337	0.00296742	0.0108361	0.0165441	0.0146092	0.00733794	1	0.247187	0.580104	0.341692	0.2183	0.177819	0.171296	1.25561	0.291798	0.278327	5.465503	0.1039522
6180	-38374.52	-38442.55	68.02868	3.399089	2.543749	1.283836	5.973438	1.275172	1.3965	0.0349948	0.536044	0.204377	0.35662	0.206581	0.0370992	0.425393	0.100995	1.01443	0.160768	0.6206236	-5.973438	0.326562	0.2507498	0.3968942	0.3698739	3.80246	3.13343	2.23778	2.21204	2.61108	1.20547	2.12615	2.03755	2.39733	3.63161	-4.735447	0.0104315	0.0160145	0.00999193	0.00637965	0.00783862	0.0073479	0.0359242	0.00789999	0.0153821	0.00795526	0.00507247	0.00397824	0.00735784	0.00896148	0.00741863	0.0170005	0.0089316	0.00469002	0.0179913	0.0123344	0.00849663	0.023972	0.00751221	0.0304419	0.00500403	0.0115516	0.0197907	0.00403658	0.0206861	0.023337	0.0056651	0.0121974	0.00624358	0.00557598	0.00502287	0.00648002	0.0117777	0.00806509	0.00702496	0.00412773	0.00323284	0.0131298	0.01046	0.00615356	0.00880102	0.0138431	0.00779697	0.0092695	0.00323189	0.00842225	0.00643244	1	0.260664	0.541345	0.309006	0.196574	0.161284	0.182683	1.3005	0.293916	0.241324	6.370332	0.4040287
6200	-38381.92	-38434.44	52.5247	2.740845	1.538677	0.727373	3.976615	0.7545797	0.8384053	0.0281971	0.602649	0.136466	0.399878	0.365284	0.00909934	0.626077	0.0915207	1.83372	0.270135	0.6873244	-3.976615	2.323385	0.09894869	0.04891788	0.5883757	3.78587	3.07704	2.4364	3.35634	2.83468	2.23907	1.92295	1.93441	1.39418	3.83335	-4.392574	0.01469788	0.0171632	0.00950538	0.0051631	0.0148038	0.00754005	0.0589129	0.0103647	0.0185472	0.0136866	0.0139827	0.00816901	0.0153126	0.00990221	0.00907755	0.036019	0.0187519	0.00517976	0.0163829	0.0228302	0.0154198	0.0365542	0.0106646	0.0438271	0.00914652	0.0220961	0.0216666	0.0354828	0.0148901	0.052657	0.0111589	0.0143815	0.0174873	0.013872	0.00648513	0.00522764	0.0101018	0.00684724	0.0123098	0.00604699	0.0122356	0.0121111	0.013595	0.00505676	0.0133952	0.0161414	0.0192443	0.011441	0.0260748	0.0061435	0.0110234	1	0.216521	0.511996	0.338309	0.219322	0.184484	0.151323	1.07846	0.304166	0.254966	4.025533	0.1439621
6220	-38390.24	-38438.99	48.74942	2.154311	1.439468	0.6625237	3.385148	0.6323607	0.7162905	0.0500684	0.454207	0.182439	0.371262	0.158393	0.325942	0.365961	0.099016	0.792782	0.414627	1.050999	-3.385148	2.914852	0.2419132	0.3232996	0.8090859	3.44018	3.69181	2.26607	3.40254	3.07673	1.4678	2.64106	2.25421	2.00782	2.99897	-4.132466	0.01906418	0.0234329	0.0162506	0.0108701	0.0138995	0.0103982	0.0492231	0.0259819	0.0381009	0.0185024	0.0155971	0.0104616	0.0118325	0.0182709	0.0131261	0.0350062	0.021689	0.00671036	0.014152	0.0204149	0.0121497	0.0399255	0.0151917	0.054125	0.00906405	0.021754	0.0269433	0.00376769	0.0258862	0.0514699	0.0109756	0.0159783	0.0261435	0.0186788	0.0139226	0.0148828	0.00790171	0.00991906	0.0166017	0.00593198	0.0182258	0.00977794	0.015363	0.0138571	0.0314783	0.013587	0.0084919	0.0131926	0.0223112	0.0304292	0.00603197	1	0.234008	0.509208	0.296879	0.211359	0.201944	0.183808	1.18319	0.297868	0.266106	3.708448	0.2301745
6240	-38403.7	-38454.77	51.07247	2.425092	1.50248	0.918366	4.026915	0.8167683	0.9890814	0.041751	0.481501	0.0894161	0.272338	0.234997	0.0242257	0.690574	0.102069	0.903635	0.257694	1.332452	-4.026915	2.273085	0.7131272	0.2144404	0.6193251	3.38054	2.97293	2.04194	2.76524	3.04123	2.34817	2.83758	1.8463	1.54285	3.65477	-4.275179	0.01652871	0.0200173	0.0144821	0.00656519	0.0131989	0.00927832	0.0586577	0.0113886	0.0128942	0.0127969	0.0107451	0.0132079	0.0165816	0.0250773	0.00764975	0.0343531	0.0203938	0.0041099	0.0214535	0.0234596	0.0136809	0.0341956	0.0108774	0.0274033	0.00435765	0.0192125	0.0242758	0.012139	0.0358882	0.042745	0.0105059	0.0123117	0.0202832	0.00984931	0.00683582	0.0111087	0.011697	0.00507939	0.024176	0.0103981	0.00726953	0.0130725	0.00769323	0.0131492	0.0291415	0.00673734	0.018036	0.0107963	0.00932624	0.0134814	0.00971801	1	0.20731	0.477011	0.285142	0.195785	0.167329	0.158453	1.07044	0.245623	0.213488	4.241355	0.535199
6260	-38397.35	-38432.47	35.11268	2.683502	1.225041	0.6357126	3.601616	0.7939781	0.9194572	0.103244	0.377183	0.151763	0.351867	0.167216	0.234808	0.488216	0.0820013	0.579387	0.128661	0.6554374	-3.601616	2.698384	0.05691833	0.2383428	0.5985191	4.6015	2.88078	2.23803	2.31778	2.55403	2.48714	2.2561	1.84451	1.66059	2.97247	-4.019605	0.02134191	0.0183165	0.00736434	0.00671586	0.024496	0.0107482	0.0914802	0.013924	0.0150332	0.0137479	0.0232389	0.0130141	0.0252888	0.0305415	0.0137069	0.0538311	0.0244533	0.0108841	0.0267635	0.0321637	0.0222404	0.0393187	0.0135431	0.0445333	0.00756711	0.0255395	0.0310752	0.0207812	0.028926	0.0919986	0.0378781	0.0334335	0.0259836	0.0221672	0.00668732	0.00570395	0.0149918	0.012889	0.0100425	0.0198137	0.0162926	0.0102639	0.0116311	0.00846637	0.0324077	0.0398828	0.0212079	0.0160303	0.015842	0.0221576	0.0147429	1	0.166989	0.370407	0.225415	0.1626	0.132255	0.142454	0.8732	0.232155	0.221604	3.839959	0.08684023
6280	-38400.57	-38445.66	45.08936	3.714016	1.374194	0.8987256	5.647726	1.077357	1.121358	0.0465434	0.534049	0.165977	0.2757	0.326745	0.702848	0.595497	0.125289	0.62054	0.230731	0.5233245	-5.647726	0.6522742	0.3185891	0.4443639	0.2047354	4.96271	3.85901	2.10669	2.67037	2.42736	1.59487	2.54907	2.07011	1.36871	2.97822	-4.583486	0.01214346	0.0203475	0.010504	0.00431493	0.0124644	0.0103969	0.0728336	0.00953666	0.0149168	0.0108938	0.0169145	0.0103751	0.0096859	0.0167181	0.0107148	0.0340879	0.0195803	0.00518278	0.0155162	0.0275656	0.0146835	0.0326528	0.0120637	0.0290668	0.00534681	0.016728	0.0206891	0.0157015	0.0213601	0.040237	0.0331144	0.0183217	0.0110555	0.0149712	0.00897653	0.0144893	0.00621619	0.0152941	0.00657985	0.0100565	0.00622584	0.00361279	0.00795682	0.00818505	0.0208495	0.00866885	0.00526126	0.0111159	0.0085373	0.00519856	0.0075032	1	0.185789	0.383627	0.219284	0.156475	0.107725	0.144615	0.997425	0.213757	0.215076	6.09209	0.6087793
6300	-38402.33	-38454.82	52.49101	2.838058	2.046318	0.7613446	4.701548	0.8017955	0.8825661	0.0577206	0.326558	0.12816	0.377733	0.611253	0.170827	0.168062	0.118298	0.370197	0.257663	0.6527272	-4.701548	1.598452	0.02550172	0.133842	0.6272255	4.74533	3.39172	2.46266	2.7327	3.161	1.07494	2.46875	2.08189	1.80435	2.99746	-4.20275	0.01777028	0.0110362	0.00727069	0.00623459	0.0166976	0.00948659	0.0496237	0.012508	0.0136146	0.0100158	0.0109367	0.00625512	0.0153815	0.014917	0.00812752	0.0330709	0.0164343	0.00416305	0.0138352	0.0219461	0.0178379	0.0226209	0.00942052	0.0380193	0.00683383	0.0175899	0.0242853	0.00973553	0.0155004	0.035031	0.00509168	0.00552276	0.022363	0.0179732	0.00696725	0.0053537	0.0403336	0.0146058	0.00694393	0.006497	0.0124947	0.0125673	0.0091139	0.0195391	0.0156866	0.0106871	0.00733058	0.00936663	0.017812	0.0158104	0.00938758	1	0.228011	0.455748	0.26951	0.193936	0.183238	0.163954	1.18888	0.353702	0.278709	4.83539	0.0390695
6320	-38411.51	-38457.15	45.63189	3.13743	1.494859	0.8579525	5.897686	1.150418	1.232484	0.116352	0.31961	0.173504	0.305034	0.29363	0.528755	0.741666	0.0952151	0.833785	0.255152	0.5083866	-5.897686	0.4023136	0.121704	0.1805703	0.3866826	4.31209	3.1656	2.41213	2.58053	2.50834	1.03369	2.53985	2.13307	1.39854	3.10098	-4.363805	0.01512686	0.0129425	0.00592807	0.00392471	0.0122726	0.00542477	0.0404855	0.0151626	0.0186957	0.010702	0.017457	0.0138596	0.0230661	0.024344	0.0106695	0.0343334	0.0105531	0.00639604	0.0287878	0.0181873	0.0144658	0.0399743	0.0168489	0.0488915	0.0063674	0.0196318	0.0241483	0.00790317	0.0189717	0.0294588	0.0188531	0.0195246	0.0058439	0.00645871	0.00478426	0.00932991	0.00898162	0.00631579	0.0063471	0.00640304	0.0137113	0.0217994	0.0123426	0.0136339	0.0096027	0.0102294	0.00862059	0.0192814	0.00160215	0.00651661	0.0112122	1	0.196448	0.416271	0.264731	0.176361	0.136096	0.12004	0.898369	0.269304	0.212233	6.078257	0.2393926
6340	-38404.81	-38444.69	39.88724	1.820454	1.709932	0.7958408	4.189596	0.7565815	0.8173686	0.0956478	0.601679	0.163493	0.275859	0.307039	0.250301	1.06916	0.093047	0.736964	0.254824	1.135979	-4.189596	2.110404	0.8140982	0.4967203	0.3218805	3.60273	3.61878	2.4218	2.80912	2.69294	1.4482	3.23316	1.83833	1.91379	3.00701	-3.96532	0.02253247	0.0191411	0.00979802	0.00631179	0.0146426	0.0132061	0.0660297	0.0157523	0.0253427	0.0142412	0.0231624	0.0160465	0.0207229	0.0206165	0.01397	0.0368454	0.0174176	0.00405644	0.0121098	0.0218838	0.0121634	0.0243242	0.0112844	0.0562375	0.0133415	0.0346618	0.0447288	0.0175346	0.0284504	0.0338201	0.0276891	0.0151452	0.0148677	0.0270123	0.0142232	0.0245682	0.012588	0.00696007	0.0313787	0.00925204	0.0171447	0.0425966	0.0175507	0.0141486	0.0163762	0.0348712	0.00878831	0.0157651	0.0138944	0.0082157	0.00792787	1	0.181061	0.410959	0.238991	0.162833	0.14125	0.144318	0.962259	0.246415	0.225554	4.686316	0.7166492
6360	-38395.71	-38443.49	47.77705	2.408777	2.462717	0.9084917	5.826712	0.9459286	1.107941	0.02664	0.248768	0.162707	0.310085	0.297755	0.378038	0.359698	0.113073	1.52812	0.439034	0.395118	-5.826712	0.4732883	0.2660881	0.497192	0.1290299	4.61296	2.99587	2.5657	3.69401	3.30697	1.72078	3.06514	2.02201	1.78383	4.02271	-4.370075	0.01503232	0.00962794	0.00628492	0.00587091	0.0140372	0.00549394	0.0511087	0.0170512	0.0205423	0.0131608	0.00932339	0.0089149	0.0115048	0.0144079	0.0125208	0.0325485	0.0127856	0.00527269	0.0163938	0.0141345	0.00991894	0.0214661	0.00736563	0.0634827	0.0075939	0.0257241	0.0336062	0.0189519	0.0221263	0.0214971	0.0103903	0.0139408	0.0121521	0.0103465	0.00987154	0.00440748	0.0113068	0.0150946	0.0127885	0.00759825	0.0141821	0.0158515	0.00773148	0.00813747	0.0154864	0.00671544	0.014732	0.012237	0.00717404	0.0205079	0.00793455	1	0.193837	0.405203	0.236198	0.168915	0.115313	0.12821	1.01915	0.217058	0.208636	6.323904	0.6734397
6380	-38420.48	-38459.63	39.14492	2.175116	2.13013	0.6772363	4.4062	0.6101679	0.6893658	0.0760761	0.514722	0.242628	0.291593	0.197311	0.0640001	0.814158	0.112974	0.638793	0.128387	0.9736974	-4.4062	1.8938	0.4891541	0.3636525	0.4845433	4.12717	2.72655	2.83669	3.12118	2.73798	1.46091	1.8179	2.3456	1.91155	3.43662	-4.05488	0.02060219	0.0342249	0.0175809	0.00684097	0.0222781	0.0109174	0.0641589	0.0269089	0.0268318	0.018938	0.0156961	0.0120856	0.0300365	0.0412205	0.0158912	0.0428492	0.0153427	0.00619661	0.0255151	0.0236336	0.0125938	0.0244674	0.0102895	0.0617127	0.0134843	0.0309897	0.0340943	0.00836659	0.022525	0.0332847	0.00794511	0.0068496	0.0189577	0.00992098	0.00498377	0.0103163	0.0311457	0.0166049	0.0432734	0.0179384	0.0454589	0.0202935	0.00731449	0.00957689	0.0159768	0.0151481	0.0192946	0.0111291	0.0109612	0.0120728	0.0112633	1	0.191293	0.424344	0.24803	0.182881	0.16944	0.177305	1.04273	0.23181	0.225043	4.769852	0.5023677
