Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha_mol[1]	alpha_mol[2]	alpha_mol[3]	alpha_mol[4]	alpha_mol[5]	alpha_mol[6]	alpha_mol[7]	alpha_mol[8]	alpha_mol[9]	alpha_mol[10]	birth	death	diff_age_root_ingroup	diversification	kappa_mol[1]	kappa_mol[2]	kappa_mol[3]	kappa_mol[4]	kappa_mol[5]	kappa_mol[6]	kappa_mol[7]	kappa_mol[8]	kappa_mol[9]	kappa_mol[10]	ln_mean	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	root_age	turnover
4760	-38349.57	-38435.51	85.94729	9.87123	5.778524	2.142656	15.13159	3.192544	3.476621	0.0177357	0.381079	0.164045	0.897873	0.254548	0.0491019	0.230879	0.103498	0.662338	0.184637	0.1847602	0.04628513	2.407224	0.138475	4.27597	3.44716	2.53689	2.05831	3.18023	0.967928	2.16056	1.93481	1.85747	2.98764	-5.66998	0.004097173	0.00282869	0.00138546	0.00128084	0.00356863	0.00290428	0.0127156	0.00499942	0.00853714	0.00209019	0.00280423	0.00263744	0.00484473	0.00396896	0.00421755	0.011912	0.00333932	0.00210118	0.00952466	0.00613812	0.00424746	0.00613672	0.00226986	0.00678768	0.00128926	0.00414416	0.00579256	0.00205326	0.00646029	0.0106256	0.00744934	0.00230566	0.00236406	0.0017596	0.00184342	0.000596573	0.00278105	0.00161447	0.000935877	0.00119619	0.00246468	0.00137497	0.00172326	0.00363235	0.00259924	0.00306225	0.00653007	0.00427595	0.00519503	0.00354038	0.00128285	1	0.245379	0.57515	0.338919	0.241252	0.147952	0.194549	1.33941	0.331937	0.279781	17.53881	0.2505147
4780	-38366.86	-38431.71	64.8445	8.520644	3.899366	1.431186	9.710089	1.96122	2.073693	0.0515822	0.315492	0.174165	0.322441	0.204121	0.238464	0.361473	0.104887	0.485887	0.186267	0.2706415	0.1663798	1.772999	0.1042617	4.64643	2.89012	2.82964	2.24173	3.08193	1.79893	2.06708	2.20228	1.52391	3.17473	-5.090519	0.00731377	0.00591854	0.00287387	0.00272757	0.00480197	0.00497763	0.0228072	0.0031845	0.00564066	0.00541388	0.00647169	0.00754664	0.0104608	0.0109302	0.00812349	0.0187694	0.00668432	0.00380926	0.0114187	0.00707078	0.00655653	0.0107582	0.00357461	0.0129078	0.00310345	0.00838584	0.00789488	0.0200609	0.00375722	0.0568657	0.00948231	0.00680388	0.00443412	0.00416135	0.00239401	0.00308492	0.00619197	0.00221298	0.00256838	0.0050243	0.00353673	0.00274714	0.00756138	0.00978171	0.00672466	0.00768853	0.00248091	0.00613659	0.00738232	0.00737785	0.0023809	1	0.230155	0.491511	0.2987	0.203546	0.146934	0.157994	1.18447	0.290966	0.268074	11.48309	0.6147608
4800	-38390.96	-38437.3	46.33806	3.274207	1.570684	0.9109531	4.668459	0.9270747	1.029912	0.040234	0.55495	0.152819	0.578135	0.0919181	0.146656	0.232911	0.0855287	1.04797	0.289714	0.4546173	0.07725551	0.275212	0.3773617	3.18494	3.60061	2.14003	2.32134	2.95541	1.35638	2.71585	1.7968	1.76006	3.08339	-4.190943	0.01798134	0.0317747	0.013096	0.00968909	0.0171815	0.00740668	0.0558237	0.0141967	0.0210904	0.00785931	0.0203442	0.0160705	0.0133005	0.0192938	0.0095921	0.0292558	0.0164496	0.00563888	0.0200791	0.0221261	0.0140066	0.0287661	0.00818321	0.0271346	0.0049312	0.0129387	0.018663	0.0226481	0.0185453	0.0457948	0.0196619	0.0138664	0.00808798	0.0100263	0.0209907	0.0261281	0.0131991	0.00281398	0.0148131	0.00480949	0.0181716	0.00625761	0.0290184	0.0118587	0.0219887	0.00616572	0.0145436	0.0110566	0.0278369	0.0101589	0.00687443	1	0.214681	0.515816	0.296988	0.205554	0.155421	0.172289	1.21265	0.27619	0.220991	4.943671	0.1699353
4820	-38364.99	-38445.13	80.14291	6.568215	4.518542	2.385849	11.1539	2.198773	2.841475	0.0165939	0.577423	0.169159	0.413919	0.141847	0.0823033	0.474117	0.0903274	1.4985	0.224679	0.20177	0.01822187	0.4989882	0.1835481	3.5023	3.2	2.30166	2.33662	2.78516	1.20286	2.60271	2.1785	1.87723	3.32592	-5.439547	0.005158939	0.00868954	0.00675986	0.00248838	0.00531358	0.00390565	0.0209151	0.00284796	0.00469804	0.00525798	0.00669096	0.00477173	0.00405821	0.00621398	0.00323432	0.0110449	0.00550589	0.00274943	0.0107048	0.00535548	0.00383386	0.00785884	0.00295148	0.0152883	0.00358391	0.00667477	0.00963681	0.00183802	0.0088666	0.012838	0.00529986	0.00842097	0.00478554	0.00338165	0.00259775	0.00670504	0.00191055	0.00108441	0.0031576	0.00345911	0.00351542	0.0103046	0.00239344	0.00261564	0.00586424	0.00896968	0.00533605	0.00408819	0.00602805	0.00256279	0.00348728	1	0.218428	0.539	0.32455	0.195862	0.129995	0.205853	1.13293	0.367225	0.268353	11.65289	0.0903101
4840	-38366.68	-38449.2	82.51896	6.212123	3.106266	1.802034	10.19164	1.732339	1.86209	0.0207198	0.626959	0.228679	0.185876	0.136835	0.333035	0.563224	0.103805	0.661245	0.260217	0.1563307	0.006732483	1.232872	0.1495982	3.51691	3.13874	2.54409	2.95827	3.04123	1.39007	2.83681	2.20879	1.65288	2.99332	-5.321943	0.005802767	0.00452112	0.00281178	0.00218612	0.00575554	0.00221503	0.0214049	0.00358406	0.0055014	0.004005	0.00435885	0.00206644	0.0030536	0.00366441	0.00379794	0.0114242	0.00489268	0.00240126	0.00790864	0.00813607	0.00462203	0.0116036	0.00640993	0.00727222	0.00136622	0.00393815	0.00707208	0.00276418	0.0206694	0.0118476	0.00460503	0.00450821	0.00369999	0.00302812	0.00377523	0.00367666	0.00298084	0.00223012	0.0129272	0.00244333	0.00509311	0.00316396	0.0029175	0.00250021	0.00458862	0.0052696	0.00232253	0.00406154	0.00342095	0.00674059	0.00196691	1	0.29629	0.664793	0.403263	0.280816	0.244152	0.213025	1.60518	0.396959	0.302735	11.42451	0.04306566
4860	-38356.42	-38450.67	94.24783	12.19774	7.794317	3.3474	22.86923	3.566611	3.952978	0.0329663	0.469239	0.170634	0.294319	0.293781	0.0717655	0.402278	0.119945	1.01861	0.246708	0.1100307	0.02697847	1.662207	0.08305227	3.21688	4.02397	2.48382	2.73093	3.00113	1.40655	2.09579	1.96083	1.84535	2.63758	-5.752098	0.003774167	0.00610171	0.00283523	0.00149148	0.00334504	0.00154903	0.00871988	0.0052693	0.00679707	0.00223349	0.00197271	0.00191521	0.00254123	0.00274522	0.00118476	0.00559654	0.00235087	0.00132594	0.0048103	0.00352961	0.00219663	0.00405528	0.00184966	0.00418142	0.000769045	0.00317406	0.00419595	0.00356246	0.00757196	0.0051046	0.00533277	0.00178838	0.00247414	0.00156547	0.00156667	0.00523069	0.00145443	0.00132502	0.0018087	0.000894227	0.00487549	0.00143318	0.00116645	0.00393829	0.003286	0.00196956	0.00129948	0.0018654	0.00272794	0.00257621	0.00098203	1	0.246189	0.581963	0.355184	0.250238	0.226481	0.227491	1.71261	0.372956	0.320641	24.53144	0.2451903
4880	-38352.91	-38447.98	95.06228	15.98784	7.616173	4.200306	23.66284	4.505939	4.689165	0.0675196	0.364638	0.174609	0.228099	0.335883	0.53075	0.498629	0.0935865	0.832299	0.223207	0.1874378	0.00989163	2.763329	0.1775461	5.55681	3.38767	2.3675	2.74649	2.45134	1.93214	2.02716	1.5125	1.88124	3.64905	-6.030456	0.00285714	0.00361203	0.00165616	0.00095803	0.00213595	0.00135626	0.00756885	0.00177127	0.00227893	0.00154707	0.00158474	0.00152238	0.00420135	0.00462001	0.0019464	0.00474154	0.00241064	0.000639188	0.00357413	0.00287934	0.00176128	0.00557193	0.00252788	0.00460573	0.000535403	0.00295713	0.00313966	0.00289126	0.0042465	0.00752261	0.00281816	0.00451847	0.0020763	0.00235124	0.00143138	0.00101806	0.00208413	0.00299056	0.00485044	0.00429454	0.00173065	0.0017908	0.00354794	0.00491808	0.00292647	0.00357734	0.00138196	0.00175593	0.00319066	0.00117725	0.00105262	1	0.261895	0.524931	0.375402	0.228547	0.181905	0.203506	1.27168	0.324724	0.276242	26.42617	0.05277288
4900	-38397.16	-38468.44	71.28347	4.708562	2.963812	1.332176	7.343542	1.312218	1.393686	0.0349957	0.702832	0.140892	0.387399	0.208023	0.832145	22.6904	0.09919	2.52696	0.357114	0.4514718	0.07187783	0.3135723	0.379594	3.89121	3.31444	2.59763	3.0319	2.21777	1.64113	3.14246	1.88625	2.0101	3.38813	-5.048839	0.007625044	0.0097376	0.00452204	0.0040523	0.00622026	0.00491216	0.0255666	0.00520791	0.00603387	0.00528182	0.00480315	0.00499761	0.00765622	0.0115764	0.00604963	0.0163246	0.0110959	0.00332183	0.0152104	0.0104023	0.00566085	0.0116311	0.00439781	0.0133137	0.00147893	0.00731845	0.0112398	0.00903013	0.0126315	0.0171289	0.00876469	0.00412837	0.0227582	0.00642386	0.00530257	0.00470054	0.00703231	0.00190602	0.0107967	0.00460117	0.00522203	0.00842289	0.00821462	0.00667	0.0100724	0.00697428	0.00706606	0.00414283	0.00908552	0.00744244	0.00271828	1	0.301148	0.629442	0.403444	0.254191	0.172089	0.25749	1.303	0.346126	0.341898	7.657114	0.1592078
4920	-38377.86	-38463.83	85.96669	9.032839	4.86542	2.137705	12.99037	2.487058	2.563361	0.047565	0.371345	0.129794	0.319289	0.219216	1.94936	27.7757	0.0708504	0.851065	0.107047	0.2495459	0.01739851	2.231836	0.2321474	3.69313	3.19499	2.61598	2.83359	2.4542	1.56966	2.87964	1.85627	3.36537	3.2102	-5.61094	0.004346354	0.00641428	0.0035395	0.00307854	0.00261484	0.00204885	0.0127088	0.00436927	0.00477891	0.003028	0.00365572	0.00207784	0.00529796	0.00645141	0.00267872	0.00873011	0.0067862	0.00255217	0.00683153	0.00679348	0.0037986	0.00641915	0.00233914	0.00908099	0.00176506	0.0050475	0.0053929	0.00444024	0.00342342	0.0129503	0.0043557	0.00284549	0.00509356	0.00444727	0.00189127	0.0046012	0.00549912	0.00625778	0.00191299	0.0024032	0.00326157	0.00432711	0.0031822	0.00560774	0.0106528	0.00480321	0.000908785	0.00207485	0.00304214	0.00518233	0.00157605	1	0.297651	0.583228	0.413923	0.231552	0.231702	0.223266	1.19029	0.333749	0.276844	15.22221	0.0697207
4940	-38387.19	-38447.25	60.0672	4.653285	2.925751	1.372375	7.608261	1.322743	1.593282	0.0765821	0.428346	0.172681	0.329898	0.181437	0.111952	28.3609	0.0962663	0.914151	0.240422	0.3506041	0.08608599	1.390383	0.2645181	5.39631	3.36796	2.87848	2.18141	3.30843	3.09446	2.46802	2.14308	2.05961	4.05562	-4.912801	0.008736212	0.00841553	0.0033767	0.00196239	0.00651934	0.0048088	0.0308428	0.00490465	0.00627792	0.00701667	0.010242	0.0083051	0.00656903	0.00663531	0.00494982	0.0183912	0.00876994	0.00599457	0.0217835	0.00808482	0.00623927	0.0150096	0.00566855	0.0237222	0.00372393	0.0133093	0.0133963	0.0097806	0.00819522	0.0183169	0.00605681	0.0151991	0.00602815	0.00474767	0.00299636	0.0265869	0.00306029	0.00407468	0.00447133	0.00822911	0.00558039	0.0125656	0.0158432	0.00462576	0.010075	0.00567068	0.00468351	0.00601175	0.00796476	0.00561883	0.00300079	1	0.251988	0.552177	0.343263	0.202945	0.192786	0.176079	1.26544	0.300513	0.263221	8.998644	0.2455362
4960	-38377.35	-38461.27	83.91207	8.0027	4.131302	2.411867	12.38484	2.846814	3.101365	0.0783165	0.446872	0.198757	0.267036	0.235201	0.35453	3.12742	0.0663338	2.20274	0.304698	0.2344993	0.05512071	1.501524	0.1793786	3.35832	3.50906	2.60016	2.89293	2.45012	1.66343	2.31253	1.76713	1.28039	2.28515	-5.500755	0.004852641	0.00680484	0.00374486	0.00220398	0.00363152	0.00249139	0.0189862	0.004397	0.00546261	0.00298467	0.00384905	0.00290339	0.00459301	0.00577642	0.00355076	0.0114316	0.00447905	0.00206364	0.00701291	0.00582416	0.00428009	0.0154131	0.00414137	0.0122374	0.00303974	0.0070188	0.00744549	0.0109875	0.00622596	0.015661	0.00389977	0.00926549	0.00427288	0.00362759	0.00388665	0.00467567	0.00347002	0.00160149	0.00364949	0.00251119	0.00530142	0.00139661	0.00289955	0.00242957	0.00634284	0.00331536	0.00511045	0.00531982	0.00522515	0.00357059	0.00242309	1	0.254416	0.484737	0.264344	0.182795	0.115373	0.154378	1.05596	0.241791	0.257588	13.88637	0.235057
4980	-38371	-38440.59	69.58136	5.579132	5.042892	2.034254	10.91124	1.885139	2.198802	0.00967581	0.595558	0.139437	0.581033	0.178328	0.511989	0.192446	0.115536	0.717896	0.183702	0.27846	0.05811107	0.1221925	0.2203489	3.5645	3.29577	2.76391	3.23446	2.86624	1.82947	2.06816	1.95636	1.50872	3.08208	-5.056822	0.007564419	0.0068667	0.00415672	0.00297391	0.00703398	0.00428571	0.0273705	0.00769051	0.00916999	0.00592171	0.00856703	0.00414824	0.0083148	0.00908322	0.00548839	0.0144769	0.0087886	0.00406802	0.0113692	0.00607451	0.0040289	0.0160159	0.00640919	0.0300277	0.00501296	0.010131	0.0137248	0.00245629	0.0145506	0.0127712	0.00174517	0.00670201	0.00578256	0.00415739	0.003411	0.00360946	0.00426114	0.00288665	0.00839674	0.00264236	0.00543834	0.00474176	0.00515858	0.00352586	0.00929608	0.00193465	0.00235543	0.00797923	0.00766186	0.00537913	0.00443791	1	0.20233	0.456292	0.238641	0.177433	0.10899	0.123134	1.11497	0.292373	0.217428	11.03343	0.2086874
5000	-38389.31	-38437.12	47.81413	2.480636	1.598596	0.6541304	4.908758	0.7909004	0.816992	0.0460983	0.294248	0.143534	0.382775	0.25396	0.158906	0.457447	0.101893	0.695288	0.379363	0.9011968	0.1101858	0.1399088	0.791011	3.76121	2.93395	2.23136	2.50532	3.23861	1.13277	2.91969	2.01366	1.20641	3.29694	-4.26163	0.01675418	0.0158044	0.00749197	0.00633246	0.0162535	0.0101924	0.0459245	0.0273399	0.0280085	0.00979843	0.021202	0.0104463	0.0225848	0.0271726	0.0123898	0.0383318	0.0189374	0.00399434	0.015803	0.0273609	0.0193737	0.0286393	0.0141043	0.0474216	0.00857052	0.0252186	0.0270343	0.0254382	0.0160692	0.0306407	0.0128416	0.00629002	0.0158808	0.0123124	0.0162582	0.00262792	0.0159655	0.00905816	0.00966586	0.00503707	0.0181515	0.0111775	0.0100186	0.0191654	0.0213365	0.0100817	0.0095867	0.00832051	0.0115827	0.0110642	0.00764476	1	0.200484	0.435111	0.298508	0.193506	0.138459	0.152051	1.01338	0.271969	0.243567	5.048667	0.1222661
5020	-38372.46	-38431.35	58.88885	3.155674	2.2025	1.233455	6.995624	1.236395	1.325132	0.0587134	0.506928	0.156781	0.695001	0.146808	0.159656	0.284725	0.123176	1.05123	0.266584	0.4269264	0.02590446	0.5630673	0.401022	4.68755	3.29331	2.14466	2.88782	2.42766	2.17778	1.9065	1.73974	1.76542	3.25512	-4.834972	0.009443298	0.0128611	0.00401774	0.00438106	0.0202474	0.0146658	0.0696819	0.0120683	0.0133332	0.00744483	0.00934045	0.00734968	0.0072423	0.0103557	0.00586133	0.0243039	0.0108145	0.00350146	0.0128986	0.0111523	0.00769207	0.0191514	0.00702064	0.0327784	0.00579051	0.0150718	0.01908	0.00485495	0.0197048	0.0154581	0.00997649	0.0145794	0.00741139	0.00585832	0.0046842	0.00677693	0.00476789	0.00477372	0.0131037	0.00709708	0.00820563	0.00290546	0.00466469	0.00595101	0.010884	0.00630985	0.00946054	0.00513062	0.0099668	0.00295105	0.00460628	1	0.234444	0.542089	0.314297	0.188563	0.161352	0.163601	1.08298	0.314602	0.249873	7.558691	0.06067663
5040	-38395.33	-38449.03	53.69493	2.785495	1.683561	1.024566	4.487777	0.8107435	1.059977	0.0493631	0.541174	0.129036	0.444362	0.0941052	0.169654	0.545182	0.113863	19.2238	0.160729	0.550468	0.1109383	1.148939	0.4395297	2.60308	3.01329	2.39709	2.32639	2.76323	1.98162	2.59543	1.84067	1.84302	3.66835	-4.36439	0.01511802	0.0149138	0.00566063	0.00702333	0.0194752	0.0115867	0.0766239	0.0168794	0.016124	0.00988082	0.00855521	0.00505714	0.0136126	0.0122691	0.0124559	0.0232342	0.0101935	0.00715422	0.0160739	0.0204293	0.0125834	0.0193465	0.00670446	0.0353999	0.0055553	0.0211194	0.0243577	0.0169008	0.0165299	0.0295998	0.0229312	0.00876453	0.00688131	0.00809313	0.0106848	0.00455411	0.00633744	0.00668764	0.0114362	0.011956	0.00597981	0.0200288	0.00656584	0.00390291	0.0127117	0.00652157	0.014368	0.0157202	0.00316765	0.0140104	0.00618968	1	0.226074	0.504188	0.319789	0.194365	0.19692	0.163673	1.26133	0.32251	0.275597	5.636717	0.2015345
5060	-38369.48	-38442.58	73.10046	5.78127	3.956174	2.959744	17.22366	3.120038	3.697678	0.00623352	0.305575	0.152959	0.391132	0.207699	1.33851	0.619502	0.104755	3.82585	0.247912	0.2242576	0.04172606	0.2351473	0.1825315	3.88763	3.13373	2.45125	2.79518	2.13436	2.18588	1.97222	2.07635	2.2249	3.02032	-5.236147	0.006322601	0.00837936	0.00394394	0.00268446	0.00520675	0.00332279	0.0221037	0.00472201	0.00617007	0.00380164	0.00626586	0.00398899	0.00294479	0.00362104	0.00288389	0.0104515	0.004561	0.00140953	0.0072493	0.010392	0.00648459	0.0130254	0.00430365	0.0231664	0.00318878	0.0137327	0.0135774	0.00412979	0.0104877	0.00669691	0.00747233	0.00408456	0.00290442	0.00364107	0.0054171	0.00405526	0.00224659	0.00468845	0.00203147	0.0048221	0.00148365	0.0034025	0.0029343	0.00229411	0.00805028	0.00661525	0.00380292	0.00350949	0.0038345	0.00519191	0.00232126	1	0.186869	0.442048	0.227814	0.15164	0.138553	0.152792	1.03211	0.234243	0.222453	17.45881	0.1860631
5080	-38357.21	-38438.91	81.69244	9.13634	5.48193	2.830292	15.85262	3.178977	3.418704	0.0320702	0.325053	0.144375	0.459122	0.278809	0.365323	0.0737896	0.0903446	3.84652	0.205421	0.252234	0.1163571	0.01568263	0.1358769	4.8189	3.76176	2.65444	2.5765	2.73052	2.18121	2.25501	1.87638	1.5442	3.6519	-5.568982	0.0045326	0.00709217	0.00360801	0.0034703	0.00360813	0.00297269	0.0146341	0.00264209	0.00504744	0.00313232	0.00392461	0.00353944	0.00281845	0.00580476	0.0036618	0.0102832	0.00564909	0.00150039	0.00668464	0.00487371	0.00263398	0.00724072	0.00277121	0.0147422	0.00223699	0.00684358	0.00745612	0.00262793	0.00597786	0.00937613	0.00505428	0.00881237	0.00672549	0.00410585	0.00719891	0.00304418	0.00311081	0.00275217	0.00429775	0.00449041	0.00526892	0.0062253	0.00152784	0.00232778	0.0101993	0.00333721	0.00398919	0.00290988	0.00396078	0.00842911	0.00283804	1	0.21976	0.482019	0.300394	0.184471	0.150141	0.16832	1.07538	0.24616	0.233905	15.8683	0.4613063
5100	-38387.18	-38429.28	42.10489	2.89838	2.151969	1.244938	6.380818	1.144792	1.309733	0.103473	0.41554	0.170029	0.232817	0.233539	0.337099	1.94559	0.107593	0.34192	0.204246	0.3653239	0.08420206	0.03378236	0.2811218	3.46857	3.25756	2.67147	2.71483	2.91981	2.64643	2.51497	2.09477	1.6172	3.55103	-4.58982	0.0120668	0.0292005	0.0121957	0.00864347	0.00921275	0.00869003	0.0448962	0.00848252	0.00752222	0.00881164	0.0127511	0.00558326	0.0138967	0.0197627	0.00920622	0.0230991	0.0143997	0.00644655	0.0269226	0.017913	0.0109174	0.0338455	0.0101405	0.0396615	0.0081296	0.0226984	0.0242808	0.0182475	0.0173093	0.0199609	0.00564248	0.0120081	0.0160965	0.00904261	0.00904148	0.00306107	0.00533144	0.00246276	0.0212494	0.0312234	0.00495045	0.0131585	0.0112199	0.00721197	0.0204562	0.0178628	0.00452932	0.00715227	0.0205016	0.0183556	0.00574104	1	0.212091	0.483944	0.288136	0.179007	0.149765	0.151331	1.01159	0.257379	0.232411	6.4146	0.2304861
5120	-38368.8	-38429.46	60.65902	3.343976	2.524582	1.226276	5.987248	1.291221	1.337492	0.136197	0.379894	0.203428	0.408695	0.172326	4.94687	0.539916	0.114137	0.854074	0.205097	0.7040574	0.3377059	1.886938	0.3663515	4.1653	3.64507	2.50286	2.57259	3.17822	1.54219	2.41799	1.88257	1.37194	3.51866	-4.756173	0.01021753	0.0146295	0.00671834	0.00580871	0.0089927	0.00346301	0.0463171	0.00787068	0.0106453	0.00789128	0.00978285	0.00567954	0.0101935	0.0114431	0.00570876	0.0216851	0.0114934	0.00441748	0.0220929	0.0100517	0.007058	0.0219482	0.011574	0.0330561	0.00632732	0.0147412	0.0181658	0.00764256	0.0160116	0.0225545	0.00603764	0.0126991	0.0121644	0.00624247	0.00888235	0.00240636	0.00528075	0.00421667	0.00695391	0.00759991	0.0119368	0.00541166	0.00414494	0.00923178	0.0135722	0.00605881	0.00929397	0.00908547	0.00607788	0.017241	0.00317826	1	0.226323	0.506224	0.301572	0.18385	0.154729	0.173225	1.2741	0.258675	0.262223	7.874186	0.4796568
5140	-38355.64	-38439.1	83.4621	8.878763	4.961233	2.88554	13.80818	2.194294	3.098898	0.00859408	0.408703	0.232609	0.329388	0.110655	15.6174	0.539328	0.112108	1.36419	0.257804	0.1941017	0.03135717	3.452563	0.1627445	4.37588	3.54958	2.37283	2.56317	2.69152	2.56972	2.14252	1.86366	1.63516	2.84775	-5.625121	0.004285155	0.0086671	0.00384029	0.00214409	0.00567152	0.00376612	0.0186393	0.00429705	0.00730747	0.00425164	0.0039097	0.00234133	0.00279997	0.0035299	0.00272848	0.00829918	0.00533016	0.00200672	0.00629059	0.00725263	0.00478444	0.00824692	0.00303788	0.0137761	0.00257704	0.00653157	0.00770165	0.00484709	0.00489237	0.0123776	0.00836803	0.00276671	0.00542546	0.00332424	0.00220001	0.00221772	0.00387151	0.00361537	0.00374939	0.00213891	0.00299727	0.00171803	0.00397083	0.00116709	0.00654421	0.0020851	0.00409183	0.00254738	0.00291765	0.00166578	0.00174004	1	0.228974	0.515474	0.293871	0.166728	0.146136	0.172081	1.31533	0.288986	0.247869	17.26074	0.1615502
5160	-38378.12	-38448.69	70.57181	4.448182	2.688449	1.297863	9.102669	1.105915	1.420381	0.00869097	0.294907	0.151852	0.460955	0.178751	0.210099	0.239582	0.112128	2.05961	0.249439	0.5165884	0.201996	0.5443104	0.3145924	3.55334	3.45922	2.25682	2.44218	2.7072	2.39795	2.13985	2.45366	1.60456	3.27479	-4.924645	0.008633346	0.0153124	0.00586084	0.00378942	0.00925004	0.00492068	0.0240029	0.00546644	0.00889054	0.00576668	0.00887677	0.00623468	0.00826132	0.00834122	0.00440581	0.0152556	0.00957923	0.00522488	0.0130824	0.0106313	0.00693394	0.0188089	0.00789547	0.0283136	0.00449859	0.0125676	0.01286	0.0053858	0.00682882	0.0107524	0.00461947	0.00943105	0.0070805	0.00635331	0.00128602	0.00268929	0.00272549	0.00825614	0.00567087	0.0166613	0.0107286	0.0148038	0.00410471	0.00278035	0.0100603	0.00547427	0.00635641	0.00396882	0.00657683	0.00420917	0.0024258	1	0.252252	0.569133	0.316261	0.25437	0.247104	0.175582	1.37927	0.292983	0.346527	9.646979	0.3910192
5180	-38357.92	-38435.88	77.96597	8.552752	3.692465	1.712923	15.66619	1.977048	2.070689	0.0333742	0.618696	0.179554	0.507654	0.214182	0.0543924	2.85371	0.108732	2.13194	0.169069	0.3803113	0.152049	0.03281852	0.2282622	5.03882	3.36537	2.41684	2.7803	3.0555	1.88579	3.33554	1.53524	1.56861	2.82926	-5.329398	0.005759669	0.00527323	0.0031917	0.00206265	0.00504715	0.00288906	0.0196007	0.0050997	0.00773324	0.00377614	0.00447707	0.00363687	0.0034444	0.00500795	0.00397164	0.0149896	0.00727379	0.00184968	0.00698285	0.00886172	0.00650992	0.00977808	0.00379374	0.0163586	0.00285067	0.0064671	0.00665928	0.00164366	0.00498611	0.00765521	0.00846943	0.00443847	0.00780321	0.00496176	0.00455364	0.0018413	0.00508448	0.0049909	0.002533	0.00316935	0.00746446	0.00192969	0.00567552	0.00257292	0.00691377	0.0145304	0.00545966	0.00214369	0.00725298	0.00221361	0.00228018	1	0.251238	0.518748	0.376642	0.211113	0.18342	0.195327	1.31697	0.320928	0.278755	15.69901	0.3998015
5200	-38405.96	-38449.89	43.92677	2.345565	1.238373	0.6174707	4.007273	0.5949798	0.6936267	0.0953333	0.507137	0.142167	0.381694	0.0148784	0.127075	0.30424	0.0874877	0.703616	0.270303	0.7055957	0.2024149	0.3573009	0.5031808	4.48471	3.8398	1.93287	2.33759	2.87392	1.56154	2.8418	1.85306	1.5848	3.67285	-3.920373	0.02356835	0.0274233	0.0132737	0.0123886	0.0121227	0.00931252	0.0683423	0.0169616	0.0234314	0.0138504	0.0150445	0.00925243	0.0185009	0.0225312	0.0144813	0.0379699	0.0162842	0.00534095	0.0167927	0.0173147	0.010342	0.0367331	0.0155306	0.0373044	0.00645273	0.0196084	0.025827	0.0111496	0.0217539	0.0331122	0.0167563	0.0538988	0.013882	0.0141345	0.0173004	0.00601507	0.0138622	0.00806779	0.0251949	0.010086	0.0166467	0.0164018	0.00879034	0.011119	0.0225076	0.0399542	0.0409739	0.0114172	0.022409	0.0136726	0.0050431	1	0.221481	0.526971	0.31913	0.209245	0.110309	0.202572	1.16438	0.330042	0.27445	4.364574	0.2868709
