Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	m_b_simplex[1]	m_d_simplex[1]	m_d_simplex[2]	m_e[1]	m_e[2]	m_e_simplex[1]	m_e_simplex[2]	m_w[1]	m_w[2]	m_w_simplex[1]	m_w_simplex[2]	mu[1]	mu[2]	mu[3]	r_e[1]	r_e[2]	r_w[1]	r_w[2]	rho_b	rho_d	rho_e	rho_w
820	-121.636204312	-120.856507497	-0.779696814882	0.433696	0.147376	0.892985	1	0.668254	0.331746	0.503956	1.49604	0.251978	0.748022	1.49274	0.507256	0.746372	0.253628	0.0422067	0.125295	0	0.0422067	0.125295	0.433696	0.147376	0.155956643458	0.249453377406	0.0837508183609	0.290535975657
830	-122.804428597	-121.961808643	-0.842619953953	0.450495	0.0623612	0.890103	1	0.500187	0.499813	1.12903	0.870971	0.564515	0.435485	1.75681	0.243192	0.878404	0.121596	0.040622	0.0313372	0	0.040622	0.0313372	0.450495	0.0623612	0.188623364155	0.361589001427	0.0359795799583	0.256428008412
840	-124.168477305	-122.233930425	-1.93454687971	0.335959	0.174832	2.63968	1	0.465548	0.534452	0.286773	1.71323	0.143387	0.856613	1.31545	0.684554	0.657723	0.342277	0.036326	0.217017	0	0.036326	0.217017	0.335959	0.174832	1.06444678438	0.488032998264	0.126671488602	0.25539560847
850	-122.693272992	-121.399464429	-1.29380856263	0.367525	0.235832	1.28713	1	0.26934	0.73066	0.602654	1.39735	0.301327	0.698673	1.21827	0.781733	0.609134	0.390866	0.124119	0.287788	0	0.124119	0.287788	0.367525	0.235832	0.341888924441	0.444287888942	0.205953446842	0.301678302408
860	-124.858455916	-123.688020274	-1.17043564284	0.0868427	0.14441	1.45257	1	0.368701	0.631299	1.5383	0.461704	0.769148	0.230852	0.751062	1.24894	0.375531	0.624469	0.0860164	0.025817	0	0.0860164	0.025817	0.0868427	0.14441	0.610660393707	0.388232027369	0.0559166694103	0.115626552358
870	-123.425867294	-122.313372221	-1.11249507286	0.332303	0.128486	1.15842	1	0.393488	0.606512	1.93064	0.0693564	0.965322	0.0346782	1.44232	0.557677	0.721162	0.278838	0.214004	0.00768788	0	0.214004	0.00768788	0.332303	0.128486	0.348816298068	0.422438475676	0.110846014278	0.230394284834
880	-123.198706781	-121.318149015	-1.88055776586	0.0201885	0.665075	1.07654	1	0.0228482	0.977152	0.68087	1.31913	0.340435	0.659565	0.0589219	1.94108	0.029461	0.970539	0.352682	0.683293	0	0.352682	0.683293	0.0201885	0.665075	0.195640145962	0.82429846456	0.51798746459	0.342631690749
890	-127.736788366	-125.271615888	-2.46517247823	0.466953	0.275214	2.40976	1	0.449153	0.550847	0.541932	1.45807	0.270966	0.729034	1.25835	0.74165	0.629175	0.370825	0.237625	0.639332	0	0.237625	0.639332	0.466953	0.275214	0.833797122135	0.821813533593	0.438478407815	0.371083414684
900	-122.570668136	-121.387198886	-1.18346924936	0.395289	0.303594	1.03015	1	0.191159	0.808841	1.55966	0.440339	0.779831	0.220169	1.1312	0.868798	0.565601	0.434399	0.213201	0.0601931	0	0.213201	0.0601931	0.395289	0.303594	0.165634063436	0.531696741351	0.136697253804	0.349441190771
910	-122.559063147	-121.433698811	-1.12536433571	0.472855	0.218498	1.00838	1	0.319017	0.680983	1.2438	0.756197	0.621901	0.378099	1.36791	0.632089	0.683956	0.316044	0.216754	0.131781	0	0.216754	0.131781	0.472855	0.218498	0.15851390949	0.446906744233	0.174267413371	0.345676268613
920	-124.914085014	-123.123971325	-1.7901136892	0.469039	0.307434	2.43758	1	0.19193	0.80807	1.15457	0.84543	0.577285	0.422715	1.20813	0.791873	0.604064	0.395936	0.188869	0.138299	0	0.188869	0.138299	0.469039	0.307434	0.830552394901	0.407740917332	0.163584176423	0.388236200546
930	-121.176410637	-119.834313353	-1.34209728318	0.120046	0.36516	1.86077	1	0.0837601	0.91624	0.263901	1.7361	0.131951	0.868049	0.494826	1.50517	0.247413	0.752587	0.010473	0.0688974	0	0.010473	0.0688974	0.120046	0.36516	0.68778123735	0.372028019331	0.0396851703085	0.24260285619
940	-121.24148887	-120.025172008	-1.21631686165	0.15212	0.498354	1.65674	1	0.0906097	0.90939	0.309582	1.69042	0.154791	0.845209	0.467721	1.53228	0.23386	0.76614	0.0147426	0.0804992	0	0.0147426	0.0804992	0.15212	0.498354	0.503135506773	0.340323549817	0.04762090841	0.325236896648
950	-121.550639766	-120.254564938	-1.29607482845	0.0929863	0.406448	1.51289	1	0.0937386	0.906261	1.53557	0.464428	0.767786	0.232214	0.372367	1.62763	0.186183	0.813817	0.152422	0.0460996	0	0.152422	0.0460996	0.0929863	0.406448	0.506728966543	0.440367878002	0.0992610287833	0.249716955125
960	-122.782957854	-121.083092523	-1.69986533088	0.0757672	0.320681	1.94407	1	0.118842	0.881158	1.07897	0.921029	0.539486	0.460514	0.38223	1.61777	0.191115	0.808885	0.145099	0.123859	0	0.145099	0.123859	0.0757672	0.320681	0.773808706749	0.593353029408	0.134479389526	0.198224205197
970	-122.485048966	-121.432619955	-1.05242901058	0.463733	0.365803	1.15254	1	0.307636	0.692364	0.597414	1.40259	0.298707	0.701293	1.11805	0.881946	0.559027	0.440973	0.0742667	0.174361	0	0.0742667	0.174361	0.463733	0.365803	0.161499657832	0.35184766256	0.124313619251	0.414768070939
980	-127.003424206	-125.319374891	-1.68404931473	0.473509	0.323178	1.28665	1	0.64584	0.35416	0.0373232	1.96268	0.0186616	0.981338	1.1887	0.811305	0.594348	0.405652	0.0123434	0.649089	0	0.0123434	0.649089	0.473509	0.323178	0.244980761985	0.710008530193	0.330716355744	0.398343666807
990	-122.636578232	-121.630039944	-1.00653828762	0.255618	0.325204	1.13013	1	0.0750501	0.92495	1.50487	0.495129	0.752435	0.247565	0.880195	1.11981	0.440097	0.559903	0.224586	0.0738929	0	0.224586	0.0738929	0.255618	0.325204	0.274655562703	0.292232082134	0.149239551541	0.290411091243
1000	-122.713822528	-121.195546676	-1.51827585186	0.280724	0.232176	1.82299	1	0.536017	0.463983	0.316761	1.68324	0.158381	0.841619	1.09465	0.905347	0.547327	0.452673	0.0564153	0.299786	0	0.0564153	0.299786	0.280724	0.232176	0.655046341963	0.42867929595	0.17810048693	0.256449727015
