Iteration	Replicate_ID	Posterior	Likelihood	Prior	kappa	omega	pi[1]	pi[2]	pi[3]	pi[4]
53	0	-4680.58	-4676.79	-3.78576	2.063139	0.02870308	0.209583	0.303095	0.241186	0.246136
54	0	-4680.81	-4677.01	-3.80147	2.053274	0.02843527	0.210924	0.305034	0.242729	0.241313
55	0	-4681.16	-4677.53	-3.63776	1.861598	0.02843527	0.218884	0.294929	0.234688	0.251499
56	0	-4683.06	-4679.86	-3.19618	1.866183	0.03405688	0.212636	0.290985	0.253776	0.242603
57	0	-4682.66	-4678.65	-4.00917	2.169169	0.0272304	0.205187	0.310115	0.234793	0.249905
58	0	-4682.1	-4678.43	-3.67051	1.771699	0.0272304	0.208222	0.295928	0.235548	0.260302
59	0	-4681.6	-4677.76	-3.84418	1.971478	0.0272304	0.209986	0.295102	0.235102	0.259809
60	0	-4682.16	-4678.35	-3.8132	1.935232	0.0272304	0.218047	0.306608	0.244128	0.231217
61	0	-4684.96	-4681.46	-3.4999	1.947147	0.03092954	0.210919	0.277464	0.27074	0.240878
62	0	-4681.89	-4678.46	-3.43021	1.695666	0.02911884	0.222324	0.29809	0.236553	0.243033
63	0	-4682.23	-4678.26	-3.97222	1.935224	0.02563472	0.217909	0.29217	0.236086	0.253836
64	0	-4681.79	-4677.92	-3.86753	1.814701	0.02563472	0.213633	0.304	0.232445	0.249922
65	0	-4682.9	-4678.86	-4.03573	2.009822	0.02563472	0.215003	0.30595	0.246771	0.232276
66	0	-4680.93	-4677.4	-3.53431	1.839876	0.02939568	0.212043	0.293609	0.253191	0.241158
67	0	-4681.99	-4678.66	-3.33379	1.712136	0.03043607	0.209601	0.294519	0.253976	0.241905
68	0	-4681.56	-4677.87	-3.68856	1.778175	0.02710211	0.215708	0.303101	0.247123	0.234068
69	0	-4681.54	-4678.03	-3.50893	2.001119	0.03139543	0.210498	0.295779	0.253961	0.239762
70	0	-4682.8	-4678.72	-4.08131	2.187539	0.02664168	0.206799	0.290582	0.249498	0.253121
71	0	-4681.07	-4677.15	-3.91443	2.089396	0.02753564	0.210297	0.295498	0.242726	0.251479
72	0	-4682.27	-4678.52	-3.75428	1.791025	0.02654538	0.219417	0.293565	0.231871	0.255147
73	0	-4682.35	-4678.69	-3.65874	1.684097	0.02654538	0.212704	0.284583	0.253241	0.249473
74	0	-4680.68	-4677.11	-3.5757	1.907583	0.0295995	0.215452	0.2958	0.236312	0.252436
75	0	-4686.13	-4682.22	-3.90917	1.747973	0.02469006	0.200745	0.293365	0.238935	0.266955
76	0	-4682.44	-4678.85	-3.58468	2.124908	0.03175178	0.202477	0.309018	0.233281	0.255224
77	0	-4680.54	-4676.99	-3.55005	1.834553	0.02915969	0.20796	0.300362	0.243603	0.248075
78	0	-4682.58	-4678.83	-3.7492	1.844341	0.02707709	0.216287	0.28421	0.239838	0.259665
79	0	-4682.59	-4678.83	-3.76114	1.858013	0.02707709	0.220803	0.291752	0.231309	0.256136
80	0	-4681.57	-4677.83	-3.74507	1.918045	0.02779646	0.218683	0.306934	0.229087	0.245295
81	0	-4681.3	-4677.37	-3.93011	2.137847	0.02779646	0.21255	0.295981	0.241415	0.250054
82	0	-4682.72	-4678.89	-3.83092	1.970476	0.02736053	0.218314	0.284042	0.24081	0.256835
83	0	-4681.87	-4678.24	-3.62406	1.880303	0.02877082	0.216147	0.291205	0.257431	0.235218
84	0	-4681.56	-4677.83	-3.73614	1.992231	0.02859012	0.211115	0.292055	0.236127	0.260702
85	0	-4681.17	-4677.22	-3.9494	1.90116	0.02557223	0.214219	0.296348	0.241989	0.247444
86	0	-4684.95	-4681.69	-3.26226	1.904923	0.03359617	0.224684	0.305964	0.221962	0.247391
87	0	-4682.8	-4678.99	-3.8132	2.027071	0.02806395	0.200618	0.308698	0.247507	0.243177
88	0	-4680.67	-4677.16	-3.50847	1.953063	0.03088578	0.214343	0.296582	0.238074	0.251001
89	0	-4681.87	-4678.12	-3.75009	1.908314	0.0276527	0.207491	0.296317	0.257653	0.23854
90	0	-4681.12	-4677.69	-3.42888	1.773262	0.02994667	0.214807	0.289977	0.245782	0.249433
91	0	-4683.26	-4679.14	-4.11443	2.230598	0.02666013	0.209272	0.311034	0.23347	0.246224
92	0	-4682.18	-4678.87	-3.31016	1.867512	0.03249493	0.220383	0.296786	0.234997	0.247835
93	0	-4682.76	-4679.51	-3.2548	1.82868	0.0327838	0.204012	0.311571	0.238488	0.245928
94	0	-4682.04	-4678.67	-3.3703	1.747022	0.03037158	0.214876	0.312165	0.236326	0.236634
95	0	-4683.28	-4679.92	-3.35441	1.550573	0.02847582	0.220867	0.302209	0.233691	0.243232
96	0	-4680.77	-4676.99	-3.77616	2.027476	0.02847582	0.208413	0.30631	0.236862	0.248415
97	0	-4681.95	-4678.11	-3.84176	1.900564	0.02662877	0.210431	0.309276	0.229471	0.250821
98	0	-4683.88	-4680.26	-3.61714	1.865335	0.02870226	0.224822	0.302081	0.247774	0.225323
99	0	-4690.27	-4687.24	-3.02643	1.860106	0.03653136	0.215242	0.332589	0.222413	0.229757
100	0	-4681.45	-4678.2	-3.25605	1.782235	0.03221897	0.212117	0.301626	0.235959	0.250299
101	0	-4681.72	-4677.85	-3.87244	2.00034	0.02719112	0.208968	0.299739	0.232455	0.258838
102	0	-4686.6	-4682.95	-3.64849	1.549297	0.02543558	0.210732	0.317794	0.232307	0.239167
103	0	-4684.39	-4680.7	-3.69434	1.670527	0.02606804	0.22544	0.300914	0.224425	0.249221
104	0	-4683.98	-4680.29	-3.69591	1.912293	0.02827792	0.219198	0.310731	0.217619	0.252452
105	0	-4681.26	-4677.6	-3.65644	1.866717	0.02827792	0.210742	0.290187	0.256357	0.242713
106	0	-4681.65	-4677.71	-3.93789	2.055325	0.02699212	0.217251	0.29791	0.23463	0.250209
107	0	-4681.07	-4677.49	-3.57943	2.057866	0.03110703	0.214576	0.29833	0.245597	0.241498
108	0	-4682.13	-4678.42	-3.71652	2.17547	0.03061072	0.202813	0.296636	0.243679	0.256872
109	0	-4684.34	-4680.38	-3.95776	2.302149	0.02896372	0.219203	0.28795	0.243497	0.24935
