Iteration	Posterior	Likelihood	Prior	kappa	omega	pi[1]	pi[2]	pi[3]	pi[4]
200	-4682.37	-4678.66	-3.70592	1.804488	0.02716341	0.219416	0.309725	0.23892	0.231939
210	-4681.53	-4677.89	-3.63333	1.822738	0.02810973	0.207693	0.293177	0.239671	0.259459
220	-4680.86	-4677.04	-3.81741	2.03706	0.02810973	0.213201	0.300953	0.246027	0.239819
230	-4681.8	-4677.98	-3.81834	2.028153	0.02801791	0.216597	0.305747	0.227536	0.250119
240	-4681.49	-4677.83	-3.66613	1.850593	0.02801791	0.216126	0.305081	0.22755	0.251243
250	-4681.59	-4677.9	-3.68795	1.875647	0.02801791	0.217335	0.304611	0.227199	0.250856
260	-4683.18	-4679.73	-3.45099	1.610164	0.02801791	0.217335	0.304611	0.227199	0.250856
270	-4682	-4678.41	-3.58552	1.743867	0.02787064	0.217335	0.304611	0.227199	0.250856
280	-4684.65	-4681.7	-2.94844	1.675916	0.03521314	0.212412	0.294764	0.24765	0.245174
290	-4680.74	-4676.97	-3.77307	2.047892	0.02870229	0.215758	0.299406	0.238057	0.24678
300	-4680.4	-4676.75	-3.65165	1.905163	0.02870229	0.216643	0.300634	0.239034	0.243689
310	-4683.73	-4680.16	-3.56244	1.51373	0.02594647	0.219737	0.290645	0.242448	0.24717
320	-4682.47	-4678.76	-3.71247	1.67688	0.02594647	0.220924	0.292215	0.250109	0.236751
330	-4683.27	-4679.75	-3.51409	1.641865	0.02764995	0.223956	0.286263	0.25161	0.238172
340	-4685.53	-4681.99	-3.53716	2.032918	0.03137755	0.223649	0.314701	0.237158	0.224492
350	-4684.4	-4681.18	-3.21268	1.661569	0.03137755	0.225546	0.30473	0.23917	0.230553
360	-4681.81	-4678.34	-3.46998	1.844737	0.03020885	0.217093	0.304935	0.225928	0.252044
370	-4682.93	-4679.53	-3.40018	1.765519	0.03020885	0.209136	0.281695	0.25338	0.255789
380	-4681.23	-4677.63	-3.60409	2.043894	0.0306538	0.203706	0.300344	0.246802	0.249148
390	-4681.24	-4677.63	-3.60719	2.04758	0.0306538	0.203706	0.300344	0.246802	0.249148
400	-4681.65	-4678.19	-3.46067	1.87587	0.0306538	0.20664	0.304669	0.250356	0.238336
410	-4681.22	-4677.61	-3.60904	2.049798	0.0306538	0.206484	0.293623	0.250167	0.249725
420	-4682.98	-4679.53	-3.45058	1.864755	0.03065904	0.206475	0.318437	0.237754	0.237334
430	-4680.76	-4676.9	-3.86422	2.000653	0.02727994	0.211375	0.303985	0.241673	0.242967
440	-4682.23	-4678.73	-3.50209	1.816813	0.02953573	0.217656	0.313018	0.226239	0.243087
450	-4683.61	-4680.39	-3.2167	1.601101	0.03063526	0.223207	0.303228	0.23233	0.241234
460	-4682.45	-4679.06	-3.38779	1.895639	0.03179293	0.222665	0.304922	0.231765	0.240647
470	-4683.29	-4679.47	-3.82199	1.736556	0.02540775	0.223242	0.305713	0.229773	0.241272
480	-4681.26	-4677.81	-3.45045	1.791976	0.02988697	0.219726	0.300897	0.241906	0.237471
490	-4681.79	-4677.79	-3.9982	1.877935	0.02492284	0.217434	0.29776	0.239384	0.245422
500	-4682.47	-4679.3	-3.16365	1.657774	0.03196631	0.217434	0.29776	0.239384	0.245422
510	-4681.59	-4678.06	-3.53076	2.073746	0.03190093	0.217434	0.29776	0.239384	0.245422
520	-4680.99	-4677.51	-3.4882	1.957323	0.03118583	0.217879	0.298369	0.240073	0.243678
530	-4681.69	-4677.8	-3.88869	1.93158	0.02642484	0.215723	0.305215	0.229793	0.249269
540	-4682.65	-4678.59	-4.0605	2.102774	0.02615208	0.215723	0.305215	0.229793	0.249269
550	-4682.31	-4678.33	-3.9811	1.942792	0.02561176	0.214951	0.306413	0.229094	0.249542
560	-4682.32	-4678.51	-3.80261	2.038034	0.02828114	0.222784	0.302536	0.234561	0.240119
570	-4682.14	-4678.57	-3.56256	1.989676	0.03060196	0.217725	0.294293	0.253317	0.234665
580	-4682.9	-4678.78	-4.11552	2.095778	0.02555984	0.212221	0.286854	0.246913	0.254013
590	-4682.01	-4678	-4.00271	1.961748	0.02555984	0.213072	0.289469	0.242427	0.255032
600	-4682.99	-4679.52	-3.46252	2.128175	0.03343001	0.212412	0.288572	0.244775	0.254242
610	-4683	-4679.18	-3.82662	2.065903	0.02827385	0.2199	0.284296	0.253403	0.242401
620	-4683	-4679.24	-3.76531	1.993046	0.02827385	0.222996	0.293505	0.251186	0.232313
630	-4685.17	-4681.58	-3.59069	1.710944	0.02749982	0.211142	0.291054	0.226998	0.270807
640	-4686.11	-4682.64	-3.46819	1.505334	0.02681121	0.226535	0.308537	0.235609	0.229319
650	-4681.98	-4678.4	-3.5803	1.821562	0.0286861	0.209195	0.284495	0.248851	0.257459
660	-4685.27	-4681.53	-3.74105	1.918208	0.02784133	0.19977	0.293801	0.268202	0.238228
670	-4683.74	-4680.46	-3.2796	1.898683	0.03327922	0.221666	0.312088	0.231907	0.234339
680	-4681.22	-4677.7	-3.52127	2.028795	0.03153641	0.2137	0.300446	0.247021	0.238832
690	-4683.29	-4679.35	-3.93602	1.843526	0.02522344	0.210579	0.310937	0.227863	0.250621
700	-4684.33	-4680.39	-3.94442	1.849454	0.02519322	0.226298	0.299918	0.244873	0.228912
710	-4681.23	-4677.38	-3.85222	2.087941	0.02819432	0.215017	0.304871	0.239999	0.240114
720	-4681.74	-4678.36	-3.38158	1.935811	0.03232916	0.212286	0.289073	0.246285	0.252357
730	-4681.84	-4678.4	-3.44176	1.927713	0.03145376	0.216136	0.294315	0.232617	0.256933
740	-4686.04	-4682.02	-4.01826	1.833117	0.02438343	0.220717	0.310929	0.245584	0.222771
750	-4682.02	-4678.25	-3.76033	1.885635	0.02733635	0.220147	0.303174	0.244951	0.231727
760	-4680.94	-4677.18	-3.76523	2.090717	0.0291987	0.214558	0.295477	0.2447	0.245265
770	-4682.53	-4679.21	-3.31502	1.576987	0.0291987	0.21182	0.296507	0.245553	0.24612
780	-4681.27	-4677.6	-3.66741	1.847252	0.02797226	0.212815	0.286018	0.249164	0.252003
790	-4681.83	-4678.55	-3.27349	1.869781	0.03301825	0.211864	0.291795	0.245463	0.250877
800	-4681.7	-4677.94	-3.75899	1.982102	0.02824115	0.22004	0.29512	0.248261	0.236579
810	-4680.48	-4676.72	-3.75871	1.997193	0.02838558	0.214188	0.301924	0.241658	0.24223
820	-4683.53	-4679.73	-3.80578	2.211756	0.02988769	0.222314	0.302225	0.23299	0.242471
830	-4680.85	-4677.22	-3.6266	1.886374	0.02880159	0.212962	0.309742	0.233889	0.243407
840	-4684.19	-4680.28	-3.90298	2.261149	0.02921579	0.205951	0.299546	0.259109	0.235394
850	-4682.24	-4678.69	-3.5452	1.605681	0.0269757	0.217537	0.295502	0.237612	0.249348
860	-4683.3	-4679.27	-4.0268	2.160763	0.0269757	0.22114	0.294575	0.235621	0.248664
870	-4684.73	-4680.62	-4.10402	1.830535	0.02360973	0.213679	0.286584	0.264022	0.235715
880	-4681.92	-4678.14	-3.78081	1.807867	0.02642786	0.221927	0.29104	0.247257	0.239775
890	-4682.06	-4678.22	-3.83786	1.873079	0.02642786	0.22282	0.294147	0.236855	0.246178
900	-4682.71	-4679.58	-3.13442	1.646184	0.03221222	0.211393	0.298472	0.240338	0.249798
910	-4681.62	-4678.07	-3.55185	1.815918	0.02895199	0.2093	0.31191	0.231465	0.247325
920	-4681.5	-4678.11	-3.39682	1.961294	0.03241663	0.205045	0.30558	0.237005	0.252369
930	-4681.4	-4677.58	-3.81858	2.106624	0.02874096	0.207229	0.302224	0.234402	0.256145
940	-4681.08	-4677.67	-3.41026	1.838348	0.03087319	0.212614	0.300171	0.23281	0.254405
950	-4680.74	-4677.1	-3.64116	1.918591	0.02895215	0.208569	0.29538	0.251816	0.244235
960	-4685.23	-4681.35	-3.88343	2.478079	0.03152878	0.204086	0.297066	0.252736	0.246112
970	-4682.53	-4679.24	-3.29053	1.861259	0.03268559	0.203056	0.297639	0.251461	0.247844
980	-4683.77	-4680.39	-3.37871	1.804049	0.03089095	0.218453	0.294781	0.259218	0.227548
990	-4682.5	-4678.59	-3.90775	1.765996	0.02485037	0.221654	0.2991	0.240437	0.238809
1000	-4682.42	-4678.63	-3.79195	1.718583	0.02554074	0.21125	0.302751	0.233268	0.252731
1010	-4685.11	-4681.48	-3.62509	2.10037	0.03097834	0.201854	0.305797	0.260656	0.231693
1020	-4682.94	-4678.73	-4.21481	2.122164	0.0248321	0.210618	0.29318	0.244505	0.251697
1030	-4682.99	-4679.86	-3.13362	1.693872	0.03280165	0.213739	0.29952	0.249634	0.237107
1040	-4682.43	-4678.55	-3.88372	1.976366	0.0268637	0.203215	0.296777	0.255934	0.244074
1050	-4682.41	-4678.96	-3.44392	1.67258	0.02872576	0.210998	0.31115	0.233104	0.244747
1060	-4682.89	-4679.61	-3.28311	1.959982	0.03396985	0.202686	0.295713	0.246409	0.255192
1070	-4686	-4682.82	-3.18063	1.729545	0.03259939	0.208342	0.304702	0.260405	0.226552
1080	-4681.47	-4677.52	-3.94827	2.130835	0.02754051	0.212635	0.29465	0.247706	0.24501
1090	-4682.51	-4678.56	-3.94107	1.750987	0.02442501	0.218368	0.290899	0.249115	0.241618
1100	-4681.7	-4678.04	-3.66478	2.087911	0.03036066	0.214659	0.303057	0.247144	0.235141
1110	-4681.33	-4677.61	-3.72202	2.176861	0.03055714	0.211943	0.296853	0.244017	0.247187
1120	-4681.8	-4678.09	-3.71248	1.707364	0.02621728	0.216487	0.300967	0.246173	0.236373
1130	-4680.38	-4676.87	-3.50999	1.798364	0.02925479	0.214123	0.297682	0.243164	0.245031
1140	-4680.68	-4677.16	-3.52448	1.828164	0.02939071	0.212731	0.296079	0.250164	0.241026
1150	-4680.89	-4677.26	-3.63027	1.850143	0.02840753	0.206235	0.302256	0.245752	0.245756
1160	-4683.01	-4678.98	-4.0268	2.160865	0.02697649	0.209578	0.310286	0.228186	0.251951
1170	-4680.45	-4676.8	-3.65121	1.825975	0.02794594	0.211854	0.29879	0.246415	0.242941
1180	-4681.03	-4677.43	-3.59971	1.930568	0.02954991	0.206713	0.291541	0.249439	0.252307
1190	-4681.98	-4678.5	-3.48384	2.070102	0.03248074	0.212895	0.290241	0.248327	0.248536
1200	-4682.88	-4678.95	-3.93074	1.733355	0.02437638	0.21631	0.285767	0.25231	0.245613
1210	-4680.51	-4677.02	-3.4877	1.777011	0.02929421	0.212893	0.302076	0.240374	0.244657
1220	-4680.92	-4677.45	-3.46783	1.868596	0.03048811	0.206801	0.297315	0.249148	0.246735
1230	-4681.53	-4677.9	-3.62722	2.162499	0.03160142	0.207332	0.298078	0.247223	0.247367
1240	-4681.99	-4678.44	-3.54675	1.714722	0.02800807	0.212815	0.286071	0.256743	0.244372
1250	-4682.89	-4679.02	-3.87344	1.750062	0.0250369	0.220331	0.29647	0.231423	0.251776
1260	-4683.46	-4679.74	-3.71929	1.563129	0.02489169	0.216829	0.293837	0.250029	0.239305
1270	-4682.61	-4679.05	-3.56098	1.902478	0.02972102	0.211782	0.281986	0.261706	0.244525
1280	-4680.8	-4677.29	-3.51487	1.962947	0.03091119	0.214015	0.307503	0.233702	0.244781
1290	-4683.98	-4680.36	-3.62131	2.27932	0.03293337	0.206735	0.304065	0.227356	0.261844
1300	-4681.94	-4678.21	-3.73007	2.104922	0.0297468	0.220242	0.296335	0.24022	0.243204
1310	-4683.14	-4679.93	-3.20567	1.595812	0.03071135	0.215338	0.293636	0.252222	0.238804
1320	-4682.35	-4678.77	-3.58334	1.715171	0.02761834	0.208437	0.289866	0.241933	0.259764
1330	-4681.14	-4677.75	-3.39519	1.81744	0.03083254	0.213253	0.290367	0.2458	0.250579
1340	-4682.2	-4678.91	-3.29738	1.779728	0.03165003	0.212308	0.289286	0.255457	0.242948
1350	-4682.64	-4679.21	-3.42414	1.941284	0.0318312	0.217378	0.315122	0.232265	0.235235
1360	-4683.21	-4679.45	-3.76299	2.259898	0.03088227	0.211682	0.289277	0.254137	0.244904
1370	-4682.92	-4678.7	-4.21687	2.103436	0.02467112	0.211974	0.293937	0.248848	0.245242
1380	-4682.15	-4678.44	-3.71074	1.687794	0.0260603	0.210986	0.288864	0.252666	0.247484
1390	-4683.33	-4679.72	-3.60957	1.785008	0.0280062	0.209127	0.283638	0.266671	0.240564
1400	-4684.41	-4680.33	-4.08105	1.841303	0.02389054	0.216061	0.290289	0.261308	0.232342
1410	-4682.16	-4678.8	-3.35982	1.817744	0.03128018	0.218428	0.304154	0.226472	0.250946
1420	-4682.47	-4678.38	-4.08447	2.197213	0.0266896	0.207232	0.306588	0.238449	0.247732
1430	-4682.72	-4679.21	-3.51007	1.60742	0.02735858	0.208047	0.301762	0.244566	0.245626
1440	-4683.67	-4679.65	-4.01829	1.95546	0.02536018	0.209399	0.281615	0.248238	0.260748
1450	-4682.71	-4679.23	-3.48019	1.642136	0.0280181	0.210714	0.302305	0.251507	0.235473
1460	-4683.66	-4679.71	-3.95253	2.360533	0.02955858	0.21038	0.290701	0.243232	0.255687
1470	-4682.05	-4678.25	-3.80607	1.992861	0.0278279	0.207867	0.2995	0.256361	0.236273
1480	-4681.1	-4677.19	-3.91183	1.956763	0.02640909	0.212912	0.305461	0.238831	0.242796
1490	-4681.34	-4677.58	-3.75758	1.774086	0.02636155	0.218404	0.291528	0.246885	0.243183
1500	-4681.85	-4678.01	-3.8396	1.723181	0.02512861	0.215384	0.293451	0.241958	0.249207
1510	-4681.7	-4677.94	-3.76386	2.187235	0.03015101	0.211076	0.300484	0.23326	0.25518
1520	-4685.12	-4681.28	-3.84136	2.119405	0.02860382	0.227182	0.307491	0.22717	0.238157
1530	-4682.7	-4678.81	-3.88986	2.216364	0.02895212	0.204713	0.312992	0.237587	0.244708
1540	-4682.48	-4678.93	-3.5569	2.132027	0.03219219	0.209953	0.28795	0.250484	0.251613
1550	-4685.74	-4681.46	-4.27884	1.974458	0.02318085	0.220869	0.297767	0.227188	0.254176
1560	-4684.2	-4680.42	-3.78012	2.228894	0.03036366	0.216006	0.290175	0.23144	0.262379
1570	-4683.82	-4680.18	-3.64168	1.670684	0.02659529	0.20271	0.291845	0.254999	0.250447
1580	-4682.73	-4679.1	-3.63515	2.05226	0.03035923	0.223198	0.292572	0.238117	0.246113
1590	-4681.84	-4678.49	-3.35211	1.944989	0.03283093	0.214828	0.310762	0.234685	0.239726
1600	-4681.02	-4677.53	-3.49477	1.937771	0.03089339	0.213512	0.290242	0.246922	0.249324
1610	-4681.62	-4678.16	-3.45962	1.701551	0.02884388	0.221143	0.299114	0.235899	0.243844
1620	-4682.01	-4678.31	-3.70606	1.842529	0.02751316	0.210162	0.301209	0.254858	0.233771
1630	-4681.88	-4678	-3.87365	1.744719	0.02499062	0.213008	0.296086	0.240391	0.250515
1640	-4683.43	-4679.81	-3.62335	1.691979	0.02697946	0.205769	0.287463	0.245537	0.261232
1650	-4680.87	-4677.3	-3.5741	1.784794	0.02839353	0.21262	0.297431	0.2504	0.239549
1660	-4681.01	-4677.46	-3.55119	1.927901	0.03009866	0.214015	0.307006	0.242864	0.236115
1670	-4680.65	-4677.01	-3.63941	1.911067	0.02889826	0.210054	0.291671	0.245162	0.253113
1680	-4681.45	-4677.98	-3.47386	1.848419	0.03020086	0.212095	0.28971	0.24005	0.258145
1690	-4683.55	-4680.51	-3.04289	1.653127	0.03354394	0.209315	0.301914	0.242705	0.246065
1700	-4682.79	-4679.05	-3.73447	2.165669	0.03029338	0.20545	0.287964	0.256149	0.250437
1710	-4685.18	-4681.21	-3.97286	2.286365	0.02865047	0.195661	0.298523	0.251635	0.25418
1720	-4681.78	-4678.47	-3.31724	1.947524	0.03333969	0.209505	0.300675	0.233988	0.255832
1730	-4681.46	-4677.7	-3.75656	1.975835	0.0282093	0.207554	0.307222	0.231033	0.254191
1740	-4681.58	-4678.19	-3.39347	1.672513	0.02930137	0.21439	0.290715	0.248254	0.246642
1750	-4684.84	-4680.82	-4.01996	2.078906	0.02635801	0.197642	0.298693	0.257873	0.245792
1760	-4681.13	-4677.4	-3.72923	1.9094	0.02788699	0.21172	0.302793	0.249423	0.236064
1770	-4682.88	-4679.68	-3.20277	1.912027	0.03453545	0.217143	0.297622	0.234196	0.25104
1780	-4681.87	-4678.53	-3.34232	1.657482	0.02974039	0.211092	0.299246	0.248485	0.241177
1790	-4680.85	-4677.42	-3.42545	1.865033	0.03097425	0.209988	0.295218	0.249446	0.245348
1800	-4683.9	-4680.79	-3.10647	1.906837	0.03591382	0.213887	0.294726	0.249029	0.242359
1810	-4681.42	-4677.69	-3.72217	1.763264	0.02662134	0.220016	0.297369	0.236444	0.246171
1820	-4682.27	-4678.99	-3.27428	1.839825	0.03265248	0.214775	0.288116	0.245899	0.251211
1830	-4685.27	-4681.34	-3.92243	1.850932	0.02541327	0.221294	0.31063	0.245121	0.222955
1840	-4681.66	-4678.11	-3.54193	1.860695	0.02951884	0.206584	0.2924	0.257183	0.243833
1850	-4681.36	-4677.76	-3.59775	1.833642	0.02860919	0.220204	0.295083	0.234297	0.250416
1860	-4681.81	-4677.88	-3.93596	1.982586	0.02638768	0.211276	0.294867	0.255045	0.238812
1870	-4681.85	-4678.09	-3.76703	2.158499	0.02983204	0.215745	0.308309	0.233995	0.241951
1880	-4683.18	-4679.48	-3.69634	2.18454	0.03095302	0.216834	0.300312	0.249984	0.23287
1890	-4684.9	-4680.61	-4.28624	2.359588	0.02597269	0.216867	0.298189	0.239201	0.245743
1900	-4681.47	-4677.55	-3.91709	1.942249	0.02623263	0.208133	0.304736	0.244982	0.242149
1910	-4681.25	-4677.52	-3.72626	1.934505	0.0281543	0.207395	0.304163	0.232837	0.255605
1920	-4681.63	-4678.06	-3.56848	1.728105	0.02790258	0.208519	0.307575	0.238753	0.245153
1930	-4681.6	-4678.04	-3.56368	1.921368	0.02988211	0.212968	0.294	0.256623	0.236409
1940	-4683.52	-4679.5	-4.01784	2.045283	0.02609987	0.224124	0.29058	0.245003	0.240292
1950	-4682.77	-4678.88	-3.88699	2.23647	0.02917105	0.201991	0.295553	0.248383	0.254072
1960	-4681.28	-4677.64	-3.64249	1.81916	0.02797564	0.217093	0.289235	0.240504	0.253168
1970	-4685.52	-4682.15	-3.37448	2.037817	0.03360955	0.208836	0.293019	0.225667	0.272478
1980	-4683.54	-4680.43	-3.11551	1.758481	0.03385589	0.210069	0.289534	0.243733	0.256664
1990	-4683.48	-4679.65	-3.83587	1.998248	0.0275577	0.198858	0.304359	0.252804	0.24398
2000	-4680.87	-4677.32	-3.54607	2.005586	0.03097384	0.216607	0.301494	0.239045	0.242855
2010	-4681.47	-4677.77	-3.69881	2.014321	0.02922669	0.20939	0.299822	0.231091	0.259697
2020	-4681.92	-4678.51	-3.41014	1.814827	0.03061901	0.206826	0.296183	0.255927	0.241064
2030	-4684.58	-4680.95	-3.6266	1.670752	0.02674915	0.202272	0.299837	0.236426	0.261464
2040	-4684.14	-4680.75	-3.38455	1.888177	0.03175126	0.201672	0.307101	0.227446	0.263781
2050	-4681.63	-4678.08	-3.55127	1.780445	0.02860496	0.222142	0.301577	0.232619	0.243662
2060	-4681.97	-4678.35	-3.61568	2.165053	0.03177765	0.210453	0.311205	0.237751	0.240591
2070	-4681.31	-4677.96	-3.35365	1.839206	0.03159964	0.213259	0.292073	0.249826	0.244841
2080	-4681.34	-4677.34	-3.99857	2.074886	0.02653926	0.21248	0.299436	0.238254	0.24983
2090	-4681.29	-4677.88	-3.41272	1.904175	0.03156617	0.219185	0.299973	0.237679	0.243163
2100	-4681.75	-4678.19	-3.56701	2.093776	0.03164689	0.215066	0.306772	0.229272	0.248889
2110	-4682.97	-4678.8	-4.17062	2.087001	0.0249713	0.218369	0.299971	0.239033	0.242627
2120	-4681.82	-4677.96	-3.85539	1.771028	0.02538206	0.209223	0.30154	0.244626	0.244611
2130	-4684.86	-4681.06	-3.79781	1.605748	0.02453264	0.222807	0.291168	0.231446	0.254579
2140	-4681.21	-4677.57	-3.6328	1.947185	0.0293303	0.21799	0.295608	0.233708	0.252693
2150	-4681.17	-4677.63	-3.54014	2.011009	0.03110585	0.21091	0.306786	0.230063	0.252241
2160	-4685.61	-4682.22	-3.3946	1.903938	0.03179765	0.20315	0.306262	0.221322	0.269267
2170	-4683.07	-4679.8	-3.26871	1.896828	0.03340819	0.210664	0.286659	0.255914	0.246763
2180	-4684.21	-4680.01	-4.20705	2.296098	0.02625762	0.210934	0.300293	0.231427	0.257346
2190	-4682.12	-4678.16	-3.96079	2.063572	0.02682744	0.215288	0.287257	0.244712	0.252742
2200	-4681.53	-4677.9	-3.63008	1.80098	0.02793673	0.207904	0.309819	0.240397	0.24188
2210	-4684.65	-4681.02	-3.63099	1.847898	0.02837782	0.225304	0.288376	0.227623	0.258697
2220	-4685.39	-4682.39	-2.99808	1.777195	0.03583707	0.222387	0.29766	0.241768	0.238185
2230	-4680.66	-4677.05	-3.60942	1.863245	0.0287687	0.211771	0.308161	0.238018	0.24205
2240	-4681.59	-4677.96	-3.63265	2.084139	0.03071639	0.203585	0.307398	0.236328	0.25269
2250	-4680.84	-4677.41	-3.43069	1.799332	0.03020187	0.216577	0.300581	0.234923	0.24792
2260	-4681.37	-4677.67	-3.7005	2.057635	0.02963114	0.207724	0.306587	0.230967	0.254722
2270	-4681.69	-4677.81	-3.88215	2.06172	0.0276337	0.217845	0.296623	0.247387	0.238146
2280	-4684.62	-4681.6	-3.02416	1.526255	0.03220914	0.211764	0.299731	0.242865	0.245641
2290	-4682.19	-4678.4	-3.7895	2.045164	0.02849279	0.2084	0.306395	0.226995	0.258211
2300	-4687.43	-4683.07	-4.36633	2.134027	0.02357202	0.215845	0.288368	0.265874	0.229912
2310	-4682.65	-4679	-3.65061	2.195618	0.03164844	0.21041	0.290695	0.239701	0.259194
2320	-4684.67	-4680.81	-3.85379	2.197415	0.029189	0.211407	0.308541	0.219	0.261052
2330	-4681.45	-4677.89	-3.55968	1.922956	0.02994607	0.215441	0.286255	0.250791	0.247514
2340	-4682.27	-4678.8	-3.46746	2.0746	0.03275183	0.215762	0.290854	0.244975	0.24841
2350	-4683.42	-4680.15	-3.26926	1.75484	0.03172776	0.220041	0.296733	0.226832	0.256393
2360	-4684.21	-4679.98	-4.22961	2.178998	0.02512807	0.202711	0.29396	0.25187	0.25146
2370	-4685.55	-4682.06	-3.48778	1.914134	0.03072773	0.209894	0.282378	0.233142	0.274587
2380	-4681.58	-4678.15	-3.42677	1.695509	0.02915671	0.210645	0.307171	0.237665	0.244519
2390	-4681.96	-4678.37	-3.59596	1.849134	0.02878179	0.212694	0.303303	0.252734	0.231269
2400	-4681.9	-4678.2	-3.70176	2.030969	0.02935492	0.207557	0.310377	0.227977	0.254089
2410	-4680.71	-4676.97	-3.73832	2.021749	0.02884653	0.215564	0.297319	0.245095	0.242022
2420	-4681.69	-4678.04	-3.64935	2.129543	0.03097666	0.206295	0.297006	0.251872	0.244827
2430	-4681.6	-4677.84	-3.76007	2.137768	0.02971284	0.212082	0.305453	0.245177	0.237288
2440	-4687.58	-4684.43	-3.14396	1.645274	0.03207543	0.20903	0.292864	0.224797	0.273309
2450	-4680.75	-4677.05	-3.70825	2.07422	0.0297031	0.209879	0.304732	0.235014	0.250374
2460	-4682.79	-4678.99	-3.80611	2.117123	0.02898092	0.203974	0.305279	0.229553	0.261194
2470	-4685.01	-4681.83	-3.17413	1.493573	0.02994071	0.215526	0.285644	0.245065	0.253765
2480	-4684.48	-4680.73	-3.74627	2.268375	0.03117748	0.199425	0.306953	0.230977	0.262645
2490	-4684.46	-4681.26	-3.20221	1.564289	0.03039689	0.20815	0.297123	0.256017	0.238711
2500	-4682.55	-4678.97	-3.58746	1.846489	0.0288518	0.215107	0.281312	0.245115	0.258466
2510	-4687.17	-4683.46	-3.71	1.809826	0.02716991	0.197487	0.307823	0.260891	0.2338
2520	-4685.64	-4681.73	-3.90715	2.367283	0.03016126	0.209969	0.299364	0.25913	0.231538
2530	-4681.37	-4677.7	-3.67468	1.760755	0.02708568	0.207757	0.30202	0.239609	0.250615
2540	-4681.42	-4677.67	-3.75292	1.873662	0.02730497	0.221583	0.300548	0.236873	0.240996
2550	-4680.9	-4677.15	-3.75249	1.839665	0.02700065	0.210137	0.303427	0.2448	0.241636
2560	-4680.64	-4677.2	-3.4458	1.859207	0.03065835	0.213894	0.297944	0.246625	0.241537
2570	-4680.54	-4676.92	-3.6256	1.80673	0.02804038	0.212473	0.302231	0.236691	0.248605
2580	-4684.38	-4681.03	-3.35475	1.736326	0.03044478	0.208958	0.321982	0.232258	0.236802
2590	-4681.71	-4677.82	-3.88032	2.07162	0.02774173	0.216377	0.288987	0.245385	0.249251
2600	-4681.18	-4677.41	-3.77024	1.80346	0.02649512	0.212576	0.304169	0.23477	0.248486
2610	-4684.42	-4680.9	-3.51822	1.974352	0.03099084	0.22213	0.278987	0.254936	0.243947
2620	-4682.63	-4678.57	-4.05973	2.071273	0.02590219	0.212913	0.296542	0.232605	0.25794
2630	-4683.03	-4679.61	-3.41927	1.961415	0.03212027	0.2053	0.31898	0.23185	0.24387
2640	-4681.08	-4677.25	-3.82877	1.981813	0.02748511	0.206838	0.305811	0.237496	0.249855
2650	-4683.76	-4680.24	-3.5186	2.046344	0.03176108	0.221812	0.286221	0.251516	0.240451
2660	-4683.44	-4680.07	-3.37236	1.75819	0.03046779	0.206553	0.285733	0.263358	0.244357
2670	-4682.81	-4679.21	-3.59209	2.104029	0.03143412	0.203667	0.316497	0.238004	0.241832
2680	-4681.22	-4677.57	-3.64551	1.941553	0.0291279	0.205495	0.2991	0.237163	0.258242
