Iteration	Posterior	Likelihood	Prior	kappa	omega	pi[1]	pi[2]	pi[3]	pi[4]
1750	-4685.21	-4681.7	-3.50383	1.659094	0.02792886	0.201517	0.288398	0.244647	0.265438
1760	-4681.13	-4677.41	-3.7196	2.038214	0.02921903	0.212509	0.297545	0.251365	0.238581
1770	-4681.39	-4677.87	-3.51877	1.663066	0.02780647	0.216382	0.293478	0.242757	0.247383
1780	-4684.38	-4681.11	-3.26556	1.739833	0.0316027	0.21664	0.309053	0.249338	0.22497
1790	-4682.83	-4679.4	-3.4232	2.088169	0.03351639	0.218945	0.304832	0.236927	0.239297
1800	-4682.85	-4679.64	-3.20428	1.920403	0.0346189	0.214679	0.302911	0.245456	0.236953
1810	-4685.69	-4682.31	-3.38457	2.27421	0.03633925	0.200977	0.313785	0.231416	0.253822
1820	-4681.85	-4678.4	-3.45099	1.705807	0.02898551	0.215617	0.291294	0.254809	0.238281
1830	-4685.26	-4681.53	-3.73847	1.891631	0.02762286	0.231157	0.291064	0.247491	0.230287
1840	-4682.64	-4679.38	-3.26189	2.002674	0.03480407	0.216016	0.303505	0.234049	0.24643
1850	-4681.66	-4677.92	-3.7468	1.808621	0.0267791	0.21709	0.309141	0.234397	0.239373
1860	-4681.84	-4677.83	-4.01261	2.044435	0.02614457	0.212002	0.293864	0.252446	0.241688
1870	-4681.45	-4677.78	-3.66753	1.73463	0.02691879	0.214471	0.304004	0.244376	0.237149
1880	-4681.57	-4677.94	-3.63096	2.149846	0.03142037	0.210852	0.302023	0.232654	0.254471
1890	-4680.74	-4677.18	-3.56183	2.055663	0.03130638	0.208858	0.299428	0.240341	0.251373
1900	-4680.95	-4677.45	-3.50403	1.726602	0.02859703	0.213991	0.30161	0.244476	0.239923
1910	-4680.82	-4677.41	-3.41432	1.935021	0.03188917	0.21329	0.296874	0.239966	0.24987
1920	-4680.63	-4676.99	-3.64601	1.906282	0.02877677	0.208672	0.294629	0.250575	0.246124
1930	-4681.57	-4677.65	-3.92676	1.915768	0.02591335	0.21712	0.304993	0.237364	0.240523
1940	-4681.95	-4678.53	-3.41633	1.761394	0.02997061	0.221383	0.299138	0.230884	0.248595
1950	-4681.99	-4678.22	-3.76687	2.225215	0.03048902	0.215065	0.302211	0.235049	0.247675
1960	-4682.61	-4678.92	-3.68341	1.979494	0.0290646	0.202122	0.298647	0.257826	0.241405
1970	-4683.8	-4680.45	-3.34988	1.944573	0.0328564	0.221517	0.304487	0.222522	0.251474
1980	-4684.1	-4680.39	-3.70831	1.76871	0.02681189	0.216797	0.297999	0.222361	0.262843
1990	-4684.16	-4680.64	-3.52246	1.697708	0.02810616	0.208519	0.294652	0.264824	0.232005
2000	-4681.93	-4678.26	-3.67194	1.983888	0.02923944	0.21461	0.29075	0.234167	0.260473
2010	-4681.15	-4677.61	-3.54648	1.95921	0.03048106	0.206683	0.293258	0.252252	0.247807
2020	-4682.21	-4678.62	-3.5885	1.940422	0.02978159	0.202005	0.294148	0.25613	0.247717
